,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,147835000,171821000,-2232000,150067000,-20910000,-25733000,None,None,-21249000,None,-104658000,3076000,-23986000,2232000,339000,4484000,-339000,-339000,None,-32970000,None,4484000,-29894000,None,-25733000,-25733000,None,USD,788358000,1361000,None,52416000,502155000,286203000,None,86383000,196000,67686000,101249000,91271000,97094000,218760000,222034000,None,None,1579000,28577000,469994000,26085000,193571000,69055000,129763000,100000000,None,135651000,None,None,196000,None,67686000,-8743000,None,171070000,None,318364000,108989000,100000000,280121000,280121000,None,None,None,225485000,788358000,287815000,None,19337750,USD,-68222000,16076000,-71025000,-8952000,None,182324000,-1000,22561000,-25733000,-179066000,-290365000,5896000,2130000,-2995000,None,None,7643000,34603000,2803000,7643000,None,-179066000,21.62,
1,2020-03-31,USD,174847000,156695000,3366000,174847000,13717000,8666000,None,None,14396000,None,156695000,-4435000,18152000,2232000,-679000,5730000,679000,679000,None,None,None,-5730000,-4435000,None,20126000,8666000,None,USD,792530000,1554000,None,58638000,480765000,311765000,None,90785000,196000,96415000,95225000,123422000,94752000,251000000,207946000,None,None,78000,28450000,445409000,23516000,186789000,0,135771000,100000000,None,117161000,None,None,196000,None,96415000,-10957000,None,-272819000,None,347121000,107412000,100000000,4551000,272819000,None,None,None,226033000,792530000,251000000,None,19274921,USD,59270000,-138416000,57517000,59270000,100000000,-92660000,-4338000,-161377000,8666000,130457000,165600000,-16145000,2337000,-3002000,None,None,-24656000,2834000,1753000,-24656000,None,130457000,22.5,21.62
2,2019-12-31,USD,184649000,170354000,4615000,184649000,15306000,10555000,None,None,16147000,None,165739000,1011000,14295000,13639000,-841000,5592000,841000,841000,None,None,None,4497000,1011000,None,11650000,10555000,None,USD,844173000,1935000,None,48033000,535058000,309115000,None,98475000,196000,91083000,110328000,126831000,92884000,271719000,345342000,None,None,3824000,28650000,494482000,25409000,180349000,61153000,113577000,None,None,246867000,None,None,196000,None,91083000,-14795000,None,133803000,33063000,349691000,110343000,None,189716000,189716000,None,None,None,228807000,844173000,332872000,None,19165954,USD,-22198000,-426000,-19170000,3520000,100000000,-2969000,-10957000,54900000,10555000,21087000,43226000,49043000,3056000,-2969000,None,None,43860000,11966000,1559000,30062000,None,24142000,32.5,22.5
3,2019-09-30,USD,186518000,172046000,4344000,186518000,14008000,9947000,None,None,14827000,None,163572000,-464000,14472000,2232000,-819000,4880000,819000,819000,None,4130000,None,4880000,-4594000,None,9947000,9947000,None,USD,776623000,4428000,None,48402000,479988000,296635000,None,69761000,196000,83497000,106876000,128286000,92426000,176372000,296241000,None,None,3050000,29356000,424030000,23807000,163921000,42566000,156690000,None,None,195817000,None,None,196000,None,83497000,-14795000,None,34606000,34013000,352593000,107534000,None,106876000,183747000,None,None,None,224687000,776623000,218938000,None,19127401,USD,-8107000,121923000,-8107000,-47504000,100000000,-4409000,-1446000,72546000,9947000,144786000,157302000,-52639000,2635000,-2963000,None,None,-4868000,-536000,848000,-69054000,-2890000,141896000,27.3,32.5
4,2019-06-30,USD,178173000,159820000,5051000,178173000,19061000,14280000,None,None,19473000,None,154769000,708000,18353000,5051000,-412000,5193000,412000,412000,None,None,None,5193000,708000,None,14280000,14280000,None,USD,704010000,1730000,None,53275000,415561000,288449000,None,63610000,196000,76513000,96091000,122070000,70886000,105314000,235314000,None,None,4387000,30788000,350440000,23647000,164649000,38698000,153153000,None,None,139809000,None,None,196000,None,76513000,-14795000,None,36634000,34252000,353570000,116051000,None,96091000,180247000,None,None,None,222148000,704010000,144012000,None,19127401,USD,-40245000,-122166000,-39575000,-40245000,100000000,-2968000,-4959000,34089000,14280000,-9153000,33390000,4957000,2614000,-2968000,None,None,-11926000,176000,1793000,52260000,-295000,-9448000,29.97,27.3
5,2019-03-31,USD,176274000,159883000,120818000,176274000,18034000,12087000,None,None,18842000,None,155203000,1643000,16391000,4615000,-808000,6755000,None,808000,None,None,None,6755000,1643000,None,12087000,12087000,None,USD,671982000,1975000,None,55407000,398563000,273419000,None,67735000,196000,65201000,91736000,122548000,95458000,114414000,216619000,32213000,32213000,4382000,32292000,309929000,22781000,148896000,None,140108000,90208000,None,116671000,None,None,196000,None,65201000,-15143000,None,38491000,34186000,362053000,122421000,None,91736000,181944000,None,None,None,218783000,671982000,114414000,None,19113630,USD,-2463000,99000,-2463000,-1565000,None,-7894000,4552000,-152775000,12087000,-165630000,-155273000,-2463000,2734000,-2935000,None,None,-20167000,336000,898000,-20167000,130000,-165500000,38.33,29.97
6,2018-12-31,USD,190967000,174275000,133328000,190967000,15337000,11195000,0,0,15982000,0,174275000,-1355000,16692000,5051000,-645000,4787000,None,None,0,0,0,4066000,-1995000,0,11916000,11195000,None,USD,700629000,2216000,None,52364000,433473000,267156000,None,73892000,196000,56049000,114522000,122092000,91583000,279906000,318951000,None,None,4062000,33871000,450867000,19442000,142848000,None,118597000,None,None,245059000,None,None,196000,None,56049000,-20298000,None,37311000,34830000,249762000,None,None,114522000,114522000,None,None,None,227147000,700629000,279906000,None,18954275,USD,794000,69127000,-1035000,-3083000,-20981000,-7181000,-8060000,67971000,11195000,117571000,125787000,12855000,4249000,-2608000,None,None,43298000,5889000,5960000,76816000,None,121013000,31.19,38.33
7,2018-09-30,USD,192341000,171758000,133933000,192341000,22928000,16469000,0,0,23187000,0,171758000,2345000,20583000,5051000,-259000,6718000,None,None,0,0,0,6718000,2604000,0,16469000,16469000,None,USD,632856000,2535000,None,54866000,379023000,253833000,0,77997000,196000,44854000,106251000,122445000,89433000,164216000,272772000,None,None,4119000,35491000,382952000,21013000,128853000,0,163870000,0,0,194775000,0,0,196000,0,44854000,-20298000,None,36100000,32320000,249904000,None,None,106251000,106251000,None,None,None,224962000,632856000,164216000,None,18954275,USD,1171000,1036000,-1178000,-2275000,None,-2532000,1000,61255000,16469000,80465000,84175000,-1178000,3065000,-2531000,0,0,-4660000,-91000,2391000,-4660000,-2083000,78382000,33.85,31.19
8,2018-06-30,USD,187689000,169228000,127679000,187689000,18413000,11463000,0,0,18411000,0,169228000,-48000,18461000,0,2000,6948000,None,None,0,0,0,6948000,-50000,0,11463000,11463000,None,USD,552904000,2919000,None,55247000,315038000,237866000,0,77502000,196000,30916000,101956000,122838000,90178000,85825000,213082000,None,None,5000000,36752000,300217000,21621000,112109000,0,159145000,0,0,135580000,0,0,196000,0,30916000,-20299000,None,36159000,32398000,252687000,None,None,101956000,101956000,None,None,None,222053000,552904000,85825000,None,18954271,USD,1276000,-926000,-41000,-3488000,-12000000,-14571000,-106000,42286000,11463000,15834000,30446000,-41000,3309000,-2571000,0,0,-23373000,-249000,1366000,-23373000,-3397000,12437000,35.0,33.85
9,2018-03-31,USD,164658000,151537000,111409000,164658000,12673000,10168000,0,0,12912000,0,151537000,-448000,13121000,0,-239000,2744000,None,None,0,0,0,2744000,-573000,0,10168000,10168000,None,USD,524346000,3943000,None,57179000,293857000,230489000,0,79097000,196000,22024000,101472000,123284000,90009000,73358000,180385000,12000000,12000000,8816000,38464000,268646000,22884000,103262000,0,138109000,12000000,0,101288000,0,0,196000,0,22024000,-21482000,None,34434000,32691000,255700000,None,12000000,101472000,113472000,None,None,None,220935000,524346000,73358000,None,18918965,USD,-1603000,-871000,-5995000,-4813000,20000000,7296000,2233000,-118736000,10168000,-136205000,-137506000,-5995000,3184000,-2471000,0,0,-32024000,-98000,1182000,-32024000,2038000,-134167000,31.25,35.0
