,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,220827000,51159000,153714000,67113000,19902000,13547000,None,None,16986000,None,44857000,3948000,15954000,6193000,2916000,3414000,None,-2916000,None,109000,None,3414000,3839000,-25000,13572000,13547000,None,USD,1125526000,24916000,None,13863000,589512000,536014000,39128000,43603000,246000,209088000,35819000,586235000,67509000,83212000,152783000,536000,536000,4935000,37082000,297962000,59524000,-75137000,None,200887000,331054000,None,108644000,None,None,246000,None,209088000,-128646000,None,107381000,None,12426000,75106000,331054000,66547000,436729000,None,None,None,450391000,1125526000,83212000,None,None,USD,-5746000,41657000,-5746000,-2330000,-120132000,-120038000,-84000,25512000,13547000,-67833000,57951000,-4036000,7726000,None,178000,None,-12037000,5015000,3416000,-5958000,36000,-67797000,44.25,
1,2020-03-31,USD,241922000,110835000,176938000,64984000,-51147000,-42308000,None,None,-53488000,None,43296000,-5296000,-45851000,6114000,2341000,-11215000,-2341000,-2341000,-35000,61425000,None,-11215000,-66571000,-35000,-42273000,-42308000,None,USD,1190048000,28127000,None,13309000,665439000,524609000,27425000,38216000,246000,195541000,25759000,586235000,57912000,151009000,119508000,533000,533000,12214000,38326000,359405000,67194000,-89753000,None,195087000,451189000,None,80759000,None,None,246000,None,195541000,-128366000,None,102427000,None,8334000,75523000,451189000,67317000,545931000,None,None,None,444974000,1190048000,151009000,None,22000000,USD,-13000000,-84680000,-18395000,-4394000,242869000,214089000,-7133000,-80606000,-42308000,139548000,-56146000,6242000,7613000,None,-21647000,None,11698000,54427000,1001000,2560000,-143000,139405000,45.36,44.25
2,2019-12-31,USD,255199000,58816000,177884000,77315000,28884000,14313000,None,None,17610000,None,52037000,10385000,18499000,7080000,11274000,3256000,-2492000,-2492000,-41000,-301000,None,3256000,1529000,-41000,14354000,14313000,None,USD,1104271000,31625000,None,747094000,518806000,585465000,36705000,35912000,247000,237849000,36318000,646680000,37722000,11604000,204544000,529000,529000,14936000,38413000,224736000,54541000,585465000,None,252206000,208324000,None,168103000,None,None,247000,None,237849000,-128348000,None,54954000,None,93367000,76702000,208324000,69233000,314262000,None,None,None,460781000,1104271000,11604000,None,23000000,USD,-5000000,19935000,-10582000,-2366000,-95156000,-107776000,-176000,36205000,14313000,-37883000,80475000,11608000,2780000,None,-12444000,None,-3306000,15251000,3216000,16588000,77000,-37806000,68.72,45.36
3,2019-09-30,USD,242925000,54582000,167767000,75158000,20494000,13654000,None,None,16120000,None,47493000,-82000,20576000,6962000,4374000,2414000,-4374000,-4374000,-52000,127000,None,2414000,421000,-52000,13706000,13654000,None,USD,1161933000,36141000,None,14211000,574376000,587557000,27911000,41753000,248000,223536000,27429000,645986000,46113000,49410000,433548000,250525000,250525000,22564000,39972000,280436000,60943000,-94570000,None,216815000,53457000,None,141270000,None,None,248000,None,223536000,-128048000,None,97347000,1108000,881497000,69989000,53457000,59460000,140828000,None,None,None,469257000,1161933000,49410000,None,23000000,USD,-9540000,32923000,-9540000,-5900000,-7627000,-8139000,-746000,29195000,13654000,40273000,57952000,583000,12943000,None,234000,None,167000,5740000,3640000,-7891000,-40000,40233000,61.34,68.72
4,2019-06-30,USD,244288000,59957000,166456000,77832000,14046000,10472000,None,None,14046000,None,52052000,-3829000,17875000,7151000,-4524000,3477000,-4524000,-4524000,-97000,754000,None,3477000,426000,-97000,10569000,10472000,None,USD,1114675000,39037000,None,14766000,546314000,568361000,29081000,38646000,247000,209882000,28793000,645266000,42576000,9177000,395418000,248034000,248034000,22175000,40189000,233205000,59357000,-115942000,None,209262000,59590000,None,108738000,None,None,247000,None,209882000,-127133000,None,96527000,1094000,881470000,72666000,59590000,62225000,150896000,None,None,None,463190000,1114675000,9177000,None,22000000,USD,-6793000,21741000,-6793000,-2758000,-20129000,-24643000,-4749000,21500000,10472000,646000,32082000,-2084000,13618000,None,235000,None,-12113000,5743000,4035000,-17368000,5000,651000,50.38,61.34
5,2019-03-31,USD,223062000,58740000,157566000,65496000,4715000,3304000,None,None,4715000,None,50293000,-2041000,6756000,7172000,-4258000,1365000,-4258000,-4258000,-46000,1275000,None,1365000,942000,-46000,3350000,3304000,None,USD,1091360000,43461000,None,13596000,541707000,549653000,26645000,50330000,247000,199410000,27760000,645541000,39647000,8526000,373945000,245569000,245569000,19231000,38359000,216509000,54038000,-139349000,None,194387000,79722000,None,78046000,None,None,247000,None,199410000,-126983000,None,92150000,1302000,874851000,70573000,79722000,61395000,167762000,None,None,None,457748000,1091360000,8526000,None,22000000,USD,-8087000,-46420000,-8087000,-5738000,25873000,21722000,-4385000,-56705000,3304000,-24654000,-38289000,-1854000,13328000,None,234000,None,5129000,5034000,2349000,-11721000,73000,-24581000,47.22,50.38
6,2018-12-31,USD,228680000,54759000,156846000,71834000,9967000,3061000,0,0,9967000,0,45473000,-7108000,17075000,8294000,-4377000,None,None,None,-2358000,992000,0,6912000,-10944000,6000,3055000,3061000,None,USD,1049532000,55157000,None,757471000,508908000,540624000,35300000,38121000,244000,196106000,36750000,645263000,24927000,33107000,418305000,243132000,243132000,16495000,40374000,232931000,50880000,540624000,None,218580000,53853000,None,137052000,None,None,244000,None,196106000,-124794000,None,None,None,40374000,None,53853000,1450000,90603000,None,None,None,452573000,1049532000,33107000,None,22000000,USD,None,11783000,-5066000,-2792000,-21627000,-23549000,-2156000,28443000,3061000,24176000,52791000,2407000,11938000,None,234000,None,4214000,19388000,2274000,4214000,-94000,24082000,51.31,47.22
7,2018-09-30,USD,219744000,55332000,150851000,68893000,9640000,8477000,0,0,9640000,0,46802000,-3921000,13561000,8561000,-4628000,None,None,None,0,-31000,0,1391000,-3890000,228000,8249000,8477000,None,USD,1040565000,53703000,None,13328000,510692000,529873000,38005000,38046000,244000,192984000,42891000,645543000,44762000,9025000,152110000,511000,511000,14165000,41164000,208144000,45948000,-169373000,0,185791000,315691000,0,114064000,0,0,244000,0,192984000,-124169000,None,32035000,14028000,832421000,None,315691000,4886000,358582000,None,None,None,446649000,1040565000,9025000,None,22000000,USD,None,16704000,-3490000,-1959000,-39125000,-39850000,-959000,14553000,8477000,-1386000,41954000,372000,12137000,0,234000,0,-740000,5004000,1531000,-740000,-41000,-1427000,49.4,51.31
8,2018-06-30,USD,218277000,49682000,149457000,68820000,8423000,5372000,0,0,8423000,0,38781000,-10715000,19138000,8917000,-5022000,None,None,None,0,1984000,0,2561000,-5999000,-490000,5862000,5372000,None,USD,1050003000,59690000,None,13552000,531264000,518739000,38070000,36677000,244000,184507000,42899000,645655000,43603000,10452000,135927000,508000,508000,15390000,42958000,209866000,47099000,-186606000,0,185862000,352438000,0,99250000,0,0,244000,0,184507000,-123215000,None,30783000,13952000,840137000,None,352438000,4829000,395337000,None,None,None,441813000,1050003000,10452000,None,22000000,USD,1040000,23438000,-6239000,-3517000,-28125000,-32832000,-4942000,18510000,5372000,4105000,43176000,-387000,12913000,0,235000,0,-4634000,6474000,3762000,-4634000,-89000,4016000,40.9,49.4
9,2018-03-31,USD,211298000,57423000,151553000,59745000,-2809000,-3264000,0,0,-2809000,0,47908000,-5131000,2322000,8803000,-4986000,None,None,None,0,712000,0,413000,-6673000,-42000,-3222000,-3264000,None,USD,1051253000,66503000,None,13633000,543783000,507470000,38351000,33940000,243000,179135000,53017000,646367000,44576000,6436000,112556000,504000,504000,13002000,43835000,206138000,42831000,-205400000,0,186069000,378210000,0,78616000,0,0,243000,0,179135000,-123235000,None,30445000,15134000,845115000,None,378210000,14666000,431227000,None,None,None,438325000,1051253000,6436000,None,22000000,USD,None,-26953000,-3767000,-2398000,31991000,29541000,-2684000,-27386000,-3264000,-10489000,-36263000,-3753000,12636000,0,234000,0,-20443000,5514000,1369000,-20443000,16000,-10473000,38.1,40.9
