,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,353987000,331205000,223407000,130580000,31674000,13656000,None,None,19223000,None,99255000,349000,22782000,8543000,3908000,5567000,None,-3908000,None,None,None,5567000,349000,None,13656000,13656000,None,USD,1615524000,66558000,None,170143000,910421000,705103000,38118000,99275000,23000,563322000,65231000,905101000,24596000,9064000,269297000,10000000,10000000,-23431000,200228000,419041000,None,-266556000,None,224379000,440928000,None,76785000,None,None,23000,None,563322000,-189011000,None,24596000,None,1196483000,154949000,440928000,40157000,641124000,None,None,None,354200000,1615524000,9064000,None,18848522,USD,-4380000,-16093000,-4380000,-69000,-66207000,-71508000,-3639000,4801000,13656000,-49597000,26033000,2532000,8543000,-2636000,974000,None,14241000,3591000,4311000,14241000,None,-49855000,64.83,
1,2020-03-31,USD,358238000,341919000,230616000,127622000,24541000,10612000,None,None,12984000,None,103271000,190000,16319000,8032000,3525000,2372000,-3525000,-3525000,None,None,None,2372000,190000,None,10612000,10612000,None,USD,1684023000,70048000,None,171443000,993267000,690756000,39494000,97557000,23000,552303000,55232000,905177000,22645000,58661000,289883000,10000000,10000000,-23267000,207295000,478858000,None,-284469000,None,238474000,506979000,None,92818000,None,None,23000,None,552303000,-188961000,None,22645000,None,1205165000,162323000,506979000,27921000,703384000,None,None,None,350658000,1684023000,58661000,None,18827268,USD,-257725000,-49200000,-257725000,-253021000,354555000,325874000,-2081000,-13254000,10612000,52179000,-15232000,-28816000,8032000,-2639000,-23998000,None,40488000,8189000,4704000,40488000,None,52917000,68.7,64.83
2,2019-12-31,USD,396636000,368338000,264027000,132609000,34811000,19379000,None,None,25656000,None,97664000,-134000,28298000,6647000,2508000,6277000,-2508000,-2508000,None,None,None,6277000,-134000,None,19379000,19379000,None,USD,1397217000,25829000,None,159739000,682666000,714551000,1183000,12308000,23000,544840000,59990000,719934000,24535000,6482000,337982000,None,None,-12144000,192202000,434717000,None,-31212000,None,261176000,165444000,None,134578000,None,None,23000,None,544840000,-164963000,None,24535000,None,962500000,151750000,165444000,22369000,344684000,None,None,None,346795000,1397217000,6482000,None,18867555,USD,-6215000,37001000,-6215000,-3569000,-79555000,-80271000,-2081000,-6109000,19379000,-970000,85076000,23744000,6647000,-2634000,887000,None,8411000,-4300000,6215000,8411000,None,-1410000,91.62,68.7
3,2019-09-30,USD,373918000,345254000,238158000,135760000,35489000,19630000,None,None,25699000,None,100130000,-141000,28664000,6966000,2824000,6069000,-2824000,-2824000,None,None,None,6069000,-141000,None,19630000,19630000,None,USD,1420416000,27478000,None,172514000,734914000,685502000,40281000,103528000,23000,528103000,62968000,716699000,23939000,7452000,302082000,None,None,-18402000,195345000,456955000,None,-58675000,None,269368000,245000000,None,97359000,None,None,23000,None,528103000,-164848000,None,23939000,None,963461000,155799000,245000000,22687000,432832000,None,None,None,340626000,1420416000,7452000,None,18811087,USD,-7920000,2517000,-7920000,-1750000,-43544000,-44861000,-2081000,25879000,19630000,1148000,54310000,-11547000,6966000,-2628000,-143000,None,6501000,-10118000,6170000,6501000,None,1529000,84.47,91.62
4,2019-06-30,USD,366717000,344175000,235053000,131664000,30400000,14611000,None,None,19794000,None,101450000,186000,22542000,7672000,2934000,5183000,-2934000,-2934000,None,None,None,5183000,186000,None,14611000,14611000,None,USD,1413770000,29548000,None,158693000,747133000,666637000,42079000,103948000,23000,511095000,67686000,719117000,23762000,6304000,273963000,None,None,-15121000,54455000,454173000,None,-82028000,None,276982000,288544000,None,95068000,None,None,23000,None,511095000,-164705000,None,23762000,None,959597000,146178000,288544000,25607000,473170000,None,None,None,335345000,1413770000,6304000,None,18758986,USD,-6977000,-4599000,-6977000,-1819000,56226000,43048000,-1621000,-16260000,14611000,615000,-35258000,-4068000,7672000,-2642000,-8940000,None,-54448000,5447000,6977000,-54448000,None,813000,72.8,84.47
5,2019-03-31,USD,341254000,103416000,215949000,125305000,21477000,15318000,None,None,19024000,None,96519000,-412000,21889000,6897000,2453000,3706000,-2453000,-2453000,None,None,None,3706000,-412000,None,15318000,15318000,None,USD,1354621000,33520000,None,167353000,692050000,662571000,43344000,116215000,23000,499126000,65886000,720360000,22530000,5689000,281170000,30324000,30324000,-12268000,50888000,399736000,None,-91309000,None,226694000,232318000,None,164955000,None,None,23000,None,499126000,-155073000,None,150117000,None,954885000,143000000,232318000,135218000,410880000,None,None,None,330763000,1354621000,5689000,None,18865729,USD,-9358000,-19476000,-9358000,-1819000,31894000,14444000,-15218000,-10601000,15318000,-7602000,-12688000,-30662000,7024000,-2636000,-14814000,None,8236000,6872000,7539000,8236000,None,-7602000,76.08,72.8
6,2018-12-31,USD,377910000,99410000,249057000,128853000,29273000,18695000,0,0,26636000,0,91958000,-170000,29443000,7452000,2637000,None,None,None,0,0,0,7941000,-4047000,0,18695000,18695000,None,USD,1213862000,35494000,None,142941000,553445000,660417000,54103000,92285000,22000,486442000,74962000,715644000,22513000,11694000,278059000,None,None,-12551000,48105000,392106000,None,-90721000,None,237471000,200424000,None,185774000,None,None,22000,None,486442000,-139704000,None,22513000,None,821756000,None,200424000,20859000,275386000,None,None,None,326208000,1213862000,11694000,None,18817495,USD,None,30293000,-17947000,-11728000,-32080000,-39935000,-483000,11480000,18695000,6435000,64317000,36793000,7963000,-2646000,-4726000,None,-18036000,6619000,6219000,-36046000,None,6435000,64.78,76.08
7,2018-09-30,USD,332968000,95686000,213060000,119908000,23871000,16671000,0,0,21631000,0,88960000,-351000,24222000,6726000,2240000,None,None,None,0,0,0,4960000,-2591000,0,16671000,16671000,None,USD,1176044000,33234000,None,159769000,525371000,650673000,51665000,66836000,22000,470386000,68643000,702585000,24433000,5804000,224224000,None,None,-8144000,45742000,370050000,None,-85146000,0,204477000,232504000,0,157388000,0,0,22000,0,470386000,-134191000,None,24433000,None,805994000,None,232504000,16978000,301147000,None,None,None,322600000,1176044000,5804000,None,18868431,USD,None,22411000,-17205000,-11009000,-11141000,-15380000,-112000,24887000,16671000,-507000,32078000,-2909000,6726000,-2634000,-1493000,0,-30579000,7258000,6196000,-18079000,None,-507000,75.45,64.78
8,2018-06-30,USD,324315000,96725000,206565000,117750000,20707000,13617000,0,0,18540000,0,90410000,-318000,21025000,6315000,2167000,None,None,None,0,0,0,4923000,-2485000,0,13617000,13617000,None,USD,1134551000,33437000,None,146634000,499180000,635371000,49045000,56114000,22000,456358000,66700000,693027000,23408000,6322000,188835000,243645000,243645000,-7576000,44937000,339742000,None,-91093000,0,186786000,243645000,0,132721000,0,0,22000,0,456358000,-130446000,None,23408000,None,794809000,None,243645000,17655000,310345000,None,None,None,317013000,1134551000,6322000,None,18825993,USD,None,-13896000,-6164000,-3000,12154000,9447000,-2317000,-10108000,13617000,-12595000,-15878000,-14056000,6315000,-2635000,2245000,0,-17535000,1432000,6161000,-9290000,None,-12595000,71.05,75.45
9,2018-03-31,USD,302780000,96372000,188826000,113954000,17686000,12417000,0,0,16020000,0,89659000,104000,17582000,6713000,1666000,None,None,None,0,0,0,3603000,-1562000,0,12417000,12417000,None,USD,1127021000,35861000,None,143532000,504520000,622501000,50341000,66992000,22000,445375000,65826000,694338000,22560000,19292000,207204000,231490000,231490000,-4259000,37260000,337002000,None,-107698000,0,174178000,231490000,0,140212000,0,0,22000,0,445375000,-130578000,None,22560000,None,790019000,None,231490000,15485000,297316000,None,None,None,311941000,1127021000,19292000,None,18767066,USD,None,-3425000,-15071000,-11835000,25220000,17097000,-814000,-13010000,12417000,-3821000,-5847000,-30124000,6712000,-2635000,-7309000,0,-8094000,5254000,3236000,3319000,None,-3821000,58.45,71.05
10,2017-12-31,USD,321174000,93763000,207230000,113944000,20278000,27070000,0,0,18388000,0,86840000,97000,20181000,6923000,1890000,None,None,None,0,0,0,-8682000,-13132000,0,27070000,27070000,None,USD,1110255000,35304000,None,22518000,494225000,616030000,48470000,38571000,22000,434766000,30254000,686108000,740765000,11809000,224370000,206250000,206250000,-5039000,38052000,331438000,None,-105382000,11191000,297111000,206250000,0,185799000,0,0,22000,0,434766000,-121540000,None,19353000,None,778817000,None,206250000,15135000,269855000,None,None,None,307821000,1110255000,11809000,None,18661801,USD,None,25631000,-6037000,1000,-23850000,-24794000,-1414000,20064000,27070000,16076000,46907000,1119000,7597000,-7915000,470000,0,1107000,-11152000,6038000,-3358000,None,16076000,52.5,58.45
11,2017-09-30,USD,305301000,91913000,189992000,115309000,23085000,13692000,0,0,20910000,0,84558000,-311000,23396000,7355000,2175000,None,None,None,0,0,0,7218000,0,0,13692000,13692000,None,USD,1087647000,37971000,None,12902000,502861000,584786000,62130000,34485000,22000,407696000,29348000,685922000,742575000,6485000,196273000,230080000,230080000,-6610000,36027000,309045000,None,-139107000,0,289658000,230080000,0,161788000,0,0,22000,0,407696000,-121716000,None,18682000,None,778602000,None,230080000,14378000,306588000,None,None,None,305394000,1087647000,6485000,None,18639314,USD,None,44180000,-3243000,90000,-63808000,-58668000,-486000,14104000,15452000,-5037000,56874000,1650000,7149000,0,5626000,0,0,-1493000,3333000,-10064000,None,-5119000,53.95,52.5
12,2017-06-30,USD,306392000,93288000,190896000,115496000,22434000,11937000,0,0,19897000,0,86240000,226000,22208000,7048000,2537000,None,None,None,0,0,0,7960000,0,0,11937000,11937000,None,USD,1098046000,40692000,None,13278000,524916000,573130000,0,320096000,22000,394004000,29297000,685071000,743891000,9493000,173180000,278000000,278000000,-7168000,37881000,316274000,None,-152633000,0,293503000,278000000,0,204820000,0,0,22000,0,394004000,-114122000,None,18128000,None,781772000,None,None,None,None,None,None,None,300394000,1098046000,9493000,None,18717713,USD,None,6178000,-6174000,0,2157000,-7976000,-2311000,-6208000,11937000,1286000,17242000,None,0,0,0,0,0,2845000,6083000,None,None,None,47.1,53.95
13,2017-03-31,USD,296295000,96055000,183607000,112688000,16742000,10177000,0,0,14791000,0,88802000,109000,16633000,7253000,1951000,None,None,None,0,0,0,4614000,0,0,10177000,10177000,None,USD,1083913000,727406000,None,740700000,521660000,562253000,0,42315000,22000,382067000,24553000,683998000,743536000,9454000,177421000,275843000,275843000,-9268000,38719000,301658000,None,562253000,0,280157000,275843000,0,203502000,0,0,22000,0,382067000,-107645000,None,14883000,None,53602000,None,275843000,None,275843000,None,None,None,297077000,1083913000,9454000,None,18837025,USD,None,-20814000,-2662000,-91000,16454000,-1919000,-1454000,-1567000,10177000,2124000,6705000,-1567000,7253000,0,-16919000,0,3094000,8562000,2571000,3094000,41000,2165000,41.3,47.1
14,2016-12-31,USD,289559000,85154000,182440000,107119000,22199000,12877000,0,0,20041000,0,77655000,234000,21965000,7499000,2158000,None,None,None,0,0,0,7164000,-8286000,0,12877000,12877000,None,USD,1085571000,729812000,None,57853000,519567000,566004000,54714000,29394000,22000,371890000,24344000,683683000,745956000,7885000,196720000,259389000,259389000,-9640000,40484000,299131000,None,-117679000,0,295666000,259389000,0,167326000,0,0,22000,0,371890000,-88695000,None,None,None,40484000,None,259389000,8744000,322847000,None,None,None,292427000,1085571000,7885000,None,19021262,USD,None,4020000,-3237000,-100000,-21806000,-22302000,-1011000,7961000,12673000,-3794000,21745000,5189000,7499000,-7915000,515000,0,-29727000,3098000,3137000,-10734000,189000,-3605000,55.2,41.3
15,2016-09-30,USD,306520000,91434000,191310000,115210000,24508000,13437000,0,0,22101000,0,84193000,732000,23776000,7241000,2407000,None,None,None,0,0,0,8664000,0,0,13437000,13437000,None,USD,1092066000,49296000,None,13163000,541617000,550449000,0,327382000,22000,359217000,25726000,684793000,750002000,9647000,197410000,None,None,-10599000,42996000,299068000,None,-183640000,0,276258000,281194000,0,214235000,0,0,22000,0,359217000,-88019000,None,15913000,None,792998000,None,None,None,None,None,None,None,289828000,1092066000,9647000,None,18963288,USD,None,638000,-2798000,0,-36710000,-39487000,-1010000,5778000,13437000,-204000,42081000,5775000,7241000,0,-1767000,0,0,6118000,2798000,8872000,-997000,-1201000,44.32,55.2
