,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,221564000,212260000,192302000,29262000,15227000,6811000,3509000,None,7000000,None,13113000,None,9304000,None,2302000,189000,None,-2302000,None,None,None,189000,-2000,None,6811000,6811000,None,USD,598876000,45357000,None,None,360686000,238190000,None,6996000,2000,80884000,2878000,173010000,5470000,56969000,155357000,None,8750000,None,57650000,317389000,None,19823000,None,104859000,195413000,149190000,118278000,None,None,None,None,None,None,None,1116000,None,281487000,12397000,None,2668000,205329000,None,None,None,None,None,None,None,None,USD,-3195000,-1337000,-3195000,None,22813000,22728000,None,5165000,6811000,15386000,-4147000,None,5925000,None,0,-5469000,-17286000,1803000,3195000,None,None,None,26.58,
1,2020-03-31,USD,220028000,214528000,191254000,28774000,11268000,3399000,3322000,None,3157000,None,16618000,None,5500000,None,2374000,-242000,None,-2374000,None,None,None,-242000,31000,None,3399000,3399000,None,USD,564019000,48693000,None,None,334499000,229520000,None,6108000,2000,74073000,2741000,173010000,5100000,41583000,151437000,None,8750000,None,57471000,279745000,None,7817000,None,87573000,172359000,143721000,119076000,None,None,None,None,None,-91578000,None,1084000,None,284274000,13394000,172359000,2531000,183062000,None,None,None,247023000,None,41583000,None,23000000,USD,-2470000,-12380000,-2470000,None,2812000,4477000,-993000,-2214000,3399000,-19029000,-21036000,None,5737000,None,0,-16684000,-2724000,3587000,2470000,None,None,None,19.16,26.58
2,2019-12-31,USD,189355000,183649000,163440000,25915000,11551000,7952000,3090000,None,3185000,None,13779000,None,5706000,None,2454000,-4767000,None,-2454000,None,None,None,-4767000,-67000,None,7952000,7952000,None,USD,566555000,52027000,None,None,345139000,221416000,None,5233000,2000,70674000,2887000,173010000,5832000,60612000,163867000,8750000,8750000,None,58739000,276947000,None,-3621000,None,84849000,169304000,127037000,131578000,None,None,None,None,None,-91578000,None,1094000,None,289608000,14573000,169304000,2677000,181272000,None,None,None,242318000,None,60612000,None,23000000,USD,-3995000,44553000,-3995000,None,-187000,2285000,-290000,4735000,7952000,30437000,32147000,None,5912000,None,0,-21215000,-7709000,-2322000,3995000,None,None,None,33.27,19.16
3,2019-09-30,USD,154456000,151134000,133763000,20693000,8862000,923000,2987000,None,702000,None,11048000,None,3322000,None,2663000,-221000,None,-2663000,None,None,None,-221000,43000,None,923000,923000,None,USD,506866000,55367000,None,None,299676000,207190000,None,3875000,2000,62722000,5404000,173010000,2298000,30175000,115002000,8750000,8750000,None,57969000,218222000,None,-21187000,None,77140000,169250000,105822000,86963000,None,None,None,None,None,-91578000,None,935000,None,288644000,15311000,169250000,2307000,184674000,None,None,None,236044000,None,30175000,None,23000000,USD,-2231000,27589000,-2231000,None,-14000000,-13393000,-222000,1915000,923000,-11281000,4343000,None,5497000,None,0,2651000,-35569000,1095000,2231000,None,None,None,24.18,33.27
4,2019-06-30,USD,139195000,136183000,119662000,19533000,8255000,336000,2634000,None,243000,None,10685000,None,3012000,None,2762000,-93000,None,-2762000,None,None,None,-93000,-7000,None,336000,336000,None,USD,489952000,58703000,None,None,286221000,203731000,None,3129000,2000,61799000,6001000,173010000,2238000,41456000,85933000,8750000,8750000,None,59635000,196366000,None,-27982000,None,41571000,183008000,108473000,59832000,None,None,None,None,None,-91578000,None,875000,None,293586000,16608000,183008000,2207000,200288000,None,None,None,233508000,None,41456000,None,23000000,USD,-9482000,-5071000,-9482000,None,-2188000,-1756000,-174000,1002000,336000,9845000,21083000,None,5250000,None,0,5698000,12326000,1300000,9482000,None,None,None,23.64,24.18
5,2019-03-31,USD,137831000,134894000,117608000,20223000,8123000,1518000,2391000,None,145000,None,11758000,None,2937000,None,2768000,-1373000,None,-2768000,None,None,None,-1373000,-24000,None,1518000,1518000,None,USD,495389000,53758000,None,None,293709000,201680000,None,4488000,2000,61463000,6203000,173010000,2264000,31611000,90490000,8750000,8750000,None,60742000,205615000,None,-25088000,None,53897000,184954000,114171000,64691000,None,None,None,None,None,-91578000,None,901000,None,289774000,17210000,184954000,2234000,203219000,None,None,None,231793000,None,31611000,None,23000000,USD,-4782000,895000,-4782000,None,-7375000,-7018000,-111000,-2916000,1518000,-12223000,-423000,None,5210000,None,-1599000,6935000,-13610000,1333000,4782000,None,None,None,22.58,23.64
6,2018-12-28,USD,141402000,136721000,119953000,21449000,4681000,3485000,2203000,0,3535000,0,10732000,None,4681000,0,-2627000,None,None,None,-199000,0,0,50000,-1146000,0,3485000,3485000,None,USD,485489000,56895000,None,None,287163000,198326000,None,5148000,2000,59945000,7292000,173010000,2269000,43834000,87754000,8750000,8750000,None,41740000,211575000,None,-31579000,None,40287000,192117000,121106000,64300000,None,None,None,None,None,-89979000,None,None,None,None,None,192117000,None,None,None,None,None,228358000,None,43834000,None,25000000,USD,None,-14069000,-2535000,-1443000,9812000,-19757000,-2092000,-696000,3485000,10813000,33105000,None,5659000,None,-83651000,12557000,25071000,859000,2535000,None,None,None,15.94,22.58
7,2018-09-28,USD,175207000,163659000,146993000,28214000,11548000,9637000,2123000,0,9079000,0,10658000,None,11548000,0,-2553000,None,None,None,0,0,0,-558000,-2469000,0,9637000,9637000,None,USD,512360000,60728000,None,4373000,289136000,223224000,0,4281000,2000,56460000,7094000,173004000,1854000,33021000,99977000,8750000,8750000,None,40359000,236415000,None,-10508000,0,65358000,182065000,133663000,77697000,0,0,0,0,0,-60317000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,25000000,USD,None,-29915000,-2588000,0,5000000,-25023000,None,-3279000,9637000,-30398000,-2787000,None,5838000,0,0,14403000,314000,-25000,2588000,None,None,None,20.42,15.94
8,2018-06-29,USD,248973000,222779000,204783000,44190000,26194000,28040000,2577000,0,23793000,0,11647000,None,26194000,0,-2303000,None,None,None,0,0,0,-4247000,-2401000,0,28040000,28040000,None,USD,562815000,67313000,None,5514000,320596000,242219000,0,5290000,3000,46823000,9474000,171344000,1882000,63419000,134297000,8750000,8750000,None,39605000,282671000,None,3562000,0,65672000,176825000,148066000,107493000,0,0,0,0,0,-29970000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,26000000,USD,None,-26920000,-6572000,0,-2187000,-24746000,None,-2570000,28040000,-377000,30941000,None,5815000,0,0,18636000,11390000,-3608000,5129000,None,None,None,21.22,20.42
9,2018-03-30,USD,258029000,231948000,210906000,47123000,26081000,16721000,2452000,0,17812000,0,14711000,None,26081000,0,-2504000,None,None,None,0,0,0,1091000,-8269000,0,16721000,16721000,None,USD,585878000,69526000,None,5260000,350195000,235683000,0,7137000,3000,18783000,13578000,168412000,1776000,63796000,155575000,6563000,6563000,None,36286000,309878000,None,-2255000,0,76199000,181042000,164623000,130383000,0,0,0,0,0,-5000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,27000000,USD,None,8731000,-3668000,0,2627000,-1056000,-2092000,835000,16721000,-5508000,-784000,None,5752000,0,0,-10470000,-26350000,3664000,3668000,None,None,None,24.21,21.22
