,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,104498000,30097000,38695000,65803000,31917000,22251000,22092000,None,25735000,-1660000,11794000,None,31917000,-3789000,9971000,5144000,1342000,-8629000,None,None,None,5144000,2447000,None,20591000,22251000,None,USD,1538765000,447194000,None,62387000,748059000,769419000,None,141528000,713000,1413382000,185010000,None,158641000,670292000,203930000,None,None,370000,11918000,921012000,None,322225000,168953000,19380000,359119000,None,62402000,None,None,713000,None,1413382000,-1379611000,None,158641000,None,617753000,None,359119000,185010000,544129000,None,None,None,734565000,1538765000,839245000,None,30804000,USD,98063000,19919000,88302000,-7593000,None,-10503000,-755000,4499000,20591000,147554000,69755000,188000,25219000,-10762000,1014000,None,None,-2390000,2168000,6228000,None,147554000,56.63,
1,2020-03-31,USD,76210000,25398000,40108000,36102000,4681000,116000,18818000,None,159000,-1777000,12603000,None,4681000,-6023000,10545000,1820000,2877000,-7668000,None,None,None,1820000,3146000,None,-1661000,116000,None,USD,1464730000,425685000,None,69337000,689134000,752649000,None,126298000,713000,1402048000,148478000,None,152957000,515793000,185833000,None,None,-42000,10243000,875845000,None,326964000,265107000,25608000,354823000,None,59535000,None,None,713000,None,1402048000,-1379611000,None,152957000,None,588885000,None,354823000,148478000,503301000,None,None,None,729541000,1464730000,780900000,None,30749000,USD,-86677000,-46886000,-94536000,-6256000,-94909000,-105952000,-725000,-6729000,-1661000,-227373000,-26885000,-7159000,23797000,-10747000,429000,None,None,2360000,1603000,2664000,None,-227373000,44.63,56.63
2,2019-12-31,USD,246401000,188655000,46744000,199657000,54358000,13754000,18832000,None,19936000,-1802000,11289000,29062000,25296000,None,20128000,7984000,3818000,-6832000,None,None,None,7984000,1472000,None,11952000,13754000,None,USD,1612082000,436339000,None,63365000,825801000,761557000,123653000,146654000,712000,1412779000,145513000,22421000,88060000,745491000,305558000,94170000,94170000,-74000,10217000,1016332000,14200000,325218000,179204000,28272000,350588000,None,64734000,None,None,712000,None,1412779000,-1379262000,None,149194000,None,595750000,None,350588000,46002000,520243000,None,None,None,727402000,1612082000,924695000,None,30701000,USD,33217000,4163000,24062000,-7708000,-94909000,-30616000,-52000,-21754000,11952000,10903000,17457000,-32774000,25310000,-10897000,-19667000,None,-4917000,13723000,1447000,-4917000,None,10903000,54.49,44.63
3,2019-09-30,USD,72523000,26174000,34772000,37751000,3774000,2234000,20506000,None,657000,-1399000,13471000,None,3774000,-7803000,10920000,-178000,3684000,-7236000,None,None,None,-178000,4119000,None,835000,2234000,None,USD,1628302000,448957000,None,51545000,825003000,782106000,None,171433000,712000,1409870000,128440000,None,130217000,735886000,334299000,93131000,93131000,-105000,10018000,1022523000,None,333149000,211737000,23355000,346397000,None,69735000,None,None,712000,None,1409870000,-1354262000,None,146804000,None,605779000,None,346397000,144307000,490704000,None,None,None,725891000,1628302000,947623000,None,31133000,USD,88164000,67845000,89681000,1717000,-1075000,-12148000,17897000,8384000,835000,203032000,125499000,-921000,24288000,-10894000,0,None,33828000,-376000,200000,33828000,None,203032000,52.47,54.49
4,2019-06-30,USD,75609000,-58622000,37353000,-37353000,8915000,7743000,17027000,None,11362000,-1365000,12314000,None,8915000,-87963000,9907000,4984000,3592000,-6315000,None,None,None,4984000,8762000,None,6378000,7743000,None,USD,1545066000,438732000,None,52656000,744826000,788898000,121477000,82575000,712000,1418628000,142591000,None,137070000,531698000,242898000,91954000,91954000,-350000,10736000,940998000,None,350166000,299461000,57183000,342417000,None,68369000,None,None,712000,None,1418628000,-1354262000,None,71398000,83202000,604068000,None,342417000,38034000,501928000,None,None,None,724170000,1545066000,831159000,None,31126000,USD,-7887000,-12245000,-18524000,-9359000,160846000,67817000,-85262000,8625000,6378000,26551000,-22742000,-21280000,23609000,-11160000,-14683000,None,-23894000,4690000,1278000,-23894000,None,26551000,64.4,52.47
5,2019-03-31,USD,68631000,-30058000,36071000,-36071000,-150000,-2803000,18495000,None,-6013000,-1411000,14215000,None,-150000,-62768000,9478000,-1799000,-5582000,-5582000,None,None,None,-1799000,-281000,None,-4214000,-2803000,None,USD,1479751000,446716000,None,49579000,654238000,812806000,138567000,84816000,712000,1421884000,174109000,None,132874000,503240000,448153000,302514000,302514000,-1426000,10581000,875946000,None,366090000,289805000,33322000,19061000,None,60823000,None,None,712000,None,1421884000,-1291979000,None,66742000,79766000,603805000,None,19061000,48457000,206085000,None,None,None,683615000,1479751000,793045000,None,32060000,USD,183102000,-52159000,173037000,-8481000,178909000,-114377000,-4097000,-12762000,-4214000,27879000,-30781000,1352000,22596000,-11629000,-98651000,None,1725000,-81000,1584000,1725000,None,27879000,65.98,64.4
6,2018-12-31,USD,75326000,-224581000,38601000,-195600000,-26692000,1830000,20419000,0,-1556000,7816000,12461000,-30537000,3845000,-257461000,-8714000,None,None,None,18000000,0,0,-2416000,-5401000,0,860000,1830000,None,USD,1626558000,454567000,None,518494000,688545000,927025000,157634000,111672000,711000,1426266000,191773000,22421000,96042000,475056000,179395000,None,None,-2471000,10051000,1024250000,17400000,472458000,470724000,35032000,317377000,None,67723000,None,None,711000,None,1426266000,-1182993000,None,60465000,77225000,602308000,None,317377000,34139000,509150000,None,None,None,685512000,1626558000,470724000,None,33529000,USD,88351000,-92935000,72747000,-14910000,178909000,-78960000,-328000,63590000,860000,-36038000,-29825000,61602000,21909000,-11996000,-66636000,None,-5246000,-16015000,694000,-5246000,None,-36038000,66.43,65.98
7,2018-09-30,USD,75079000,-31044000,32077000,-32077000,12920000,21407000,17276000,0,-1033000,-1297000,12806000,None,12920000,-61126000,-9039000,None,None,None,0,0,0,-21143000,-13953000,0,20110000,21407000,None,USD,1788088000,462965000,None,102793000,773039000,1000591000,135465000,134197000,711000,1436171000,165960000,22421000,123933000,508829000,293552000,None,None,-3436000,10278000,1190912000,None,537626000,549521000,29769000,313527000,0,159355000,1015049000,0,711000,0,1436171000,-1115995000,None,63877000,60056000,597176000,None,313527000,30495000,479487000,None,None,None,683140000,1788088000,1058350000,None,34442000,USD,27418000,140105000,-125245000,-152323000,178909000,-44148000,-91000,-59703000,20110000,992000,170385000,-8105000,21549000,-12153000,-31904000,0,53334000,-7723000,340000,53334000,None,992000,80.0,66.43
8,2018-06-30,USD,69555000,32235000,26487000,43068000,15680000,10706000,15829000,0,10833000,-930000,11559000,None,15680000,4847000,-8961000,None,None,None,0,0,0,1057000,-4847000,0,9776000,10706000,None,USD,1619650000,316587000,None,21970000,583426000,1020469000,153296000,76777000,710000,1426888000,163182000,0,91969000,523779000,128297000,291947000,291947000,-3903000,10575000,1200519000,None,703882000,576782000,77988000,291947000,0,51520000,1036224000,0,710000,0,1426888000,-1081660000,None,50219000,41750000,419131000,None,291947000,9886000,455129000,None,None,None,678434000,1619650000,1100561000,None,34808000,USD,120829000,-33626000,110964000,-8722000,None,-11493000,-111000,7183000,9776000,106298000,6827000,6543000,18080000,-12164000,782000,0,-40869000,-1962000,1143000,-40869000,None,106298000,80.9,80.0
9,2018-03-31,USD,87444000,36714000,26916000,60528000,30150000,29925000,16174000,0,23814000,-1196000,14204000,None,30150000,6336000,-9243000,None,None,None,0,0,0,-4915000,-6336000,0,28729000,29925000,None,USD,1626158000,321977000,None,24992000,590426000,1019047000,165966000,75652000,709000,1428437000,175730000,0,85598000,417481000,126190000,288506000,288506000,-4279000,10185000,1208398000,None,697070000,699136000,66789000,288506000,0,50538000,1035732000,0,709000,0,1428437000,-1078512000,None,47664000,37934000,417760000,None,288506000,9764000,464236000,None,None,None,672692000,1626158000,1116617000,None,34746000,USD,19952000,-4839000,11518000,-8035000,None,-26456000,-8277000,-16881000,28729000,-15533000,-595000,-62221000,18079000,-12155000,-6024000,0,24396000,-4739000,399000,24396000,None,-15533000,73.6,80.9
