,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,480604000,454437000,426363000,54241000,36649000,3597000,None,None,8336000,None,28074000,None,26167000,None,16200000,4739000,None,-16200000,None,None,None,4739000,-1631000,None,3597000,2189000,None,USD,783894000,30564000,None,None,867683000,-83789000,None,None,2000,-135342000,10974000,37373000,13640000,59392000,454115000,None,1680000,None,176473000,525844000,None,-169209000,None,211979000,333346000,None,141174000,None,None,None,None,None,None,None,4307000,None,258050000,103430000,None,None,413568000,None,None,None,None,None,None,None,None,USD,-1609000,78502000,-1609000,213000,-7191000,-6627000,None,-11473000,3597000,1311000,9547000,None,12113000,None,None,None,-57280000,7963000,2940000,None,None,None,4.0,
1,2020-03-31,USD,358163000,354606000,325122000,33041000,14343000,-12743000,None,None,-13610000,None,29484000,None,3557000,None,16065000,-867000,-16065000,-16065000,None,None,None,-867000,-1102000,None,-12743000,-13509000,None,USD,696998000,33902000,None,None,785187000,-88189000,None,None,2000,-138939000,8793000,37373000,18717000,58081000,374504000,None,1693000,None,178197000,428809000,None,-176947000,None,154699000,329933000,None,110485000,None,None,None,None,None,-160000,None,4645000,None,268189000,105585000,369959000,None,410683000,None,None,None,33425000,None,58081000,None,21000000,USD,87000,-113141000,87000,599000,-15634000,-15088000,None,-5212000,-12743000,-89178000,-74177000,None,11888000,None,196000,None,48931000,8411000,2231000,None,None,None,2.01,4.0
2,2019-12-31,USD,518970000,488259000,453018000,65952000,39040000,10303000,None,None,11755000,None,35241000,None,30711000,None,15438000,1452000,-15438000,-15438000,None,None,None,1452000,-3518000,None,10303000,9630000,None,USD,824921000,37272000,None,None,916541000,-91620000,None,236389000,2000,-126196000,25595000,37373000,19295000,147259000,486277000,1946000,1946000,None,183919000,547062000,None,-183748000,None,203720000,329042000,None,177783000,None,None,None,None,None,-76000,None,6303000,None,277859000,108438000,387688000,None,430264000,None,None,None,17167000,None,147259000,None,20000000,USD,-976000,125260000,-976000,-817000,-102716000,-30224000,-7508000,1716000,10303000,104085000,135285000,None,11847000,0,159000,None,-23204000,12496000,1165000,None,None,None,3.22,2.01
3,2019-09-30,USD,422022000,400465000,369152000,52870000,38584000,12609000,None,None,12053000,None,31313000,None,21557000,None,13959000,-556000,-13959000,-13959000,None,None,None,-556000,4455000,None,12609000,7603000,None,USD,665827000,40625000,None,None,750167000,-84340000,None,71814000,2000,-137249000,8077000,37373000,20332000,43174000,385227000,31119000,31119000,None,151784000,415712000,None,-197304000,None,168413000,303372000,109540000,126484000,None,None,None,None,None,-76000,None,4485000,None,250114000,73908000,356863000,None,364940000,None,None,None,18018000,None,43174000,None,35000000,USD,-515000,27819000,-515000,215000,-26715000,18020000,-5265000,1415000,12609000,22863000,5358000,None,12572000,0,159000,None,-16067000,-75000,1441000,None,None,None,4.66,3.22
4,2019-06-30,USD,327961000,322417000,296539000,31422000,35600000,6208000,None,None,12320000,None,25878000,None,5544000,None,11496000,6112000,-11496000,-11496000,None,None,None,6112000,18272000,None,6208000,-13545000,None,USD,603804000,43980000,None,None,704046000,-100242000,None,80325000,2000,-149858000,15452000,37373000,19605000,20311000,356411000,31422000,31422000,None,158182000,344664000,None,-216560000,None,167734000,278094000,75591000,108221000,None,None,None,None,None,-76000,None,4314000,None,259140000,77750000,336383000,4247000,347635000,None,None,None,14725000,None,20311000,None,22000000,USD,4164000,72106000,4164000,-94000,-49013000,-8486000,-9473000,-4204000,6208000,-27606000,-23284000,None,11784000,None,159000,None,-84395000,-10210000,2250000,None,None,None,2.04,4.66
5,2019-03-31,USD,189781000,211791000,184037000,5744000,-9134000,-23639000,None,None,-32547000,None,27754000,None,-22010000,None,10367000,-8908000,-10367000,-10367000,None,None,None,-8629000,-170000,None,-22889000,-24163000,None,USD,548986000,47334000,None,None,664660000,-115674000,None,85269000,2000,-156066000,29974000,37373000,25638000,47917000,283727000,32435000,32435000,None,170893000,267748000,None,-235346000,None,143982000,290803000,59526000,77578000,None,None,None,None,None,-76000,None,4235000,None,281238000,83580000,350959000,23082000,380933000,None,None,None,5501000,None,47917000,None,22000000,USD,-2063000,-87028000,-2063000,-155000,13303000,16216000,27097000,-3149000,-22889000,-23394000,-37547000,None,12017000,None,159000,None,81354000,-6686000,1908000,None,None,None,5.24,2.04
6,2018-12-31,USD,275856000,307592000,285052000,-9196000,-31736000,10985000,0,0,-490000,0,22540000,None,-31736000,0,-8120000,None,None,None,0,0,0,-11475000,31246000,0,10985000,-35831000,None,USD,639228000,50874000,None,None,735441000,-131178000,None,123923000,2000,-135931000,29239000,40257000,15257000,71311000,364563000,32580000,32580000,None,176178000,356662000,None,-222309000,None,272487000,295727000,47121000,158075000,None,None,None,None,None,None,None,None,None,None,None,341639000,None,None,None,None,None,4751000,None,71311000,None,22000000,USD,None,-30348000,-60694000,552000,95501000,81011000,-13966000,-634000,10985000,35700000,15383000,None,10108000,-524000,None,None,79594000,-55286000,1785000,None,None,None,8.19,5.24
7,2018-09-30,USD,279279000,262335000,252271000,27008000,16944000,5736000,0,0,6606000,0,10064000,None,16944000,0,-1579000,None,None,None,0,0,0,870000,-10338000,0,5736000,5212000,None,USD,485886000,34865000,None,4209000,598407000,-147486000,0,40989000,2000,-147988000,75419000,26701000,7955000,35611000,282303000,4416000,4416000,None,104060000,312305000,None,-209052000,0,272485000,220613000,74155000,227406000,0,0,0,34965000,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,25000000,USD,None,81299000,-107545000,-92000,126420000,115889000,-10531000,-36000,5736000,11818000,3474000,None,2614000,-524000,0,0,-87561000,1244000,897000,None,None,None,10.5,8.19
8,2018-06-30,USD,174073000,165172000,157274000,16799000,8901000,4915000,0,0,6093000,0,7898000,None,8901000,0,-1530000,None,None,None,0,0,0,1178000,-2808000,0,4915000,4367000,None,USD,180208000,3020000,None,2361000,298441000,-153198000,0,22112000,2000,-153200000,74636000,3020000,8832000,23793000,157822000,3360000,3360000,None,31244000,137112000,None,-156218000,0,110958000,51835000,44712000,125826000,0,0,0,34965000,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,25000000,USD,None,62496000,-1462000,-39000,-4318000,-7709000,-2843000,-852000,4915000,4145000,13316000,None,2005000,-548000,0,0,-55987000,560000,1440000,None,None,None,9.31,10.5
9,2018-03-31,USD,50135000,62580000,53220000,-3085000,-12445000,-17392000,0,0,-20907000,0,9360000,None,-12445000,0,-851000,None,None,None,0,0,0,-3515000,-8462000,0,-17392000,-17392000,None,USD,118182000,3020000,None,1508000,237938000,-154721000,0,32996000,2000,-154723000,74558000,3020000,9964000,19648000,94928000,3360000,3360000,None,29071000,76127000,None,-157741000,0,54971000,54651000,14928000,53088000,0,0,0,34965000,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,22000000,USD,None,7783000,-133000,-25000,25176000,59000,-25117000,-601000,-17392000,14771000,14845000,None,1972000,-548000,0,3685000,24623000,-1540000,108000,None,None,None,8.8375,9.31
