,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,2709000000,301000000,1242000000,2709000000,2408000000,299000000,None,None,992000000,565000000,291000000,None,2408000000,None,174000000,128000000,26000000,-148000000,None,10000000,None,128000000,1212000000,None,864000000,305000000,-6000000,USD,24706000000,409000000,None,None,14441000000,10265000000,630000000,None,4774000000,None,670000000,283000000,723000000,2771000000,11850000000,8162000000,None,10265000000,4354000000,4765000000,9498000000,9573000000,9498000000,430000000,142000000,1564000000,3688000000,None,None,None,None,None,None,None,5397000000,None,19941000000,None,142000000,1819000000,2591000000,None,None,None,None,24706000000,2771000000,None,None,USD,-182000000,0,-182000000,-120000000,-80000000,-539000000,-4000000,1008000000,864000000,-486000000,235000000,2355000000,132000000,-474000000,19000000,None,None,-3116000000,62000000,None,None,-486000000,48.49,
1,2020-03-31,USD,-60000000,2255000000,1945000000,-60000000,-2315000000,-1384000000,None,None,-2486000000,-922000000,308000000,None,-2315000000,1945000000,171000000,-180000000,64000000,-107000000,None,2000000,None,-180000000,-2147000000,None,-2306000000,-1412000000,28000000,USD,24306000000,420000000,None,None,14889000000,9417000000,533000000,None,4484000000,None,574000000,281000000,756000000,3257000000,13816000000,8227000000,None,9417000000,4416000000,5312000000,8197000000,8716000000,8197000000,472000000,81000000,1583000000,5589000000,None,None,None,None,None,None,None,5680000000,None,18994000000,None,81000000,459000000,1073000000,None,None,None,None,24306000000,3257000000,None,214000000,USD,-254000000,0,-324000000,-17000000,36000000,7000000,-14000000,-3901000000,-2306000000,-1690000000,-1373000000,-5160000000,121000000,-23000000,8000000,None,None,5972000000,53000000,None,2000000,-1688000000,48.42,48.49
2,2019-12-31,USD,2621000000,2576000000,2223000000,2621000000,45000000,-157000000,None,None,-117000000,4674000000,81000000,None,45000000,2491000000,162000000,32000000,73000000,-89000000,-8000000,4000000,None,32000000,33000000,-8000000,-149000000,-160000000,3000000,USD,24639000000,431000000,None,1333000000,13697000000,10942000000,639000000,2475000000,6268000000,None,782000000,282000000,546000000,4945000000,10644000000,8192000000,None,10942000000,4541000000,8090000000,9945000000,10229000000,9945000000,1333000000,1224000000,1812000000,2452000000,None,None,None,None,None,None,None,1350000000,None,16549000000,None,1224000000,1190000000,3053000000,None,None,None,None,24639000000,4945000000,None,200000000,USD,-45000000,125000000,-45000000,10000000,745000000,703000000,-4000000,685000000,-157000000,1066000000,408000000,-476000000,130000000,-58000000,20000000,-20000000,-33000000,839000000,55000000,-33000000,None,1066000000,61.5,48.42
3,2019-09-30,USD,2320000000,2566000000,2210000000,2320000000,-246000000,-49000000,None,None,-399000000,-324000000,352000000,None,-246000000,2210000000,153000000,-26000000,69000000,-84000000,None,4000000,None,-26000000,-407000000,-8000000,-373000000,-50000000,1000000,USD,23257000000,449000000,None,762000000,12109000000,11148000000,625000000,798000000,6441000000,None,667000000,281000000,676000000,3879000000,10800000000,7449000000,None,11148000000,4592000000,7038000000,9437000000,10418000000,9437000000,1342000000,461000000,1817000000,3351000000,None,None,None,None,None,None,None,1460000000,None,16219000000,None,461000000,223000000,1309000000,None,None,None,None,23257000000,3879000000,None,202000000,USD,-5000000,0,384000000,452000000,-1221000000,-1108000000,-70000000,-318000000,-373000000,-780000000,-56000000,-318000000,129000000,-62000000,245000000,-20000000,-33000000,506000000,63000000,None,None,-780000000,64.2,61.5
4,2019-06-30,USD,2196000000,2610000000,2266000000,2196000000,-414000000,-498000000,None,None,-565000000,-99000000,476000000,None,-414000000,2129000000,151000000,8000000,58000000,-93000000,-24000000,5000000,None,8000000,-627000000,-24000000,-573000000,-508000000,10000000,USD,24348000000,465000000,None,1279000000,12902000000,5691000000,675000000,164000000,6498000000,None,717000000,277000000,538000000,4672000000,11015000000,8658000000,None,5691000000,4630000000,8311000000,8858000000,4949000000,8858000000,1788000000,902000000,1851000000,2357000000,None,None,None,None,None,None,None,1807000000,None,16037000000,None,902000000,310000000,1887000000,None,None,None,None,24348000000,4672000000,None,196000000,USD,14000000,0,-67000000,-14000000,1248000000,1243000000,66000000,12000000,-597000000,-348000000,-1524000000,12000000,137000000,-111000000,40000000,-20000000,-33000000,-1076000000,67000000,None,-1000000,-349000000,72.41,64.2
5,2019-03-31,USD,1855000000,2374000000,1900000000,1855000000,-519000000,-394000000,None,None,-658000000,-270000000,467000000,None,-519000000,1900000000,139000000,6000000,-73000000,-75000000,None,7000000,None,6000000,-678000000,-24000000,-664000000,-402000000,8000000,USD,23824000000,464000000,None,2690000000,12172000000,5839000000,685000000,136000000,6643000000,None,685000000,255000000,364000000,5063000000,10182000000,7392000000,None,5839000000,4682000000,8656000000,8103000000,5120000000,8103000000,1741000000,722000000,1852000000,2790000000,None,None,None,None,None,None,None,1664000000,None,15168000000,None,722000000,583000000,1990000000,None,None,None,None,23824000000,5063000000,None,191000000,USD,399000000,0,314000000,-20000000,-2000000,-272000000,1000000,1138000000,-664000000,-246000000,-288000000,1138000000,123000000,-30000000,-271000000,-20000000,-33000000,-885000000,65000000,None,-1000000,-247000000,72.5,72.41
6,2018-12-31,USD,69000000,9010000000,1979000000,8841000000,-169000000,935000000,0,0,-241000000,247000000,-23000000,None,-169000000,8947000000,72000000,None,None,None,1376000000,86000000,0,135000000,-185000000,1446000000,-376000000,368000000,567000000,USD,23396000000,501000000,None,3539000000,10491000000,6529000000,676000000,761000000,7319000000,None,864000000,247000000,496000000,5338000000,9199000000,7326000000,None,6529000000,4703000000,8255000000,8337000000,5781000000,None,1138000000,36000000,1779000000,1873000000,None,None,None,None,None,None,None,1353000000,None,15141000000,None,36000000,580000000,1292000000,None,None,None,None,23396000000,5338000000,None,180000000,USD,399000000,-145000000,3057000000,3053000000,-16000000,-74000000,1000000,-977000000,1182000000,3572000000,589000000,346000000,58000000,-24000000,-35000000,-86000000,45000000,-811000000,4000000,45000000,-6000000,3566000000,57.08,72.5
7,2018-09-30,USD,2685000000,530000000,2406000000,279000000,-251000000,126000000,0,0,-381000000,-273000000,513000000,None,-251000000,-10000000,130000000,None,None,None,0,17000000,0,-71000000,-87000000,163000000,-310000000,128000000,-2000000,USD,30975000000,513000000,None,9734000000,18639000000,5612000000,787000000,7867000000,5837000000,0,863000000,336000000,829000000,1854000000,10244000000,7907000000,None,5612000000,6179000000,4853000000,9332000000,4763000000,801000000,1038000000,985000000,1961000000,2337000000,12336000000,0,0,0,0,0,None,9762000000,None,26122000000,None,985000000,6623000000,8395000000,None,None,None,None,30975000000,1854000000,None,183000000,USD,399000000,0,-72000000,60000000,-23000000,-134000000,-46000000,537000000,-147000000,606000000,812000000,537000000,127000000,-25000000,-40000000,-86000000,45000000,295000000,132000000,None,None,606000000,70.72,57.08
8,2018-06-30,USD,3578000000,522000000,2510000000,1068000000,546000000,309000000,0,0,421000000,279000000,514000000,None,546000000,-10000000,125000000,None,None,None,0,8000000,0,-12000000,148000000,155000000,433000000,315000000,-6000000,USD,30190000000,521000000,None,9246000000,17742000000,5416000000,896000000,7051000000,5645000000,0,896000000,336000000,1286000000,1225000000,9893000000,7900000000,7880000000,5416000000,6253000000,4192000000,8706000000,4559000000,350000000,1016000000,460000000,1951000000,1993000000,12448000000,0,0,0,0,0,None,10182000000,None,25998000000,None,460000000,6513000000,7869000000,None,None,None,None,30190000000,1225000000,None,178000000,USD,399000000,0,-193000000,-269000000,-13000000,-169000000,-75000000,537000000,588000000,-253000000,109000000,-297000000,10000000,-48000000,-33000000,-86000000,45000000,-192000000,76000000,None,2000000,-251000000,71.06,70.72
9,2018-03-31,USD,5445000000,913000000,3856000000,1589000000,676000000,137000000,0,0,479000000,286000000,911000000,None,676000000,8000000,197000000,None,None,None,0,2000000,0,-56000000,-148000000,35000000,535000000,140000000,-3000000,USD,30498000000,1111000000,None,668000000,18743000000,4945000000,962000000,1393000000,5182000000,0,2123000000,1280000000,1445000000,1893000000,15349000000,11208000000,11208000000,4945000000,9733000000,8540000000,8364000000,2554000000,643000000,3150000000,972000000,3497000000,4141000000,11755000000,0,0,0,0,0,None,1470000000,None,21958000000,None,972000000,1460000000,3394000000,None,None,None,None,30498000000,1893000000,None,175000000,USD,17000000,0,-202000000,18000000,-26000000,225000000,282000000,-772000000,423000000,-572000000,-595000000,-794000000,252000000,-31000000,-31000000,-86000000,45000000,-476000000,220000000,None,-3000000,-575000000,57.04,71.06
