,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,EUR,0,9584339.0,None,None,-9412719.0,-10032832.0,7356326.0,None,-10032832.0,None,2326895.0,None,-9584339.0,-98882.0,None,None,348321,145210,None,None,None,None,-593703.0,None,-10032832.0,-10032832.0,None,EUR,103870268,404251,None,98374,12747010,91123258.0,None,None,3152427,-152628234,37644,None,419424,36398578,12505730,None,None,29115309,1210248,101563718,272627,90719007.0,62191912,None,None,None,10630462,None,None,None,None,None,None,None,None,None,2306550,727670,None,37644,241280,None,None,None,None,None,None,None,None,EUR,22988626.0,139524.0,22988626.0,1,-95631,401315.0,None,1017147.0,-10032832.0,15688524.0,-7701416.0,None,171620.0,None,None,None,None,1003125.0,7421.0,None,None,None,4.59,
1,2020-03-31,EUR,0,9774362.0,None,None,-9592006.0,-8233397.0,7298799.0,None,-8233396.0,None,2564803.0,None,-9774362.0,-89240.0,None,None,401435,399288,None,None,None,None,1141678.0,None,-8233397.0,-8233397.0,None,EUR,113521671,430368,None,289494,11993494,101528177.0,None,2,3132631,-142514552,39147,None,445403,21083608,11708869,None,None,29984342,1289391,111083791,272718,101097809.0,86680961,None,39150,None,10490938,None,None,None,None,None,None,None,2437880,None,2437880,758852,284630,39147,284625,None,None,None,211006610,None,107764570,None,26000000,EUR,-2715769.0,-1922724.0,-2715769.0,1,-88339,-88339.0,None,-238097.0,-8233397.0,-13324927.0,-10520819.0,None,182356.0,None,None,None,None,-308957.0,27686.0,None,None,None,3.82,4.59
2,2019-12-31,EUR,0,13841429.0,None,None,-13664085.0,-13644660.0,10984118.0,None,-13644659.0,None,3061968.0,None,-13841429.0,-204657.0,None,None,534899,532456,None,None,None,None,-335686.0,None,-13644660.0,-13644660.0,None,EUR,121576558,452400,None,1334057,14429885,107146672.0,None,None,3132631,-134362006,39012,None,452216,33131280,14060128,None,None,27369442,1413297,118986031,272614,106694273.0,82353867,None,None,None,12413662,None,None,None,None,None,None,None,2590528,None,2590528,845948,None,-1,369757,None,None,None,None,None,None,None,26000000,EUR,23187747.0,-4125080.0,23187747.0,1,-86844,-86844.0,None,-886191.0,-13644660.0,6121472.0,-16208561.0,None,177344.0,None,1680,None,None,2270025.0,594890.0,None,None,None,3.96,3.82
3,2019-09-30,EUR,0,15770170.0,0,0,-15592348.0,-14501446.0,13405646.0,0,-14501445.0,0,2490245.0,0,-15770170.0,-125721.0,-10666.43,None,436174,431665,0,0,0,0,837060.0,0,-14501446.0,-14501446.0,0,EUR,141523781,470995,None,118868,18368714,123155067.0,0,0,3132631,-120717345,51441,0,528329,27009808,17753280,0,0,29733175,1583254,138668459,272744,122684072.0,109365112,2219558.72,0,0,16530937,0,0,0,0,0,0,0,2855322,0,2855322,904741,563990,8043,615434,0,0,0,211006610,0,27009810,0,26000000,EUR,-19979193.0,4332875.0,-19979193.0,-1,-84176,-82500.0,0,894344.0,-14501446.0,-27053432.0,-8265930.0,0,177822.0,0,1680,0,0,830186.0,118265.0,0,0,0,2.47,3.96
4,2019-06-30,EUR,0,16221000.0,0,0,-16030000.0,-15271000.0,12497000.0,0,-15271000.0,0,3648000.0,0,-16221000.0,76000.0,-1300182.62,None,1067000,1059000,0,0,0,0,-109000.0,0,-15271000.0,-15271000.0,0,EUR,144919000,453000,None,117000,14052000,130868000.0,0,0,3116000,-106216000,51000,0,-1000,54063000,13354000,0,0,22945000,1643000,142534000,290000,130414000.0,84818000,3568800.24,0,0,12184000,0,0,0,0,0,0,0,-1000,0,2385000,986000,0,9000,698000,0,0,0,0,0,0,0,26000000,EUR,17395000.0,5162000.0,17395000.0,-1,-70000,-70000.0,0,-1888000.0,-15271000.0,6900000.0,-10232000.0,0,191000.0,0,0,0,0,1574000.0,250000.0,0,0,0,3.16,2.47
5,2019-03-31,EUR,0,10935000.0,0,0,-10818000.0,-9838000.0,7695000.0,0,-9838000.0,0,3301000.0,0,-10935000.0,-60950.0,-25142.88,None,1097000,795000,0,0,0,0,302000.0,0,-9838000.0,-9838000.0,0,EUR,154958000,325000,None,942000,8990000,145969000.0,0,0,3116000,-90945000,67000,0,1000,47163000,8463000,0,685143.94,22775000,1398000,153019000,215000,145643000.0,103686000,0,1445716.54,0,7022000,0,0,0,0,0,0,0,1000,0,1939000,678000,1289290.01,10000,527000,0,0,0,591453386.41,0,132188663.06,0,26000000,EUR,-262000.0,364158.0,-262000.0,-8000,-54781,-55000.0,0,-458018.0,-9838000.0,-8223000.0,-8498000.0,0,117000.0,0,0,0,0,1316765.0,254000.0,0,0,0,37.79,3.16
6,2018-12-31,EUR,0,48739936.55,0,0,-48739936.55,-40522637.97,35775215.99,0,-40522637.97,0,14143690.04,0,-48739936.55,-299000.0,-31544.35,None,None,None,0,0,0,0,8217298.61,0,-40522637.97,-10277000.0,0,EUR,627787416.88,879298.26,None,2137128.53,30846413.97,596941002.84,0,999999999999999999.99,3116000,-81107000,68000,0,0,218389299.15,30578287.18,0,0,18360000,625000,623627508.02,816209.58,151168000.0,398972715.89,0,0,0,26248827.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000000,EUR,24565148.8,2503000.0,5960000.0,-2000,-55000,3943.04,1000,613000.0,-40522637.97,-3797149.0,-8477000.0,0,276012.93,0,183712643.75,0,0,-1386000.0,1056735.13,0,0,0,36.37,37.79
7,2018-09-30,EUR,0,17660180.01,0,0,-17660180.01,-14085724.62,11334704.02,0,-14085724.62,0,6325475.99,0,-17660180.01,-621734.82,-16635.03,None,None,None,0,0,0,0,3574455.36,0,-14085724.62,-14085724.62,0,USD,190588099.10,52095.39,None,192174.11,7025931.93,183562167.17,0,5348460.29,3602685.81,-81998147.72,76406.58,0,19987627745955000,65233850.43,6949525.35,0,0,261957629.08,696920.58,129836767.77,60002315.35,183510071.78,63603843.48,0,0,0,1601065.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26000000,EUR,-201367223.63,4447795.23,-201731115.25,4158.76,-114365.94,939880.08,2079.39,-1443090.19,-14085724.62,-207355839.93,-8498428.78,0,112286.55,0,95992660.86,0,0,2470304.24,368050.36,0,0,0,34.32,36.37
8,2018-06-30,USD,0,92871326.76,0,0,-9534450.65,-2843342.64,5855446.93,0,-2843342.64,0,3679003.72,0,-9534450.65,-347998.14,-9310.99,None,None,None,0,0,0,0,6691108.01,0,-2843342.64,-2843342.64,0,USD,192731610.80,54702.05,None,185055.87,4444832.40,188286778.4,0,1776070.76,3584729.98,-74553072.63,77979.52,0,1163.87,181644553.07,4366852.89,0,0,259255121.04,556331.47,192074022.35,45391.06,188232076.35,9330772.81,0,0,0,2590782.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24000000,USD,-9307495.34,-1043994.41,-9621741.15,-2327.75,-64013.04,57249767.23,-4425046.55,-365456.24,-2843342.64,47519785.85,-6281424.58,0,32588.45,0,0,0,0,-2075186.22,311918.06,0,0,0,32.25,34.32
9,2018-03-31,USD,0,10430557.26,0,0,-10430557.26,-12711280.6,6733915.61,0,-12711280.6,0,3696641.65,None,-10430557.26,-367818.92,39365.24,None,None,None,0,0,0,0,-2280723.34,0,-12711280.6,-12711280.6,None,USD,142985607.09,47976.38,None,68889.16,5165457.01,137820150.08,0,1291671.79,3515807.60,-75808832.57,19682.62,0,143929.14,141764054.62,5145774.39,0,0,210113175.05,301390.08,142567351.46,68889.16,137772173.7,0,297699.59,0,0,3854102.60,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,26000000,USD,-44285.89,-1920285.4,-158691.11,-2460.33,0,60510517.9,-4677082.05,52897.04,-12711280.6,-9892975.77,-7074670.93,None,27063.6,0,0,0,0,7476934.43,114405.22,None,None,None,28.84,32.25
