,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2019-12-31,USD,None,None,None,None,None,None,None,None,None,1805552.0,None,None,None,7816.0,None,None,None,None,None,None,None,110980.0,None,None,None,-2719154,None,AUD,19946276,13562139,None,682119,19867253,-1726529,3611336.0,None,18902029,-25786912,1372653.0,0,3611336.0,735724,17992861,None,14684671,5158354.0,1154890,5229247,None,-11677332.0,None,892488,None,749173,109746,None,None,None,None,None,None,None,None,None,14717029,1168607,None,None,1874392,None,None,None,None,None,None,None,None,USD,None,928983.0,-78182,None,-55583.0,None,1305046,-416286.0,None,None,-882073,None,None,None,None,None,None,328635.0,0,None,None,None,9.18,
1,2019-09-30,USD,None,None,None,None,None,None,None,None,None,1805552.0,None,None,None,7816.0,None,None,None,None,None,None,None,110980.0,None,None,None,-2719154,None,USD,None,None,None,None,None,None,3611336.0,None,18902029,-25786912,1372653.0,None,3611336.0,None,None,None,None,5158354.0,1154890,None,None,-11677332.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,928983.0,-78182,None,-55583.0,None,1305046,-416286.0,None,None,-882073,None,None,None,None,None,None,328635.0,0,None,None,None,6.835,9.18
2,2019-06-30,USD,169726,3058158,1121306,-951580,-2888432,-5103920,None,None,-5438292,2256856.0,1103501,None,-2888432,-14714.0,-351913,None,None,None,None,None,None,-52319.0,-2549861,None,-5385973,-5103920,None,AUD,21954316,14382697,None,878270,15932969,3764491,3472781.0,126868,18902029,-20884553,1146661.0,0,3472781.0,142381,12870679,5709554,12003583,5747015.0,3142064,4429555,None,-7145425.0,None,1015007,None,1870236,142410,None,None,None,None,None,None,None,1502871,None,17524761,1934656,None,None,3062290,None,None,None,None,None,None,None,None,USD,None,9224.0,-836127,None,2042094.0,2042094,1305046,235448.0,-5103920,-680266,-1891699,None,373336,None,None,-231266,109000,2241750.0,596737,None,None,None,8.675,6.835
3,2019-03-31,USD,169726,3058158,1121306,-951580,-2888432,-5103920,None,None,-5438292,2256856.0,1103501,None,-2888432,-14714.0,-351913,None,None,None,None,None,None,-52319.0,-2549861,None,-5385973,-5103920,None,USD,21954316,10909916,None,878270,15932969,3764491,3472781.0,748804,18902029,-20884553,1146661.0,None,3472781.0,142381,12870679,3915947,3915947,5747015.0,3142064,4429555,None,-7145425.0,None,979176,None,1870236,142410,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,9224.0,-836127,None,2042094.0,2042094,1305046,235448.0,-5103920,-680266,-1891699,None,373336,None,None,-231266,109000,2241750.0,596737,None,None,None,12.99,8.675
4,2018-12-31,USD,61219,2914539,778255,-717036,-2853320,-6745948,0,0,-7350694,2807963.0,1474404,0,-2853320,99936.0,-397109,None,None,None,0,0,0,-164496.0,-4497374,0,-7186199,-6745948,0,USD,26033074,11854874,None,1434523,9411323,13813788,2980113.0,483966,18902029,-10676713,1370909.0,4468293,2980113.0,1514215,4720501,0,0,5588472.0,729480,6000314,0,-2509379.0,0,1225124,3280744,1394065,24275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USD,0,181797.0,-1166137,0,206241.0,3236230,3975714,-77327.0,-6745948,-69206,-2167463,0,182955,0,0,-186689,-166445,4265203.0,416162,0,0,0,6.46,12.99
5,2018-09-30,USD,61219,2914539,778255,-717036,-2853320,-6745948,0,0,-7350694,2807963.0,1474404,0,-2853320,99936.0,-397109,None,None,None,0,0,0,-164496.0,-4497374,0,-7186199,-6745948,0,USD,26033074,11854874,None,1434523,9411323,13813788,2980113.0,483966,18902029,-10676713,1370909.0,4468293,2980113.0,1514215,4720501,0,0,5588472.0,729480,6000314,0,-2509379.0,0,1225124,3280744,1394065,24275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USD,0,181797.0,-1166137,0,206241.0,3236230,3975714,-77327.0,-6745948,-69206,-2167463,0,182955,0,0,-186689,-166445,4265203.0,416162,0,0,0,9.0,6.46
6,2018-06-30,USD,600984,1671105,710306,-109322,-1070121,-1235191,0,0,-1324446,-56960.0,257931,0,-1070121,250126.0,-294591,None,None,None,0,0,0,-89033.0,-254325,0,-1235413,-1235191,0,USD,37346765,8689126,None,1446447,21397018,16006707,5140418.0,2195032,10410279,2815183,1396759.0,13703261,5140418.0,1510406,17158485,0,0,2781245.0,433082,9380878,0,-6385680.0,0,4683176,2795936,1621205,65861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USD,0,62448.0,-493747,0,137336.0,1083061,3975714,-125733.0,-1235191,-655978,-1261754,0,118369,0,0,110747,-596881,70115.0,2957,0,0,0,17.36,9.0
7,2018-03-31,USD,600984,1671105,710306,-109322,-1070121,-1235191,0,0,-1324446,-56960.0,257931,0,-1070121,250126.0,-294591,None,None,None,0,0,0,-89033.0,-254325,0,-1235413,-1235191,0,USD,37346765,8689126,None,1446447,21397018,16006707,5140418.0,2195032,10410279,2815183,1396759.0,13703261,5140418.0,1510406,17158485,0,0,2781245.0,433082,9380878,0,-6385680.0,0,4683176,2795936,1621205,65861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USD,0,62448.0,-493747,0,137336.0,1083061,3975714,-125733.0,-1235191,-655978,-1261754,0,118369,0,0,110747,-596881,70115.0,2957,0,0,0,3.19,17.36
8,2017-12-31,AUD,1477190,877349.50,1040590,436600,-526691.51,394780,0,0,131310,-25600.08,1251690,0,-2435310,110738.61,-8403.42,-260470,-35350,None,0,0,0,-61911.11,557901.63,0,93121.23,394780,0,AUD,35859450,26079760,None,1190300,20415260,15444190,1914599.3,617921.64,10410280,5033910,7937568.34,6209209.12,1914599.3,2860010,3720240,1609390,872029.44,-119635.48,581320,9198370,0,-3141418.31,0,3379830,0,1768230,30158.57,0,0,0,0,0,0,0,0,0,0,0,51820,0,0,0,0,0,0,0,2860010,0,0,AUD,0,-19774.21,-2189990,0,-678344.31,-1579550,-2003280,15900.76,1505450,1033110,4864310,0,2021130,0,0,132177.62,1187328.12,-628470.49,2189990,0,0,0,5.63,3.19
9,2017-09-30,USD,737627,1845547,970436,-232809,-1107921,197389,0,0,65653,-53851.0,175707,None,-1107921,232944.0,-17677,None,None,None,0,0,0,-130233.0,1173573,0,195885,197389,None,USD,35859449,8990939,None,1079598,20469115,15444185,4027452.0,1299828,10410279,5285565,16697058.0,13061371,4027452.0,2860014,3720238,1834356,1834356,-251659.0,581317,9198370,None,-6608125.0,None,3383711,None,1768232,63440,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,-41596.0,-558822,None,-1426930.0,-1426930,None,33448.0,197389,175382,2109327,None,145665,None,None,278042,2497602,-1322018.0,6834,None,None,None,7.5,5.63
