,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,5953689,2150227,2559016,3394673,1268474,1259858,870805,None,1268474,None,1279422,24028,1244446,-5953689,None,8616,7767,7767,None,None,None,8616,16261,None,1259858,1259858,None,USD,41096978,44400,None,1107723,2694141,38402837,129689,106341,19081,7596458,129689,None,94675,22984249,2562211,None,None,None,8225732,32665970,None,38402837,None,3864656,None,4709342,2455870,None,None,19081,None,7596458,-21368537,None,205276,None,8431008,66201,None,2241,131930,None,None,None,52155835,41096978,22984249,None,None,USD,-35204,-59011,-35204,None,None,0,None,289123,1259858,340212,375416,146128,96396,None,None,111720,-1179675,None,35204,-1179675,None,340212,5.0,
1,2020-03-31,USD,4835065,2243408,2539894,2295171,128703,438105,712019,None,128703,None,1531389,76940,51763,-4835065,None,-309402,65721,65721,None,None,None,-309402,11219,None,438105,438105,None,USD,39908261,44400,None,1244645,2765282,37142979,129689,97136,19081,6336600,129689,None,98742,22644037,2629956,None,None,None,8282858,31394725,None,37142979,None,2684981,None,4821062,2532820,None,None,19081,None,6336600,-21368537,None,230678,None,8513536,87536,None,5637,135326,None,None,None,52155835,39908261,22644037,None,17000000,USD,-14991,145371,-14991,None,None,8822,None,-296254,438105,485281,491450,-496244,101019,None,8822,-148599,291768,160030,14991,291768,None,485281,3.19,5.0
2,2019-12-31,USD,4511428,2369889,1909781,2601647,327908,327908,666615,None,327908,None,1703274,96150,231758,-4511428,None,0,78870,78870,None,None,None,None,17280,None,327908,327908,None,USD,39115285,44400,None,686614,2579225,36536060,129651,33586,19006,5898495,129651,None,102151,22158756,2425267,None,None,None,8365477,30494582,None,36536060,None,2976749,None,4672463,2391681,None,None,19006,None,5898495,-21368537,None,255226,None,8620703,108675,None,24307,153958,None,None,None,51987096,39115285,22158756,None,17000000,USD,-17429,117321,-17429,None,None,None,None,176649,327908,-258074,-240645,39972,104135,None,None,-201769,-628212,160030,17429,-628212,None,-258074,5.84,3.19
3,2019-09-30,USD,4801988,1986221,1942734,2859254,991128,997117,522427,None,991128,None,1463794,118095,873033,-17572589,None,-5989,101672,101672,None,None,None,-5989,16423,None,997117,997117,None,USD,38557025,49200,None,722231,2348873,36208152,129651,29231,19006,5570587,129651,None,104841,22416830,2219222,None,None,None,8444692,29958292,None,36208152,None,2348537,None,4470694,2189991,None,None,19006,None,5570587,-21368537,None,154041,None,8598733,None,None,None,129651,None,None,None,51987096,38557025,22416830,None,17000000,USD,-5696,-8526,-5696,None,None,None,None,-333011,997117,-146581,-140885,-276305,108919,None,None,-124238,-906710,68858,5696,-906710,None,-146581,4.7,5.84
4,2019-06-30,USD,4589824,2138578,2064617,2525207,511259,511259,722525,None,511259,None,1416053,124630,386629,None,None,0,99916,99916,None,None,None,None,24714,None,511259,511259,None,USD,37759389,54000,None,607012,2548354,35211035,129627,183011,19006,4573470,129627,None,106157,22563411,2418727,None,None,None,8541798,29057434,None,35211035,None,1441827,None,4445184,2235716,None,None,19006,None,4573470,-21368537,None,160157,None,8701955,None,None,None,129627,None,None,None,51987096,37759389,22563411,None,17000000,USD,-3390,-209307,-3390,None,None,None,None,-61560,511259,1322215,1325605,-388109,107513,None,None,125628,1178621,68858,3390,1178621,None,1322215,5.1,4.7
5,2019-03-31,USD,4203127,2173139,1856921,2346206,210293,202499,648482,None,210293,None,1524657,37226,173067,None,None,7790,26480,26480,None,None,None,7794,10746,None,202499,202499,None,USD,37800326,56400,None,561791,3100550,34699776,129627,525899,19006,4062211,129627,None,109150,21241196,2970923,None,None,None,8640532,28994247,None,34699776,None,2620448,None,4570812,2445024,None,None,19006,None,4062211,-21368537,None,165547,None,8806079,None,None,None,129627,None,None,None,51987096,37800326,21241196,None,17000000,USD,-32420,-350112,-32420,None,None,None,None,-229842,202499,899578,931998,433650,118768,None,None,-274824,598621,203396,32420,598621,None,899578,3.01,5.1
6,2018-12-31,USD,3977650,2069788,1811847,2165803,139421,139421,596372,None,139421,None,1473416,43406,96015,None,0,None,None,None,None,None,None,0,43406,None,139421,139421,None,USD,37379433,61400,None,630331,3085542,34293891,129617,166517,18937,3859712,129617,None,111778,20341618,2955925,None,None,None,8719249,28487006,None,34293891,None,3219069,None,4295988,2789408,None,None,18937,None,3859712,-21368537,None,173178,None,8892427,None,None,None,129617,None,None,None,51783779,37379433,20341618,None,17000000,USD,None,-203405,-39775,None,None,None,None,201048,139421,-49095,-9320,-276381,116078,None,None,-15880,230824,23,39775,230824,None,-49095,2.26,3.01
7,2018-09-30,USD,3687023,2260433,1829328,1816193,-412647,-414378,592187,0,-412647,0,6674187,31593,-444240,0,0,None,None,None,0,0,0,1731,31592,0,-414378,-414378,None,USD,37633678,68600,None,544234,3479208,34154470,129594,356801,18937,3720291,129594,0,113393,20390713,3349614,None,None,None,8786737,28664948,None,34154470,0,3449893,0,4280108,2992813,0,0,18937,0,3720291,-21368537,None,181993,None,8968730,None,None,None,129594,None,None,None,51783779,37633678,20390713,None,17000000,USD,None,-27836,-13413,0,None,0,None,-373924,-414378,-488699,-475286,-1337501,119353,0,0,405544,-629185,6,13413,-886106,None,-488699,2.54,2.26
8,2018-06-30,USD,3389663,2654911,1806980,1582683,-1040936,-1041037,1028271,0,-1040936,0,1626640,31292,-1072228,1626640,0,None,None,None,0,0,0,101,31292,0,-1041037,-1041037,None,USD,38334816,68600,None,874375,3765968,34568848,129587,406748,18937,4134669,129587,0,115426,20879412,3636381,None,None,None,8890643,29260147,None,34568848,0,2820708,0,4685652,3229633,0,0,18937,0,4134669,-21368537,None,184026,None,9074669,None,None,None,129587,None,None,None,51783779,38334816,20879412,None,17000000,USD,None,470742,-2406467,0,None,0,None,421700,-1041037,-2559131,-152664,556421,106306,0,0,-245109,479548,13,2406467,None,None,-2559131,2.91,2.54
9,2018-03-31,USD,3685702,2788368,2082347,1644857,-1116166,-1316871,1031622,0,-1116166,0,1756746,27345,-1143511,1756746,0,None,None,None,0,0,0,200705,27345,0,-1316871,-1316871,None,USD,38905098,68600,None,951249,3295213,35609885,129574,220245,18937,5175706,129574,0,117100,23438543,3165639,None,None,None,6588808,32130590,None,35609885,0,3300256,0,4440542,2945394,0,0,18937,0,5175706,-21368537,None,185700,None,6774508,None,None,None,129574,None,None,None,51783779,38905098,23438543,None,17000000,USD,None,362380,-45455,0,None,0,None,-226055,-1316871,-1223911,-1178456,1079963,107181,0,0,54508,-736469,200015,45455,None,None,-1223911,3.53,2.91
