,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,CNY,201054058000.0,196205569000.0,172418571000.0,28635487000.0,17533791000.0,16447407000.0,3603600000.0,None,17209573000.0,19657816000.0,20183398000.0,None,4848489000.0,None,324218000.0,796550000,538027000,213809000,None,None,None,796550000.0,12147275000.0,None,16413023000.0,16446613000.0,None,CNY,352480435000.0,15311622000.0,None,None,212442825000.0,136345754000.0,None,58870000.0,136345754000.0,None,3445365000.0,9271897000.0,10646200000.0,71571976000.0,171948514000.0,None,12321014000,None,37153570000.0,205476672000,74620474000,111762235000,48730308000.0,9674251000,13590025000.0,54476745000.0,100209905000.0,None,None,None,None,None,None,None,10492265000,None,147003763000,11602841000,None,184592000,40494311000,None,None,None,None,None,None,None,None,CNY,-23389954000,0,-23389954000,1075296000,None,None,1154594000,None,16447407000,31622156000,26617548000,None,None,None,None,None,None,9874013000,0.0,None,None,None,60.18,
1,2020-03-31,CNY,146205209000.0,143884760000.0,123669699000.0,22535510000.0,1590727000.0,1073603000.0,3935159000.0,None,1383627000.0,18954392000.0,16279902000.0,None,2320449000.0,None,207100000.0,326444000,523054000,315954000,None,None,None,326444000.0,-1252776000.0,None,1057183000.0,1072821000.0,None,CNY,265695742000.0,14392908000.0,None,2412355000,178416649000.0,84289867000.0,None,14736000.0,381000.0,-9380693000,3396957000.0,6643669000.0,10355884000.0,43529407000.0,136597500000.0,8601811000,8601811000,4902433000,32197789000.0,144552071000,57553421000,63253290000,29364492000.0,8264122000,17131484000.0,50584695000.0,76485078000.0,None,None,None,None,None,-2634318000,None,10275328000,None,121143671000,8732526000,17131484000,206812000,41819149000,None,None,None,91402064000,None,72893899000,None,1515000000,CNY,-8196352000,-12596490000,-8196352000,122089000,15328201000,15086410000,27647000,2786675000,1073603000,5956946000,-1542477000,None,None,None,None,None,None,2650116000,0.0,None,None,None,40.5,60.18
2,2019-12-31,CNY,170684038000.0,170655941000.0,146685835000.0,23998203000.0,5662088000.0,3637054000.0,3591058000.0,0,4032975000.0,18768261000.0,20692010000.0,0,28097000.0,0,219772000.0,479137000,594427000,374655000,0,0,0,479137000.0,3630223000.0,0,3553838000.0,3633954000.0,0,CNY,259723704000.0,4110034000.0,None,2940859000,175063857000.0,81855970000.0,0,2777465000.0,381000.0,-11912679000,3507506000.0,6643669000.0,6886814000.0,36971420000.0,140017021000.0,0,0,4163147000,35103976000.0,139094558000,56992911000,60210525000,24602777000.0,6190588000,10051782000.0,57932156000.0,90428382000.0,0,0,0,0,0,-2530166000,0,6806258000,0,120629146000,8716644000,10051782000,225883000,35046836000,0,0,0,90676122000,0,61574197000,0,1456000000,CNY,2452444000,4057692000,2452444000,-1772813000,15328201000,3087869000,3070150000,2483506000,3637054000,5153051000,3701000,0,1409341000,0,0,-9666707000,-170910000,-2453925000,2344840000.0,0,0,0,35.23,40.5
3,2019-09-30,CNY,134842785000.0,130947396000.0,114728621000.0,20114164000.0,1318497000.0,612251000.0,3585171000.0,0,1155550000.0,17822738000.0,14542865000.0,0,3895389000.0,0,162947000.0,604856000,502871000,339924000,0,0,0,604856000.0,-3079763000.0,0,550694000.0,612251000.0,0,CNY,245832011000.0,14809236000.0,None,2634589000,168077988000.0,75894872000.0,0,2649918000.0,381000.0,-15487880000,3414425000.0,6643669000.0,6580523000.0,32124639000.0,132772588000.0,0,0,4920463000,33911484000.0,129603246000,54283853000,54441967000,24466018000.0,6014257000,10187269000.0,48265449000.0,86449770000.0,0,0,0,0,0,0,0,6493613000,0,116228765000,9132393000,10187269000,250632000,35305400000,0,0,0,0,0,56590657000,0,1486000000,CNY,-5670328000,9849447000,-5670328000,26446847000,-4052195000,-515402000,6578324000,759545000,612251000,-1114223000,1262118000,0,10.98,0,0,-12.76,11.79,-13544174000,11.16,0,0,0,28.21,35.23
4,2019-06-30,CNY,150280602000.0,148014050000.0,128155583000.0,22125019000.0,1139535000.0,618817000.0,3725903000.0,0,984689000.0,18179022000.0,16132564000.0,0,2266552000.0,0,154846000.0,438807000,375699000,220853000,0,0,0,438807000.0,-1502716000.0,0,545882000.0,618817000.0,0,CNY,245491121000.0,14669390000.0,None,3148646000,173437357000.0,69837538000.0,0,364106000.0,69837538000.0,0,3543208000.0,6643669000.0,10118629000.0,32778459000.0,140080310000.0,137494000,137494000,69837538000,31465550000.0,127456609000,55137274000,48524479000,24562246000.0,8414552000,9898420000.0,45520934000.0,93393171000.0,0,0,0,0,0,0,0,10031719000,0,118034512000,6798486000,9898420000,266003000,33357047000,0,0,0,0,0,57340705000,0,1803000000,CNY,-21028488000,0,-21028488000,448173000,-4052195000,-3004955000,-449004000,759545000,618817000,-869709000,20192150000,0,0.65,0,0,-19.49,18.01,19425473000,6.48,0,0,0,30.29,28.21
5,2019-03-31,CNY,121081059000.0,119938703000.0,102897352000.0,18183707000.0,7706763000.0,7319133000.0,3716545000.0,0,7519318000.0,17085065000.0,12906110000.0,0,1225574000.0,0,187445000.0,279640000,-592292000,125130000,0,0,0,279640000.0,6251832000.0,0,7239678000.0,7319133000.0,0,CNY,214328958000.0,14603932000.0,None,2819607000,147702146000.0,66626812000.0,0,378689000.0,66626812000.0,0,1653432000.0,6643669000.0,13259885000.0,34053757000.0,114943168000.0,934670000,1869587000,66626812000,31695848000.0,95068144000,53057480000,45379211000,4221321000.0,10621906000,9691523000.0,38235962000.0,71369452000.0,0,0,0,0,0,0,0,12335461000,0,119260814000,7003300000,9691523000,282289000,31635945000,0,0,0,0,0,38275078000,0,1474000000,CNY,-1102985000,0,-1102985000,-1102985000,-4052195000,-2555951000,-2555951000,759545000,7319881000,-758898000,3323251000,0,2.39,0,0,-23.97,22.15,-4439518000,12.94,0,0,0,30.15,30.29
6,2018-12-31,CNY,60230959.05,60650376.24,54288682.2,5942276.85,-419417.19,-4877486000.0,1564402.47,0,-2151584.03,7619597.61,4797291.57,0,-419417.19,0,-64704.51,60967000,None,None,0,0,0,27234.53,-1732166.84,0,-2178818.55,-2146315.98,0,CNY,93435895.34,6918350.16,None,3379332.49,59116045.8,26700251.93,0,13821498.35,169.75,-10112458.19,714786.32,2967789.0,3253520.82,15305354.21,53990191.02,0,1964480.27,1500539.56,12345505.03,46840055.89,21110674.45,16814112.78,909310.37,7577409.04,4411068.46,19668649.79,35782826.65,0,0,0,0,0,-550080540.82,0,0,0,0,0,30341534.40,0,0,0,0,0,254519824.63,0,111532570.30,0,1439000000,USD,-6031061.67,1839272.10,-977451.41,12907422.49,-4060675.91,-1751492.83,801744.99,2770973.78,-2146315.98,-94436.14,2692821.98,0,1879253.93,0,0,-1079887.67,1915044.73,-2565823.40,7078881.41,0,0,0,20.93,30.15
7,2018-09-30,USD,15252555576.58,15344043587.77,14037115549.8,1215440026.79,-91488011.18,436841852.41,502080245.75,0,426329980.06,2354173448.44,804847792.22,0,-91488011.18,0,-35105038.65,None,None,None,0,0,0,7505277.41,517817991.24,0,418824702.65,436841852.41,0,USD,31087855843.0,2207925577.6,None,1999004207.37,19423061625.59,9310620768.97,0,2205831792.57,9310620768.97,0,265998777.1,992426007.08,1060650176.88,4949473278.11,17716657397.84,0,1228510387.40,0,3584789413.15,15946399860.24,7295664808.05,6110269184.29,753012709.46,2442645547.32,1440405450.65,5802264117.98,11379433097.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1456000000,USD,-1965538441.38,0,-378893418.16,-40571270.51,-1323384675.86,-436068657.28,-436068657.28,903067448.94,436841852.41,-336390251.71,322127414.87,0,66495799.91,0,0,-351938156.04,624117981.05,-181210237.45,1255499570.53,0,0,0,26.09,20.93
8,2018-06-30,USD,18339986502.7,0.05,17095385122.98,1244601379.72,-155056838.63,-344136000.0,416999250.15,0,-317012747.45,2269869676.06,982658968.21,0,-155056838.63,0,-35976904.62,None,None,None,0,0,0,24495200.96,-161955908.82,0,-341507948.41,-331804139.17,0,USD,32789390071.99,1974574985.0,None,2189744301.14,21782674715.06,8736845680.86,0,2147096880.62,8736845680.86,0,308474055.19,1023361727.65,1087622375.52,5284035392.92,20001876574.69,0,1778384373.13,0,3132879124.18,19764491601.68,5806460257.95,5738908968.21,1912487852.43,3869131223.76,1472324085.18,6509092831.43,13122226154.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1454000000,USD,-1679664067.19,0,-3051463107.38,-60460257.95,164967006.60,724211907.62,34349880.02,930275944.81,-331804139.17,312994451.11,2461541091.78,0,67503449.31,0,0,-362541691.66,642922015.60,2725841781.64,711458758.25,0,0,0,38.95,26.09
9,2018-03-31,USD,15942663959.88,15941958442.8,14830506806.78,1112157153.09,705517.08,235507000.0,384210492.8,0,259257065.52,2347702730.67,727241143.22,None,705517.08,0,-36408566.2,None,None,None,0,0,0,24045537.78,258551548.44,0,235211527.74,242805509.12,None,USD,29506291059.63,2118112889.1,None,1597613406.58,18528751054.85,8629837274.1,0,2190256826.69,8629837274.1,0,362098081.36,1058923652.58,686735451.0,5605280789.75,17015946660.3,2151780272.27,2151780272.27,0,2725495740.79,17991512618.42,4925510707.75,5452800732.43,1901781705.28,3128696122.92,1150706313.19,5758140593.9,9906534511.58,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1470000000,USD,-1783297508.16,0,-149851126.50,449791895.55,175145290.98,2118791975.16,2118791975.16,987672955.97,242805509.12,1295837751.77,-600736406.34,None,71058832.90,0,0,-384910118.62,682589602.74,-914600748.35,599643022.05,None,None,None,40.49,38.95
