,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-03-31,CNY,126224000.0,177968000.0,84884000.0,41340000.0,-48078000.0,-51010000.0,41394000.0,None,-51010000.0,None,51690000.0,None,-51744000.0,None,2932000.0,0,1604000,-1328000,None,None,None,None,2062000.0,None,-51010000.0,-51010000.0,None,CNY,884048000,11182000,None,422000,420019000,464029000.0,None,None,48000,-504369000,8987000,None,22039000,263315000,174721000,None,None,5582000,109197000,572053000,169577000,452847000.0,120000000,106674000,236311000,None,17703000,None,None,None,None,None,-749000,None,22039000,None,311995000,None,236311000,1289000,245298000,None,None,None,963517000,None,383315000,None,None,CNY,None,0.0,None,None,None,None,None,None,-51010000.0,None,None,None,None,None,None,None,None,None,0.0,None,None,None,2.3,
1,2019-12-31,CNY,182763000.0,225654000.0,122378000.0,60385000.0,-37267000.0,-40172000.0,43946000.0,0,-40172000.0,0,59330000.0,0,-42891000.0,0,2905000.0,0,1334000,-1571000,0,0,0,0,4290000.0,0,-40172000.0,-40295000.0,0,CNY,939923000,8810000,None,4156000,432135000,507788000.0,0,14027000,48000,-453359000,8214000,0,2642000,431459000,193890000,0,0,6295000,106235000,653599000,168637000,498794000.0,8000000,135417000,230031000,0,19996000,0,0,0,0,0,-1999000,0,2642000,0,286324000,0,230031000,64000,238245000,0,0,0,956735000,0,431459000,0,0,CNY,0,0.0,0,0,0,0,0,0,-40172000.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,2.95,2.3
2,2019-09-30,CNY,201951000.0,256528000.0,145076000.0,56875000.0,-28713000.0,-31733000.0,43295000.0,0,-31571000.0,0,68157000.0,0,-54577000.0,0,2858000.0,162000,1395000,-1463000,0,0,0,162000,24469000.0,0,-31733000.0,-31733000.0,0,CNY,971407000,8303000,None,556000,440354000,531053000.0,0,0,48000,-417791000,9480000,0,17050000,199784000,200308000,0,0,5641000,110442000,701666000,133946000,522750000.0,220000000,149725000,230566000,0,21761000,0,0,0,0,0,-9012000,0,17050000,0,269741000,0,230566000,140000,240046000,0,0,0,952167000,0,419784000,0,114000000,CNY,0,0.0,0,0,0,0,0,0,-31733000.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,3.98,2.95
3,2019-06-30,CNY,291225000.0,310107000.0,214910000.0,76315000.0,-11461000.0,-14194000.0,46349000.0,0,-14194000.0,0,48848000.0,0,-18882000.0,0,2733000.0,0,1485000,-1248000,0,0,0,0,5936000.0,0,-14194000.0,-14194000.0,0,CNY,961753000,8851000,None,1215000,405157000,556596000.0,0,0.01,48000,-386058000,10836000,0,2712000,281328000,172766000,0,0,8134000,107589000,738563000,104038000,547745000.0,100000000,225205000,221555000,0,26221000,0,0,0,0,0,-29442000,0,2712000,0,223190000,0,221555000,140000,232391000,0,0,0,963914000,0,381328000,0,114000000,CNY,0,0.0,0,0,0,0,0,0,-14194000.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,4.75,3.98
4,2019-03-31,CNY,230519000.0,261394000.0,167232000.0,63287000.0,-21121000.0,-23743000.0,42658000.0,0,-23743000.0,0,51504000.0,0,-30875000.0,0,2622000.0,0,406000,-536000,0,0,0,0,7668000.0,0,-23743000.0,-23743000.0,0,CNY,1008917000,9177000,None,1100000,430509000,578408000.0,0,0.01,48000,-371865000,9660000,0,13695000,284933000,206314000,0,0,8128000,112708000,789149000,84188000,569231000.0,180000000,207809000,214535000,0,37389000,0,0,0,0,0,-11502000,0,13695000,0,219768000,0,214535000,140000,224195000,0,0,0,953599000,0,464933000,0,115000000,CNY,0,0.0,0,0,0,0,0,0,-23743000.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,6.6,4.75
5,2018-12-31,CNY,14667.54,16261.17,10621.66,4045.87,-1593.63,-1535.38,2671.36,0,-1533.11,0,2968.15,0,-1593.63,0,-168.79,35000,None,None,0,0,0,2.27,60.53,0,-1535.38,-1535.38,0,CNY,64427.72,99.43,None,1342.24,25354.21,39073.51,0,4767.58,3.12,-22608.10,675.73,0,924.59,37443.57,10639.20,0,0,545.52,6031.50,52196.51,5175.69,38974.08,0,9401.06,14039.28,0,1797.29,0,0,0,0,0,-66893.86,0,0,0,0,0,96569.18,0,0,0,0,0,421916.97,0,257555.63,0,0,CNY,0,0.0,-2942188.35,-1684837.48,0,274674.43,0,0,-1535.38,164568.17,-2069693.79,0,8078.29,0,274674.43,0,0,0,1257350.87,0,0,0,7.02,6.6
6,2018-09-30,USD,28646653.76,32396162.41,20908151.23,7738502.53,-3749508.65,-1249545.05,5415714.31,0,-1249545.05,0,6072296.87,0,-3749508.65,0,-363085.79,None,None,None,0,0,0,0,2499963.6,0,-1249545.05,-1677270.01,0,USD,147302624.87,65803.84,None,10599950.50,57456652.45,89845972.43,0,9149791.09,6988.02,-43887958.77,33338.67,0,709283.87,99212246.50,26236806.48,0,0,-118359.56,14195868.33,129269752.07,3061916.76,89780168.59,0,19457555.07,31186507.30,0,3593006.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101000000,USD,0,0.0,0,0,0,0,0,0,-1249545.05,0,0,0,0,0,0,0,0,0,0.0,0,0,0,6.86,7.02
7,2018-06-30,USD,24763797.24,28010647.87,17711757.65,7052039.59,-3246850.63,-1774745.05,4740701.86,0,-1774745.05,0,5558188.36,0,-3246850.63,0,-285092.98,None,None,None,0,0,0,0,1472105.58,0,-1774745.05,-3316286.74,0,USD,75777294.54,34493.10,None,8026544.69,52943461.31,-41737102.58,0,7502549.49,3899.22,-43482153.57,88182.36,0,925614.88,36572885.42,20553689.26,0,0,-1345680.86,10394121.18,61274895.02,3148170.37,-41771595.68,0,16675464.91,32301589.68,0,3085932.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64000000,USD,0,0.0,0,0,0,0,0,0,-1774745.05,0,0,0,0,0,0,0,0,0,0.0,0,0,0,nan,6.86
8,2018-03-31,USD,20124512.38,23442878.75,14616989.09,5507523.29,-3318366.37,-3524878.59,3887110.9,0,-3525674.71,0,4938778.76,None,-3318366.37,0,-9553.38,None,None,None,0,0,0,-796.11,-207308.34,0,-3524878.59,-5256747.07,None,USD,52470822.39,40920.31,None,2187883.13,17548921.26,-41109306.58,0,11986943.71,4139.80,-42643897.78,103654.17,0,400286.60,22570177.53,17445267.10,0,0,-1100867.77,8395191.47,41892046.81,1742377.20,-41150226.89,0,13004219.41,0,0,1579651.30,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,64000000,USD,0,1097364.86,-2029297.03,0,0,0,0,-1108828.91,-3524878.59,-10573839.66,-7877557.52,None,527028.10,0,0,0,-5591911.47,719369.48,2029297.03,None,None,None,nan,nan
9,2017-12-31,USD,17811000.0,264114000.0,12186000.0,48267000.0,-70557000.0,-67033000.0,3474000.0,0,-71004000.0,0,7647000.0,None,-70557000.0,0,8000.0,None,None,None,0,0,0,-3971000,-447000.0,0,-67033000.0,-86617000.0,None,USD,55246000,43000,None,5260000,18013000,37233000.0,None,16647000,4000,-234810000,83000,None,2009000,31994000,17929000,None,None,-3289000,8149000,293358000,10980000,-224667000.0,18000,50780000,None,None,1282000,None,None,None,71721000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,53000,44159000.0,-28644000,-11000000,None,33421000,None,2965000,-90291000.0,104988000,-75532000,None,8805000,None,None,None,-48266000,7061000,4362000.0,None,None,None,nan,nan
10,2017-03-31,USD,4648000.0,56588000.0,3501000.0,6313000.0,-24595000.0,-22000000.0,1979000.0,0,-24291000.0,0,4490000.0,None,-24595000.0,0,1000.0,None,None,None,0,0,0,-2291000,304000.0,0,-22000000.0,-23775000.0,None,USD,None,None,None,None,None,-108414000.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-108414000.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,10053000,1336000.0,727000,None,None,18311000,None,-3869000,-22000000.0,-7736000,-26466000,None,1584000,None,None,None,-3633000,116000,9326000.0,None,None,None,nan,nan
11,2016-12-31,USD,4205000.0,127981000.0,3245000.0,22600000.0,-57659000.0,-61382000.0,1478000.0,0,-57472000.0,0,3711000.0,None,-57659000.0,0,-122000.0,None,None,None,0,0,0,403000,187000.0,0,-61382000.0,-73809000.0,None,USD,23901000,None,None,1946000,7751000,16150000.0,None,6371000,4000,-118128000,137000,None,866000,14859000,6531000,None,None,4274000,3416000,136215000,1041000,-108414000.0,1440000,9509000,None,None,160000,None,None,None,31764000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-11041000,11840000.0,-29928000,-11000000,None,19494000,144000,2534000,-61382000.0,65718000,-42152000,None,3433000,None,None,None,-5870000,7293000,2721000.0,None,None,None,nan,nan
