,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,18706755,17548163,15655185,3051570,1701734,813859,None,None,1155853,303203,1892978,None,1158592,None,None,342000,None,None,None,None,None,342000,-2739,None,813853,813859,None,USD,65374453,None,None,None,10334101,54737149,None,None,11325,39244786,1227632,None,1255890,17754673,8450871,None,None,-8877,7011440,57107123,None,54737149,None,15867632,None,18077080,3764543,None,None,None,None,None,None,None,786298,None,8267330,843507,None,None,1883230,None,None,None,None,None,None,None,None,USD,-241805,-2611778,-241805,-76283,-235,-566485,None,461074,813859,-8375738,-7566853,None,543142,-566250,None,4556693,-10531884,60188,165522,None,None,None,4.87,
1,2020-03-31,USD,14439084,15174362,13184325,1254759,149591,-740062,None,None,-752719,303209,1990037,None,-735278,None,None,-10874,None,None,None,None,None,-10874,-17441,None,-741845,-740062,None,USD,67479036,None,None,None,12727885,54447942,None,None,11325,38997177,1227632,None,1179607,26130411,10850318,240,235,-8324,7321254,58978175,None,54447942,None,5335748,None,22633772,6376320,None,None,None,None,None,None,None,786298,None,8500861,860016,None,None,1877567,None,None,None,15235030,None,26130410,None,None,USD,-1178994,1643681,-1178994,-253414,-40482,-606732,-566250,9185,-740062,-851972,932888,None,884869,-566250,None,-8501118,4667559,89161,925580,None,None,None,5.086,4.87
2,2019-12-31,USD,25446708,23123547,20532888,4913820,2706635,2073269,None,None,2329074,304992,2590659,None,2323161,None,None,255805,None,None,None,None,None,255805,5913,None,2073269,2073269,None,USD,67142131,None,None,4948507,11168852,55668287,None,2193710,11325,40303489,1269503,None,878220,26971805,9233747,40720,40719,-9988,6919455,59344456,None,55668287,None,10003638,None,14132051,4673971,None,None,None,None,None,None,None,796876,None,7797675,923434,None,None,1935105,None,None,None,15150720,None,26971810,None,11000000,USD,-699197,2817063,-699197,-253414,24669,-541581,-566250,142414,2073269,3373901,4613758,None,383474,-566250,None,-1081321,4303257,89161,699197,None,None,None,5.86,5.086
3,2019-09-30,USD,30611119,26422637,23308762,7302357,4574608,3592747,None,None,4183423,304992,3113875,None,4188482,None,None,594687,None,None,None,None,None,594687,-5059,None,3588736,3592747,None,USD,62735318,None,None,668001,8269753,54160573,None,1919679,11325,38796470,1403087,None,878337,23597904,6227134,16050,16049,-10683,6629235,55227746,None,54160573,None,14307200,None,13050654,1856709,None,None,None,None,None,None,None,796876,None,7507572,906394,None,None,2042619,None,None,None,15150720,None,23597900,None,12000000,USD,-1679333,-607919,-1679333,-253414,-52170,-618420,-566250,-545665,3592747,7475910,9765063,None,386126,-566250,None,7420302,-902960,189944,1679333,None,None,None,7.39,5.86
4,2019-06-30,USD,22527325,20638304,18014622,4512703,2227673,1549488,None,None,1884488,309003,2623682,None,1889021,None,None,335000,None,None,None,None,None,335000,-4533,None,1549488,1549488,None,USD,60572728,None,None,1789402,9326550,50937175,None,2722749,11325,35769973,1403087,None,878337,16121994,7331218,68220,68222,-13629,5345482,54348909,None,50937175,None,13404177,None,20471483,2464672,None,None,None,None,None,None,None,796876,None,6223819,854320,None,None,1995332,None,None,None,14956770,None,16121990,None,11000000,USD,-1374139,-913522,-1374139,-253414,-580447,-1146697,-566250,417661,1549488,-10915598,-8399057,None,338652,-566250,None,602719,-9383142,189944,1374139,None,None,None,7.17,7.39
5,2019-03-31,USD,14479020,14688805,11910410,2568610,86055,-215470,None,None,-205620,309003,2778400,None,-209790,None,None,9860,None,None,None,None,None,9861,4169,None,-215482,-215470,None,USD,59251097,None,None,443395,8988968,49953126,None,2019765,11325,34999474,1403087,None,1543943,27182158,7585881,648711,648711,-14440,2356262,55350892,None,49953126,None,4020369,None,21074243,3378258,None,None,None,None,None,None,None,652310,None,3900205,None,None,None,1403087,None,None,None,None,None,None,None,11000000,USD,-496789,-1295533,-1601110,-810110,627754,7465950,30,-1008875,5111520,15638360,9775270,None,1255820,-1132500,8930300,-8951987,9118929,193946,791000,None,None,None,7.367,7.17
6,2018-12-31,USD,18677164,17480556,15477534,3199630,1196608,1626214,0,None,1047493,309012,2003022,None,1196608,None,-43000,-578000,None,None,None,None,None,-578000,-149115,None,1625493,1626214,None,USD,60191416,None,None,63733,9341633,50540771,None,1842504,11325,35781198,1591000,None,3679970,26711771,7750633,None,None,-14565,2615187,53896259,None,50540771,None,13140501,None,12121042,4592699,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,11000000,USD,None,2876303,-387597,-430113,-2133455,-2699705,-566250,-338999,1626214,-69211,3067962,None,306433,-566250,8930300,-3369306,2546038,174279,7597,None,None,None,6.1,7.367
7,2018-09-30,USD,33464397,27407812,25115416,8348981,6056585,4586770,0,None,6049753,309732,2292396,None,6056585,None,-43000,None,None,None,None,None,None,1463000,-6832,None,4586753,4586770,None,USD,58892186,0,None,72100,9101957,49480497,0,2528890,11325,34721234,1591000,0,3681308,26779644,7510957,None,None,-14875,2863998,52346880,None,49480497,0,15687636,0,8741996,1715767,0,2742158,9895,0,29721511,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,11000000,USD,None,580222,-234921,-430113,-4902010,-4829222,72788,278268,4586770,13933297,18970715,None,334232,-566250,0,14158653,-2449367,18937,234921,None,None,None,6.45,6.1
8,2018-06-30,USD,18363085,18887914,13703294,4659791,-524829,-885241,0,None,-519249,309749,5184620,None,-524829,None,-43000,None,None,None,None,None,None,366000,5580,None,-885249,-885241,None,USD,56950438,0,None,2968753,11941733,44698956,0,922011,11325,30134464,1591000,0,3672891,12929375,10350733,7059533,7059533,-15692,2983853,50293694,None,44698956,0,13240000,0,20007447,1134393,0,2180680,9770,0,23969379,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,11000000,USD,None,-3642986,-481807,-430113,6075835,14933377,-72758,4557,-885241,4331545,-10112026,None,319310,-566250,0,-1543324,-7936314,3205972,481807,None,None,None,7.38,6.45
9,2018-03-31,USD,8852298,8404288,6718360,2133938,448010,-980682,0,0,415325,309604,1685928,None,448010,0,23000,None,None,None,0,0,0,1400000,-32685,0,-984675,-980682,None,USD,43268281,0,None,1128079,9211421,33747256,0,990987,9895,31019705,1288000,0,3598280,8597830,7923421,980195,980195,-24502,2819715,36850286,None,33747256,0,5297117,0,20293392,4776812,0,2742158,9895,0,30948006,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,10000000,USD,None,3304227,-147675,337000,32210,-92456,-124666,-9211,-980682,-5747624,-5514247,None,317696,-566250,0,-11094171,1551887,-3993,147675,None,None,None,nan,7.38
