,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,156069000,143159000,101513000,54556000,12685000,9180000,None,None,12671000,None,41646000,None,12910000,None,14000,3491000,159000,145000,None,None,None,3491000,-384000,None,9180000,9180000,None,USD,386267000,13949000,None,None,141471000,244796000,None,None,244796000,None,15431000,11160000,20258000,91798000,109321000,None,27000,None,108502000,232398000,None,219687000,5294000,68365000,109000,49857000,40229000,None,None,None,None,None,None,None,12773000,None,153869000,21496000,None,15431000,32150000,None,None,None,None,None,None,None,None,USD,6453000,5163000,6453000,28059000,25000,None,-7725000,22096000,9180000,15163000,12430000,None,None,None,None,None,None,-38187000,0,None,None,None,11.56,
1,2020-03-31,USD,178174000,46424000,117680000,60494000,12378000,9451000,None,None,12357000,None,45606000,-1692000,14070000,None,21000,2906000,386000,365000,None,818000,None,2906000,-2896000,None,9451000,9451000,None,USD,381442000,13339000,None,14070000,143192000,238250000,None,32197000,2151000,299194000,14576000,11160000,20872000,76636000,111304000,27000,27000,2150000,93344000,224008000,None,213751000,13658000,68934000,109000,50710000,79080000,None,None,2151000,None,299194000,-69556000,None,30403000,None,9188000,22023000,109000,31779000,31888000,None,None,None,4311000,381442000,90294000,None,37000000,USD,11998000,-9157000,6435000,-1469000,25000,-5193000,-134000,981000,9451000,5208000,3966000,8010000,639000,-3321000,-1738000,-967000,None,2630000,4094000,-6640000,None,5208000,11.91,11.56
2,2019-12-31,USD,192164000,49930000,126823000,65341000,14226000,11039000,None,None,15411000,None,48534000,None,14226000,None,21000,4372000,489000,468000,None,1396000,None,4372000,-679000,None,11039000,11039000,None,USD,382679000,12510000,None,15792000,150090000,232589000,None,36937000,2151000,293089000,15574000,11160000,23255000,71430000,117837000,27000,27000,2120000,93205000,224957000,500000,208919000,25648000,62344000,109000,49743000,80873000,None,None,2151000,None,293089000,-68194000,None,31184000,9663000,157722000,21013000,109000,32144000,32253000,None,None,None,3423000,382679000,97078000,None,37000000,USD,817000,-5641000,-6237000,-1889000,25000,-4613000,-7725000,-11345000,11039000,-8504000,2346000,-189000,547000,-3347000,-1266000,-2473000,-1696000,759000,5165000,-1696000,None,-8504000,20.67,11.91
3,2019-09-30,USD,201452000,54679000,131082000,70370000,15106000,11384000,None,None,15691000,None,50329000,None,15106000,None,23000,4307000,607000,584000,None,4350000,None,4307000,-4349000,None,11384000,11384000,None,USD,382749000,12069000,None,11690000,157717000,225032000,None,28653000,2151000,285405000,15035000,11160000,21446000,79934000,124913000,27000,27000,1976000,93577000,225976000,500000,201803000,26433000,60649000,109000,47270000,96233000,None,None,2151000,None,285405000,-66938000,None,30605000,9362000,156773000,22333000,109000,32695000,32804000,None,None,None,2438000,382749000,106367000,None,37000000,USD,6696000,-14267000,-510000,-333000,-25000,-3806000,-842000,-11732000,11384000,6740000,11056000,5322000,521000,-2939000,-842000,-458000,2521000,6033000,6873000,2521000,None,6740000,19.3,20.67
4,2019-06-30,USD,195570000,52968000,128441000,67129000,13230000,11109000,None,None,14161000,None,52031000,None,13230000,None,28000,3052000,592000,564000,None,937000,None,3052000,-570000,None,11109000,11109000,None,USD,364666000,12108000,None,13386000,148176000,216490000,200000,24611000,2151000,277391000,14956000,11160000,20642000,73196000,133084000,25000,25000,1937000,90671000,229585000,500000,193222000,33071000,63120000,136000,46812000,108448000,None,None,2151000,None,277391000,-68559000,None,12420000,8722000,135081000,None,136000,14956000,15092000,None,None,None,3570000,364666000,106267000,None,37000000,USD,8856000,14315000,5000000,260000,-25000,-3577000,-640000,11095000,11109000,23710000,22287000,13928000,-10755000,-2937000,-640000,-1642000,-7186000,2518000,4116000,-7186000,None,23710000,17.43,19.3
5,2019-03-31,USD,177369000,46086000,120808000,56561000,9053000,7954000,None,None,10475000,None,46086000,None,9053000,None,40000,2521000,1484000,452000,None,None,None,2521000,970000,None,7954000,7954000,None,USD,340514000,11957000,None,12859000,133517000,206997000,200000,27624000,2151000,269254000,15462000,11153000,22463000,49489000,117919000,25000,25000,1881000,89910000,205031000,500000,183887000,41821000,55722000,136000,45140000,90270000,None,None,2151000,None,269254000,-69879000,None,12969000,9494000,135483000,None,136000,15462000,15598000,None,None,None,3590000,340514000,91310000,None,37000000,USD,350000,-6912000,-5337000,-456000,-25000,-2938000,-3806000,6113000,7954000,10497000,18772000,2974000,4212000,-2936000,-2000,3882000,8334000,-1672000,5231000,8334000,None,10497000,14.14,17.43
6,2018-12-31,USD,201008000,52345000,136019000,64989000,13498000,9405000,0,None,12644000,None,52345000,None,13498000,None,-56000,None,None,None,None,None,None,3239000,-1559000,None,9405000,9405000,None,USD,340294000,12022000,None,15612000,139423000,200871000,300000,26849000,2151000,264267000,14642000,11161000,18418000,38993000,124645000,25000,25000,1861000,88433000,209760000,500000,177688000,42076000,64085000,136000,48994000,97771000,None,None,2151000,None,264267000,-70015000,None,12090000,6828000,130534000,None,136000,14642000,14778000,None,None,None,2607000,340294000,81069000,None,37000000,USD,-699000,11847000,-11468000,-4954000,-25000,-8992000,-195000,5140000,9405000,-3673000,16787000,-1546000,4213000,-2967000,-5830000,-4129000,-3900000,897000,5815000,-3900000,None,-3673000,14.19,14.14
7,2018-09-30,USD,194123000,51483000,128250000,65873000,13694000,10876000,0,None,14390000,None,51483000,None,13694000,None,-50000,None,None,None,None,None,None,3514000,-858000,None,10876000,10876000,None,USD,325608000,12325000,None,13997000,126924000,198684000,300000,25536000,2151000,257825000,15595000,8824000,18785000,42643000,111193000,25000,25000,1788000,85188000,199986000,500000,177535000,41359000,59862000,136000,42125000,85632000,0,0,2151000,0,257825000,-64511000,None,12892000,6393000,125622000,None,136000,15595000,15731000,None,None,None,1431000,325608000,84002000,None,37000000,USD,-6879000,-10495000,-10381000,1029000,-23000,-6758000,-840000,-9881000,10876000,-10018000,7121000,4341000,4107000,-2595000,-3300000,-2616000,2414000,-1506000,4531000,2414000,None,-10018000,16.75,14.19
8,2018-06-30,USD,184512000,45223000,124346000,60166000,14591000,10254000,7000000,0,14943000,0,45223000,None,14591000,0,-61000,None,None,None,0,0,0,4689000,2852000,0,10254000,10254000,None,USD,330168000,12607000,None,18804000,137144000,193024000,0,21253000,2151000,249945000,15537000,8824000,17183000,52663000,121446000,23000,23000,1816000,84487000,206567000,500000,171593000,34607000,60984000,161000,39509000,100170000,0,0,2151000,0,249945000,-62769000,None,12767000,4916000,123601000,None,161000,15537000,15698000,None,None,None,1881000,330168000,87270000,None,37000000,USD,3430000,14718000,-3542000,-729000,-23000,-3816000,-396000,7080000,10254000,13109000,20467000,949000,3958000,-2604000,-816000,-472000,-14026000,5086000,6243000,-14026000,None,13109000,16.16,16.75
9,2018-03-31,USD,157897000,39247000,110142000,47755000,8510000,5850000,0,0,8508000,0,39247000,None,8510000,0,-55000,None,None,None,0,0,0,2658000,298000,0,5850000,5850000,None,USD,308080000,12882000,None,18989000,122878000,185202000,0,25384000,2151000,242591000,16554000,8824000,21878000,39554000,106163000,23000,23000,1342000,81260000,182736000,500000,163496000,38195000,46961000,161000,39037000,80756000,0,0,2151000,0,242591000,-63143000,None,13492000,8886000,125344000,None,161000,16554000,16715000,None,None,None,2261000,308080000,77749000,None,38000000,USD,-663000,-6654000,-4352000,-79000,-1000,-8963000,-13155000,-1865000,5850000,-2298000,11017000,1202000,3970000,-2623000,-6339000,-176000,6172000,653000,3610000,6172000,None,-2298000,17.04,16.16
