,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-03-31,USD,7754210,None,3361760,4392450,None,-29052930,None,None,-29052930,None,1626660,None,2919900,None,None,None,-31972830,None,None,None,None,None,None,None,None,-29052930,None,USD,283310550,None,None,None,162940940,120369610,None,None,447260,-331345820,None,None,4728010,None,None,None,None,None,None,None,None,None,None,None,131024670,None,None,None,None,None,None,None,None,None,None,None,None,None,131024670,None,None,None,None,None,451268170,None,403500,None,None,USD,None,None,None,None,None,-25695960,-1340,None,-29052930,27150,25723110,None,None,-2652700,-123330,None,None,None,0,None,None,None,22.3,
1,2019-12-31,USD,6705360,None,3274440,3430920,None,3516710,None,None,3516710,None,1284220,None,1070730,None,None,None,2445980,None,None,None,None,None,None,None,None,3516710,None,USD,310374260,None,None,None,158175690,152198570,None,None,448300,-299603110,None,None,4967490,None,None,None,None,None,None,None,None,None,None,None,153863790,None,None,None,None,None,None,None,None,None,None,None,None,None,153863790,None,None,None,None,None,451353380,None,136860,None,None,USD,None,None,None,None,None,11843940,-2232450,None,-12499960,-4220110,-16064050,None,None,-11744350,None,None,None,None,0,None,None,None,25.215,22.3
2,2019-09-30,USD,7076200,None,3306630,3769570,None,-4250780,None,None,-4250780,None,1527140,None,2242440,None,None,None,-6493220,None,None,None,None,None,None,None,None,-4250780,None,USD,293165740,None,None,None,160442730,132723010,None,None,373720,-174861090,None,None,1010580,None,None,None,None,None,1602080,None,None,None,None,None,122479450,None,None,None,None,None,None,None,None,None,None,None,None,None,122479450,None,None,None,None,None,307210390,None,341170,None,None,USD,None,None,None,None,None,11751990,-372150,None,-16016670,-7972720,-19724710,None,None,-9540260,None,None,None,None,0,None,None,None,25.05,25.215
3,2019-06-30,USD,6914170,None,3008530,3905640,None,-848320,None,None,-848320,None,1594870,None,879740,None,None,None,-1728060,None,None,None,None,None,None,None,None,-848320,None,USD,305493530,None,None,None,166315940,139177590,None,None,373560,-168368790,None,None,3467340,None,None,None,None,None,1687900,None,None,None,None,10457440,119506270,None,None,None,None,None,None,None,None,None,None,None,None,None,119506270,None,None,None,None,None,307172820,None,236830,None,None,USD,None,None,None,None,None,11294110,-372150,None,-11765890,-5620300,-16914410,None,None,-7336470,None,None,None,None,0,None,None,None,25.18,25.05
4,2019-03-31,USD,5799410,None,1800930,3998480,None,-10917570,None,None,-10917570,None,6193670,None,-2195190,None,None,None,-8722390,None,None,None,None,None,None,None,None,-10917570,None,USD,292776460,None,None,None,149090430,143686030,None,None,373320,-163787050,None,None,1466000,None,None,None,None,None,3181470,None,None,None,None,None,117879100,None,None,None,None,None,None,None,None,None,None,None,None,None,117879100,None,None,None,None,None,307099760,None,3288010,None,None,USD,None,None,None,None,None,13575200,-263450,None,-10917570,-4570450,-18145650,None,None,-3676350,None,None,None,None,0,None,None,None,25.4,25.18
5,2018-12-31,USD,6253120,None,1820970,4432150,None,-12218020,None,None,-12218020,None,2371870,None,2032260,None,None,None,None,None,None,None,None,None,None,None,None,-12142190,None,USD,285464680,None,None,None,127443670,158021010,None,None,373270,-149136640,None,None,3907340,None,None,None,None,None,None,None,None,None,None,None,100400190,None,None,None,None,None,None,None,None,None,None,None,None,None,100400190,None,None,None,None,None,306784390,None,5417130,None,None,USD,None,None,None,None,None,-16863530,-1546640,None,-9571550,7290370,24153900,None,None,-14672970,None,None,None,None,0,None,None,None,24.74,25.4
6,2018-03-31,USD,4962629,0,0,4962629,4473241,2609393,None,None,2609393,None,2423865,None,2460742,None,1863848,None,None,None,None,78022,None,0,148651,None,2609393,2609393,None,USD,291428040,None,None,None,110425953,181002087,None,None,373545,-11243483,8952506,None,523057,5080205,None,None,None,-138221953,None,None,271793034,181002087,9905719,4126025,100226261,None,1247186,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,-26391389,None,None,-1526017,-5190455,None,7151,2609393,3046110,8236565,None,-1716727,-3664438,None,None,1162488,30848922,0,None,None,None,25.17,24.74
7,2017-12-31,USD,20972305,0,0,20972305,17298540,8715424,0,0,8715424,0,10150639,None,10489034,0,8583116,None,None,None,0,332634,0,0,-1773610,0,8715424,8715424,None,USD,319808974,None,None,None,138004398,181804576,None,None,373392,-9987928,34215195,None,530209,2034095,None,None,None,-138370604,None,None,234655836,181804576,77300320,5288514,101413317,None,2375886,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,25728680,None,None,-79272665,-96907785,-224944,-62513,3388082,-7801460,89106325,None,-10346616,-17411479,1303,None,-691085,60743161,0,None,None,None,25.1,25.17
8,2017-09-30,USD,5394422,0,0,5394422,-5875044,-7077962,0,0,-7077962,0,912845,None,4357606,0,1202918,None,None,None,0,123969,0,0,-11435568,0,-7077962,-7077962,None,USD,322807909,None,None,None,138022465,184785444,None,None,373178,-19589473,34950728,None,173185,1936300,None,None,None,-150339270,None,None,259590472,184785444,57024828,4083124,101343770,None,1727967,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,32306493,None,None,-72741740,-77126000,-1095,163578,-669446,-5086222,72039778,None,-312373,-4384407,1243,None,-2310736,42862263,0,None,None,None,24.9652,25.1
9,2017-06-30,USD,11357860,0,0,-11357860,-2940531,1365068,0,0,1365068,0,-4107748,None,-7045648,0,-4305599,None,None,None,0,-204464,0,0,8410716,0,1365068,1365068,None,USD,363895292,None,None,None,174282329,189612963,None,None,371672,-17670890,1960000,None,336764,24329999,None,None,None,-147140326,None,None,337456142,189612963,None,1772387,26648459,None,145673870,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,1492028,None,None,-6530925,-11128273,-223849,67481,2521724,-6142255,4986018,None,385581,-4373559,60,None,-250293,769497,0,None,None,None,nan,24.9652
