,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,343020000,81926000,245659000,97361000,14008000,9885000,None,None,14008000,None,80546000,-1427000,15435000,1380000,None,4123000,None,None,None,None,None,4123000,-1427000,None,9885000,9885000,None,USD,438833000,11100000,None,7563000,286357000,152476000,678000,5678000,722000,360409000,59493000,25040000,45246000,52371000,109716000,None,None,-3117000,28425000,302325000,9535000,127436000,None,242391000,100000000,None,104038000,None,None,722000,None,360409000,-671495000,None,70721000,None,12322000,19776000,100000000,76641000,176641000,None,None,None,465957000,438833000,52371000,None,None,USD,1048000,-41737000,-774000,None,-305000,-14590000,-4162000,28345000,-28097000,-57335000,-41971000,-1645000,-4166000,-4162000,-10123000,None,-7409000,-14087000,1822000,47761000,None,-57335000,29.25,
1,2020-03-31,USD,335208000,80609000,240684000,94524000,12534000,9106000,None,None,12534000,None,79216000,-1381000,13915000,1393000,None,3428000,-791000,None,None,None,None,3428000,-1381000,None,9106000,9106000,None,USD,405488000,9841000,None,7401000,252089000,153399000,766000,6155000,722000,354926000,42876000,25040000,41203000,31774000,93294000,None,None,-2647000,29462000,274762000,7574000,128359000,None,235587000,100000000,None,87139000,None,None,722000,None,354926000,-662354000,None,67678000,None,8546000,19436000,100000000,58795000,158795000,None,None,None,462752000,405488000,31774000,None,22000000,USD,-1971000,5667000,-1971000,None,34672000,10909000,-4162000,5215000,9106000,11943000,3005000,1069000,1393000,-4293000,-19470000,None,-20176000,5946000,1971000,-20176000,None,11943000,25.57,29.25
2,2019-12-31,USD,336230000,78545000,238205000,98025000,18261000,14208000,None,None,18261000,None,77114000,-1219000,19480000,1431000,-1269000,3652000,11662000,None,-401000,None,None,3652000,-1219000,-401000,14609000,14208000,None,USD,381125000,8759000,None,7475000,213862000,167263000,855000,6853000,722000,350545000,48743000,25040000,45603000,19831000,84964000,979000,979000,-1526000,29975000,245235000,8169000,142223000,None,217929000,65000000,None,78111000,None,None,722000,None,350545000,-642023000,None,72838000,None,8037000,20312000,65000000,63898000,128898000,None,None,None,459545000,381125000,19831000,None,72202000,USD,-1500000,-8192000,-4841000,-710000,-367000,-36755000,-4162000,-7384000,14208000,-21489000,20107000,157000,1430000,-3882000,-32506000,None,9627000,2877000,2631000,9627000,None,-21489000,39.7,25.57
3,2019-09-30,USD,345558000,80650000,242747000,102811000,21281000,14940000,None,None,21281000,None,79223000,-880000,22161000,1427000,-504000,5374000,-504000,None,-967000,None,None,5374000,-880000,-967000,15907000,14940000,None,USD,409307000,7395000,None,7951000,221382000,187925000,943000,7268000,719000,340436000,44761000,25040000,42908000,41320000,96666000,1290000,1290000,593000,30138000,277319000,8641000,162885000,None,228048000,65566000,None,89398000,None,None,719000,None,340436000,-610625000,None,69822000,None,6988000,20102000,65566000,59150000,124716000,None,None,None,456802000,409307000,41320000,None,71874000,USD,-2986000,10297000,-2986000,558000,-478000,-44921000,-4162000,6306000,14940000,-23727000,24180000,-3432000,1428000,-4042000,-40401000,None,-2158000,3105000,3544000,-2158000,None,-23727000,37.835,39.7
4,2019-06-30,USD,338861000,79559000,237835000,101026000,21064000,74859000,None,None,21064000,None,78017000,-403000,21467000,1542000,-410000,4988000,-410000,None,58783000,None,None,4988000,-403000,58783000,16076000,74859000,None,USD,426185000,6309000,None,8692000,211329000,214856000,1032000,7336000,719000,329760000,44554000,25040000,42087000,65047000,89810000,None,None,706000,29095000,299767000,9000000,189816000,None,226028000,65909000,None,82474000,None,None,719000,None,329760000,-570400000,None,66045000,None,6238000,16872000,65909000,55610000,121519000,None,None,None,454071000,426185000,65047000,None,71865000,USD,-7500000,-2037000,113508000,123696000,-17835000,-59261000,-477000,6306000,74859000,64788000,10541000,-1351000,1651000,-4278000,-36671000,None,-5452000,-57129000,2688000,-5452000,None,64788000,35.09,37.835
5,2019-03-31,USD,326738000,81463000,233562000,93176000,10790000,26855000,None,None,10790000,None,79813000,-923000,11713000,1650000,-772000,2816000,-923000,None,18881000,None,None,2816000,-923000,18881000,7974000,26855000,None,USD,424612000,5477000,None,34644000,246040000,178572000,1120000,24868000,719000,259356000,45857000,25040000,61737000,259000,105139000,5861000,5861000,1184000,28940000,255536000,525000,153532000,None,220633000,83592000,None,80271000,None,None,719000,None,259356000,-532963000,None,107454000,None,7642000,17313000,83592000,57309000,140901000,None,None,None,450276000,424612000,259000,None,71860000,USD,-2496000,2336000,-2496000,-1000000,10160000,-9146000,-25000,-7055000,26855000,147000,11789000,1269000,1972000,-4406000,-14875000,None,-7377000,-13266000,1496000,-7377000,None,147000,35.12,35.09
6,2018-12-31,USD,357984000,84254000,251428000,106556000,21443000,16356000,0,0,21443000,0,82315000,-859000,22302000,1939000,-887000,None,None,None,2766000,0,0,5087000,-742000,18881000,16356000,16356000,None,USD,379908000,2952000,None,13136000,211577000,168331000,None,1632000,719000,237308000,48060000,45968000,45808000,112000,90358000,1005000,1005000,1296000,35818000,248462000,900000,119411000,None,235214000,73159000,None,88726000,None,None,719000,None,237308000,-518329000,None,36957000,None,9751000,None,73159000,48060000,121219000,None,None,None,447337000,379908000,112000,None,25000000,USD,None,-3556000,-1165000,-1000000,-8048000,-22237000,-25000,-1715000,16356000,-354000,23048000,525000,2019000,-4467000,-9722000,None,2401000,5303000,1165000,2401000,None,-354000,30.92,35.12
7,2018-09-30,USD,355452000,81718000,251071000,104381000,21619000,16177000,0,0,21619000,0,79771000,-1044000,22663000,1947000,-1034000,None,None,None,0,0,0,5442000,-927000,18881000,16177000,16177000,None,USD,391652000,3038000,None,13620000,227705000,163947000,None,1766000,716000,225658000,51813000,45968000,52070000,466000,94840000,None,None,907000,37011000,252004000,1561000,114941000,None,237918000,81052000,None,93074000,None,None,716000,None,225658000,-508096000,None,41565000,None,12066000,None,81052000,51813000,132865000,None,None,None,444762000,391652000,466000,None,71544000,USD,None,3687000,111000,1000000,-21737000,-26534000,-25000,3031000,16177000,-7000,26416000,849000,2074000,-4461000,-336000,None,927000,2702000,889000,927000,None,-7000,37.6,30.92
8,2018-06-30,USD,358624000,84385000,251141000,107483000,21842000,16272000,0,0,21842000,0,82448000,-1256000,23098000,1937000,-1237000,None,None,None,0,0,0,5570000,-1139000,18881000,16272000,16272000,None,USD,394220000,3125000,None,13988000,243914000,150306000,0,1824000,716000,214143000,49426000,45968000,52069000,473000,91774000,102714000,102714000,797000,38568000,254490000,None,101213000,0,240029000,102714000,0,89950000,0,0,716000,0,214143000,-507810000,None,40491000,11578000,139730000,None,102714000,49426000,152140000,None,None,None,442460000,394220000,473000,None,71596000,USD,None,10600000,-1647000,-1000000,-23085000,-26146000,-25000,701000,16272000,216000,28009000,-2134000,2057000,-2970000,-91000,0,-1829000,3043000,1647000,-1829000,None,216000,34.3,37.6
9,2018-03-31,USD,346293000,86600000,246105000,100188000,12249000,9175000,0,0,12249000,0,84592000,-1339000,13588000,2008000,-1180000,None,None,None,0,0,0,3074000,-1339000,0,9175000,9175000,None,USD,389264000,3211000,None,11994000,254770000,134494000,0,1796000,716000,200999000,47520000,45968000,50365000,257000,81852000,125398000,125398000,617000,38848000,250872000,None,85315000,0,238621000,125398000,0,80056000,0,0,716000,0,200999000,-507775000,None,39265000,11100000,138392000,None,125398000,47520000,172918000,None,None,None,439937000,389264000,257000,None,25000000,USD,None,1479000,-1469000,0,6108000,-8903000,None,347000,9175000,-122000,10250000,6501000,2115000,-2973000,-12038000,0,-12350000,3330000,1469000,-12350000,None,-122000,27.05,34.3
