,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,0,31860000,None,None,-31265000,-37469000,22324000,None,-31594000,None,9536000,None,-31860000,None,None,5875000,266000,266000,None,None,None,5875000,None,None,-37469000,-37469000,None,USD,271441000,None,None,None,21025000,250416000,205000,None,16000,-419980000,334000,None,415000,123456000,20552000,None,None,9000,6533000,264493000,None,250416000,128942000,None,None,None,2373000,None,None,None,None,None,None,None,210000,None,6948000,1819000,None,334000,473000,None,None,None,None,None,None,None,None,USD,-31217000,-2031000,-31217000,None,None,77561000,-569000,-798000,-37469000,17120000,-29224000,None,595000,None,None,None,None,10479000,0,None,None,None,25.48,
1,2020-03-31,USD,0,29387000,None,None,-28793000,-26419000,20901000,None,-28598000,None,8486000,None,-29387000,None,None,-2179000,789000,789000,None,None,None,-2179000,None,None,-26419000,-26419000,None,USD,226108000,None,None,None,20274000,205834000,None,None,15000,-382511000,381000,None,5620000,106336000,19342000,None,None,240000,7433000,213055000,None,205834000,97870000,None,None,None,4274000,None,None,None,None,None,None,None,210000,None,13053000,2240000,None,381000,932000,None,None,None,588090000,None,204206000,None,55000000,USD,88790000,-1197000,88790000,89013000,None,2414000,-569000,-8017000,-26419000,59408000,-31796000,None,594000,None,2414000,None,None,3243000,223000,None,None,None,15.48,25.48
2,2019-12-31,USD,0,32581000,None,None,-32015000,-31797000,22886000,None,-31451000,None,9695000,None,-32581000,None,None,346000,1130000,1130000,None,None,None,346000,1130000,None,-31797000,-31797000,None,USD,254534000,None,None,None,29111000,225423000,None,25000,15000,-356092000,326000,None,4582000,46928000,27830000,None,None,33000,8325000,241627000,None,225423000,186452000,None,None,None,5693000,None,None,None,None,None,None,None,210000,None,12907000,2652000,None,326000,1281000,None,None,None,581467000,None,233380000,None,54000000,USD,1916000,-201000,1916000,52417000,None,373000,-569000,1290000,-31797000,-21881000,-24170000,None,566000,None,84225000,None,None,5972000,1996000,None,None,None,11.06,15.48
3,2019-09-30,USD,0,30446000,None,None,-29923000,-27058000,22014000,None,-29060000,None,8432000,None,-30446000,None,None,-2002000,1386000,1386000,None,None,None,-2002000,1386000,None,-27058000,-27058000,None,USD,281805000,None,None,None,29894000,251911000,None,150000,15000,-324295000,943000,None,4838000,68809000,27560000,None,None,62000,8627000,268340000,None,251911000,189936000,None,None,None,6440000,None,None,None,None,None,None,None,210000,None,13465000,3001000,None,943000,2334000,None,None,None,576129000,None,258745000,None,55000000,USD,15213000,-2841000,15213000,48505000,None,53000,-569000,-662000,-27058000,-14001000,-29267000,None,523000,None,83852000,None,None,771000,440000,None,None,None,8.51,11.06
4,2019-06-30,USD,0,39289000,None,None,-38781000,-37191000,30848000,None,-37565000,None,8441000,None,-39289000,None,None,-374000,1724000,1724000,None,None,None,-374000,1724000,None,-37191000,-37191000,None,USD,308137000,None,None,None,32940000,275197000,None,165000,15000,-297237000,943000,None,2817000,82810000,30178000,None,None,101000,8862000,296458000,None,275197000,204637000,None,None,None,9338000,None,None,None,None,None,None,None,210000,None,11679000,3315000,None,943000,2762000,None,None,None,572318000,None,287447000,None,54000000,USD,41363000,1680000,41363000,32852000,None,494000,-18000,-9578000,-37191000,181000,-41676000,None,508000,None,83799000,None,None,2905000,767000,None,None,None,13.54,8.51
5,2019-03-31,USD,0,67647000,None,None,-67176000,-65821000,59253000,None,-65838000,None,8394000,None,-67647000,None,None,-17000,1809000,1809000,None,None,None,-17000,1809000,None,-65821000,-65821000,None,USD,346159000,None,None,None,39640000,306519000,None,1384000,15000,-260046000,509000,None,1666000,82629000,36892000,1384000,1384000,8000,9537000,334956000,None,306519000,243904000,None,2239000,None,6890000,None,None,None,None,None,None,None,210000,None,11203000,3623000,None,509000,2748000,None,None,None,566542000,None,326533000,None,52000000,USD,-9278000,-3343000,-9278000,-7717000,None,83187000,-100000,-3370000,-65821000,10653000,-63256000,None,471000,None,83287000,None,None,8807000,1561000,None,None,None,18.06,13.54
6,2018-12-31,USD,0,44135000,0,0,-44135000,-42580000,35901000,0,-42408000,0,8234000,None,-44135000,0,0,None,None,None,0,0,0,172000,1727000,0,-42580000,-42580000,None,USD,321965000,None,None,None,42698000,279267000,433000,15218000,13000,-194225000,144000,None,1859000,71976000,42554000,None,None,-4000,6356000,313750000,None,279267000,235328000,None,None,None,10918000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,473483000,None,307304000,None,30000000,USD,33676000,5842000,29660000,-233908000,None,291000,-9189000,7083000,-42580000,2313000,-27638000,None,254000,None,350393000,None,None,1763000,4016000,None,None,None,28.09,18.06
7,2018-09-30,USD,0,26159000,0,0,-26159000,-24406000,20339000,0,-24537000,0,5820000,None,-26159000,0,0,None,None,None,0,0,0,-131000,1622000,0,-24406000,-24406000,None,USD,347101000,0,None,3665000,28188000,318913000,0,10000000,13000,-151645000,167000,0,3213000,69663000,28021000,None,None,-55000,2360000,341528000,None,318913000,268200000,None,0,0,4668000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,48000000,USD,-193908000,3728000,-194871000,0,None,-762000,-821000,-229000,-24406000,-216118000,-20485000,None,12000,0,0,0,0,410000,963000,None,None,None,25.5,28.09
8,2018-06-30,USD,0,21527000,0,0,-21527000,-20259000,16924000,0,-20461000,0,4603000,None,-21527000,0,0,None,None,None,0,0,0,-202000,1066000,0,-20259000,-20259000,None,USD,365129000,0,None,263000,23330000,341799000,0,10000000,13000,-127239000,186000,0,910000,285518000,23144000,None,None,7000,350000,363869000,None,341799000,73672000,None,0,0,561000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,18000000,USD,-73676000,-1838000,-73912000,0,None,156397000,-2796000,3254000,-20259000,64568000,-17917000,None,12000,0,0,0,0,914000,236000,None,None,None,17.35,25.5
9,2018-03-31,USD,0,16340000,0,0,-16340000,-15982000,12630000,0,-16035000,0,3710000,None,-16340000,0,0,None,None,None,0,0,0,-53000,305000,0,-15982000,-15982000,None,USD,224775000,None,None,105000,19298000,-105115000,1608000,10000000,1000,-106980000,30000,None,2196000,221108000,19268000,None,None,None,126000,222453000,None,-105115000,105000,None,None,None,2796000,None,None,None,310592000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2000000,USD,-73676000,1091000,-75000,None,None,190810000,-29000,-603000,-15982000,175763000,-14972000,None,8000,None,17000,None,None,514000,75000,None,None,None,nan,17.35
