,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,0,26779000,None,None,-25796000,-25999000,20557000,None,-25999000,None,6222000,None,-26779000,None,6000,None,698000,692000,None,None,None,None,88000,None,-25999000,-25999000,None,USD,429368000,None,None,None,120171000,309197000,None,None,5000,-208522000,100139000,None,7657000,269836000,18769000,None,None,594000,2697000,419014000,None,309197000,147298000,None,None,None,7034000,None,None,None,None,None,None,None,7657000,None,10354000,1725000,None,276000,101402000,None,None,None,None,None,None,None,None,USD,56781000,2451000,56781000,None,None,504000,-10000,2649000,-25999000,43380000,-13905000,None,197000,None,None,None,None,6784000,69000,None,None,None,54.12,
1,2020-03-31,USD,0,25723000,None,None,-24167000,-24392000,20170000,None,-24392000,None,5553000,None,-25723000,None,7000,None,1208000,1201000,None,None,None,None,130000,None,-24392000,-24392000,None,USD,443042000,None,None,None,115355000,327687000,None,None,5000,-182523000,100138000,None,6954000,226456000,13834000,None,None,489000,2748000,424807000,8533000,327687000,195404000,None,None,None,4506000,None,None,None,None,None,None,None,6954000,None,18235000,1831000,None,288000,101521000,None,None,None,509716000,None,421860000,None,45000000,USD,-67197000,1887000,-67197000,-67017000,-5000,99788000,99634000,-1611000,-24392000,14659000,-17932000,None,218000,None,159000,None,None,5957000,180000,None,None,None,47.7,54.12
2,2019-12-31,USD,0,16184000,None,None,-15110000,-15616000,12830000,None,-15616000,None,3354000,None,-16184000,None,0,None,303000,303000,None,None,None,None,70000,None,-15616000,-15616000,None,USD,358866000,None,None,None,13507000,345359000,None,None,5000,-158131000,295000,None,5154000,211797000,11711000,None,None,10000,2786000,339230000,11696000,345359000,124684000,None,None,None,2619000,None,None,None,None,None,None,None,5154000,None,19636000,1935000,None,295000,1796000,None,None,None,503475000,None,336481000,None,38000000,USD,-113283000,949000,-113283000,-136561000,-7000,299340000,-19794000,978000,-15616000,174764000,-11293000,None,506000,None,299903000,None,None,1890000,437000,None,None,None,71.95,47.7
3,2019-09-30,USD,0,12732000,None,None,-12233000,-12380000,10115000,None,-12380000,None,2617000,None,-12732000,None,2000,None,354000,352000,None,None,None,None,352000,None,-12380000,-12380000,None,USD,68916000,None,None,None,9225000,59691000,None,None,4000,-142515000,308000,None,4871000,37033000,7301000,None,None,19000,3001000,61044000,None,59691000,23571000,None,None,None,1670000,None,None,None,None,None,None,None,4871000,None,7872000,2037000,None,308000,1924000,None,None,None,202183000,None,60604000,None,37000000,USD,-523000,-722000,-523000,-23431000,-7000,285000,-8000,3565000,-12380000,-7934000,-7696000,None,145000,None,414000,None,None,1696000,5323000,None,None,None,14.38,71.95
4,2019-06-30,USD,0,11814000,None,None,-11253000,-11385000,8838000,None,-11385000,None,2976000,None,-11814000,None,2000,None,431000,429000,None,None,None,None,429000,None,-11385000,-11385000,None,USD,78275000,None,None,None,8256000,70019000,None,None,4000,-130135000,317000,None,4564000,44967000,6214000,None,None,12000,3219000,70492000,None,70019000,23134000,None,None,None,2529000,None,None,None,None,None,None,None,4564000,None,7783000,2133000,None,317000,2042000,None,None,None,200138000,None,68101000,None,37000000,USD,680000,748000,680000,-23066000,-7000,15000,-9000,-3587000,-11385000,-12255000,-12950000,None,130000,None,114000,None,None,1144000,35185000,None,None,None,11.7,14.38
5,2019-03-31,USD,0,8460000,None,None,-7850000,-7984000,5723000,None,-7984000,None,2737000,None,-8460000,None,4000,None,476000,476000,None,None,None,None,476000,None,-7984000,-7984000,None,USD,87077000,None,None,None,6982000,80095000,None,391000,4000,-118750000,327000,None,643000,57222000,4773000,391000,391000,6000,3157000,83277000,None,80095000,23853000,None,1882000,None,1754000,None,None,None,None,None,None,None,643000,None,3800000,2273000,None,327000,2209000,None,None,None,198835000,None,81075000,None,37000000,USD,-23872000,594000,-23872000,-23865000,-27000,47000,-9000,-1176000,-7984000,-31032000,-7207000,None,130000,None,83000,None,None,1139000,7000,None,None,None,6.53,11.7
6,2018-12-31,USD,0,9357000,0,0,-9357000,-14662000,6851000,0,-14662000,0,2506000,None,-9357000,0,-190000,None,None,None,0,0,0,0,-5305000,0,-14662000,-14662000,None,USD,92189000,None,None,None,5356000,86833000,None,None,4000,-110766000,530000,None,643000,88254000,4826000,None,None,None,1097000,90449000,None,86833000,None,None,None,None,1050000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,197595000,None,88254000,None,15000000,USD,-23865000,-569000,-525000,None,-27000,85529000,1801000,-88000,-14662000,76664000,-8340000,None,123000,None,83804000,None,None,6856000,525000,None,None,None,7.1,6.53
7,2018-09-30,USD,0,6380000,0,0,-6380000,-10452000,4709000,0,-10452000,0,1671000,None,-6380000,0,-1982000,None,None,None,0,0,0,0,-4072000,0,-10452000,-10452000,None,USD,17115000,None,None,703000,55928000,-93830000,3484000,3659000,1000,-96104000,9069000,None,3624000,11590000,5383000,None,None,None,1198000,12293000,None,-93830000,None,None,41476000,None,1724000,None,None,None,50017000,None,None,None,None,None,None,None,46476000,None,None,None,None,None,2273000,None,11590000,None,8000000,USD,-23865000,91000,-18000,None,-27000,-1049000,-1071000,347000,-10452000,-6051000,-4984000,None,123000,None,49000,None,None,4907000,18000,None,None,None,nan,7.1
8,2018-06-30,USD,0,5318500,0,0,-5318500,-8164500,3616500,0,-8164500,0,1702000,None,-5318500,0,-1673500,None,None,None,0,0,0,0,-2846000,0,-8164500,-8164500,None,USD,21703000,None,None,465000,51908000,-84227000,2154000,55000,1000,-85652000,7905000,None,2294000,17641000,4489000,39602000,39602000,None,1303000,18106000,None,-84227000,None,None,39495000,None,2472000,None,None,None,50017000,None,None,None,None,None,None,None,43519000,None,None,None,None,None,1424000,None,17641000,None,8000000,USD,None,-922500,-19000,None,16473000,15995500,-477500,-2164000,-8164500,8123000,-7853500,None,122000,None,None,None,None,3275500,19000,None,None,None,nan,nan
9,2018-03-31,USD,0,5547000,0,0,-5547000,-8920000,3642000,0,-8920000,0,1905000,None,-5547000,0,-1470000,None,None,None,0,0,0,0,-3373000,0,-8920000,-8920000,None,USD,21703000,None,None,None,51908000,-68738000,2154000,55000,1000,-85652000,7905000,None,2294000,17641000,4489000,39602000,39602000,None,1303000,18106000,None,-68738000,None,None,39495000,None,2472000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8000000,USD,-23865000,-1383000,-18000,None,32973000,32677000,-296000,-4584000,-8920000,21418000,-11259000,None,122000,None,None,None,None,3506000,18000,None,None,None,nan,nan
