,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,3948967,3795344,2587676,1361291,153623,158239,None,None,153853,None,1207668,None,153623,None,None,-4386,230,230,None,None,None,-4386,None,None,158239,158239,None,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,14876494,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,None,None,None,None,None,None,None,158239,None,None,None,None,None,None,None,None,None,0,None,None,None,1.36,
1,2020-03-31,USD,4789441,-3101765,3199665,1589776,-97900,-97373,None,None,-91269,None,1687676,None,-97900,-4789441,-6631,6104,6631,6631,None,None,None,6104,None,None,-97373,-97373,None,USD,21519300,None,None,388501,6642806,14876494,None,713327,37024,8078107,2509704,None,6838982,2063963,1757305,None,None,None,1022860,11007635,None,14876494,None,3563610,None,4991561,1043978,None,None,37024,None,8078107,None,None,9488805,None,10511665,2649822,None,4885501,4885501,None,None,None,6761363,21519300,2063963,None,7404831,USD,-151921,-547121,-151921,-162,None,0,None,-280816,-97373,-165121,-13200,-196277,69263,None,None,1709750,-1090009,138567,151759,-1090009,None,-165121,0.88,1.36
2,2019-12-31,USD,4162659,-2575954,2798572,1364087,-222618,-215713,None,None,-215691,None,1586705,None,-222618,-4162659,-6927,22,6927,6927,None,None,None,22,6927,None,-215713,-215713,None,USD,22175553,None,None,234613,7345020,14830533,None,766278,37024,8175480,2542246,None,6829653,2229084,2357377,None,None,None,940364,11689004,None,14830533,None,2523996,None,6701311,1591099,None,None,37024,None,8175480,None,None,9546185,None,10486549,2716531,None,4987643,4987643,None,None,None,6618029,22175553,2229084,None,7404831,USD,-75672,307306,-75672,-161,None,0,None,46633,-215713,899597,975269,-177268,94781,None,None,157468,680313,128382,75511,680313,None,899597,1.54,0.88
3,2019-09-30,USD,5410762,-3746162,4063308,1347454,-317146,-310749,None,None,-310749,None,1664600,None,-317146,-5410762,-6397,0,6397,6397,None,None,None,None,6397,None,-310749,-310749,None,USD,22178643,None,None,231036,7269103,14909540,None,884962,37024,8391193,2586085,None,6837090,1329487,2168755,None,None,None,959635,11599381,None,14909540,None,3180079,None,6858779,1283793,None,None,37024,None,8391193,None,None,9619627,None,10579262,2782537,None,5100348,5100348,None,None,None,6481323,22178643,1329487,None,7404831,USD,-276514,-803093,-276514,-112633,None,0,None,-36045,-310749,-898795,-622281,-162101,94357,None,None,-7331,520401,46235,163881,520401,None,-898795,2.0,1.54
4,2019-06-30,USD,5785784,-20196098,4114797,1670987,24988,60276,334789,None,56768,None,1645999,None,24988,-21842097,-3178,-3508,3180,3178,None,None,None,-3508,124178,None,60276,60276,None,USD,23235282,None,None,133889,8163181,15072101,2419962,910913,37024,8848684,2582980,None,6582904,2228282,2997799,None,None,None,890110,12914422,None,15072101,None,13131553,None,6851448,2086886,None,None,37024,None,8848684,None,None,6569628,None,890110,2847845,None,2745420,5165382,None,None,None,6186393,23235282,2228282,None,7404831,USD,-69270,229174,-69270,-161,None,0,None,50813,60276,-494613,-425343,-796065,92804,None,46680,-121782,-862379,121524,69109,None,None,-494613,2.0,2.0
5,2019-03-31,USD,4860250,1505922,3205039,1655208,149286,172306,334789,None,149286,None,1505922,None,149286,None,0,-23020,None,0,None,None,None,-23020,None,None,172306,172306,None,USD,22953972,None,None,275315,8037517,14916455,2570260,869109,37024,8788408,2570260,None,6545530,2722895,2817434,262643,262643,None,913806,12582174,None,14916455,None,2854298,2649823,6729666,1948325,None,None,37024,None,8788408,None,None,9457992,None,10371798,2912466,None,2649823,5220083,None,None,None,6091023,22953972,2722895,None,7404831,USD,-6209,-14730,-6209,-161,None,46680,None,94697,172306,476132,482341,144932,88116,None,46680,456008,224297,91717,6048,None,None,476132,2.06,2.0
6,2018-12-31,USD,5411227,1530626,3748732,1662495,131869,134121,334789,None,134121,None,1530626,None,131869,None,-3178,None,None,None,None,None,None,25,4504,None,134121,134121,None,USD,23235410,None,None,266637,8589091,14646319,2562009,882831,37024,8616102,2562009,None,6522031,2246763,3310550,259872,259872,None,995874,12741101,None,14646319,None,3042027,2716532,7185674,2427719,None,None,37024,None,8616102,None,None,9498435,None,10494309,None,None,2716532,5278541,None,None,None,5993193,23235410,2246763,None,7404831,USD,None,31716,-97970,-161,None,47000,None,-192163,134121,548308,646278,228242,123082,None,46680,-788987,589523,129117,97809,None,None,548308,1.9095,2.06
7,2018-09-30,USD,5784839,1732894,3953655,1831184,98290,67411,334789,None,67436,None,1732894,None,98290,None,-3178,None,None,None,None,None,None,25,-30854,None,67411,67411,None,USD,22619410,0,None,322461,8204767,14414643,2563519,840374,37024,8481981,2563519,0,6521575,1698455,2858711,257130,257130,None,1021147,12037021,None,14414643,0,3619418,2782537,6396687,2018337,0,0,37024,0,8481981,0,None,9561242,None,10582389,None,None,2782537,5346056,None,None,None,5895638,22619410,1698455,None,7404831,USD,None,-113104,-137544,-122754,None,46677,None,-18908,67411,616922,707789,468456,125748,0,46677,-258008,1079739,159278,14790,None,None,616922,2.8245,1.9095
8,2018-06-30,USD,7238260,1718351,5179712,2058548,340197,347029,427009,0,341517,0,1718351,None,340197,0,-5218,None,None,None,0,0,0,-5512,1320,0,347029,347029,None,USD,19675585,0,None,206776,5157773,14517812,2394009,371321,36914,8728628,2549711,0,6374372,1081533,2608062,None,None,None,1132105,12169108,None,14517812,0,4742120,0,6138679,2608062,0,0,36914,0,8728628,0,None,6374372,None,7506477,None,None,155702,2549711,None,None,None,5752270,19675585,1081533,None,7382706,USD,None,600950,-161,-161,None,46677,None,-209230,347029,-488376,-488215,-1126772,141040,0,0,217777,-1693257,150488,14790,None,None,-488376,2.35,2.8245
9,2018-03-31,USD,4326674,1772560,3363121,963553,-809007,-812868,427009,0,-807742,0,1772560,None,-809007,0,-2000,None,None,None,0,0,0,5126,1265,0,-812868,-812868,None,USD,18902817,0,None,330066,4814970,14087847,2319636,586749,36914,8381599,2479007,0,6337390,1569909,2335963,None,None,None,1273145,11292282,None,14087847,0,3035851,0,6356456,2335963,0,0,36914,0,8381599,0,None,6337390,None,7610535,None,None,159371,2479007,None,None,None,5669334,18902817,1569909,None,7382706,USD,None,-415294,-20658,-161,None,46677,None,394827,-812868,1110142,1130800,1695521,121671,0,0,1078554,669808,126476,20497,None,None,1110142,1.78,2.35
