,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,36926000,16430000,23932000,12994000,-3380000,-3552000,3866000,None,-3383000,None,12564000,56000,-3436000,None,3000,169000,217000,214000,None,None,None,169000,-161000,None,-3552000,-3552000,None,USD,189984000,4195000,None,4444000,50996000,138988000,770000,6341000,194000,9772000,5716000,14691000,10319000,21443000,37257000,2682000,2682000,-5377000,55269000,101402000,None,120102000,22498000,28563000,4245000,24454000,28234000,None,None,194000,None,9772000,-11851000,None,14389000,None,38000,4142000,4245000,8724000,13739000,None,None,None,146250000,189984000,43941000,None,18012527,USD,-12000,-1312000,-3796000,-12000,7083000,6822000,-312000,150000,-3552000,3088000,62000,-536000,2752000,None,51000,1101000,162000,1447000,3772000,162000,None,3088000,8.93,
1,2020-03-31,USD,36568000,-17183000,24831000,-24831000,-5833000,-6214000,4287000,None,-5837000,None,15098000,1815000,-7648000,-36568000,4000,377000,313000,309000,None,None,None,377000,1502000,None,-6214000,-6214000,None,USD,189285000,4432000,None,17563000,47408000,141877000,818000,7099000,194000,13324000,6039000,14730000,9943000,18542000,36809000,None,None,-5247000,54756000,100398000,None,127147000,22487000,28968000,None,25555000,29710000,None,None,194000,None,13324000,-11851000,None,6644000,None,40000,5056000,1130000,9781000,10599000,None,None,None,145457000,189285000,41029000,None,17986427,USD,7421000,-1174000,4122000,-22000,-156000,-390000,-390000,-42000,-6214000,784000,-2948000,275000,2650000,None,-234000,-2094000,3577000,32000,3277000,3577000,None,784000,9.43,8.93
2,2019-12-31,USD,42476000,-101024000,26054000,-104600000,-4010000,-3398000,3933000,None,-4014000,None,12964000,-434000,-3576000,-117921000,4000,-863000,377000,373000,-573000,None,None,-946000,-821000,-573000,-3068000,-3398000,None,USD,199391000,4943000,None,4646000,49402000,149989000,762000,7795000,194000,19538000,6247000,15408000,9896000,18365000,38390000,None,None,-2767000,53584000,109274000,None,129638000,29907000,32891000,None,23465000,30595000,None,None,194000,None,19538000,-11461000,None,16137000,None,45000,6313000,1283000,10250000,11012000,None,None,None,144485000,199391000,48272000,None,18001261,USD,16418000,-3880000,13204000,-23000,-624000,-1322000,-840000,-2451000,-3483000,9167000,-2715000,785000,2594000,None,142000,1859000,-2707000,2117000,3191000,-2707000,None,9167000,11.13,9.43
3,2019-09-30,USD,39311000,18317000,25852000,13459000,-3727000,-4344000,4327000,None,-3800000,None,13990000,1131000,-4858000,None,73000,-492000,451000,378000,-1036000,None,None,-492000,680000,-1036000,-3308000,-4344000,None,USD,204182000,4840000,None,4528000,52515000,151667000,835000,9971000,194000,23021000,6036000,14667000,9671000,9243000,41653000,None,None,-4598000,52661000,115392000,None,132160000,46325000,29979000,None,25317000,31682000,None,None,194000,None,23021000,-10164000,None,16491000,None,131000,6972000,1438000,10027000,10862000,None,None,None,143214000,204182000,55568000,None,18098586,USD,3732000,-3302000,1083000,-34000,-2000000,-1960000,-153000,-520000,-4259000,-5744000,-4867000,230000,2481000,None,193000,-1104000,-451000,1538000,2615000,-451000,None,-5744000,10.65,11.13
4,2019-06-30,USD,39235000,18381000,27687000,11548000,-5495000,47176000,3798000,None,-6053000,None,14583000,1338000,-6833000,None,558000,-2599000,1000000,442000,50873000,None,None,-2599000,338000,50630000,-3454000,47176000,None,USD,220896000,5197000,None,7283000,66900000,153996000,868000,13212000,193000,25600000,10932000,14995000,13581000,15306000,50617000,2000000,2000000,-3489000,52501000,126460000,None,133804000,50057000,29598000,None,24216000,35405000,None,None,193000,None,25600000,-10164000,None,21548000,None,195000,8178000,1591000,15415000,16283000,None,None,None,141856000,220896000,65363000,None,18018895,USD,-50032000,-56000,34813000,88538000,-5566000,-27605000,-22090000,-520000,47176000,1699000,-5509000,-1390000,2885000,None,51000,1809000,-2130000,-53803000,3693000,-2130000,None,1699000,10.87,10.65
5,2019-03-31,USD,36376000,-18721000,24550000,-24550000,-5760000,-6179000,3868000,None,-6145000,None,17383000,69000,-5829000,-39972000,385000,-44000,-210000,-210000,243000,None,None,34000,-106000,243000,-6179000,-6179000,None,USD,197509000,9807000,None,7998000,101911000,95598000,1747000,18101000,191000,-21576000,11389000,32845000,7231000,14259000,65357000,10585000,10585000,-13643000,53697000,77176000,None,52946000,25000,28832000,18749000,26062000,36671000,None,None,191000,None,-21576000,-10164000,None,23774000,210000,120333000,9421000,18749000,16058000,36554000,None,None,None,140790000,197509000,14284000,None,17852047,USD,-3052000,2627000,-3052000,-25000,-31000,131000,-152000,-3330000,-6179000,-3995000,-1074000,196000,3527000,None,314000,-3117000,944000,928000,3027000,944000,None,-3995000,10.19,10.87
6,2018-12-31,USD,43751000,-151759000,26626000,-153636000,-1422000,-1822000,3663000,0,-1925000,0,15339000,455000,-1877000,-170761000,503000,None,None,None,897000,0,0,-103000,-48000,243000,-1822000,-1822000,None,USD,187652000,10518000,None,7060000,88137000,99515000,None,29746000,190000,-15397000,10793000,32213000,13933000,18050000,56010000,9928000,9939000,-14731000,53248000,77740000,None,56784000,25000,29663000,19437000,22942000,39393000,None,None,190000,None,-15397000,-10164000,None,13707000,None,226000,None,19437000,9070000,9070000,None,None,None,139617000,187652000,18075000,None,17743971,USD,311000,1854000,-4145000,-22000,4803000,-13722000,-18532000,-939000,-1822000,-14444000,3423000,-959000,3376000,None,7000,1733000,-966000,207000,4434000,-966000,None,-14033000,10.29,10.19
7,2018-09-30,USD,43517000,19294000,25143000,18374000,-560000,-1174000,3789000,0,-1013000,0,15505000,360000,-920000,0,453000,None,None,None,0,0,0,161000,-93000,243000,-1174000,-1174000,None,USD,204472000,11637000,None,7201000,102742000,101730000,2547000,12086000,190000,-13575000,11328000,32848000,13528000,32900000,69112000,22691000,22711000,-13452000,52375000,94084000,None,57245000,336000,28971000,20252000,24676000,34335000,0,0,190000,0,-13575000,-10164000,None,13327000,201000,110388000,None,20252000,10831000,33630000,None,None,None,138731000,204472000,33236000,None,17739431,USD,-1000,1968000,-4025000,-22000,-199000,-398000,-575000,2837000,-1174000,-1464000,2959000,-857000,3193000,0,376000,-1770000,502000,1097000,4002000,502000,-173000,-1637000,13.1,10.29
8,2018-06-30,USD,43392000,18987000,25592000,17800000,-586000,-1343000,3565000,0,-1014000,0,15422000,601000,-1187000,0,428000,None,None,None,0,0,0,329000,173000,0,-1343000,-1343000,None,USD,203627000,12743000,None,6758000,101196000,102431000,2580000,12495000,189000,-12401000,10964000,33237000,13199000,34537000,49454000,4990000,5022000,-12701000,50069000,94379000,None,56451000,335000,29837000,38575000,22912000,31969000,0,0,189000,0,-12401000,-10164000,None,13001000,198000,109248000,None,38575000,10587000,51742000,None,None,None,137508000,203627000,34872000,None,17654217,USD,2997000,-1757000,-1275000,0,-196000,-670000,-575000,-566000,-1343000,-1946000,-1000,465000,3238000,0,101000,421000,-1628000,603000,4272000,-1628000,-1285000,-3231000,13.4,13.1
9,2018-03-31,USD,40101000,20542000,22739000,17362000,-3306000,-3893000,3934000,0,-3715000,0,16608000,-126000,-3180000,0,409000,None,None,None,0,0,0,178000,-535000,0,-3893000,-3893000,None,USD,211352000,14587000,None,7724000,104518000,106834000,2729000,13604000,188000,-11058000,11044000,34996000,12923000,37768000,49373000,2484000,2531000,-8850000,48145000,100701000,None,57251000,3332000,28550000,41701000,23327000,33285000,0,0,188000,0,-11058000,-10164000,None,12709000,214000,110651000,None,41701000,10715000,55145000,None,None,None,136718000,211352000,41100000,None,17521644,USD,4987000,852000,1798000,0,-151000,1524000,-2825000,-2796000,-3893000,2125000,-1197000,-1487000,3050000,0,4500000,-558000,-91000,930000,3189000,-91000,1047000,3172000,10.35,13.4
10,2017-12-31,USD,38978000,19085000,21018000,17960000,-1002000,-1685000,4160000,0,-1388000,0,14925000,123000,-1125000,0,386000,None,None,None,0,0,0,297000,-1174000,0,-1685000,-1685000,None,USD,196239000,15120000,None,3816000,90574000,105665000,0,53061000,188000,-4417000,19000,33872000,54939000,34596000,43349000,2482000,2482000,-11317000,43521000,97779000,None,56673000,8319000,28316000,44572000,22732000,35031000,0,0,188000,0,-4417000,-13150000,None,5927000,20000,98460000,None,None,None,None,None,None,None,134361000,196239000,42915000,None,17128825,USD,-22000,-159000,-2604000,-28000,-43000,-306000,-575000,851000,-1685000,-774000,2136000,1218000,2815000,0,312000,-1082000,2701000,303000,2554000,726000,-5000,-779000,10.35,10.35
11,2017-09-30,USD,40450000,19299000,22952000,17498000,-1776000,-2438000,3990000,0,-2155000,0,15309000,25000,-1801000,0,379000,None,None,None,0,0,0,283000,0,0,-2438000,-2438000,None,USD,197680000,16047000,None,5056000,91950000,105730000,3406000,10756000,188000,-2732000,26000,33674000,55637000,35375000,43325000,2479000,2573000,-11749000,42603000,99440000,None,56009000,8297000,29062000,45193000,21650000,30090000,0,0,188000,0,-2732000,-13150000,None,5891000,25000,98240000,None,45193000,26000,48625000,None,None,None,133173000,197680000,43672000,None,17095706,USD,5477000,1798000,2047000,-5000,-45000,-556000,-575000,1811000,-2438000,4110000,2619000,-259000,2745000,0,64000,1765000,1975000,1084000,3425000,-2076000,834000,4944000,11.95,10.35
12,2017-06-30,USD,40449000,19428000,22389000,18060000,-1321000,-2026000,3761000,0,-1670000,0,15667000,47000,-1368000,0,349000,None,None,None,0,0,0,356000,0,0,-2026000,-2026000,None,USD,196533000,16657000,None,4863000,91191000,105342000,3302000,11262000,187000,-294000,33000,32802000,55234000,30431000,42041000,2477000,48405000,-13726000,41754000,99545000,None,55883000,13771000,27068000,45815000,23412000,28302000,0,0,187000,0,-294000,-13150000,None,5751000,24000,96988000,None,45815000,33000,49150000,None,None,None,132325000,196533000,44202000,None,17063996,USD,2969000,2711000,-1793000,0,-43000,-410000,-575000,-614000,-2026000,224000,2427000,-154000,2716000,0,208000,-1652000,4051000,941000,4762000,-109000,822000,1046000,9.5,11.95
13,2017-03-31,USD,40211000,20874000,23807000,16404000,-4372000,-4885000,3947000,0,-4725000,0,16927000,98000,-4470000,0,353000,None,None,None,0,0,0,160000,0,0,-4885000,-4885000,None,USD,191028000,17034000,None,4953000,87172000,103856000,3139000,8449000,187000,1732000,41000,31603000,54071000,29385000,37557000,2475000,49041000,-16181000,37159000,99798000,None,55219000,16743000,26962000,46435000,21755000,26633000,0,0,187000,0,1732000,-13150000,None,5410000,24000,91230000,None,46435000,41000,49615000,None,None,None,131268000,191028000,46128000,None,16260583,USD,8969000,2741000,6872000,-50000,-1518000,-8475000,-8017000,91000,-4885000,2742000,4345000,-472000,2761000,0,1060000,-1009000,4160000,1049000,2047000,4160000,221000,2963000,8.4,9.5
14,2016-12-31,USD,43930000,19384000,24814000,19116000,156000,-6783000,4270000,0,-199000,0,15114000,424000,-268000,0,355000,None,None,None,0,0,0,6584000,-648000,0,-6783000,-6783000,None,USD,199757000,17838000,None,4801000,93255000,106502000,0,58097000,184000,6617000,326000,31343000,54339000,26422000,39643000,7900000,8058000,-16809000,36586000,108832000,None,57321000,25712000,31152000,50153000,20745000,27258000,0,0,184000,0,6617000,-13150000,None,5134000,24000,90925000,None,None,None,None,None,None,None,129660000,199757000,52134000,None,16761923,USD,2973000,-4389000,2133000,0,-344000,220000,-1629000,-7264000,-6783000,2083000,-270000,2412000,3474000,0,2193000,385000,10709000,4741000,840000,-110000,-760000,1323000,11.8,8.4
15,2016-09-30,USD,45846000,18256000,24577000,21269000,3087000,2863000,3940000,0,2734000,0,14316000,74000,3013000,0,353000,None,None,None,0,0,0,-129000,0,0,2863000,2863000,None,USD,213696000,20080000,None,7477000,101647000,112049000,4153000,9281000,182000,13400000,1127000,32741000,61555000,25099000,44235000,7890000,7890000,-14960000,37927000,114214000,None,59228000,28684000,31815000,52132000,21139000,27064000,0,0,182000,0,13400000,-13150000,None,4987000,3747000,99482000,None,52132000,1127000,57412000,None,None,None,126577000,213696000,53783000,None,16534598,USD,-6026000,4123000,-8289000,0,-340000,-1288000,-1219000,-2545000,2863000,540000,10117000,-2545000,2835000,0,271000,555000,10819000,1638000,2263000,648000,-227000,313000,8.81,11.8
16,2016-06-30,USD,45966000,20411000,26248000,19718000,-431000,-806000,4037000,0,-784000,0,16374000,262000,-693000,0,353000,None,None,None,0,0,0,22000,0,0,-806000,-806000,None,USD,209172000,21879000,None,5595000,98930000,110242000,4297000,6408000,175000,10537000,1200000,33645000,63719000,24786000,39324000,7472000,7472000,-12759000,38125000,107328000,None,54718000,22659000,32588000,54109000,21700000,25444000,0,0,175000,0,10537000,-13150000,None,4401000,3794000,101844000,None,54109000,1200000,59606000,None,None,None,125439000,209172000,47445000,None,16000000,USD,-20000,-1351000,-1272000,0,-340000,-1573000,-1206000,-885000,-806000,-2631000,214000,-885000,3066000,0,-27000,1438000,10171000,97000,1252000,-1345000,-781000,-3412000,7.7,8.81
17,2016-03-31,USD,40380000,20093000,23661000,16719000,-3346000,-2791000,3783000,0,-3721000,0,16310000,28000,-3374000,0,375000,None,None,None,0,0,0,-930000,0,0,-2791000,-2791000,None,USD,218021000,24698000,None,5805000,103164000,114857000,4922000,8127000,175000,11343000,1317000,35780000,67660000,28198000,40842000,7055000,7055000,-8296000,38861000,111500000,None,54379000,22638000,31705000,56083000,23154000,25660000,0,0,175000,0,11343000,-13150000,None,3387000,3795000,106521000,None,56083000,1317000,62322000,None,None,None,124785000,218021000,50836000,None,15818736,USD,-20000,-2253000,-1296000,0,-334000,-1732000,-1544000,-1692000,-2791000,5610000,8638000,-1692000,3189000,0,146000,-1572000,11516000,2241000,1276000,11516000,-131000,5479000,9.55,7.7
18,2015-12-31,USD,54019000,20815000,28036000,25983000,5011000,4101000,3335000,0,4648000,0,17480000,-157000,5168000,0,363000,None,None,None,0,0,0,547000,-542000,0,4101000,4101000,None,USD,226277000,26755000,None,4271000,108101000,118176000,0,65490000,173000,14134000,1391000,36747000,71284000,22719000,43559000,6638000,6638000,-7600000,39900000,115093000,None,54674000,22619000,43895000,58054000,21589000,35973000,0,0,173000,0,14134000,-13150000,None,3096000,4686000,111184000,None,None,None,None,None,None,None,124619000,226277000,45338000,None,16000000,USD,3982000,-5800000,3169000,0,-327000,-1608000,-1453000,2912000,4101000,-693000,-2254000,1202000,3292000,0,172000,52000,-5803000,1346000,813000,-6447000,-211000,-904000,9.42,9.55
19,2015-09-30,USD,44455000,19520000,24729000,19726000,-47000,-500000,3472000,0,-410000,0,16048000,-253000,206000,0,363000,None,None,None,0,0,0,53000,0,0,-463000,-463000,None,USD,231092000,28734000,None,5214000,117718000,113374000,5484000,11232000,173000,10034000,1374000,37520000,72235000,23623000,50841000,6219000,None,-7459000,41323000,117534000,None,47120000,26599000,40905000,60019000,21193000,33390000,0,0,173000,0,10034000,-13150000,None,3331000,2650000,113558000,None,60019000,1374000,66877000,None,None,None,123776000,231092000,50222000,None,16000000,USD,974000,3673000,-415000,0,2108000,-1479000,-3657000,None,-463000,3853000,5747000,427000,3195000,0,70000,-1725000,644000,1790000,1389000,-1150000,-696000,3157000,10.0,9.42
