,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-03-31,USD,321363000,46972000,244401000,76962000,30717000,22429000,None,None,30717000,None,46972000,727000,29990000,None,None,8288000,-18000,None,None,None,None,8288000,662000,None,22429000,22429000,None,USD,993052000,66460000,None,20269000,200476000,773284000,32024000,None,124221000,1409994000,62147000,208371000,15342000,177798000,137146000,None,None,-10099000,296435000,381975000,None,517745000,None,87649000,None,96259000,137146000,None,None,124221000,None,1409994000,-750832000,None,39811000,None,611077000,19292000,1183000,31306000,63330000,None,None,None,None,993052000,177798000,-274436000,27515651,USD,-14473000,3340000,-14473000,-167000,None,-23714000,-527000,-13620000,22429000,-24428000,13759000,-13620000,9761000,-19272000,-3915000,-5776000,None,8212000,14306000,-10587000,None,-24428000,144.64,
1,2019-12-31,USD,355117000,45811000,255228000,99889000,54955000,43424000,None,None,54955000,None,45811000,877000,54078000,None,-19000,11531000,-39000,None,None,None,None,11531000,813000,None,43424000,43424000,None,USD,983703000,67729000,None,10503000,191241000,772758000,25647000,None,123007000,1406837000,56658000,208371000,11742000,202226000,133286000,None,None,-10169000,290971000,380273000,None,516362000,None,77061000,None,90483000,133286000,None,None,123007000,None,1406837000,-746917000,None,36359000,None,603430000,19704000,1297000,32308000,57955000,None,None,None,None,983703000,202226000,-266853000,27510912,USD,-14577000,-6522000,-14577000,-66000,None,-21942000,-2690000,-2586000,43424000,28765000,65284000,-2586000,9161000,-19245000,-7000,3942000,14498000,3367000,14511000,14498000,None,28765000,160.1,144.64
2,2019-09-30,USD,337054000,40404000,244946000,92108000,53131000,40745000,None,None,53131000,None,39518000,1427000,51704000,None,-19000,12386000,-20000,None,None,886000,None,12386000,478000,None,40745000,40745000,None,USD,962341000,69003000,None,9211000,193038000,749665000,23659000,5800000,124155000,1382658000,55057000,208371000,10873000,173461000,136573000,None,None,-10238000,280859000,368651000,None,491929000,None,91554000,None,94425000,136573000,None,None,124155000,None,1382658000,-746910000,None,35457000,None,593690000,19638000,1408000,32806000,56465000,None,None,None,None,962341000,173461000,-259323000,27484757,USD,-43345000,12357000,-43345000,-156000,None,-19577000,-243000,616000,40745000,-22827000,40095000,616000,8750000,-17869000,-1465000,-8353000,-15869000,1849000,43189000,-15869000,None,-22827000,138.65,160.1
3,2019-06-30,USD,323670000,34889000,245460000,78210000,44257000,33010000,None,None,44257000,None,33246000,936000,43321000,None,-19000,11247000,None,None,None,1643000,None,11247000,5956000,None,33010000,33010000,None,USD,905399000,70277000,None,10518000,178526000,726873000,22882000,1219000,122844000,1359782000,57374000,208371000,11138000,196288000,119706000,None,None,-10308000,247044000,368569000,None,448225000,None,75691000,None,86072000,119706000,None,None,122844000,None,1359782000,-745445000,None,11138000,None,536830000,None,None,35938000,58820000,None,None,None,None,905399000,196288000,-256282000,27491497,USD,-24763000,5963000,-24763000,2151000,None,-20513000,-268000,-6165000,33010000,8899000,54175000,-6165000,9171000,-17866000,-2379000,7048000,5472000,-324000,26914000,5472000,None,8899000,148.6,138.65
4,2019-03-31,USD,317882000,38069000,242485000,75397000,38657000,30604000,None,None,38657000,None,38069000,1329000,37328000,None,-19000,8053000,None,None,None,None,None,8053000,1241000,None,30604000,30604000,None,USD,886285000,71551000,None,5640000,171277000,715008000,20016000,1100000,121565000,1344638000,62480000,210429000,12502000,187389000,108797000,None,None,-8129000,224498000,367305000,None,433028000,None,81156000,None,93120000,108797000,None,None,121565000,None,1344638000,-743066000,None,12502000,None,518980000,None,None,42464000,62480000,None,None,None,None,886285000,187389000,-249060000,27504669,USD,-15645000,-1552000,-15645000,383000,None,-21705000,-558000,789000,30604000,-7142000,30208000,789000,8219000,-17874000,-3273000,-793000,-9205000,2146000,16028000,-9205000,None,-7142000,156.69,148.6
5,2018-12-31,USD,349581000,30237000,258189000,91392000,62194000,47907000,0,None,62194000,None,30237000,1039000,61155000,None,0,None,None,None,None,None,None,14287000,10644000,None,47907000,47907000,None,USD,875458000,72824000,None,6586000,170687000,704771000,19282000,35965000,120828000,1331908000,60831000,211347000,10739000,194531000,109856000,None,None,-8172000,215035000,365513000,None,420600000,None,72069000,None,92327000,109856000,None,None,120828000,None,1331908000,-739793000,None,10739000,None,509945000,None,None,41549000,60831000,None,None,None,None,875458000,194531000,-245980000,27505463,USD,None,-1978000,-76642000,-58444000,None,-19117000,-1076000,-472000,47907000,-23404000,72355000,-472000,7514000,-17875000,-166000,11988000,13310000,-5914000,18198000,13310000,None,-23404000,176.86,156.69
6,2018-09-30,USD,316654000,32079000,235455000,81199000,50434000,39028000,0,None,50434000,None,32079000,1314000,49120000,None,0,None,None,None,None,None,None,11406000,1314000,None,39028000,39028000,None,USD,840183000,55211000,None,6315000,166164000,674019000,17365000,6100000,119985000,1301876000,58663000,168030000,10700000,217935000,107501000,None,None,-8215000,195772000,410470000,None,450778000,0,83398000,0,102822000,107501000,0,0,119985000,0,1301876000,-739627000,None,10700000,None,429713000,None,None,41298000,58663000,None,None,None,None,840183000,217935000,-240548000,27489554,USD,None,12310000,-9811000,-71000,None,-18866000,-778000,2763000,39028000,12183000,40860000,2763000,6944000,-16495000,-1593000,-11961000,-10325000,2101000,9740000,-10325000,None,12183000,149.21,176.86
7,2018-06-30,USD,308170000,33331000,231988000,76182000,43802000,32387000,0,0,43802000,0,33331000,951000,42851000,0,0,None,None,None,0,0,0,11415000,413000,0,32387000,32387000,None,USD,804491000,56176000,None,9304000,152209000,652282000,16804000,1306000,119232000,1279343000,58442000,168030000,10595000,205752000,93767000,None,None,-8259000,190813000,378877000,None,428076000,0,72960000,0,90861000,93767000,0,0,119232000,0,1279343000,-738034000,None,10595000,None,425614000,None,None,41638000,58442000,None,None,None,None,804491000,205752000,-234914000,27487989,USD,None,-1159000,-8537000,-73000,None,-16916000,-429000,2467000,32387000,18422000,43875000,2467000,6997000,-16487000,0,-2747000,3788000,2142000,8464000,3788000,None,18422000,138.42,149.21
8,2018-03-31,USD,296174000,30248000,228261000,67913000,38040000,27621000,0,0,38040000,0,30248000,375000,37665000,0,0,None,None,None,0,0,0,10419000,-146000,0,27621000,27621000,None,USD,786565000,57182000,None,11840000,153702000,632863000,15740000,36329000,118106000,1263443000,43446000,168030000,235137000,187330000,94516000,None,None,-10652000,187413000,364015000,None,407651000,0,76731000,0,88114000,94516000,0,0,118106000,0,1263443000,-738034000,None,9925000,None,422550000,None,None,43446000,59186000,None,None,None,None,786565000,187330000,-229316000,27478232,USD,None,8159000,-7321000,-47000,None,-17000000,-268000,6402000,27621000,8563000,32884000,6402000,6869000,-16483000,-249000,-10455000,-8389000,2677000,7274000,-8389000,None,8563000,123.14,138.42
9,2017-12-31,USD,319665000,36676000,235724000,83941000,47677000,45920000,0,0,47677000,0,36676000,412000,47265000,0,0,None,None,None,0,0,0,1757000,-93000,0,45920000,45920000,None,USD,764476000,58189000,None,18311000,143467000,621009000,14867000,32490000,117203000,1250416000,43531000,168030000,236361000,178767000,85069000,None,None,-8825000,185018000,343097000,None,394790000,0,68360000,0,77659000,85069000,0,0,117203000,0,1250416000,-737785000,None,10142000,None,421379000,None,None,43531000,58398000,None,None,None,None,764476000,178767000,-224695000,27450957,USD,None,-10442000,-6790000,3000,None,-16662000,-189000,-12676000,45920000,21589000,45041000,-12676000,6614000,-16469000,-4000,7607000,1561000,-6569000,6793000,14587000,None,21589000,129.21,123.14
