,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,4114000,13946000,None,4114000,102323000,72214000,None,None,97192000,None,13454000,112155000,-9832000,492000,5131000,24978000,None,-5131000,None,None,None,24978000,112155000,None,72214000,72214000,None,USD,12335399000,None,None,2544000,1614665000,10720734000,1017921000,11544000,1820000,2832257000,1020966000,None,9100000,17162000,20106000,None,None,8158000,None,19706000,12306593000,10720734000,None,None,573593000,None,8562000,None,None,1820000,None,2832257000,None,None,9100000,None,12315693000,None,573593000,3045000,1594559000,None,None,None,7878499000,12335399000,17162000,None,None,USD,-20000,11004000,-20000,14910000,None,22000,22000,120000,72214000,-1195000,-1197000,120000,492000,None,None,None,None,-85027000,20000,None,None,-1195000,122.19,
1,2020-03-31,USD,4104000,11379000,None,4104000,-4755000,-7842000,None,None,-10616000,None,10886000,2520000,-7275000,493000,5861000,-2774000,55821000,-5861000,None,None,None,-2774000,2520000,None,-7842000,-7842000,None,USD,12225154000,None,None,2665000,1578183000,10646971000,992704000,3850000,1820000,2760043000,996804000,None,9406000,18357000,8110000,None,None,8158000,None,21022000,12194726000,10646971000,None,None,573269000,None,4260000,None,None,1820000,None,2760043000,None,None,9406000,None,12204132000,None,573269000,4100000,1570073000,None,None,None,7876950000,12225154000,18357000,None,183000000,USD,-14925000,-4066000,-14925000,-14910000,None,-1941000,-1941000,-192000,-7842000,-31367000,-14501000,-192000,493000,None,None,None,None,-2894000,15000,None,None,-31367000,107.0,122.19
2,2019-12-31,USD,3941000,19669000,2647000,3941000,127595000,91969000,None,None,121437000,None,14049000,135917000,-8322000,467000,6158000,29468000,139964000,-6158000,None,None,None,29468000,135917000,None,91969000,91969000,None,USD,12256342000,None,None,2409000,1588396000,10667946000,999757000,5971000,1819000,2767885000,1003313000,None,9535000,49724000,12139000,None,None,8158000,None,52133000,12194674000,10667946000,None,None,572944000,None,6168000,None,None,1819000,None,2767885000,None,None,9535000,None,12204209000,None,572944000,3556000,1576257000,None,None,None,7890084000,12256342000,49724000,None,183000000,USD,-425000,101000,-425000,-14910000,None,13934000,13934000,107000,91969000,3178000,-10331000,107000,467000,None,None,None,None,-102975000,425000,None,None,3178000,124.56,107.0
3,2019-09-30,USD,3713000,11301000,2323000,3713000,42743000,27496000,None,None,36620000,None,10830000,50331000,-7588000,471000,6123000,9124000,55077000,-6123000,None,None,None,9124000,50331000,None,27496000,27496000,None,USD,12172047000,None,None,48405000,1559875000,10612172000,972005000,7734000,1816000,2675916000,975452000,None,9767000,46546000,11804000,None,None,7778000,None,94951000,12067329000,10612172000,None,None,572619000,None,4070000,None,None,1816000,None,2675916000,None,None,9767000,None,12077096000,None,572619000,3447000,1548071000,None,None,None,7926662000,12172047000,46546000,None,183000000,USD,-25000,-2076000,-25000,-14910000,3670000,-13405000,-17075000,4837000,27496000,-20588000,-7158000,4837000,471000,None,None,None,None,-37886000,25000,None,None,-20588000,104.52,124.56
4,2019-06-30,USD,3747000,10913000,2227000,3747000,22318000,12052000,None,None,15976000,None,10444000,29484000,-7166000,469000,6342000,3924000,39464000,-6342000,None,None,None,3924000,29484000,None,12052000,12052000,None,USD,12107169000,None,None,7181000,1520109000,10587060000,964584000,9952000,1816000,2648420000,967179000,None,9112000,67134000,29381000,None,None,7778000,None,74315000,12023742000,10587060000,None,None,523549000,None,19429000,None,None,1816000,None,2648420000,None,None,9112000,None,12032854000,None,523549000,2595000,1490728000,None,None,None,7929046000,12107169000,67134000,None,183000000,USD,-33000,7436000,-33000,-14910000,50000000,2502000,2502000,-6113000,12052000,-6044000,-8513000,-6113000,469000,None,None,None,None,-22357000,33000,None,None,-6044000,102.84,104.52
5,2019-03-31,USD,3458000,2253000,2253000,3458000,-12332000,-14301000,None,None,-18875000,None,6938000,-6131000,-6201000,468000,6543000,-4574000,28724000,-6543000,None,None,None,-4574000,-6131000,None,-14301000,-14301000,None,USD,12083378000,None,None,1121000,1493623000,10589755000,961665000,2902000,1814000,2636368000,964561000,None,9585000,73178000,5824000,None,None,7778000,None,74299000,11999494000,10589755000,None,None,523238000,None,2922000,None,None,1814000,None,2636368000,None,None,9585000,None,12009079000,None,523238000,2896000,1487799000,None,None,None,7943795000,12083378000,73178000,None,183000000,USD,-17000,-2975000,-17000,None,50000000,1653000,1653000,349000,-14301000,-9925000,-11561000,349000,468000,None,None,None,None,4898000,17000,None,None,-9925000,91.64,102.84
6,2018-12-31,USD,3576000,566000,566000,3576000,25986000,14804000,1564000,0,19723000,0,6069000,31079000,-5093000,470000,6263000,None,None,None,0,0,0,4919000,24816000,0,14804000,14804000,None,USD,12098437000,None,None,1471000,1499819000,10600432000,965829000,4691000,1814000,2650669000,968696000,None,9487000,83103000,8195000,None,None,7778000,None,84574000,12004376000,10598618000,None,None,522928000,None,3504000,None,None,1814000,None,2650669000,None,None,9487000,None,12013863000,None,522928000,2867000,1491624000,None,None,None,7938357000,12098437000,83103000,None,183000000,USD,None,-2027000,-6000,None,50000000,50022000,50022000,615000,14804000,39835000,-10181000,615000,470000,None,None,None,None,-24043000,6000,None,None,39835000,71.81,91.64
7,2018-09-30,USD,3518000,505000,505000,3518000,83368000,59639000,1421000,0,77401000,0,5187000,87464000,-4096000,501000,5967000,None,None,None,0,0,0,17762000,81497000,0,59639000,59639000,None,USD,12082674000,0,None,52210000,1497379000,10587109000,961835000,6908000,1814000,2635865000,964763000,0,49000,43268000,9999000,None,None,7778000,9779000,95478000,11977368000,10585295000,0,None,522617000,0,3091000,0,0,1814000,0,2635865000,0,None,9828000,None,11987196000,None,522617000,2928000,1487380000,None,None,None,7939838000,12082674000,43268000,None,183000000,USD,None,-2477000,-11000,0,None,303000,48878000,526000,59639000,-9194000,-9486000,526000,501000,0,-48575000,0,0,-67675000,11000,None,None,-9194000,84.33,71.81
8,2018-06-30,USD,3371000,501000,501000,3371000,20809000,10580000,1528000,0,14774000,0,5514000,25880000,-5071000,899000,6035000,None,None,None,0,0,0,4194000,19845000,0,10580000,10580000,None,USD,12002928000,0,None,48523000,1481445000,10523297000,943401000,9224000,1814000,2571299000,946377000,0,17000,52462000,11909000,523159000,523159000,8252000,10289000,100985000,11891637000,10521483000,0,None,523159000,0,2685000,0,0,1814000,0,2571299000,0,None,10306000,None,11901943000,None,523159000,2976000,1469536000,None,None,None,7940118000,12002928000,52462000,None,182000000,USD,None,6615000,-10000,0,25000000,-22719000,46530000,-947000,10580000,-25626000,-2897000,-947000,899000,0,-94249000,0,0,-20044000,10000,None,None,-25626000,75.64,84.33
9,2018-03-31,USD,11791000,466000,466000,11791000,-14984000,-15070000,1443000,0,-20021000,0,6727000,-17230000,2246000,909000,5037000,None,None,None,0,0,0,-4951000,-22267000,0,-15070000,-15070000,None,USD,11957547000,0,None,1797000,1446152000,10513209000,939821000,2515000,1814000,2560719000,943170000,0,49000,78088000,5218000,497764000,497764000,8424000,11179000,79885000,11866434000,10511395000,0,None,497764000,0,2703000,0,0,1814000,0,2560719000,0,None,11228000,None,11877662000,None,497764000,3349000,1440934000,None,None,None,7940438000,11957547000,78088000,None,183000000,USD,None,-5121000,-14000,0,25000000,541000,541000,1282000,-15070000,-3169000,-3696000,1282000,909000,0,0,0,0,14304000,14000,None,None,-3169000,84.8,75.64
