,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,481602000,50139000,363629000,117973000,68597000,55624000,None,None,68597000,None,50139000,763000,67834000,None,0,12973000,None,0,None,None,None,12973000,763000,None,55624000,55624000,None,USD,1636375000,None,None,None,717593000,918782000,1971000,None,267000,708845000,46320000,12018000,49491000,49102000,129612000,None,None,None,1876000,1565590000,None,906764000,None,58230000,587981000,1458258000,129612000,None,None,267000,None,708845000,-49391000,None,53204000,None,3687000,5545000,587981000,15047000,587981000,None,None,None,259061000,1636375000,49102000,None,25089151,USD,-143000,15090000,-143000,None,-157193000,-156256000,-2084000,23309000,55624000,-69130000,87269000,4563000,156000,None,937000,23833000,-13224000,1227000,143000,-13224000,None,-69130000,88.03,
1,2020-03-31,USD,454727000,52686000,348163000,106564000,54889000,42839000,None,None,54889000,None,52686000,1011000,53878000,None,0,12050000,None,0,None,None,None,12050000,1011000,None,42839000,42839000,None,USD,1719044000,12018000,None,None,859439000,859605000,2619000,None,266000,653221000,49276000,12018000,52767000,118232000,115046000,None,None,None,1888000,1645071000,None,847587000,None,45006000,744393000,1481833000,115046000,None,None,266000,None,653221000,-49391000,None,57766000,None,2301000,5439000,744393000,22053000,744393000,None,None,None,255509000,1719044000,118232000,None,25074446,USD,-1125000,-14500000,-1542000,-1125000,53128000,22626000,-2084000,-24228000,42839000,79887000,58803000,-3157000,161000,None,-30502000,17902000,11385000,4173000,417000,11385000,None,79887000,45.15,88.03
2,2019-12-31,USD,605649000,58217000,463435000,142214000,84871000,64870000,None,None,84871000,None,58217000,874000,83997000,None,0,20001000,None,0,None,None,None,20001000,874000,None,64870000,64870000,None,USD,1666115000,12018000,None,None,820922000,845193000,2133000,32351000,264000,610382000,51763000,12018000,45006000,38345000,130363000,296028000,296028000,None,1632000,1594359000,None,833175000,None,56390000,690559000,1499624000,130363000,None,None,264000,None,610382000,-18056000,None,53485000,None,4621000,5645000,690559000,25145000,690559000,None,None,None,252603000,1666115000,38345000,None,25359409,USD,-193000,20862000,-193000,-1059000,-61638000,-60717000,-917000,40836000,64870000,1315000,62225000,3465000,156000,None,921000,-16730000,-10960000,562000,193000,-10960000,None,1315000,70.65,45.15
3,2019-09-30,USD,483081000,52625000,366431000,116650000,64732000,49349000,None,None,64732000,None,52625000,707000,64025000,None,0,15383000,None,0,None,None,None,15383000,707000,None,49349000,49349000,None,USD,1636193000,12018000,None,None,859146000,777047000,2460000,51446000,240000,545512000,None,12018000,54354000,37030000,107782000,69768000,69768000,None,1631000,1563090000,None,765029000,None,45431000,751364000,1480629000,107782000,None,None,240000,None,545512000,-18056000,None,56665000,None,2789000,5360000,751364000,17109000,751364000,None,None,None,249351000,1636193000,37030000,None,22949956,USD,-1059000,11138000,-1277000,-1059000,85317000,86018000,-917000,10269000,49349000,-525000,-85266000,5573000,161000,None,701000,-150250000,-2223000,986000,218000,-2223000,None,-525000,83.32,70.65
4,2019-06-30,USD,461830000,52870000,350519000,111311000,60535000,46055000,None,None,60535000,None,52870000,2094000,58441000,None,0,14480000,None,0,None,None,None,14480000,2094000,None,46055000,46055000,None,USD,1486060000,12018000,None,None,760825000,725235000,3333000,45194000,240000,496163000,None,12018000,58052000,37555000,95902000,69256000,69256000,None,1429000,1409461000,None,713217000,None,43207000,664923000,1328699000,95902000,None,None,240000,None,496163000,-18056000,None,61137000,None,2015000,5317000,664923000,16451000,664923000,None,None,None,246888000,1486060000,37555000,None,22939883,USD,-112000,14242000,-112000,None,-12317000,-11702000,-2067000,8901000,46055000,2471000,14285000,2531000,161000,None,615000,-38417000,-11220000,933000,112000,-11220000,None,2471000,71.43,83.32
5,2019-03-31,USD,287594000,45229000,221290000,66304000,21694000,18334000,None,None,21694000,None,45229000,619000,21075000,None,0,3360000,None,0,None,None,None,3360000,619000,None,18334000,18334000,None,USD,1436203000,12018000,None,None,759277000,676926000,4308000,47173000,239000,450108000,None,12018000,44838000,35084000,83202000,68750000,68750000,None,1478000,1357926000,None,664908000,None,31987000,676075000,1290855000,83202000,None,None,239000,None,450108000,-18056000,None,63641000,None,1140000,5290000,676075000,14335000,676075000,None,None,None,244635000,1436203000,35084000,None,22925730,USD,-211000,-7871000,-211000,None,21200000,21849000,-2067000,-10154000,18334000,-11540000,-33178000,3166000,165000,None,649000,-61254000,10849000,3433000,211000,10849000,None,-11540000,60.24,71.43
6,2018-12-31,USD,425160000,48129000,321602000,103558000,56209000,42653000,0,0,56209000,0,48129000,780000,55429000,0,-10823000,None,None,None,0,0,0,13556000,219000,0,42653000,42653000,None,USD,1395473000,12018000,None,None,739530000,655943000,5737000,50303000,237000,431774000,None,12018000,55807000,46624000,85796000,68251000,68251000,None,1432000,1317716000,None,643925000,None,42836000,653734000,1228256000,85796000,None,None,237000,None,431774000,-18056000,None,61517000,None,2790000,None,653734000,None,653734000,None,None,None,241988000,1395473000,46624000,None,22707385,USD,-1059000,-4959000,-714000,-634000,24873000,24076000,76000,31000,42653000,8655000,-14707000,-3660000,168000,None,-873000,-40277000,-11457000,2825000,80000,-11457000,None,8655000,45.22,60.24
7,2018-09-30,USD,380369000,45684000,283035000,97334000,48991000,37723000,0,0,48991000,0,45684000,-2659000,51650000,0,10823000,None,None,None,0,0,0,11268000,-4309000,0,37723000,37723000,None,USD,1333787000,19979000,None,None,721368000,612419000,1792000,55364000,237000,389121000,48407000,19979000,54946000,37969000,93673000,None,None,None,1520000,1257342000,None,592440000,0,31379000,627695000,1187994000,93673000,612419000,239611000,237000,0,389121000,-16550000,None,51088000,None,3858000,None,627695000,None,627695000,None,None,None,239611000,1333787000,37969000,None,22717153,USD,None,12471000,-73857000,-73829000,68750000,69286000,-76000,5550000,37723000,-10917000,-6346000,-8923000,177000,0,612000,-50938000,367000,2777000,28000,367000,None,-10917000,47.44,45.22
8,2018-06-30,USD,419847000,47603000,310082000,109765000,62671000,47608000,0,0,62671000,0,47603000,509000,62162000,0,8787000,None,None,None,0,0,0,15063000,509000,0,47608000,47608000,None,USD,1199919000,12018000,None,None,631237000,568682000,1692000,44387000,236000,351398000,37670000,12018000,42898000,48886000,76698000,554539000,554539000,None,1675000,1143328000,None,556664000,0,31746000,554539000,1062696000,76698000,568682000,233598000,236000,0,351398000,-16550000,None,40730000,None,2168000,None,554539000,None,554539000,None,None,None,233598000,1199919000,48886000,None,22632991,USD,None,-1351000,-214000,0,-18923000,-18178000,-3923000,5775000,47608000,-3138000,15254000,1282000,186000,0,745000,-23143000,-10086000,758000,214000,-10086000,None,-3138000,57.73,47.44
9,2018-03-31,USD,279024000,38389000,209765000,69259000,31227000,27302000,0,0,31227000,0,38389000,357000,30870000,0,7193000,None,None,None,0,0,0,3925000,360000,0,27302000,27302000,None,USD,1170854000,12018000,None,None,651944000,518910000,1602000,42592000,236000,303790000,31280000,12018000,43154000,52024000,80226000,571718000,571718000,None,1647000,1114035000,None,506892000,0,21660000,571718000,1040351000,80226000,518910000,231434000,236000,0,303790000,-16550000,None,42012000,None,1142000,None,571718000,None,571718000,None,None,None,231434000,1170854000,52024000,None,22615146,USD,None,-34643000,-153000,0,94962000,95530000,-132000,-57310000,27302000,-15547000,-110924000,-8950000,180000,0,700000,-120306000,23046000,2447000,153000,23046000,None,-15547000,70.57,57.73
