,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,41420000,-41420000,34320000,-34320000,34332000,22086000,12732000,None,28119000,None,10069000,27232000,7100000,-41420000,6213000,6033000,1969000,-4244000,None,None,None,6033000,25263000,None,22086000,22086000,None,USD,1242936000,225901000,None,5489000,547933000,695003000,23340000,10333000,16000,392893000,59816000,103369000,32470000,115156000,29264000,None,None,-2310000,7883000,863624000,None,365733000,694724000,44553000,449672000,3702000,18931000,None,None,16000,None,392893000,None,None,15748000,None,26411000,10909000,449672000,45657000,518669000,None,None,None,304404000,1242936000,809880000,None,16071000,USD,-13952000,6262000,-26757000,-12805000,None,-5000,-1134000,875000,22086000,-2380000,24382000,7056000,10054000,None,1129000,5726000,-3068000,-23734000,229000,-3068000,None,-2380000,111.85,
1,2020-03-31,USD,33161000,-33161000,29373000,-29373000,-21867000,-24131000,11891000,None,-30415000,None,9264000,-25655000,3788000,-33161000,8548000,-6284000,4730000,-3818000,None,None,None,-6284000,-30385000,None,-24131000,-24131000,None,USD,1185917000,216901000,None,37819000,524021000,661896000,21769000,5225000,16000,370807000,49920000,94341000,27628000,117527000,20438000,None,None,-4867000,6690000,830727000,None,350654000,621284000,46777000,444432000,7320000,15213000,None,None,16000,None,370807000,None,None,10900000,None,26358000,10714000,444432000,37382000,503583000,None,None,None,295940000,1185917000,738811000,None,16050000,USD,309062000,8460000,308536000,-526000,-203210000,-279305000,-3229000,2265000,-24131000,46153000,16922000,2958000,11455000,None,-72866000,1251000,-8398000,25327000,63000,-8398000,None,46153000,72.72,111.85
2,2019-12-31,USD,120282000,93279000,37182000,83100000,659000,-7365000,18664000,None,-8175000,None,10277000,10838000,-10179000,93279000,8834000,-810000,5840000,-2994000,None,None,None,-810000,4998000,None,-7365000,-7365000,None,USD,1494915000,230538000,None,63069000,727683000,767232000,32937000,4746000,17000,400105000,61752000,95229000,27965000,71543000,17002000,None,None,-216000,7185000,1123645000,None,441465000,939989000,41748000,638959000,7296000,12256000,None,None,17000,None,400105000,None,None,12710000,None,25608000,11212000,638959000,38785000,710681000,None,None,None,367326000,1494915000,1011532000,None,16823000,USD,-62264000,-20273000,-63179000,1638000,-203210000,-83693000,-1512000,-250000,-7365000,-154211000,-7339000,5016000,10430000,None,-82181000,-561000,-8429000,13843000,2607000,-8429000,None,-154211000,104.29,72.72
3,2019-09-30,USD,24808000,-24808000,29966000,-29966000,-10878000,-15251000,13742000,None,-19871000,None,9525000,-5720000,-5158000,-24808000,8993000,-4620000,7396000,-1597000,None,None,None,-4620000,-13116000,None,-15251000,-15251000,None,USD,1547476000,251681000,None,5039000,696895000,850581000,3761000,4024000,17000,407470000,19735000,93513000,2488000,275158000,35695000,None,None,-1493000,6411000,1183103000,None,505387000,874383000,21958000,631533000,6565000,31671000,None,None,17000,None,407470000,None,None,12768000,None,364373000,10858000,631533000,25906000,661200000,None,None,None,444587000,1547476000,1149541000,None,17563,USD,181991000,-28397000,169517000,-12474000,-27323000,-211312000,-3013000,2081000,-15251000,-47992000,-6197000,4765000,9888000,None,-180976000,3073000,-1699000,21424000,2553000,-1699000,None,-47992000,99.54,104.29
4,2019-06-30,USD,24987000,-24987000,29117000,-29117000,-9016000,-14419000,12213000,None,-18028000,None,10994000,-4886000,-4130000,-24987000,9012000,-3609000,9285000,273000,None,None,None,-3609000,-14171000,None,-14419000,-14419000,None,USD,1801836000,252617000,None,19985000,760383000,1041453000,694000,5702000,19000,422721000,16700000,88000000,1680000,333423000,108985000,41400000,27087000,-542000,6268000,1442307000,None,700836000,1059002000,20259000,624209000,9638000,61883000,None,None,19000,None,422721000,None,None,12644000,None,359529000,11478000,624209000,26495000,651398000,None,None,None,619255000,1801836000,1392425000,None,19390,USD,268235000,-63730000,265803000,-2432000,-27323000,-37591000,2000,-7284000,-14419000,167154000,-61058000,-7630000,7043000,None,-37593000,-1750000,6356000,13072000,247000,6356000,None,167154000,114.15,99.54
5,2019-03-31,USD,43484000,-856281000,29738000,-29738000,851619000,666337000,11289000,None,842713000,None,11088000,25076000,826543000,-856281000,8906000,176376000,14296000,-2997000,None,None,None,176376000,831964000,None,666337000,666337000,None,USD,1913988000,247313000,None,27946000,834014000,1079974000,9614000,7474000,20000,437140000,25930000,86809000,1515000,177854000,186777000,45474000,26756000,-503000,5575000,1567895000,None,745852000,1323575000,26615000,616987000,11905000,133829000,None,None,20000,None,437140000,None,None,6396000,None,346093000,1187000,616987000,20636000,647237000,None,None,None,643317000,1913988000,1501429000,None,19664,USD,-714779000,108002000,94777000,809556000,-27323000,-152576000,-2895000,-4119000,666337000,-12541000,45258000,None,10714000,None,-149681000,-2823000,29235000,-766207000,301000,29235000,None,-12541000,125.71,114.15
6,2018-12-31,USD,195296000,26441000,26441000,168855000,-35770000,-42480000,8840000,0,-56787000,0,11163000,-68919000,33149000,0,21017000,None,None,None,-600000,0,0,-14307000,-89938000,0,-42480000,-42480000,None,USD,1260803000,251253000,None,89185000,699889000,560914000,None,9003000,21000,-229197000,7776000,86646000,46992000,117164000,82249000,49863000,26433000,-1024000,5372000,870540000,None,223015000,601217000,55850000,609864000,7124000,23383000,None,None,21000,None,-229197000,None,None,471000,None,46521000,None,609864000,7776000,617640000,None,None,None,791114000,1260803000,718381000,None,20765533,USD,295081000,4454000,275302000,-18892000,-107790000,-347085000,-140383000,-115000,-42482000,-39211000,32572000,12818000,16644000,None,-98912000,1204000,-8164000,48098000,891000,-8164000,None,-39211000,135.7,125.71
7,2018-09-30,USD,45663000,-45663000,22301000,-22301000,90426000,67362000,8840000,0,79226000,0,9633000,67064000,23362000,-45663000,11200000,None,None,None,0,0,0,11864000,55864000,0,67362000,67362000,None,USD,2105742000,237210000,None,683425000,1406222000,699520000,None,6128000,21000,-183914000,10039000,85961000,32939000,115560000,793344000,776302000,213144000,-64000,4407000,1745225000,None,376349000,891128000,46976000,602839000,8136000,10914000,None,None,21000,None,-183914000,None,None,499000,None,32440000,None,602839000,10039000,612878000,None,None,None,883477000,2105742000,1006688000,None,21095174,USD,-81704000,-9364000,-78252000,3452000,52129000,58917000,-223000,-3867000,67362000,7747000,27082000,-11988000,15108000,None,7011000,632000,-4975000,-29693000,62000,-4975000,None,7747000,274.49,135.7
8,2018-06-30,USD,90043000,-90043000,19868000,-19868000,109033000,73160000,8840000,0,95579000,0,9294000,38858000,70175000,-90043000,13454000,None,None,None,0,0,0,22419000,25404000,0,73160000,73160000,None,USD,1858284000,242438000,None,472022000,1238471000,619813000,0,9195000,21000,-254240000,9709000,85961000,45228000,151459000,632850000,611661000,210370000,-151000,4187000,1480470000,None,291414000,805468000,42001000,595912000,9520000,11994000,0,0,21000,0,-254240000,0,None,642000,None,44586000,None,595912000,9709000,605621000,None,None,None,874183000,1858284000,956927000,None,21095174,USD,-586562000,47000,-586738000,-176000,571065000,613529000,363000,-32185000,73162000,100435000,73644000,-7180000,15448000,0,42101000,583000,-4893000,-3523000,66000,-4893000,None,100435000,207.17,274.49
9,2018-03-31,USD,56157000,19116000,19116000,37041000,57917000,45279000,8840000,0,55312000,0,7643000,20876000,37041000,3278000,2605000,None,None,None,0,0,0,10033000,18271000,0,45279000,45279000,None,USD,754668000,245275000,None,33182000,257490000,481100000,3000000,7545000,21000,-327400000,10511000,85961000,70262000,51024000,246979000,227547000,227547000,-286000,4119000,349051000,None,165942000,213329000,40985000,0,10531000,11887000,0,0,21000,16078000,-327400000,0,None,894000,None,69368000,None,None,7511000,10511000,None,16078000,None,808765000,754668000,264353000,None,21301980,USD,-32341000,321000,-33581000,-1240000,728215000,3224000,-3797000,32185000,45279000,30404000,60761000,31437000,6020000,0,7021000,-4978000,-11512000,-5806000,887000,-11512000,None,30404000,165.16,207.17
