,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,-268000,34478000,12721000,-12989000,-30084000,-39658000,None,None,-42866000,9970000,13204000,None,-34746000,None,4179000,-2943000,None,-4179000,None,None,None,-2943000,-3941000,None,-39923000,-39658000,None,USD,672289000,5607000,None,None,588311000,83978000,None,2083000,5000,45403000,6866000,22105000,9040000,80897000,171271000,None,5646000,-8824000,500971000,134566000,None,56266000,None,None,395637000,8583000,9869000,None,None,None,None,None,None,None,8401000,None,537723000,5961000,None,6730000,417040000,None,None,None,None,None,None,None,None,USD,-35299000,-29275000,-35299000,None,30144000,29892000,-35000,6340000,-39658000,-57601000,-52194000,None,8603000,None,None,-18000,None,1329000,35299000,None,None,None,7.72,
1,2020-03-31,USD,81238000,78987000,42192000,39046000,5496000,-1934000,None,None,-4299000,16476000,30105000,None,2251000,None,3054000,-1828000,-6497000,-3054000,None,None,None,-1828000,-3496000,None,-2471000,-1934000,None,USD,705522000,6001000,None,22791000,597869000,107653000,None,5922000,5000,78820000,14922000,22105000,8228000,137040000,202819000,None,11816000,-18080000,474076000,195112000,None,79547000,None,None,358871000,8565000,7939000,None,None,None,None,None,None,None,8057000,None,510410000,6159000,358871000,12306000,395050000,None,None,None,46908000,None,137040000,None,50000000,USD,-116732000,9126000,-116732000,None,152195000,151873000,-188000,-1451000,-1934000,50573000,15432000,None,6741000,None,-261000,-239000,None,1976000,116732000,None,None,None,4.17,7.72
2,2019-12-31,USD,75797000,76744000,41777000,34020000,7602000,-1469000,None,None,-2556000,16112000,27801000,None,-947000,None,2897000,-2648000,-1622000,-2897000,None,None,None,-2648000,1288000,None,92000,-1469000,None,USD,548658000,6396000,None,7679000,425408000,123250000,None,1300000,5000,81655000,7808000,22105000,9623000,101579000,182916000,4525000,4525000,-4681000,363895000,146639000,None,94749000,1575000,None,213543000,8326000,14633000,None,None,None,None,None,None,None,9405000,None,402019000,6364000,213543000,3317000,242492000,None,None,None,46271000,None,101579000,None,49000000,USD,-23365000,21271000,-23365000,-4083000,-500000,-540000,-32000,-4799000,-1469000,-2872000,21033000,None,7261000,None,-1495000,-937000,None,-1503000,19282000,None,None,None,16.35,4.17
3,2019-09-30,USD,100983000,85324000,48294000,52689000,19524000,2161000,None,None,10077000,7336000,30797000,None,15659000,None,3214000,7351000,-5552000,-3214000,None,None,None,7351000,-2368000,None,2726000,-493000,None,USD,529613000,6791000,None,7995000,401593000,128020000,None,3048000,5000,90339000,12047000,22105000,5517000,104135000,160821000,2000000,2000000,-7701000,351637000,143563000,None,99124000,None,None,216117000,7389000,6122000,None,None,None,None,None,None,None,5517000,None,386050000,6574000,216117000,5083000,240772000,None,None,None,45377000,None,104135000,None,49000000,USD,-34409000,-21110000,-34409000,None,29976000,30165000,-32000,4315000,2161000,78000,4322000,None,6233000,None,-1487000,-588000,None,12103000,34409000,None,None,None,16.76,16.35
4,2019-06-30,USD,76658000,72537000,37520000,39138000,10774000,988000,None,None,1404000,6771000,28835000,None,4121000,None,3188000,553000,-2687000,-3188000,None,None,None,553000,471000,None,851000,988000,None,USD,508494000,7185000,None,33305000,377972000,130522000,None,149124000,5000,90832000,1259000,22105000,6538000,78746000,179236000,2000000,2000000,-1932000,322517000,150149000,None,101232000,None,None,185660000,6801000,7944000,None,None,None,None,None,None,None,5219000,None,358345000,5993000,185660000,1259000,198736000,None,None,None,41617000,None,78746000,None,49000000,USD,-7167000,16109000,-7167000,None,-500000,-3308000,-2322000,-2906000,988000,11411000,21886000,None,6182000,None,-1676000,187000,None,122000,7167000,None,None,None,17.95,16.76
5,2019-03-31,USD,89654000,75289000,39017000,50637000,21190000,14673000,None,None,12013000,6908000,30084000,None,14365000,None,2989000,-3066000,-2333000,-2989000,None,None,None,-3066000,637000,None,15079000,14673000,None,USD,493807000,7580000,None,30537000,365165000,128642000,None,133005000,5000,89844000,1379000,22105000,7174000,70103000,163847000,2000000,2000000,-2309000,321357000,135591000,None,98957000,None,None,188005000,6988000,11545000,None,None,None,None,None,None,None,6096000,None,358216000,6192000,188005000,1379000,201318000,None,None,None,41102000,None,70103000,None,47000000,USD,-35144000,3904000,-35144000,None,-500000,-1708000,-18000,-7003000,15079000,-21510000,15342000,None,6188000,None,-1190000,-219000,None,-3362000,35144000,None,None,None,15.25,17.95
6,2018-12-31,USD,70609000,74131000,39098000,31511000,-3522000,-4646000,0,0,-7131000,6502000,29327000,None,-3522000,0,-2817000,None,None,None,600000,0,0,-2578000,-3609000,0,-4553000,-4646000,None,USD,473409000,7975000,None,8779000,350863000,116044000,None,126686000,5000,75171000,3341000,22105000,6467000,113396000,159433000,2000000,2000000,-671000,285979000,150183000,700000,85964000,None,None,188089000,6769000,9326000,None,None,None,None,None,None,None,None,None,None,None,188089000,None,None,None,None,None,41539000,None,113396000,None,46000000,USD,None,13081000,-7299000,1536000,-500000,-505000,-4000,1863000,-4646000,9406000,17099000,None,6432000,None,-5364000,-99000,None,-323000,8835000,None,None,None,13.46,15.25
7,2018-09-30,USD,87242000,77176000,44964000,42278000,10066000,5067000,0,0,8036000,6409000,27188000,None,10066000,0,-2409000,None,None,None,0,0,0,2690000,-2030000,0,5346000,5067000,None,USD,464815000,8370000,None,8627000,337963000,120443000,0,118101000,5000,79817000,5803000,22105000,7417000,105688000,143999000,2000000,2000000,230000,282455000,142868000,1600000,89968000,8593000,None,188161000,6670000,6769000,0,40391000,5000,0,79817000,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,48000000,USD,None,-5256000,202000,14210000,-500000,-552000,-4000,4388000,5067000,14127000,14478000,None,5751000,0,0,208000,0,3889000,14008000,None,None,None,14.87,13.46
8,2018-06-30,USD,69473000,65266000,33810000,35663000,4207000,134000,0,0,68000,6130000,26462000,None,4207000,-5045000,-2870000,None,None,None,0,0,0,227000,-4139000,0,-159000,134000,None,USD,461762000,8764000,None,23423000,341631000,114001000,None,129465000,5000,74751000,3294000,22105000,8285000,91561000,150108000,2000000,2000000,73000,273075000,148033000,1500000,83132000,22803000,None,188229000,6878000,4017000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,46000000,USD,None,12124000,-19566000,-2566000,-500000,-467000,-189000,-6417000,134000,-5723000,14262000,None,5720000,None,None,361000,None,1901000,17000000,None,None,None,13.25,14.87
9,2018-03-31,USD,82410000,68039000,35871000,46539000,14371000,10796000,0,0,11194000,6423000,27123000,None,14371000,5045000,-2734000,None,None,None,0,0,0,277000,-3177000,0,10917000,10796000,None,USD,448799000,9159000,None,21046000,329425000,112951000,0,118498000,5000,74615000,3483000,22105000,9310000,97284000,137461000,1500000,1500000,None,260804000,147421000,None,81687000,20237000,None,188481000,7239000,4321000,0,38331000,5000,0,74615000,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,46000000,USD,None,-6666000,-27682000,-13180000,29375000,18045000,-7151000,-1377000,10796000,841000,10518000,None,5772000,0,0,-400000,0,1785000,14502000,None,None,None,10.27,13.25
