,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,13844000,5712000,354000,13490000,8080000,18625000,None,None,3687000,8000,1223000,302000,7778000,4301000.0,4393000,-90000,96000,-4297000,None,188000.0,None,-90000,18000,14856000,3777000,18625000,None,USD,735394000,20661000,None,None,364429000,370965000,None,None,None,None,None,None,None,9512000,68595000,63758000,None,323256000,613279000,18442000,62062000,350304000,None,8930000,282285000,None,4837000,None,None,None,None,None,None,None,16899000,None,4051000,6723000,282285000,13549000,295834000,None,47709000,None,None,735394000,9512000,None,None,USD,101000.0,-100000,116811000,116710000,-128287000,-136625000,-207000,None,18633000,-9181000,10633000,-16895000,4918000,-8131000,None,None,2424000,1653000,0.0,2424000,None,-9181000,24.46,
1,2020-03-31,USD,15678000,5901000,731000,14947000,3269000,-1380000,None,None,-1432000,8000,1612000,-5777000,9046000,3892000.0,4701000,-60000,232000,-4469000,None,397000.0,None,-60000,-6406000,None,-1372000,-1380000,None,USD,854154000,23108000,None,None,501443000,352711000,None,None,370314000,None,None,None,9353000,18702000,193615000,184362000,None,304948000,698655000,34590000,61533000,329603000,None,15888000,289875000,None,9253000,None,None,None,None,None,None,None,31990000,None,4278000,10732000,289875000,17953000,307828000,None,47763000,None,None,854154000,18702000,None,None,USD,142000.0,515000,-3847000,-3989000,116441000,613000,-107535000,None,-1372000,6229000,9463000,-496000,4245000,-12466000,4173000,None,-397000,6968000,3989000.0,-397000,None,6229000,18.0,24.46
2,2019-12-31,USD,15520000,7356000,478000,15042000,6024000,1137000,None,None,1293000,8000,1298000,-1662000,7686000,3867000.0,4731000,148000,68000,-4663000,None,2191000.0,None,148000,-3921000,None,1145000,1137000,None,USD,855605000,23966000,None,None,486281000,369324000,None,None,382581000,None,None,None,10597000,13065000,247252000,238654000,None,321658000,704492000,29195000,62059000,345358000,None,16130000,220247000,None,8598000,None,None,None,None,None,None,None,31336000,None,4557000,11176000,220247000,18782000,239029000,None,47666000,None,None,855605000,13065000,None,None,USD,134000.0,541000,-47979000,-45077000,53912000,40896000,-1912000,None,1145000,2626000,9709000,4286000,553000,-12296000,1192000,None,361000,2823000,3036000.0,361000,None,2626000,26.05,18.0
3,2019-09-30,USD,14402000,5244000,435000,13967000,8473000,3979000,None,None,4214000,7000,1288000,-250000,8723000,3395000.0,4259000,228000,198000,-4061000,None,561000.0,None,228000,-1009000,None,3986000,3979000,None,USD,804006000,19469000,None,None,432083000,371923000,None,None,394036000,None,None,None,10663000,10337000,189784000,180862000,None,324352000,671670000,26924000,62524000,352454000,None,16587000,224300000,None,8922000,None,None,None,None,None,None,None,18565000,None,4854000,10076000,224300000,17999000,242299000,None,47571000,None,None,804006000,10337000,None,None,USD,-8169000.0,-1614000,-8169000,-7231000,9790000,-2686000,-1082000,None,3782000,-5797000,5071000,-147000,3179000,-12290000,903000,None,-528000,2810000,1094000.0,-528000,None,-5784000,26.25,26.05
4,2019-06-30,USD,15025000,5364000,405000,14620000,20698000,9060000,None,None,12550000,8000,1503000,7949000,9661000,3456000.0,4692000,3285000,172000,-4520000,None,368000.0,None,3285000,7409000,None,9265000,9257000,None,USD,803201000,20133000,None,None,421813000,0,None,None,402369000,None,None,None,10146000,12068000,10472000,170881000,None,333636000,657403000,28998000,72576000,361255000,None,4069000,387792000,None,10472000,None,None,None,None,None,None,None,11700000,None,774203000,8216000,223903000,8341000,411341000,None,47752000,None,None,803201000,16134000,None,None,USD,5212000.0,4763000,5212000,10402000,1537000,-8786000,-957000,None,9060000,5106000,8716000,-12134000,3242000,-12256000,2898000,None,1269000,4997000,5314000.0,1269000,None,5142000,24.92,26.25
5,2019-03-31,USD,14393000,5326000,665000,13728000,11820000,7202000,None,None,7332000,8000,1478000,3418000,8402000,3517000.0,4488000,122000,-6932000,-4094000,None,331000.0,None,122000,2693000,None,7210000,7202000,None,USD,799114000,20485000,None,None,416266000,382848000,None,None,405731000,None,None,None,30792000,11028000,176057000,170884000,None,335184000,656078000,33671000,66565000,362363000,None,22643000,223771000,None,5173000,None,None,None,None,None,None,None,16965000,None,5350000,7525000,223771000,16438000,240209000,None,47664000,None,None,799114000,11028000,None,None,USD,150000.0,-1014000,-1970000,1226000,9872000,-2964000,-597000,None,7210000,3233000,8167000,-2433000,534000,-12239000,None,None,-789000,4659000,3346000.0,-789000,None,3233000,24.74,24.92
6,2018-12-31,USD,14714000,-43249000,-2022000,16736000,55831000,-2179000,None,None,-2608000,7000,-8254000,-4154000,59985000,-28700000.0,4687000,None,None,None,None,-6295000.0,None,-436000,None,None,-2172000,-2179000,None,USD,786613000,20839000,None,None,401628000,384985000,None,None,411158000,None,None,None,17070000,7780000,167853000,160418000,None,337677000,644058000,37061000,70260000,364146000,None,29281000,224087000,None,7435000,None,None,None,None,None,None,None,8843000,None,5552000,None,224087000,9688000,233775000,None,47308000,None,None,786613000,7780000,None,None,USD,193000.0,-1298000,-1500000,-1456000,10605000,-3935000,-2124000,None,-2172000,-5248000,187000,-1650000,587000,-12190000,-226000,None,None,5023000,237000.0,-303000,None,-5248000,20.575,24.74
7,2018-09-30,USD,17560000,5993000,360000,17200000,112513000,105139000,0,0,105607000,8000,735000,101306000,11207000,4293000.0,6906000,None,None,None,0,965000.0,0,460000,93464000,0,105147000,105139000,0,USD,787673000,21474000,None,14051000,389218000,398455000,2199000,803000,424875000,0,14874000,0,6169000,13112000,153375000,146063000,0,350921000,644368000,41626000,74036000,376981000,0,28514000,225729000,0,7312000,0,0,0,0,0,0,0,3970000,0,2199000,0,225729000,10114000,235843000,0,47534000,0,0,787673000,13112000,0,0,USD,307000.0,149000,37392000,41556000,-36486000,-50308000,-1497000,509000,105147000,-3413000,9503000,-96079000,790000,-12325000,0,0,-496000,-8000,4471000.0,-496000,0,-3413000,23.05,20.575
8,2018-06-30,USD,16796000,5621000,229000,16567000,12640000,6097000,0,0,6232000,8000,1089000,1694000,10946000,4233000.0,6408000,None,None,None,0,299000.0,0,127000,-4817000,0,6105000,6097000,0,USD,862836000,23627000,None,14424000,558304000,304532000,2671000,1500000,330207000,0,18542000,0,7234000,16345000,195538000,183499000,7657494.18,256998000,779848000,44534000,7593000,280905000,0,28189000,349223000,0,12039000,0,0,0,0,0,0,0,4563000,0,2671000,0,349223000,13543000,362766000,0,47534000,0,0,862836000,16345000,0,0,USD,309000.0,-1543000,-39484000,-35622000,-3866000,32089000,251000,-200000,6105000,2491000,9886000,5217000,643000,-2446000,47534000,0,608000,-1144000,4171000.0,608000,0,2491000,23.584,23.05
9,2018-03-31,USD,15695000,5906000,286000,15409000,13089000,6737000,0,0,6817000,4000,1699000,3586000,9503000,4022000.0,6272000,None,None,None,0,185000.0,0,76000,-2686000,0,6741000,6737000,0,USD,829546000,22709000,None,3621000,566363000,263183000,3149000,2023000,334651000,0,18309000,0,8757000,14122000,366100000,350309000,8145585.75,263183000,748734000,43039000,6307000,240474000,0,28917000,186522000,0,15791000,0,0,0,0,0,0,0,5608000,0,3149000,0,186522000,13741000,200263000,0,0,0,0,829546000,14122000,0,0,USD,299000.0,1869000,-33941000,-27309000,39747000,8502000,-20872000,783000,6741000,-13759000,11680000,5407000,563000,-20797000,1040000,0,188000,-3088000,6931000.0,188000,0,-13759000,nan,23.584
