,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,65552000,None,None,None,None,3777000,None,None,5251000,None,38747000,None,None,3853000,25919000,1474000,66817000,40898000,None,None,None,1474000,None,None,3777000,3777000,None,USD,8209154000,33834000,1854826000,None,7660719000,548435000,None,None,348295000,174837000,63319000,None,4756727000,1264208000,None,None,5000000,25303000,271949000,None,779794000,548435000,779794000,None,1716018000,None,None,None,None,None,None,None,None,None,None,None,None,3090000,1721029000,None,None,None,None,None,None,None,None,None,None,USD,-1980118000,0,-1980118000,1413000,1671017000,2903174000,1233286000,30971000,3777000,935238000,12182000,None,5573000,-1216000,None,None,None,-28139000,459000,None,None,None,14.51,
1,2020-03-31,USD,48381000,None,None,None,None,-7602000,None,None,-15380000,None,38328000,None,None,4626000,23312000,-7778000,63473000,40161000,None,None,None,-7778000,None,None,-7602000,-7602000,None,USD,5276316000,33532000,1735694000,None,4742544000,533772000,None,None,343747000,172276000,47968000,None,2944509000,264074000,None,None,50000000,17749000,276413000,None,574168000,533772000,574168000,None,50012000,None,None,None,None,None,None,None,None,None,None,None,None,2428000,8000,None,None,None,None,None,None,None,None,None,41000000,USD,-179226000,0,-179226000,613000,49998000,462257000,413026000,-38467000,-7602000,191511000,-91520000,None,5621000,-1209000,258000,None,None,-51072000,737000,None,None,None,12.47,14.51
2,2019-12-31,USD,61304000,40969000,None,53327000,None,6832000,None,None,8917000,None,34197000,None,12358000,4690000,23802000,2085000,61813000,38011000,None,None,None,2085000,-3441000,None,6832000,6832000,None,USD,4814970000,35365000,1610529000,967447000,4282584000,532386000,None,None,340397000,180265000,50829000,None,2743069000,134002000,4229797000,None,None,11724000,280943000,1202848000,540045000,532386000,540045000,None,14000,5612000,4229122000,None,None,None,None,None,None,None,None,None,None,2633000,23000,None,None,None,None,None,None,None,None,None,41000000,USD,-91181000,0,-91181000,72000,-1294000,207393000,209855000,-6927000,6832000,-24907000,-141119000,None,5664000,-1208000,508000,None,None,-146688000,7194000,None,None,None,19.01,12.47
3,2019-09-30,USD,58529000,42636000,None,48999000,None,3895000,None,None,6262000,None,32636000,None,6363000,5071000,23576000,2367000,61107000,37531000,None,None,None,2367000,-101000,None,3895000,3895000,None,USD,4603697000,37583000,1570059000,904395000,4075478000,528219000,None,None,337326000,174641000,52860000,None,2546679000,166777000,4020745000,1295000,1295000,16252000,282847000,1165793000,570795000,528219000,570795000,None,15000,5702000,4019267000,None,None,None,None,None,None,None,None,None,None,2056000,23000,None,None,None,None,None,None,None,None,None,41000000,USD,-130536000,0,-130536000,331000,-51000,296639000,297670000,-2617000,3895000,65001000,-101102000,None,5202000,-1208000,287000,None,None,-107582000,2180000,None,None,None,18.1,19.01
4,2019-06-30,USD,49770000,38275000,None,45173000,None,4935000,None,None,5597000,None,29550000,None,6898000,3424000,21203000,662000,55138000,33935000,None,None,None,662000,-1301000,None,4935000,4935000,None,USD,4274301000,41687000,1509515000,859137000,3755315000,518986000,None,None,334155000,171954000,30195000,None,2317325000,122542000,3723290000,1345000,1345000,12877000,283138000,1055876000,576275000,518986000,576275000,None,16000,6044000,3721597000,None,None,None,None,None,None,None,None,None,None,2162000,24000,None,None,None,None,None,None,None,None,None,41000000,USD,-150040000,0,-451447000,-423624000,-49000,192014000,572110000,4673000,4935000,-102422000,-144396000,None,5067000,-1206000,172000,None,None,-159071000,14508000,None,None,None,17.15,18.1
5,2019-03-31,USD,43632000,37566000,None,40890000,None,2372000,None,None,2689000,None,29092000,None,3324000,3632000,19317000,317000,49922000,30605000,None,None,None,317000,-635000,None,2372000,2372000,None,USD,4058047000,44324000,1414178000,773881000,3557667000,500380000,None,None,331162000,168225000,25538000,None,2101649000,228409000,3530678000,1393000,1393000,993000,273963000,1068372000,569739000,500380000,569739000,None,17000,1374000,3528405000,None,None,None,None,None,None,None,None,None,None,2331000,25000,None,None,None,None,None,None,None,None,None,41000000,USD,-301407000,0,-301407000,393000,-49000,377759000,378822000,9287000,2372000,-30956000,-107308000,None,4034000,-1205000,14000,None,None,-123001000,13315000,None,None,None,14.61,17.15
6,2018-12-31,USD,39697000,30582000,22781000,39697000,0,10490000,0,0,7480000,0,26573000,None,9115000,4009000,15959000,None,None,None,-244000,0,0,-3010000,-1635000,0,10490000,10490000,None,USD,3670449000,47641000,None,700993000,3176889000,493560000,None,None,328113000,167124000,25849000,None,1974512000,315123000,3151024000,None,None,-1677000,226344000,1024460000,397492000,493560000,7250000,None,1457000,1094000,3149583000,None,None,None,None,None,None,None,None,None,None,None,16000,None,None,None,None,None,None,None,None,None,41000000,USD,-6444000,0,-143328000,135000,-49000,224032000,225295000,-13913000,10490000,-51742000,-132446000,None,4377000,-1205000,1626000,None,None,-133400000,23491000,None,None,None,14.81,14.61
7,2018-09-30,USD,52298000,37459000,13923000,52298000,0,14252000,0,0,11054000,0,34144000,None,14839000,3315000,14166000,None,None,None,0,0,0,-3198000,-3785000,0,14252000,14252000,None,USD,3444757000,49261000,None,646475000,2967527000,477230000,0,None,325999000,157839000,41733000,0,1672132000,368565000,2924288000,None,None,-6608000,263861000,1017219000,442284000,477230000,750000,None,1489000,1429000,2924288000,477230000,0,325999000,0,157839000,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,42000000,USD,7752000,0,-132398000,180000,-1879000,-47732000,-44948000,5043000,14252000,-24376000,155754000,None,4186000,-1204000,0,139598000,0,132273000,26614000,None,None,None,26.8,14.81
8,2018-06-30,USD,55574000,39820000,16015000,55574000,0,14253000,0,0,14744000,0,35330000,None,15754000,4490000,13928000,None,None,None,0,0,0,491000,-1010000,0,14253000,14253000,None,USD,3472969000,52689000,None,757494000,3009983000,462986000,0,None,323211000,144791000,37362000,0,1578110000,392941000,2969236000,3385000,3385000,-5016000,234817000,1154410000,452943000,462986000,2250000,None,3368000,1725000,2969236000,462986000,0,323211000,0,144791000,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,42000000,USD,-8620000,0,-154295000,212000,-104000,-5033000,-4105000,4406000,14253000,-135011000,24317000,None,4037000,-1201000,0,0,0,1621000,19532000,None,None,None,30.65,26.8
9,2018-03-31,USD,50840000,37500000,14939000,50840000,0,12453000,0,0,12768000,0,25143000,None,21911000,4717000,10547000,None,None,None,0,0,0,315000,-572000,0,12453000,12453000,None,USD,3460863000,57242000,None,720511000,3012027000,448836000,0,2973341000,320619000,128217000,35197000,0,577773000,527952000,2973341000,3489000,3489000,-3522000,216831000,1252232000,446488000,448836000,2250000,None,3489000,722030000,2973341000,448836000,0,320619000,0,131739000,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,41000000,USD,-287491000,0,-420564000,212000,-23075000,689349000,712767000,-10942000,12453000,232681000,-36104000,None,3786000,-1199000,0,0,0,-41401000,41685000,None,None,None,27.8,30.65
