,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,824349000,137284000,654884000,169465000,32181000,24254000,None,None,31205000,None,123235000,None,32181000,11467000,976000,6951000,None,-976000,None,2582000,None,6951000,-1747000,None,24254000,24254000,None,USD,1272110000,None,None,41564000,562837000,649121000,54615000,146372000,682000,2012173000,87563000,40071000,52100000,245471000,473460000,None,73753000,-7145000,284794000,840352000,None,669202000,36274000,517043000,60152000,None,327088000,None,None,682000,None,2012173000,-1581921000,None,106893000,None,431758000,None,None,34762000,89377000,None,None,None,225332000,1272110000,281745000,None,None,USD,-618000,9914000,-12812000,-317000,-11503000,-18849000,-286000,-24672000,24254000,67508000,99169000,-34796000,11530000,-7099000,39000,None,None,10035000,11877000,78232000,739000,68247000,112.31,
1,2020-03-31,USD,928733000,140514000,734214000,194519000,54005000,40895000,None,None,53053000,None,129009000,None,54005000,11505000,952000,12158000,None,-952000,None,None,None,12158000,1167000,None,40895000,40895000,None,USD,1236433000,None,None,7624000,547361000,627095000,49074000,141883000,682000,1995018000,80633000,37182000,55790000,177224000,464831000,75946000,75946000,-11693000,276663000,816156000,None,651890000,33627000,597681000,61977000,None,322948000,None,None,682000,None,1995018000,-1581885000,None,106432000,None,420277000,None,61977000,33456000,82530000,None,None,None,224973000,1236433000,210851000,None,39000000,USD,-867000,10705000,-4454000,2212000,-28799000,-233463000,-2994000,20513000,40895000,-138701000,99216000,9987000,11568000,-86283000,-115387000,None,None,4692000,5799000,21369000,-3590000,-142291000,95.86,112.31
2,2019-12-31,USD,996184000,142766000,786899000,209285000,66519000,50048000,None,None,65656000,None,131343000,None,66519000,11423000,863000,15608000,None,-863000,None,None,None,15608000,1305000,None,50048000,50048000,None,USD,1427711000,None,None,21370000,636030000,721469000,49551000,147545000,681000,1962161000,81091000,38508000,53298000,319515000,552904000,96510000,96510000,-2212000,285855000,997888000,49417000,753173000,32901000,624102000,70212000,None,405359000,None,None,681000,None,1962161000,-1465284000,None,105460000,None,429823000,None,70212000,33575000,83126000,None,None,None,226123000,1427711000,352416000,None,40000000,USD,-638000,-21393000,-4616000,239000,-1241000,-8123000,-7000,1787000,50048000,34387000,47126000,9734000,11486000,-7302000,427000,None,-3192000,443000,4217000,-3192000,694000,35081000,113.87,95.86
3,2019-09-30,USD,1012973000,143846000,798489000,214484000,70638000,53255000,None,None,69874000,None,133151000,None,70638000,10695000,764000,16619000,None,-764000,None,None,None,16619000,1315000,None,53255000,53255000,None,USD,1385731000,None,None,30921000,568366000,755975000,51586000,136517000,681000,1998362000,82507000,38232000,66795000,284434000,483756000,84000000,84000000,-3721000,270430000,970750000,36741000,779133000,31596000,623799000,61390000,None,347239000,None,None,681000,None,1998362000,-1465284000,None,106319000,None,414981000,None,61390000,33024000,84610000,None,None,None,225937000,1385731000,316030000,None,40000000,USD,-895000,10186000,-6468000,402000,-9478000,-35384000,-11000,11992000,53255000,34786000,76638000,1679000,10759000,-7332000,-18563000,None,-5213000,5972000,5975000,-5213000,-564000,34222000,112.58,113.87
4,2019-06-30,USD,1046323000,149815000,815657000,230666000,80851000,61100000,None,None,80142000,None,138781000,None,80851000,11034000,709000,19042000,None,-709000,None,None,None,19042000,1283000,None,61100000,61100000,None,USD,1348693000,None,None,32619000,620393000,728300000,49554000,96861000,681000,1952439000,78356000,38407000,79629000,250212000,474250000,39194000,82814000,-2945000,269246000,939303000,19179000,689893000,35138000,621334000,65573000,None,338195000,None,None,681000,None,1952439000,-1446425000,None,101737000,None,409390000,65573000,65573000,31016000,146143000,None,None,None,224550000,1348693000,285350000,None,40000000,USD,-499000,4073000,-4058000,1089000,-9562000,-73433000,-515000,-33352000,61100000,-14831000,62660000,-25037000,11097000,-6628000,-56728000,None,5315000,6112000,4648000,5315000,418000,-14413000,107.99,112.58
5,2019-03-31,USD,1034138000,146494000,806748000,227390000,80896000,63317000,None,None,80091000,-17000,135178000,None,80896000,11316000,805000,16791000,None,-805000,None,None,None,16791000,1138000,None,63300000,63317000,None,USD,1350939000,None,None,49262000,622679000,728260000,44413000,108962000,680000,1897967000,73848000,38343000,46577000,264625000,473244000,41184000,82703000,-4326000,276193000,944195000,45042000,728260000,39958000,720901000,75246000,None,323098000,None,None,680000,None,1897967000,-1389612000,None,92208000,None,276193000,75246000,75246000,29776000,149435000,None,None,None,223551000,1350939000,304583000,None,40000000,USD,-968000,-45288000,-3414000,2130000,-25815000,-53625000,-7923000,-2106000,63300000,64377000,121416000,2229000,11379000,-6629000,-13258000,None,84505000,5291000,4576000,84505000,512000,64889000,109.39,107.99
6,2018-12-31,USD,1183413000,168115000,929210000,254203000,86088000,68256000,0,0,85189000,44000,157065000,None,86088000,11050000,899000,None,None,None,11330000,0,0,16889000,-945000,0,68300000,68256000,None,USD,1380564000,38232000,None,54519000,691431000,686824000,40320000,108458000,679000,1841279000,70749000,38232000,43968000,199736000,535818000,43561000,None,-5875000,284032000,971429000,42903000,686824000,40058000,802219000,84864000,None,383799000,None,None,679000,None,1841279000,-1376111000,None,None,None,284032000,84864000,84864000,30429000,155613000,None,None,None,226852000,1380564000,239794000,None,41000000,USD,-428000,2090000,-2374000,476000,4960000,-104260000,-2000,8501000,68300000,-12938000,93696000,6817000,11113000,-6657000,-102561000,None,3366000,2010000,2422000,3366000,-1300000,-14238000,95.67,109.39
7,2018-09-30,USD,1203083000,165723000,950292000,252791000,87068000,66985000,0,0,86252000,-37000,154969000,None,87068000,10754000,816000,None,None,None,0,0,0,19304000,-816000,0,66948000,66985000,None,USD,1390712000,38560000,None,24191000,664502000,723841000,45664000,93312000,679000,1779680000,76439000,38560000,42709000,213974000,515176000,40960000,None,-4569000,268011000,999137000,42295000,685281000,40203000,720769000,72887000,0,380904000,726210000,0,679000,0,1779680000,-1273512000,None,85004000,None,391575000,72887000,72887000,30775000,149326000,None,None,None,221563000,1390712000,254177000,None,41000000,USD,-783000,10985000,-3384000,603000,-15501000,-23047000,-1124000,15783000,66948000,64745000,91176000,6758000,10818000,-6780000,358000,0,-12134000,7801000,3204000,-12134000,588000,65333000,122.0,95.67
8,2018-06-30,USD,1183677000,161772000,938479000,245198000,83426000,62523000,0,0,82587000,-31000,151003000,None,83426000,10769000,839000,None,None,None,0,0,0,20095000,-839000,0,62492000,62523000,None,USD,1308895000,38704000,None,29553000,647962000,657708000,43790000,96650000,678000,1719475000,73995000,38704000,44366000,148641000,508874000,38869000,149327000,-5284000,256096000,928215000,41514000,619004000,40323000,709698000,65093000,0,373355000,660933000,0,678000,0,1719475000,-1273489000,None,85880000,None,380680000,65093000,65093000,30205000,139088000,None,None,None,216328000,1308895000,188964000,None,41000000,USD,-553000,27943000,-206000,654000,-1891000,-112107000,-108000,-22193000,62492000,-71286000,41027000,-20848000,10832000,-6188000,-103920000,0,-51552000,12160000,307000,-51552000,-678000,-71964000,109.2,122.0
9,2018-03-31,USD,1048787000,145977000,827657000,221130000,75153000,57517000,0,0,74353000,-44000,134980000,None,75153000,10997000,800000,None,None,None,0,0,0,16880000,52000,0,57473000,57517000,None,USD,1320273000,39363000,None,9373000,613993000,702742000,37448000,98526000,678000,1663140000,67700000,39363000,126033000,220605000,472943000,39931000,149601000,-3551000,265540000,928700000,42641000,663379000,39014000,659708000,73350000,0,334486000,706280000,0,678000,0,1663140000,-1169458000,None,86670000,None,391573000,73350000,73350000,30252000,141050000,None,None,None,211933000,1320273000,259619000,None,42000000,USD,-701000,-8579000,-2230000,2285000,-17754000,-91265000,-3689000,4859000,57473000,-21493000,72002000,4311000,11060000,-69293000,-529000,0,2901000,4836000,3814000,2901000,-318000,-21811000,109.65,109.2
