,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-03-31,USD,16512000,18218000,9135000,7377000,-673000,-5216000,2724000,None,-5173000,None,5486000,129000,-1706000,3064000,83000,43000,-83000,-83000,None,1250000,None,43000,-3384000,None,-5216000,-5216000,None,USD,70677000,13387000,None,2043000,23732000,46945000,None,6687000,3000,-198418000,158000,15813000,243000,6977000,18051000,1472000,1472000,371000,4576000,36658000,None,17745000,None,11958000,4050000,15246000,6164000,None,None,3000,None,-198418000,None,None,3225000,None,34019000,2624000,4050000,1631000,5681000,None,None,None,244989000,70677000,6977000,None,27000000,USD,-8520000,-293000,-8520000,-8329000,-370000,-194000,-61000,-317000,-5216000,-8370000,344000,351000,1033000,None,237000,1026000,2945000,1166000,191000,2884000,None,-8370000,1.955,
1,2019-12-31,USD,13228000,13809000,6451000,6777000,-274000,-1351000,2336000,None,-1314000,None,4818000,-10000,-581000,505000,16000,37000,-16000,-16000,None,353000,None,37000,-717000,None,-1351000,-1351000,None,USD,54955000,1615000,None,1307000,19677000,35278000,None,5248000,2000,-193202000,171000,12458000,208000,9347000,14122000,1472000,1472000,371000,3244000,37430000,None,21205000,None,9379000,4418000,11024000,5065000,None,None,2000,None,-193202000,None,None,2040000,None,17525000,1921000,4418000,1137000,5555000,None,None,None,228107000,54955000,15347000,None,23000000,USD,-162000,-971000,-162000,-5073000,5882000,6181000,-36000,-1492000,-1351000,3319000,-2700000,231000,307000,None,335000,1399000,-1534000,938000,162000,-1488000,None,3319000,3.55,1.955
2,2019-09-30,USD,12741000,13784000,6546000,6195000,-752000,-2470000,2621000,None,-2422000,None,4419000,-43000,-1043000,144000,-56000,48000,56000,56000,None,643000,None,48000,-1435000,None,-2470000,-2470000,None,USD,50754000,1768000,None,1274000,15362000,35392000,None,6296000,2000,-191851000,159000,12458000,231000,12028000,14978000,None,None,371000,2308000,33989000,None,21166000,None,7845000,None,12423000,5986000,None,None,2000,None,-191851000,None,None,1188000,None,16765000,1057000,None,384000,384000,None,None,None,226870000,50754000,12028000,None,23000000,USD,-5191000,-381000,-5191000,-5073000,-2000,16000,-127000,343000,-2470000,-6254000,-1079000,-230000,291000,None,145000,-474000,863000,749000,118000,1768000,None,-6254000,3.35,3.55
3,2019-06-30,USD,10153000,10043000,4372000,5781000,233000,-1459000,2117000,None,-1432000,None,3506000,-1000,110000,None,-89000,27000,89000,89000,None,685000,None,27000,-1631000,None,-1459000,-1459000,None,USD,48944000,None,None,687000,11678000,37266000,None,4580000,2000,-189381000,206000,9488000,67000,18282000,11472000,None,None,371000,1199000,38190000,None,27778000,None,7388000,None,10509000,4716000,None,None,2000,None,-189381000,None,None,67000,None,10754000,4000,None,206000,206000,None,None,None,226274000,48944000,18282000,None,22811743,USD,-508000,-29000,-508000,None,-7000,729000,-1000,65000,-1459000,70000,-151000,16000,123000,None,737000,-700000,963000,886000,508000,145000,None,70000,3.33,3.35
4,2019-03-31,USD,12344000,6252000,5254000,7090000,826000,857000,2385000,None,917000,None,3867000,-12000,838000,None,-91000,60000,91000,91000,None,None,None,60000,-12000,None,857000,857000,None,USD,48589000,None,None,817000,11114000,37475000,None,3956000,2000,-187922000,228000,9488000,53000,18212000,10886000,None,None,371000,1353000,37695000,None,27987000,None,8857000,None,9809000,6930000,None,None,2000,None,-187922000,None,None,53000,None,10894000,11000,None,228000,228000,None,None,None,225024000,48589000,18212000,None,23000000,USD,-28000,126000,-28000,None,-17000,157000,-19000,-355000,857000,-1155000,-1284000,31000,122000,None,193000,-457000,-2217000,341000,28000,-2304000,None,-1155000,3.02,3.33
5,2018-12-31,USD,12114000,6438000,5453000,6661000,231000,277000,2279000,None,291000,None,4159000,8000,223000,None,-60000,14000,None,None,None,None,None,14000,68000,None,277000,277000,None,USD,46751000,9488000,None,752000,10735000,36016000,None,3325000,2000,-188779000,256000,9488000,55000,19367000,10479000,None,None,371000,1184000,36024000,None,26528000,None,6553000,None,9352000,7154000,None,None,2000,None,-188779000,None,None,55000,None,10727000,None,None,256000,256000,None,None,None,224422000,46751000,19367000,None,23000000,USD,None,680000,-291000,None,-16000,572000,-56000,648000,277000,442000,161000,41000,114000,None,644000,-1470000,-217000,451000,291000,68000,None,442000,2.94,3.02
6,2018-09-30,USD,12279000,6770000,5538000,6741000,-39000,-83000,2298000,None,-43000,None,4472000,-10000,-29000,None,4000,None,None,None,None,None,None,40000,-337000,None,-83000,-83000,None,USD,44798000,9488000,None,794000,10098000,34700000,166000,3765000,2000,-189056000,281000,9488000,57000,18925000,9815000,None,None,371000,1031000,34222000,None,25212000,0,6471000,2000,8032000,6050000,0,0,2000,0,-189056000,0,None,57000,None,10576000,None,None,283000,283000,None,None,None,223383000,44798000,18925000,None,19000000,USD,None,-188000,-64000,0,-15000,9895000,-113000,-584000,-83000,9357000,-474000,-330000,105000,0,10023000,95000,-496000,478000,64000,-551000,None,9357000,4.07,2.94
7,2018-06-30,USD,12037000,6105000,5161000,6876000,762000,752000,2006000,0,758000,0,4099000,-9000,771000,0,4000,None,None,None,0,0,0,6000,25000,0,752000,752000,None,USD,33855000,9488000,None,370000,10042000,23813000,196000,2877000,2000,-189555000,312000,9488000,61000,9568000,9726000,59000,59000,371000,1036000,23270000,None,14325000,0,4893000,4000,8439000,6849000,0,0,2000,0,-189555000,0,None,61000,None,10585000,4000,4000,312000,316000,None,None,None,212995000,33855000,9568000,None,18908196,USD,None,-114000,-58000,0,-16000,887000,-68000,359000,752000,613000,-216000,147000,106000,0,971000,-899000,-410000,130000,58000,-338000,None,613000,2.84,4.07
8,2018-03-31,USD,11601000,6205000,5017000,6584000,378000,344000,1964000,0,373000,0,4241000,-1000,379000,0,5000,None,None,None,0,0,0,29000,-5000,0,344000,344000,None,USD,32015000,9488000,None,508000,10149000,21866000,157000,3406000,2000,-190307000,321000,9488000,9561000,8955000,9817000,75000,75000,371000,1058000,21396000,None,12378000,0,4555000,11000,7378000,6411000,0,0,2000,0,-190307000,0,None,73000,None,10619000,11000,11000,321000,332000,None,None,None,211800000,32015000,8955000,None,19000000,USD,None,320000,-95000,0,-16000,-9000,-57000,-128000,344000,532000,636000,-62000,110000,0,64000,-358000,128000,336000,95000,-54000,None,532000,2.06,2.84
9,2017-12-31,USD,11336000,6047000,5022000,6314000,268000,225000,1874000,0,263000,0,4173000,1000,267000,0,5000,None,None,None,0,0,0,38000,-4000,0,225000,225000,None,USD,31109000,9488000,None,478000,9889000,21220000,179000,2708000,2000,-190651000,355000,9488000,9533000,8423000,9506000,91000,91000,371000,1113000,20463000,None,11732000,0,4501000,28000,7061000,6798000,0,0,2000,0,-190651000,0,None,45000,None,10646000,28000,28000,355000,383000,None,None,None,211498000,31109000,8423000,None,19000000,USD,None,764000,-26000,0,-15000,248000,-40000,-57000,225000,200000,-22000,-157000,109000,0,303000,322000,-1275000,185000,26000,-1470000,None,200000,2.02,2.06
