,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,359422000,-243715000,238469000,120953000,3722000,2269000,None,None,-4360000,-420000,97882000,-1524000,5246000,-341597000,8082000,-6209000,None,-8082000,None,None,None,-6209000,-1524000,None,1849000,2269000,None,USD,2084616000,347205000,None,1477574000,1482874000,601107000,None,1156616000,36334000,858220000,284727000,756056000,40004000,42904000,305032000,23114000,19700000,-235691000,312720000,569668000,62068000,601107000,None,377031000,830949000,182351000,303144000,None,None,36334000,None,858220000,-203570000,None,32143000,None,4756000,84865000,None,37400000,1177842000,None,None,None,145814000,2084616000,42904000,None,None,USD,42124000,4067000,35937000,217000,-113393000,-123675000,-3631000,25898000,1849000,-30125000,57613000,16000000,30168000,-6630000,-21000,None,None,5529000,6404000,None,None,-30125000,19.1,
1,2020-03-31,USD,374800000,-164939000,250036000,124764000,-88048000,-86364000,None,None,-97661000,-231000,101581000,-2951000,-85097000,-356928000,9613000,-11066000,-10721000,-9613000,None,90408000,None,-11066000,-93359000,None,-86595000,-86364000,None,USD,2191736000,364106000,None,1515947000,1600534000,590147000,None,1262567000,36334000,862581000,280196000,750578000,45659000,72338000,322302000,26077000,26077000,-248495000,315525000,625937000,93208000,590147000,None,411592000,939753000,186919000,311890000,None,None,36334000,None,862581000,-203307000,None,117005000,None,4940000,None,939753000,88437000,1278232000,None,None,None,143034000,2191736000,72338000,None,31000000,USD,-5067000,-34000,-14309000,118000,-303000,-11331000,-3874000,39614000,-86595000,34998000,60638000,31101000,29317000,-6648000,-506000,None,None,86849000,9360000,None,None,34998000,24.19,19.1
2,2019-12-31,USD,364944000,-244274000,249217000,115727000,-6463000,-10466000,None,None,-15703000,160000,102728000,-1520000,-4943000,-347002000,9240000,-5397000,-7941000,-9240000,None,None,None,-5397000,-1520000,None,-10306000,-10466000,None,USD,2284579000,385156000,None,1629124000,1568874000,714420000,None,1257515000,36334000,955593000,292694000,856989000,44771000,39384000,283276000,25532000,25532000,-215232000,315922000,594348000,91286000,714420000,None,425308000,941395000,185608000,285827000,None,None,36334000,None,955593000,-202801000,None,112405000,None,5155000,None,941395000,82717000,1285598000,None,None,None,140526000,2284579000,39384000,None,31000000,USD,-4570000,-1073000,-14229000,63000,21636000,11916000,-1340000,-15750000,-10306000,3044000,5357000,-12285000,28933000,-6535000,-1845000,None,None,88000,9722000,None,None,3044000,38.17,24.19
3,2019-09-30,USD,392405000,374651000,249809000,142596000,-35186000,-71131000,None,None,-75114000,1130000,106251000,None,17754000,None,9894000,-3623000,-9794000,-9894000,None,None,None,-3623000,-82974000,None,-71491000,-71131000,None,USD,2190603000,400650000,None,49384000,1471367000,718106000,None,114276000,36334000,972594000,292399000,846807000,40220000,35302000,279879000,42503000,42503000,-228361000,237442000,583716000,85501000,-529351000,None,318756000,898194000,180274000,74558000,None,None,None,None,None,-200235000,None,31455000,None,1606887000,None,898194000,37087000,1191488000,None,None,None,137774000,None,35302000,None,31000000,USD,6040000,3715000,6040000,-11567000,-32433000,-44879000,-1768000,3707000,-71131000,1699000,41669000,None,30034000,-6366000,-4312000,830000,8779000,84151000,5725000,None,None,None,35.39,38.17
4,2019-06-30,USD,379294000,-271807000,242116000,137178000,28921000,14629000,None,None,18413000,-205000,97944000,-770000,29691000,-369751000,10508000,3989000,-9853000,-10508000,None,None,None,3989000,-770000,None,14424000,14629000,None,USD,2345293000,420795000,None,1518256000,1496868000,846842000,None,1159133000,36334000,1050091000,260840000,935107000,38253000,33603000,314047000,58080000,58080000,-179874000,247169000,614445000,88887000,846842000,None,354927000,921520000,188658000,279655000,None,None,36334000,None,1050091000,-195920000,None,36210000,None,2680000,None,921520000,42227000,1182821000,None,None,None,136211000,2345293000,33603000,None,31000000,USD,-21585000,2105000,-33332000,1046000,2128000,-14798000,-2003000,5141000,14424000,-4005000,44125000,3036000,20483000,-6394000,-8529000,830000,8779000,8542000,12793000,None,None,-4005000,34.85,35.39
5,2019-03-31,USD,391400000,-279383000,255119000,136281000,25288000,15417000,None,None,15029000,-223000,102508000,1024000,24264000,-381891000,10259000,-165000,-8168000,-10259000,None,None,None,-165000,1024000,None,15194000,15417000,None,USD,2335897000,430706000,None,1500084000,1488436000,845668000,None,1152698000,36334000,1041856000,261767000,933748000,48790000,37730000,307567000,56596000,56596000,-180186000,243493000,617804000,61356000,845668000,None,364992000,919102000,187653000,279142000,None,None,36334000,None,1041856000,-187391000,None,46845000,None,1945000,None,919102000,43005000,1180869000,None,None,None,135055000,2335897000,37730000,None,32000000,USD,-4117000,1096000,-17849000,-3020000,-6440000,-21183000,-2762000,2772000,15194000,-2129000,36903000,1676000,21050000,-6446000,-5535000,830000,8779000,-6578000,10712000,None,None,-1807000,36.95,34.85
6,2018-12-31,USD,374177000,-263932000,247766000,126411000,13890000,3097000,0,None,3589000,-113000,102132000,-2276000,16166000,-366064000,10301000,None,None,None,-300000,None,None,605000,-11646000,None,2984000,3097000,None,USD,2352777000,439799000,None,1500085000,1508762000,842018000,None,1181117000,36334000,1032885000,271157000,931457000,60656000,39836000,300708000,46110000,46110000,-179034000,246021000,614546000,60298000,842018000,None,376556000,936897000,188319000,281535000,None,None,36334000,None,1032885000,-181842000,None,None,None,1960000,None,936897000,None,None,None,None,None,133675000,2352777000,39836000,None,32000000,USD,883000,-159000,-15618000,-8043000,20707000,5818000,-724000,-19793000,2984000,-1414000,8386000,-19634000,19226000,-6414000,-7751000,830000,8779000,5969000,8458000,None,-322000,-1736000,40.62,36.95
7,2018-09-30,USD,407444000,101560000,258660000,148784000,49766000,29595000,24984000,0,39121000,-59000,86581000,2542000,47224000,14979000,10645000,None,None,None,0,0,0,9585000,-9803000,0,29536000,29595000,None,USD,2375485000,443910000,None,1501171000,1506771000,868351000,0,1169066000,36334000,1040378000,273286000,948894000,60611000,41572000,304143000,31260000,31260000,-164298000,252775000,616423000,52872000,868351000,0,397679000,929342000,180451000,306445000,868714000,129252000,36334000,0,1040378000,-173315000,None,None,1837000,254612000,None,None,None,None,None,None,None,129252000,2375485000,41572000,None,32000000,USD,9095000,-3526000,-1720000,235000,-61384000,-74886000,-6303000,5613000,29536000,-11838000,64768000,-1977000,19922000,-6109000,-1090000,-2869000,-790000,20813000,11050000,None,-305000,-12143000,50.15,40.62
8,2018-06-30,USD,411621000,114006000,259720000,151901000,38376000,24414000,0,0,28657000,-69000,105672000,481000,37895000,8334000,9719000,None,None,None,0,0,0,4312000,-9238000,0,24345000,24414000,None,USD,2412941000,452848000,None,1520076000,1579761000,832749000,0,1251627000,36334000,1016892000,274287000,953264000,64338000,53715000,306622000,27567000,27567000,-174575000,254940000,629941000,57610000,832749000,0,395892000,998852000,184814000,300567000,833180000,126273000,36334000,0,1016892000,-172175000,None,None,3504000,258444000,None,None,None,None,None,None,None,126273000,2412941000,53715000,None,32000000,USD,-125000,-696000,-9058000,1363000,-17677000,-25881000,-6303000,-2515000,24345000,-8403000,26536000,-1819000,20066000,-6418000,-1786000,-2869000,-790000,-15360000,10296000,None,-2713000,-11116000,58.8,50.15
9,2018-03-31,USD,414061000,120175000,264095000,149966000,29546000,18182000,0,0,20284000,-110000,111926000,-245000,29791000,8249000,9262000,None,None,None,0,0,0,2212000,-9507000,0,18072000,18182000,None,USD,2462989000,464878000,None,1545778000,1610907000,851559000,0,1280728000,36334000,990082000,280414000,972961000,59456000,64831000,311051000,26876000,26876000,-128342000,261653000,647396000,56645000,851559000,0,406308000,1019442000,182057000,303303000,852082000,123835000,36334000,0,990082000,-170350000,None,None,2362000,264015000,None,None,None,None,None,None,None,123835000,2462989000,64831000,None,32000000,USD,-16000,8726000,-43380000,-33157000,18782000,-1147000,-6303000,8051000,18072000,4106000,48633000,-675000,19748000,-6039000,-13890000,-2869000,-790000,2762000,10207000,None,583000,4689000,50.6,58.8
