,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,0,1884000,None,None,-1867000,-1855000,669000,None,-1855000,None,1215000,None,-1884000,None,None,None,None,29000,None,None,None,None,None,None,-1855000,-1855000,None,USD,29907000,None,None,None,1518000,28389000,None,None,71000,-39171000,None,None,None,28233000,851000,None,None,None,1139000,28768000,None,28389000,0,None,None,None,146000,None,None,None,None,None,None,None,None,None,1139000,855000,None,None,667000,None,None,None,None,None,None,None,None,USD,-8000,3273000,-8000,None,None,-3375000,None,32000,-1855000,-1350000,2033000,None,17000,None,None,None,None,566000,8000,None,None,None,6.91,
1,2020-03-31,USD,0,2163000,None,None,-2163000,-2205000,691000,None,-2205000,None,1472000,None,-2163000,None,42000,None,-42000,-42000,None,None,None,None,None,None,-2205000,-2205000,None,USD,31298000,None,None,442000,1620000,29678000,None,176000,71000,-37316000,None,None,None,29661000,927000,None,None,None,279000,30103000,None,29678000,0,None,None,None,751000,None,None,71000,None,-37316000,None,None,916000,None,1195000,869000,None,693000,693000,None,None,None,66923000,31298000,29661000,None,7103260,USD,2521000,-3966000,2453000,2521000,None,0,None,-110000,-2205000,-3468000,-5921000,-110000,17000,None,None,None,None,343000,68000,None,None,-3468000,5.55,6.91
2,2019-12-31,USD,0,1988000,None,None,-1988000,-1870000,877000,None,-1966000,None,1111000,None,-1988000,None,-22000,None,22000,22000,None,None,None,None,None,None,-1966000,-1870000,None,USD,37126000,None,None,286000,5586000,31540000,None,3747000,72000,-35111000,None,None,None,33129000,4826000,None,None,None,228000,35936000,None,31540000,2521000,None,None,None,1079000,None,None,72000,None,-35111000,-3375000,None,962000,None,1190000,903000,None,760000,760000,None,None,None,69954000,37126000,35650000,None,7185628,USD,43000,321000,43000,259000,None,27208000,None,-126000,-1870000,25331000,-1920000,-179000,47000,None,27208000,None,None,97000,216000,None,None,25331000,10.17,5.55
3,2019-09-30,USD,0,1791000,None,None,-1791000,-1874000,843000,None,-1874000,None,948000,None,-1791000,None,83000,None,-83000,-83000,None,None,None,None,-83000,None,-1874000,-1874000,None,USD,11123000,None,None,186000,4720000,6403000,None,3867000,43000,-33241000,None,None,None,7798000,4589000,None,None,None,215000,10487000,None,6403000,2503000,None,None,None,722000,None,None,43000,None,-33241000,-3375000,None,421000,None,636000,445000,None,131000,131000,None,None,None,42976000,11123000,10301000,None,4307666,USD,0,225000,43000,-2496000,None,0,None,-126000,-1874000,-1331000,-1331000,None,19000,None,9562000,None,31000,296000,0,31000,None,-1331000,5.3,10.17
4,2019-06-30,USD,0,1545000,None,None,-1545000,-1542000,741000,None,-1542000,None,804000,None,-1545000,None,-3000,None,3000,3000,None,None,None,None,3000,None,-1542000,-1542000,None,USD,12575000,None,None,217000,4594000,7981000,None,304000,43000,-31367000,None,None,None,9129000,4406000,None,None,None,234000,11849000,None,7981000,2503000,None,None,None,4102000,None,None,43000,None,-31367000,-3375000,None,492000,None,726000,492000,None,188000,188000,None,None,None,42680000,12575000,11632000,None,4307666,USD,0,-43000,43000,-2496000,None,0,None,-126000,-1542000,-477000,-477000,28000,7000,None,9562000,None,778000,295000,0,778000,None,-477000,5.15,5.3
5,2019-03-31,USD,0,1916000,None,None,-1916000,-1961000,587000,None,-1961000,None,1329000,None,-1916000,None,45000,None,-45000,-45000,None,None,None,None,-45000,None,-1961000,-1961000,None,USD,13907000,None,None,995000,4679000,9228000,None,312000,43000,-29825000,None,None,None,9606000,4429000,312000,312000,None,248000,13097000,None,9228000,2496000,None,250000,None,4117000,None,None,43000,None,-29825000,-3375000,None,562000,None,810000,562000,None,250000,250000,None,None,None,42385000,13907000,12102000,None,4307666,USD,-2496000,-643000,-2496000,-2496000,None,9562000,None,-445000,-1961000,4343000,-2723000,None,11000,None,9562000,None,-445000,315000,0,-445000,None,4343000,7.75,5.15
6,2018-12-31,USD,0,2084000,0,0,12404000,12351000,762000,0,12351000,0,1322000,None,12404000,0,53000,None,None,None,0,0,0,0,-45000,0,12351000,12351000,None,USD,6090000,None,None,568000,4768000,1322000,8000,3375000,31000,-27864000,8000,None,None,5263000,4760000,None,None,None,259000,5831000,None,1322000,None,65000,None,None,4760000,None,None,31000,None,-27864000,-3375000,None,None,None,259000,None,None,None,8000,None,None,None,32530000,6090000,5263000,None,3012343,USD,-2496000,434000,16000,None,-18000,-18000,-18000,-461000,-2129000,-1437000,-1435000,None,5000,None,None,None,-8000,263000,16000,-8000,None,-1437000,1.72,7.75
7,2018-09-30,USD,0,1753000,0,0,-1753000,-1749000,623000,0,-1749000,0,1130000,None,-1753000,0,-4000,None,None,None,0,0,0,0,4000,0,-1749000,-1749000,None,USD,7128000,0,None,148000,562000,6066000,5000,363000,30000,-25735000,505000,0,0,6700000,557000,None,None,500000,280000,6848000,None,6566000,27000,None,0,0,557000,0,0,30000,500000,-25735000,0,None,None,None,280000,None,None,None,5000,None,500000,None,31771000,7128000,6700000,None,2254569,USD,-2496000,-23000,-15000,237000,None,-18000,-18000,-686000,-1749000,-1347000,-1332000,None,26000,0,12704000,0,106000,308000,15000,106000,None,-1347000,7.52,1.72
8,2018-06-30,USD,0,1892000,0,0,-1892000,-1893000,747000,0,-1893000,0,1145000,None,-1892000,0,1000,None,None,None,0,0,0,0,-1000,0,-1893000,-1893000,None,USD,8592000,0,None,254000,594000,7498000,14000,388000,437000,-23986000,514000,0,0,8047000,580000,None,None,None,291000,8301000,None,7998000,27000,None,0,0,580000,0,0,437000,500000,-23986000,0,None,None,None,291000,None,None,None,14000,None,500000,None,31047000,8592000,8047000,None,33017589,USD,-2496000,112000,-91000,66000,None,-18000,-18000,-1088000,-1893000,-1440000,-1349000,74000,13000,0,9414000,0,-60000,405000,91000,-60000,None,-1440000,0.74,7.52
9,2018-03-31,USD,0,1515000,0,0,-1515000,-1469000,383000,0,-1469000,0,1132000,None,-1515000,0,-46000,None,None,None,0,0,0,0,46000,0,-1469000,-1469000,None,USD,9894000,0,None,194000,483000,8911000,15000,379000,421000,-22093000,515000,0,0,9487000,468000,None,None,None,213000,9681000,None,9411000,27000,None,0,0,468000,0,0,421000,500000,-22093000,0,None,None,None,213000,None,None,None,15000,None,500000,None,30583000,9894000,9487000,None,31417589,USD,None,-60000,-133000,0,None,-18000,-18000,None,-1469000,-1327000,-1194000,None,10000,0,3290000,0,-78000,403000,133000,-78000,None,-1327000,0.675,0.74
