,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,740000,None,None,None,None,None,None,None,-3257000,None,None,None,-32610000,None,USD,None,None,None,None,None,None,None,None,1051450000,-548758000,30793000,None,3311000,None,None,None,None,46634000,10271000,None,None,-32275000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-1868000,6195000,-1868000,None,-406000,88915000,-4066000,2542000,None,67465000,-19582000,None,None,0,None,None,None,1839000,841000,None,None,None,11.39,
1,2020-03-31,USD,12081000,27721000,None,None,-12539000,-15263000,14379000,None,-17218000,None,5730000,None,-15640000,494000,3733000,-1955000,120000,-3613000,None,None,None,-1955000,2035000,None,-15263000,-15263000,None,USD,665790000,447490000,None,None,177977000,487813000,None,None,960447000,-516148000,35575000,134453000,3244000,60077000,76689000,None,27000000,43514000,9444000,69393000,1766000,-94130000,None,2081000,59951000,None,19478000,None,None,None,None,None,None,None,3244000,None,596397000,8821000,None,None,101288000,None,None,None,None,None,None,None,None,USD,-693000,403000,-693000,None,-524000,-65000,-47000,-6508000,-15263000,-20653000,-19895000,None,946000,None,None,None,64000,463000,693000,None,None,None,4.38,11.39
2,2019-12-31,USD,2206000,25922000,5145000,-2939000,-23005000,-24584000,14154000,None,-26853000,None,6766000,None,-23716000,-440000,2982000,-2269000,None,-2982000,None,None,None,-2269000,-155000,None,-24584000,-24584000,None,USD,690237000,447885000,None,400000,189433000,500804000,None,None,959635000,-500885000,39797000,134453000,3324000,81348000,76957000,18928000,18928000,42054000,9596000,93307000,1672000,-81534000,None,1992000,65996000,None,19241000,None,None,None,None,None,None,None,3324000,None,596930000,9374000,72679000,None,112476000,None,None,None,None,None,81198000,None,107000000,USD,-459000,6210000,-459000,-100000,-360000,48230000,-2164000,477000,-24584000,46441000,-1330000,None,866000,0,51053000,None,14758000,942000,459000,None,None,None,7.37,4.38
3,2019-09-30,USD,16872000,20550000,2698000,14350000,-2990000,-5484000,12389000,None,-7416000,None,5463000,None,-3678000,401000,3577000,-1932000,176000,-3682000,None,None,None,-1932000,-56000,None,-5484000,-5484000,None,USD,653786000,448278000,None,7237000,178639000,475147000,None,36977000,910942000,-476302000,39750000,134453000,3299000,34536000,70092000,18851000,18851000,40507000,5211000,60593000,1952000,-107584000,None,1872000,64881000,None,12740000,None,None,None,None,None,None,None,3299000,None,593193000,5440000,68797000,None,108547000,None,None,None,None,None,34386000,None,100000000,USD,-253000,1199000,-253000,-100000,-335000,-36000,-2164000,1882000,-5484000,-15847000,-15558000,None,849000,None,299000,None,-15378000,1374000,253000,None,None,None,6.93,7.37
4,2019-06-30,USD,1248000,18576000,2448000,-481000,-20105000,-20726000,11435000,None,-23903000,None,5627000,None,-17328000,401000,3798000,-3177000,None,-3079000,None,None,None,-3177000,-3496000,None,-20726000,-20726000,None,USD,652115000,448673000,None,6763000,171063000,481052000,None,13033000,910405000,-469991000,59453000,134453000,3324000,50426000,44331000,14007000,14007000,40638000,826000,62522000,2317000,-102074000,None,1739000,67279000,None,13060000,None,None,None,None,None,None,None,1851000,None,589593000,None,67279000,None,126732000,None,None,None,None,None,50276000,None,99000000,USD,-798000,-5101000,-798000,-721000,-335000,-33000,-33000,4193000,-20726000,-19917000,-19086000,None,510000,None,30258000,None,-569000,2607000,77000,None,None,None,5.31,6.93
5,2019-03-31,USD,1249000,22938000,3193000,-1944000,-23876000,-24970000,14407000,None,-27175000,None,5256000,None,-21689000,74000,2768000,-2205000,None,-2768000,None,None,None,-2205000,-2718000,None,-24970000,-24970000,None,USD,675705000,448968000,None,9378000,174763000,500942000,None,16592000,910405000,-449265000,60043000,134453000,3331000,70385000,44502000,9359000,9359000,39802000,825000,85527000,2601000,-82479000,None,3508000,70218000,None,18551000,None,None,None,None,None,None,None,3331000,None,590178000,None,70218000,None,130261000,None,None,None,None,None,70235000,None,100000000,USD,-90000,-7270000,-90000,None,14622000,14586000,-36000,6327000,-24970000,-6693000,-21189000,None,531000,0,30258000,None,358000,3835000,90000,None,None,None,5.25,5.31
6,2018-12-31,USD,1870000,26819000,5401000,-3531000,-24949000,-24604000,15488000,None,-27469000,None,5126000,None,-24949000,804000,-2486000,-2865000,None,None,None,None,None,-2865000,-2520000,None,-24604000,-24604000,None,USD,688333000,449362000,None,14175000,163776000,524557000,None,5594000,909235000,-424295000,69580000,134453000,3330000,77022000,33809000,3095000,3095000,39617000,871000,97801000,2516000,-59258000,None,3212000,60387000,None,25120000,None,None,None,None,None,None,None,None,None,None,None,60387000,None,None,None,None,None,None,None,76873000,None,98000000,USD,None,6288000,-73000,None,14622000,19949000,-261000,-5489000,-24604000,21879000,2029000,None,544000,None,30258000,None,24801000,490000,73000,None,None,None,4.12,5.25
7,2018-09-30,USD,11637000,28420000,4317000,7320000,-16783000,-19498000,18489000,None,-20209000,None,5614000,None,-16783000,151000,-2653000,None,None,None,None,None,None,-711000,-3426000,None,-19498000,-19498000,None,USD,688789000,449757000,None,12564000,161190000,527599000,None,8101000,889980000,-399690000,72638000,134453000,3344000,55143000,27393000,None,None,37309000,1016000,97811000,2408000,-56611000,None,28817000,61159000,None,19292000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,96000000,USD,None,3840000,-39000,None,28950000,37106000,-1892000,12675000,-19498000,17380000,-19544000,None,554000,None,None,None,-19616000,2501000,39000,None,None,None,8.16,4.12
8,2018-06-30,USD,1700000,24501000,2121000,-421000,-22801000,-20834000,17539000,0,-21855000,0,5219000,None,-22801000,-378000,-1406000,None,None,None,0,0,0,-1021000,946000,0,-20834000,-20834000,None,USD,692443000,450153000,None,12763000,146435000,546008000,None,724000,889481000,-380192000,63035000,134453000,3361000,37763000,24003000,59397000,59397000,36719000,1084000,101071000,2321000,-38598000,None,49645000,59397000,None,18921000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,93000000,USD,None,-3301000,-436000,None,28950000,-1013000,-1013000,3657000,-20834000,-21776000,-20188000,None,586000,None,None,None,597000,-893000,27000,None,None,None,5.5,8.16
9,2018-03-31,USD,1070000,24677000,1709000,-639000,-23607000,-21137000,16798000,0,-24563000,0,6033000,None,-23607000,137000,-423000,None,None,None,0,0,0,-3426000,-956000,0,-21137000,-21137000,None,USD,677859000,450550000,None,14100000,121724000,556135000,None,4386000,879482000,-359358000,65441000,134453000,3386000,59539000,24861000,31422000,31422000,36011000,1263000,86069000,2138000,-28868000,None,11353000,31422000,None,20475000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,95000000,USD,None,1839000,-37000,None,31704000,31697000,-41000,-522000,-21137000,12153000,-19603000,None,832000,None,34000,None,806000,-1421000,37000,None,None,None,5.78,5.5
