,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,42447000,33253000,None,None,None,9212000,None,None,9194000,None,9261000,None,None,None,4830000,-18000,4009000,-4830000,None,None,None,-18000,250000,None,9212000,9044000,None,USD,3213436000,None,None,None,2682697000,530739000,None,None,897000,-665721000,2182762000,None,1302910000,56583000,None,None,None,9201000,2060000,None,1439563000,65739000,1439563000,630764000,255016000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,159439000,-17155000,159439000,-1000,None,None,None,-188375000,9212000,-40509000,-200671000,None,2243000,None,None,None,7047000,-5555000,0,None,None,None,1.24,
1,2020-03-31,USD,59119000,38243000,None,59119000,20876000,20861000,None,None,20876000,None,8550000,None,20876000,38243000,4831000,15000,3853000,-4831000,None,None,None,15000,408000,None,20861000,20861000,None,USD,3321757000,None,None,None,2836759000,484998000,None,None,890000,-674933000,2361995000,None,1358132000,177962000,22708000,None,None,-26288000,2060000,360497000,1562529000,19998000,1508544000,182535000,254962000,None,22708000,None,None,890000,465000000,-674933000,-31533000,None,1329622000,None,69109000,2060000,254962000,2559089000,2814051000,None,None,None,751862000,3321757000,177962000,None,83969991,USD,88885000,-34182000,288530000,199645000,None,None,None,-202911000,20861000,70049000,-218481000,-174355000,1761000,None,None,None,-12949000,-19219000,0,-13347000,None,70049000,0.91,1.24
2,2019-12-31,USD,60204000,81451000,55443000,60204000,-21247000,-21527000,None,None,-21247000,None,9884000,None,-21247000,81451000,4830000,66000,-16124000,-4830000,-214000,None,None,66000,783000,-214000,-21313000,-21527000,None,USD,3568196000,77356000,None,1397456000,3060478000,507718000,None,220269000,882000,-695794000,2552857000,None,1624251000,107278000,32444000,None,None,17836000,2342000,287434000,1885597000,42718000,1835518000,180156000,517408000,None,32444000,None,None,882000,465000000,-695794000,-31533000,None,1317809000,None,77356000,None,517408000,2765534000,3282942000,None,None,None,751327000,3568196000,107278000,None,83148458,USD,86761000,-24588000,226783000,140022000,None,0,None,-140857000,-21527000,33465000,-193318000,-192243000,2083000,0,0,None,35576000,9050000,0,33907000,None,33465000,0.75,0.91
3,2019-09-30,USD,121210000,179173000,173623000,121210000,-57963000,-58327000,None,None,-57963000,None,8546000,None,-57963000,179173000,4831000,87000,7044000,-4831000,-277000,None,None,87000,554000,-277000,-58050000,-58327000,None,USD,3791955000,90367000,None,1392857000,3258800000,533155000,None,261130000,881000,-674267000,2730400000,None,1841299000,72926000,12416000,None,None,21936000,2610000,287192000,2109111000,68155000,2059560000,214266000,254854000,None,12416000,None,None,881000,465000000,-674267000,-31533000,None,1305285000,None,90367000,2610000,254854000,2991530000,3246384000,None,None,None,751138000,3791955000,72926000,None,83111180,USD,-1386925000,-62068000,55486000,1442411000,None,-5000,None,-308923000,-58327000,-390145000,-445626000,111175000,1349000,0,-5000,None,-419434000,-20527000,0,-417228000,None,-390145000,0.75,0.75
4,2019-06-30,USD,189948000,187689000,171217000,189948000,2259000,-15413000,None,None,2259000,None,12849000,None,2259000,187689000,4830000,-1026000,7011000,-4830000,-18698000,None,None,-1026000,754000,-18698000,3285000,-15413000,None,USD,4598556000,113630000,None,1218883000,4007984000,590572000,None,388175000,881000,-615940000,3051265000,None,2939849000,464163000,14805000,None,None,21152000,2878000,699763000,3022308000,125572000,2971598000,235600000,254800000,None,14805000,None,None,881000,465000000,-615940000,-31528000,None,762855000,None,113630000,2878000,254800000,3738379000,3993179000,None,None,None,751007000,4598556000,464163000,None,83066135,USD,385816000,-248214000,501127000,115311000,None,-13000,None,-18071000,-15413000,329387000,-171727000,113555000,2326000,0,-13000,None,6007000,-7604000,0,-16377000,None,329387000,0.64,0.75
5,2019-03-31,USD,204773000,238095000,222306000,204773000,-33322000,-36636000,None,None,-33322000,None,86236000,None,-33322000,238095000,4829000,-38000,150000,-4829000,-2734000,None,None,-38000,750000,-3352000,-33284000,-36636000,None,USD,4563356000,161976000,None,974345000,3979067000,584289000,None,614177000,881000,-600527000,2980113000,None,219786000,131855000,12087000,None,None,-220000,2998000,372697000,3184415000,119289000,3131934000,240842000,254747000,None,12087000,None,None,881000,465000000,-600527000,-31515000,None,844268000,None,161976000,2998000,254747000,3712233000,3966980000,None,None,None,750670000,4563356000,131855000,None,83064173,USD,-76551000,-259336000,129781000,206332000,None,0,None,20192000,-36636000,-202149000,-331930000,14266000,2062000,0,0,None,-7198000,8651000,0,-60937000,None,-202149000,0.7427,0.64
6,2018-12-31,USD,163482000,402498000,714332000,163482000,-239016000,-269235000,0,0,-239016000,39000,11097000,None,-239016000,402498000,-4831000,1371000,None,None,-49777000,0,0,7167000,-7732000,-23013000,-246183000,-269235000,None,USD,5287460000,388442000,None,401498000,4732544000,554275000,None,1356380000,879000,-563891000,2200064000,None,4117194000,330989000,65494000,None,None,-65616000,None,566272000,4118789000,89275000,None,235283000,254694000,None,65494000,None,None,879000,465000000,-563891000,-31515000,None,213957000,None,388442000,None,254694000,4412356000,4667050000,None,None,None,749418000,5287460000,330989000,None,82948577,USD,-235981000,-45784000,5748000,241729000,None,-4140000,None,375676000,-269196000,21274000,19666000,235465000,1405000,-4155000,15000,None,None,3255000,0,94521000,-425000,20849000,1.65,0.7427
7,2018-09-30,USD,555662000,792231000,767914000,555662000,-236569000,-300294000,0,0,-236569000,62000,18936000,None,-236569000,792231000,-4829000,None,None,None,0,0,0,-7437000,-5381000,-71100000,-229132000,-308839000,8545000,USD,6536501000,419265000,None,1976576000,5763336000,772554000,None,2638551000,879000,-294656000,2851685000,None,3765146000,264574000,18460000,None,None,-116369000,None,593985000,3866682000,307554000,182815000,329411000,254640000,None,18460000,None,None,879000,465000000,-294656000,-31514000,None,1656569000,None,419265000,None,254640000,5490236000,5744876000,None,None,None,749214000,6536501000,264574000,None,82942737,USD,-114127000,-93295000,4951000,119078000,None,-21685000,None,375676000,-300232000,89785000,106519000,485995000,-837000,-21021000,-664000,None,None,-9032000,0,23920000,-311000,89474000,2.85,1.65
8,2018-08-09,None,1445663000,0,0,0,0,24905000,0,0,262303000,-552000,-18936000,None,231188000,0,4829000,None,None,None,0,0,0,711000,0,71100000,229132000,308847000,None,None,6718188000,0,None,None,5611894000,1105742000,0,None,0,18338000,None,0,0,72102000,0,None,None,None,0,0,None,None,0,None,0,0,0,1106294000,749319000,879000,465000000,18338000,-30835000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,22200000,9658000,None,-42208000,None,None,24905000,None,56104000,None,5611000,0,0,0,0,None,0,None,None,None,4.4,2.85
9,2018-06-30,USD,713278000,710343000,370677000,713278000,2935000,2633000,0,0,2935000,47000,18936000,None,2935000,710343000,-4829000,None,None,None,0,0,0,255000,0,-71100000,2680000,-5913000,8546000,USD,6718188000,74659000,None,766356000,5611894000,1105742000,None,1603883000,879000,18338000,3653303000,None,4969119000,226779000,100121000,254587000,254587000,-96959000,None,972205000,5046180000,566083000,174788000,745426000,254587000,None,100121000,None,None,879000,465000000,18338000,-30835000,None,152942000,None,472202000,None,254587000,5257186000,5511773000,None,None,None,749319000,6718188000,226779000,None,83143237,USD,691000,-14848000,172000,-519000,None,-21018000,None,375676000,2680000,67399000,88245000,21193000,2084000,-21018000,None,None,None,-4407000,0,81543000,-1657000,65742000,7.75,4.4
