,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,0,668000,0,0,-668000,227000,0,None,232000,2172000,668000,None,-668000,None,None,5000,None,381000,None,None,None,5000,519000,None,227000,227000,None,USD,20000000,2475000,None,None,13481000,4347000,None,1865000,11000,-18382000,984000,2618000,503000,9707000,12395000,None,9337000,164000,999000,13405000,None,-9102000,None,305000,None,1852000,1193000,None,None,None,None,None,None,None,477000,None,6595000,102000,None,477000,1086000,None,None,None,None,None,None,None,None,USD,-249000,0,-249000,None,8141000,8163000,None,-397000,227000,6881000,-1033000,None,0,None,0,0,-215000,-863000,0,None,None,None,1.47,
1,2020-03-31,USD,0,770000,0,0,-770000,-1635000,0,None,-1634000,2172000,770000,None,-770000,None,224000,1000,-864000,-224000,None,None,None,1000,-640000,None,-1635000,-1635000,None,USD,4994000,None,None,1132000,1067000,3927000,None,540000,11000,-18609000,527000,None,611000,2871000,540000,None,None,None,26000,4003000,354000,3922000,None,0,None,0,None,None,None,11000,5000,-18609000,None,None,611000,None,991000,None,None,527000,527000,None,None,None,22520000,4994000,2871000,None,11009532,USD,-125000,241000,-125000,-125000,-15900000,409000,409000,108000,-1635000,-328000,-612000,-723000,3000,None,15900000,0,-195000,62000,0,-195000,None,-328000,0.75,1.47
2,2019-12-31,USD,0,860000,0,0,-860000,-995000,-6000,None,-980000,3000,866000,None,-860000,None,-2000,12000,-120000,-96000,None,None,None,12000,-24000,None,-992000,-995000,None,USD,5917000,None,None,1218000,2673000,3244000,None,290000,11000,-16974000,527000,None,477000,3199000,290000,None,None,70000,29000,4417000,994000,3242000,None,0,1856000,0,0,None,None,11000,2000,-16974000,None,None,477000,None,1500000,None,1856000,527000,2383000,None,None,None,20135000,5917000,3199000,None,11089532,USD,-125000,53000,-125000,-125000,-1778000,-555000,1223000,-806000,-995000,-2549000,-1869000,None,3000,None,6152000,-696000,-827000,-210000,57000,-1052000,-19000,-2549000,0.8903,0.75
3,2019-09-30,USD,0,501000,0,0,-501000,-1210000,0,None,-1213000,2172000,501000,None,-501000,None,-346000,-3000,-712000,-346000,None,None,None,-3000,-366000,None,-1210000,-1210000,None,USD,7628000,None,None,190000,4687000,2941000,None,269000,11000,-15979000,527000,None,477000,5767000,2326000,2057000,2057000,58000,26000,6067000,1058000,2939000,None,110000,1834000,0,269000,None,None,11000,2000,-15979000,None,None,477000,None,1561000,None,1834000,527000,2361000,None,None,None,18849000,7628000,5767000,None,11009532,USD,-250000,248000,-250000,-250000,-251000,6534000,6663000,-46000,-1210000,5711000,-573000,-844000,-1000,None,122000,0,20000,7000,57000,20000,None,5711000,0.54,0.8903
4,2019-06-30,USD,0,670000,0,0,-670000,-1102000,0,0,-1097000,0,670000,0,-670000,0,-22000,5000,-427000,-22000,0,0,0,5000,-405000,0,-1102000,-1102000,0,USD,1994000,0,None,0,2859000,-865000,0,339000,11000,-14769000,526000,0,477000,56000,2333000,1994000,1994000,0,25000,186000,1306000,-865000,0,130000,0,0,339000,0,0,11000,0,-14769000,0,0,477000,0,1808000,0,0,526000,526000,0,0,0,13893000,1994000,56000,0,11009532,USD,0,54000,-250000,-250000,1583000,0,122000,20000,-1102000,-282000,-282000,-697000,1000,0,0,0,-18000,375000,57000,-18000,-9000,-282000,0.76,0.54
5,2019-03-31,USD,477000,1469000,846000,-369000,-1838000,-910000,261000,0,-1463000,-556000,1188000,0,-1838000,20000,-22000,3000,76000,76000,0,0,0,3000,299000,0,-1466000,-910000,0,USD,2671000,0,None,112000,2809000,-138000,0,305000,11000,-13667000,525000,0,477000,347000,2284000,1978000,1978000,0,24000,459000,1711000,-138000,0,0,0,0,306000,0,0,11000,0,-13667000,0,0,477000,0,2212000,0,0,525000,525000,0,0,0,13518000,2671000,347000,0,10734232,USD,-665000,-246000,-665000,-608000,-101000,-101000,122000,-324000,-1466000,-1839000,-1073000,-1765000,85000,0,0,348000,378000,127000,57000,378000,12000,-1839000,1.26,0.76
6,2018-12-31,USD,1265000,4201000,1063000,202000,-3999000,-2620000,449000,0,-4310000,-1730000,1640000,0,-3999000,646000,-311000,40000,None,None,0,1466000,0,40000,-1777000,0,-4350000,-2620000,0,USD,10143000,434000,None,0,9139000,-960000,0,327000,9000,-12757000,587000,0,1614000,2174000,8552000,5810000,3480000,-117000,661000,7868000,0,-1394000,0,1349000,0,4345000,2742000,0,0,9000,0,-12757000,0,0,1180000,0,2275000,0,0,587000,587000,0,0,0,11905000,10143000,2174000,0,9342115,USD,0,570000,144000,-250000,-485000,-439000,72000,156000,-2620000,-238000,57000,-4278000,516000,0,46000,-76000,1811000,1261000,144000,2064000,0,-238000,0.6611,1.26
7,2018-09-30,USD,2216000,3566000,2162000,54000,-3512000,-2636000,425000,0,-3616000,-1542000,2927000,0,-3512000,214000,-104000,None,None,None,0,0,0,562000,-104000,0,-4178000,-2636000,0,USD,14723000,868000,None,365000,9813000,1299000,0,1329000,9000,-10137000,607000,1466000,1208000,2537000,7118000,4077000,1852000,-439000,810000,10371000,0,-1035000,0,3539000,2088000,4295000,3041000,0,0,9000,0,-10137000,0,0,1208000,0,4352000,0,2088000,607000,2695000,0,0,0,11866000,14723000,2537000,0,9342115,USD,0,-871000,-9000,0,1139000,1139000,72000,-1028000,-2636000,-1947000,-3077000,-4178000,310000,0,0,430000,935000,1059000,9000,173000,0,-1947000,1.11,0.6611
8,2018-06-30,USD,4701000,2415000,3169000,1532000,-883000,3496000,505000,0,-1343000,-60000,1694000,0,-883000,216000,-460000,None,None,None,0,0,0,4000,-460000,4783000,-1347000,3496000,0,USD,18155000,1065000,None,564000,9808000,3305000,0,1633000,9000,-7501000,602000,1466000,1028000,4462000,6570000,2585000,1500000,-504000,870000,13726000,0,774000,0,4464000,2636000,4800000,3985000,0,0,9000,0,-7501000,0,0,513000,515000,4429000,0,2636000,602000,3238000,0,0,0,11301000,18155000,4462000,0,9144465,USD,0,-1586000,4188000,4295000,-2425000,-2426000,72000,-1028000,3496000,873000,-889000,-1347000,284000,0,-1000,370000,935000,-6789000,107000,1335000,0,873000,1.14,1.11
9,2018-03-31,USD,5980000,2415000,4258000,1722000,-693000,-850000,527000,0,-1085000,-124000,1666000,None,-693000,222000,392000,None,None,None,0,0,0,0,-392000,111000,-1085000,-850000,None,USD,30341000,1282000,None,11730000,24649000,529000,0,11319000,9000,-10998000,130000,1466000,572000,3616000,20815000,3956000,1268000,154000,883000,26138000,None,-2219000,237000,5693000,3704000,5099000,5540000,0,0,9000,0,-10998000,0,None,37000,535000,4203000,None,3704000,130000,3834000,None,None,None,11364000,30341000,3616000,None,9144465,USD,None,-1432000,-72000,0,2212000,2720000,-331000,-714000,-850000,1242000,-1406000,-1085000,308000,0,508000,-190000,310000,484000,72000,509000,-24000,1242000,1.32,1.14
