,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-05-31,USD,799888000,282500000,578066000,221822000,-57756000,-63505000,None,None,-95878000,None,281341000,2922000,-60678000,None,38122000,-32373000,None,-38122000,None,1159000,None,-32373000,2922000,None,-63505000,-63505000,None,USD,4307575000,64511000,None,51438000,5822998000,-1515423000,None,347068000,9890000,-1501862000,87106000,94290000,39269000,926830000,1764461000,624900000,624900000,-37167000,420263000,2112365000,None,-1674224000,None,23337000,2639051000,1110760000,792493000,None,None,9890000,None,-1501862000,None,None,1593330000,None,22816000,1675065000,2639051000,1419486000,4058537000,None,None,None,13716000,4307575000,926830000,1292966000,147343000,USD,-20981000,-82633000,-20981000,875000,593775000,593374000,None,-38317000,-63505000,516866000,-55527000,57453000,33849000,None,-401000,-12857000,6593000,5573000,21856000,6593000,None,516866000,3.86,
1,2020-02-29,USD,1722607000,371039000,1076610000,645997000,276629000,181652000,None,None,238813000,None,370802000,1671000,274958000,6956000,37816000,-32373000,None,-38122000,None,-6719000,None,57161000,2922000,None,181652000,181652000,None,USD,3838095000,66417000,None,62287000,5284559000,-1446464000,None,306796000,9852000,-1438357000,82357000,94290000,37141000,409964000,1196366000,24900000,624900000,-22831000,430432000,1599802000,None,-1607171000,None,30442000,2644460000,1097109000,864670000,None,None,9852000,None,-1438357000,None,None,1628953000,None,18201000,1675065000,2644460000,1443733000,4088193000,None,None,None,4872000,3838095000,409964000,None,146803000,USD,-20981000,-177494000,-88913000,-58000000,-6229000,-6318000,-4000,-116227000,181652000,291577000,386808000,1927000,32482000,0,-89000,325724000,6593000,23685000,210177000,-1168000,None,291577000,4.29,3.86
2,2019-11-30,USD,1222021000,365585000,780387000,441634000,75810000,28705000,None,None,37029000,None,322807000,-239000,76049000,41376000,38781000,57161000,None,-37816000,None,1402000,None,8324000,1671000,None,28705000,28705000,None,USD,3845079000,5043000,None,73223000,5476909000,-1631830000,None,303023000,9850000,-1620009000,63558000,94290000,58342000,118387000,1382745000,24900000,24900000,-22916000,431932000,1641945000,None,-1731163000,None,26968000,2649756000,1423367000,1054822000,None,None,9850000,None,-1620009000,None,None,1633794000,None,38075000,1664617000,2649756000,1444408000,4094164000,None,None,None,1245000,3845079000,118387000,-1301785000,146770000,USD,-88913000,187432000,-32099000,None,-8351000,-88970000,-2126000,-30926000,28705000,-12594000,108475000,45065000,32332000,0,-80619000,-167909000,-1168000,-10160000,32099000,-6990000,None,-12594000,8.18,4.29
3,2019-08-31,USD,1033689000,295686000,666703000,366986000,70397000,24547000,None,None,30263000,None,290074000,-903000,71300000,None,40134000,8324000,None,-38781000,None,5612000,None,5716000,-41615000,None,24547000,24547000,None,USD,3707149000,14082000,None,69672000,5294719000,-1587570000,None,298993000,10419000,-1573843000,62200000,112069000,51419000,130981000,1191187000,24900000,24900000,-24146000,437491000,1481059000,None,-1713721000,None,23941000,2655391000,1256465000,867294000,None,None,10419000,None,-1573843000,None,None,1634306000,None,28142000,1677578000,2655391000,1448141000,4103532000,None,None,None,None,3707149000,130981000,-1266421000,155199000,USD,-32099000,41517000,-32432000,None,-22257000,-47408000,-6032000,-121853000,24547000,-115746000,-35906000,-2751000,32411000,0,-25151000,-155277000,-6990000,9678000,32432000,13969000,None,-115746000,5.67,8.18
4,2019-05-31,USD,1093720000,324910000,676080000,417640000,89625000,37691000,None,None,52266000,None,320597000,-3105000,92730000,None,37359000,5716000,None,-40134000,None,4313000,None,14575000,-4772000,None,37691000,37691000,None,USD,3679258000,16960000,None,65304000,5266616000,-1587358000,None,300489000,10620000,-1590494000,63358000,112069000,52645000,246727000,1142073000,24900000,24900000,-19384000,433882000,1449983000,None,-1716387000,None,36223000,2675602000,1101729000,816684000,None,None,10620000,None,-1590494000,None,None,1640787000,25577000,2229275000,1676032000,2675602000,1448941000,4124543000,None,None,None,11900000,3679258000,246727000,-1242869000,158126000,USD,-32432000,-87826000,-25101000,None,-6225000,-7857000,-6032000,-95126000,37691000,840000,33798000,5152000,32596000,0,-1632000,6966000,13969000,15514000,25101000,23705000,None,840000,9.11,5.67
5,2019-02-28,USD,1789108000,441591000,1074286000,714822000,272947000,181403000,None,None,235355000,None,381210000,-284000,273231000,None,37592000,None,None,None,None,60381000,None,53952000,None,None,181403000,181403000,None,USD,2128336000,17238000,None,98659000,3754531000,-1626195000,None,None,10594000,-1628185000,None,112069000,None,245887000,932553000,24900000,None,-14558000,439077000,1515524000,None,-1755502000,None,62263000,2681000000,1108715000,907653000,None,None,10594000,None,-1628185000,None,None,19423000,25005000,612812000,None,2681000000,140978000,2821978000,None,None,None,5954000,2128336000,245887000,None,157774000,USD,None,-149905000,-25834000,None,-225544000,-249391000,None,None,181403000,143217000,418442000,6279000,35443000,None,-23847000,274370000,None,66683000,25834000,4169000,None,143217000,14.14,9.11
6,2019-01-31,USD,1789109000,381632000,1074286000,714823000,307285000,181403000,0,0,235355000,0,381632000,-284000,273231000,0,37592000,53952000,None,None,0,60381000,0,53952000,-60244000,0,181403000,181093000,None,USD,2128336000,17238000,None,98659000,3754531000,-1626195000,None,61684000,10594000,-1628185000,137178000,112069000,44428000,245887000,932553000,24900000,24900000,-14558000,439077000,1515524000,None,-1851802000,None,57328000,2681000000,1108715000,485004000,None,None,10594000,None,-1628185000,None,None,612812000,25005000,19423000,None,2681000000,140978000,2821978000,None,None,None,5954000,2128336000,245887000,None,171000000,USD,-25834000,-160549000,-145387000,None,-225544000,-478878000,-1117000,-17803000,319545000,-180009000,444256000,6279000,124271000,-317000,-452544000,274370000,4169000,66550000,145387000,4169000,None,143217000,13.86,14.14
7,2018-11-30,USD,1274058000,341789000,795104000,478954000,137286000,83769000,0,0,99488000,0,340593000,121000,137165000,0,37798000,None,None,None,0,1196000,0,15719000,-37677000,0,83769000,83769000,None,USD,2339035000,20591000,None,100791000,4128886000,-1789851000,0,49914000,10700000,-1781493000,144694000,119074000,47069000,102670000,1293890000,240261000,240861000,-19058000,453396000,1693877000,5028000,-1929516000,0,49541000,2690302000,1440875000,1053629000,0,0,10700000,0,-1781493000,-12168000,None,28730000,23367000,645158000,None,2690302000,144694000,2834996000,None,None,None,None,2339035000,102670000,-1189442000,158616000,USD,None,159063000,-49645000,0,94386000,-83252000,-48000,50463000,83769000,-20521000,112376000,-5252000,31987000,-317000,-177638000,-160674000,-11903000,15386000,49645000,-11903000,None,-20521000,16.97,13.86
8,2018-08-31,USD,1053267000,299056000,679938000,373329000,73270000,27488000,0,0,36169000,0,300981000,-1003000,74273000,0,37101000,None,None,None,0,-1925000,0,8681000,-34884000,0,27488000,27488000,None,USD,2192545000,20983000,None,98742000,3891925000,-1699380000,0,50940000,11504000,-1700978000,148893000,119074000,55412000,123191000,1047945000,140261000,143461000,-9906000,445130000,1549646000,2300000,-1839437000,0,47618000,2695087000,1280095000,907684000,0,0,11504000,0,-1700978000,0,None,26180000,31532000,642899000,None,2695087000,148893000,2843980000,None,None,None,None,2192545000,123191000,-1167985000,171375000,USD,None,-19503000,-42084000,0,111366000,-138114000,-1069000,-21564000,27488000,-299263000,-119065000,371000,30714000,-317000,-249480000,-158831000,-1474000,2170000,42084000,-1474000,None,-299263000,16.99,16.97
9,2018-05-31,USD,1155511000,377620000,698948000,456563000,80636000,26885000,0,0,46042000,0,328617000,1693000,78943000,0,34594000,None,None,None,0,49003000,0,19157000,-80399000,0,26885000,26885000,None,USD,2313538000,21376000,None,108481000,3797459000,-1483921000,0,133732000,12225000,-1512896000,159615000,119074000,61734000,422454000,941436000,24900000,29800000,-10713000,424905000,1685349000,1100000,-1624371000,0,32851000,2696408000,1121563000,916536000,0,0,12225000,0,-1512896000,0,None,29496000,33338000,628189000,None,2696408000,159615000,2856023000,None,None,None,27463000,2313538000,422454000,-1144815000,182055000,USD,None,-59069000,-27824000,0,-6225000,-8121000,-1069000,-23438000,26885000,-3442000,32503000,681000,30606000,-317000,-1579000,-18755000,-4892000,57047000,27824000,-4892000,None,-3442000,18.36,16.99
