,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-04-30,USD,7375000,8369000,5186000,2189000,-6110000,-6642000,410000,None,-6121000,None,4654000,70000,-6180000,774000,11000,521000,-11000,-11000,None,2531000,None,521000,-2461000,None,-6642000,-7201000,559000,USD,51203000,7703000,None,10511000,10653000,40550000,200000,1568000,141000,-84511000,1111000,0,12544000,4705000,8551000,None,None,-4518000,12002000,28999000,535000,10743000,None,7996000,None,13783000,6983000,None,None,141000,22104000,-84511000,-16860000,None,1964000,None,22204000,1957000,None,1902000,2102000,None,None,None,124194000,51203000,4705000,None,None,USD,1239000,724000,1239000,1414000,None,-559000,None,201000,-6642000,1609000,929000,61000,1701000,-559000,None,-554000,3728000,1911000,175000,3728000,None,1609000,0.965,
1,2020-01-31,USD,13257000,8875000,7310000,5947000,-2981000,-3708000,408000,None,-2953000,None,4984000,-53000,-2928000,723000,12000,715000,-12000,-12000,None,2760000,None,715000,-813000,None,-3668000,-4266000,558000,USD,58228000,8161000,None,14132000,10576000,47652000,200000,2104000,141000,-77310000,1167000,2531000,14609000,3234000,8448000,None,None,-4387000,13777000,30627000,403000,14856000,None,11921000,None,13261000,6344000,None,None,141000,22104000,-77310000,-16860000,None,2729000,None,27601000,2300000,None,1928000,2128000,None,None,None,123964000,58228000,3234000,None,12000000,USD,-910000,214000,-910000,249000,None,1005000,None,-746000,-3708000,-1474000,-1569000,-520000,1962000,-558000,1563000,25000,-703000,1161000,1159000,-703000,None,-1474000,2.84,0.965
2,2019-10-31,USD,10663000,5980000,6612000,4051000,-1956000,-2028000,629000,None,-1968000,None,4705000,-27000,-1929000,646000,12000,60000,-12000,-12000,None,None,None,60000,-27000,None,-2028000,-2550000,522000,USD,62496000,9453000,None,14468000,12418000,50078000,None,577000,141000,-73044000,1031000,2531000,15231000,4799000,9299000,None,None,-4420000,14021000,32826000,None,17554000,None,12947000,None,13559000,8722000,None,None,141000,20540000,-73044000,-16860000,None,3597000,None,68000,2455000,None,3119000,3119000,None,None,None,123721000,62496000,4799000,None,12000000,USD,-1800000,1005000,-1800000,1654000,None,-292000,None,251000,-2028000,-2840000,-745000,1934000,1846000,-522000,2236000,-463000,-1120000,22000,2029000,-1120000,None,-2837000,2.3,2.84
3,2019-07-31,USD,8898000,5944000,6016000,2882000,-3077000,-3136000,498000,None,-3088000,None,4795000,-15000,-3062000,651000,11000,48000,-11000,-11000,None,None,None,48000,-15000,None,-3136000,-3635000,499000,USD,63047000,9909000,None,13972000,11033000,52014000,None,1125000,141000,-70494000,1086000,2531000,13143000,7639000,7929000,None,None,-4535000,11841000,34726000,90000,19264000,None,10649000,None,13115000,6804000,None,None,141000,20310000,-70494000,-16860000,None,4144000,None,68000,2738000,None,3104000,3104000,None,None,None,123452000,63047000,7639000,None,12000000,USD,19000,987000,19000,1425000,None,1098000,None,661000,-3136000,-500000,-1652000,785000,1829000,-499000,2006000,-1871000,24000,-95000,437000,24000,None,-535000,4.16,2.3
4,2019-04-30,USD,9857000,12313000,6116000,3741000,-325000,-2415000,315000,None,-2360000,None,5232000,107000,-2456000,650000,11000,55000,-11000,-11000,None,None,None,55000,107000,None,-2415000,-2886000,471000,USD,64333000,10140000,None,153000,10410000,53923000,None,1469000,140000,-66859000,1141000,2531000,1200000,7986000,7108000,853000,853000,14245000,15851000,34146000,465000,22513000,None,12288000,2161000,11243000,2177000,None,None,140000,18739000,-66859000,-16860000,None,1132000,None,30187000,3014000,None,1141000,3302000,None,None,None,123257000,64333000,7986000,None,12000000,USD,603000,-405000,603000,969000,None,-62000,None,-672000,-2415000,-1410000,-1851000,-706000,2131000,-471000,409000,-501000,76000,-56000,366000,76000,None,-1310000,3.73,4.16
5,2019-01-31,USD,12328000,5934000,8917000,3411000,-4201000,-4155000,302000,0,-4176000,0,4952000,-1678000,-2523000,680000,-25000,-21000,None,None,0,0,0,-21000,-1678000,0,-4155000,-4618000,463000,USD,65301000,10495000,None,16019000,8623000,56678000,None,1932000,140000,-63973000,1195000,2531000,15933000,9549000,7428000,None,None,-4044000,14155000,36342000,840000,25322000,None,12082000,None,10774000,5496000,None,None,140000,18330000,-63973000,-16860000,None,870000,None,68000,None,None,1195000,1195000,None,None,None,123085000,65301000,9549000,None,12000000,USD,1128000,-96000,1128000,1539000,None,255000,None,-224000,-4155000,3886000,2503000,1255000,2630000,-463000,718000,523000,2170000,176000,411000,2170000,None,3886000,3.98,3.73
6,2018-10-31,USD,14651000,5573000,9427000,5224000,-5452000,-5191000,175000,0,-5440000,0,4819000,-5103000,-349000,579000,-12000,None,None,None,0,0,0,-249000,-5091000,0,-5191000,-5640000,449000,USD,68539000,10911000,None,19043000,8285000,60254000,0,156000,140000,-59355000,None,2531000,18756000,5619000,8285000,None,None,-4162000,16655000,36341000,1434000,29200000,213000,17440000,0,11679000,8129000,0,0,140000,17612000,-59355000,-16860000,None,609000,None,58000,None,None,None,None,None,None,None,122879000,68539000,5619000,None,12000000,USD,None,260000,938000,1185000,None,236000,None,277000,-5191000,-987000,-2161000,-1804000,2785000,-449000,685000,102000,-5199000,4451000,247000,-2764000,None,-987000,4.0,3.98
7,2018-07-31,USD,8350000,6436000,6490000,1860000,-4521000,-4589000,312000,0,-4504000,0,5504000,55000,-4576000,620000,-17000,None,None,None,0,-200000,0,85000,72000,0,-4589000,-5000000,411000,USD,68114000,11037000,None,13468000,8160000,59954000,0,460000,140000,-53715000,None,2531000,22114000,7109000,8160000,None,None,-9233000,19765000,32432000,1768000,29436000,223000,11498000,0,11855000,7700000,0,0,140000,16950000,-53715000,-16860000,None,611000,None,35712000,None,None,None,None,None,None,None,122672000,68114000,7109000,None,12000000,USD,None,-1481000,-398000,1172000,None,1227000,None,85000,-4589000,-1604000,-2433000,2207000,3096000,-411000,1638000,-562000,398000,-572000,1570000,-532000,None,-1604000,3.86,4.0
8,2018-04-30,USD,7613000,6817000,6368000,1245000,-5486000,-5905000,370000,0,-5468000,0,5630000,86000,-5572000,617000,-18000,None,None,None,0,200000,0,437000,104000,0,-5905000,-6290000,385000,USD,72724000,11484000,None,14465000,9508000,63216000,105000,723000,140000,-48715000,105000,2531000,23966000,8846000,9403000,None,None,-9091000,21046000,34743000,2309000,33889000,233000,12333000,0,11432000,8680000,0,0,140000,15312000,-48715000,-16860000,None,611000,None,37981000,None,None,None,105000,None,None,None,122430000,72724000,8846000,None,12000000,USD,None,595000,-1683000,-1380000,None,3427000,None,-1520000,-5905000,-1622000,-3366000,-2321000,3303000,-385000,3812000,-844000,1488000,-612000,303000,2418000,None,-1622000,3.25,3.86
9,2018-01-31,USD,10363000,84147000,6131000,2539000,-5791000,-13123000,865000,0,-13028000,0,7033000,None,-10610000,-1553000,0,None,None,None,0,-12395000,0,324000,-2418000,0,-7861000,-7593000,None,USD,73679000,8015000,None,12044000,7830000,65849000,307000,741000,140000,-42425000,307000,2531000,17733000,10146000,7523000,None,None,-8854000,22900000,33046000,6261000,43759000,244000,10494000,0,10856000,6782000,0,0,140000,11544000,-42425000,-16860000,None,926000,None,40633000,None,None,None,307000,None,None,None,122304000,73679000,10146000,None,12000000,USD,None,-455000,8997000,0,-6307000,-3038000,None,1002000,-21069000,6635000,719000,None,2267000,-905000,0,685000,4405000,-486000,1316000,None,None,None,3.76,3.25
