,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,184795000,80660000,41636000,184795000,104403000,83854000,None,None,104403000,None,72355000,268000,104135000,8305000,None,20549000,714000,None,None,None,None,20549000,268000,None,83854000,83854000,None,USD,1039217000,59552000,None,None,185733000,853484000,None,None,122000,704219000,4068000,147394000,33000,404148000,86964000,None,None,-14151000,78461000,634742000,54304000,646538000,131372000,99222000,None,None,86964000,None,None,122000,None,704219000,-164676000,None,119035000,None,33000,94701000,None,98769000,98769000,None,None,None,327970000,1039217000,535520000,None,37937960,USD,-428000,6913000,-11626000,-6225000,None,-34173000,-6535000,13534000,83854000,59054000,104853000,-2173000,8305000,-22424000,-5214000,None,-5817000,14841000,4973000,-5817000,None,59054000,500.92,
1,2020-03-31,USD,168978000,77889000,41194000,168978000,91702000,74816000,None,None,91702000,None,69822000,613000,91089000,8067000,None,16886000,1269000,None,None,None,None,16886000,613000,None,74816000,74816000,None,USD,975603000,60285000,None,None,177720000,797883000,None,None,122000,643129000,3950000,147394000,58000,363811000,77469000,None,None,-14620000,74926000,593000000,57789000,590204000,135617000,93572000,None,None,77469000,None,None,122000,None,643129000,-158803000,None,99940000,None,58000,96301000,None,100251000,100251000,None,None,None,328055000,975603000,499428000,None,37914922,USD,36159000,-7545000,24557000,-7311000,None,-49822000,-21243000,-18413000,74816000,95104000,120369000,9119000,8067000,-23244000,-5335000,None,-31640000,67841000,4291000,-31640000,None,95104000,332.57,500.92
2,2019-12-31,USD,129774000,68923000,33117000,129774000,61957000,50273000,None,None,61957000,None,61193000,1106000,60851000,7730000,None,11684000,1767000,None,None,None,None,11684000,1106000,None,50273000,50273000,None,USD,954930000,60986000,None,10317000,184839000,770091000,None,19462000,122000,591086000,3499000,146861000,501000,270124000,83349000,None,None,-10270000,71795000,562618000,230477000,562244000,230477000,62017000,None,None,83349000,None,None,122000,None,591086000,-153388000,None,112169000,None,501000,97991000,None,101490000,101490000,None,None,None,342541000,954930000,500601000,None,37935984,USD,2875000,16240000,-106761000,-106027000,None,-32041000,-7549000,2175000,50273000,-49661000,89141000,-8849000,7730000,-18998000,-5494000,None,12517000,11578000,3609000,12517000,None,-49661000,379.11,332.57
3,2019-09-30,USD,131597000,65632000,32681000,131597000,67338000,54002000,None,None,67338000,None,58932000,1373000,65965000,6700000,None,13336000,2211000,None,None,None,None,13336000,1373000,None,54002000,54002000,None,USD,855026000,62387000,None,7199000,160403000,694623000,None,13274000,122000,560164000,3731000,59712000,3163000,320527000,64641000,None,None,-12804000,66531000,628964000,119260000,632236000,235625000,72812000,None,None,64641000,None,None,122000,None,560164000,-196402000,None,93981000,None,3163000,92031000,None,95762000,95762000,None,None,None,343543000,855026000,556152000,None,37780778,USD,4548000,7672000,-4554000,-6533000,None,-27527000,-6210000,14621000,54002000,35611000,67692000,7598000,6700000,-18910000,-2407000,None,-6596000,-1657000,2569000,-6596000,None,35611000,327.5,379.11
4,2019-06-30,USD,125490000,64613000,32623000,125490000,62909000,48105000,None,None,62909000,None,58268000,2032000,60877000,6345000,None,14804000,2096000,None,None,None,None,14804000,2032000,None,48105000,48105000,None,USD,812009000,62483000,None,6943000,150101000,661908000,None,13838000,122000,525430000,3810000,59712000,1595000,286179000,56579000,None,None,-11458000,64206000,584406000,104440000,599425000,231895000,66332000,89712000,None,56579000,None,None,122000,None,525430000,-193632000,None,99319000,None,1595000,89712000,None,93522000,93522000,None,None,None,341446000,812009000,518074000,None,37753481,USD,-11724000,6929000,-21298000,-4109000,None,-22305000,-258000,3474000,48105000,26130000,69733000,-4687000,6345000,-18911000,-3136000,None,4570000,8668000,5465000,4570000,None,26130000,321.42,327.5
5,2019-03-31,USD,124491000,61302000,35235000,124491000,65220000,52522000,None,None,65220000,None,55220000,2031000,63189000,6082000,None,12698000,None,None,None,None,None,12698000,2031000,None,52522000,52522000,None,USD,774809000,62579000,None,7942000,143663000,631146000,None,18857000,122000,496562000,3545000,59713000,1417000,260953000,49273000,None,None,-10817000,61047000,554357000,222458000,568567000,222458000,70946000,90845000,None,49273000,None,None,122000,None,496562000,-190146000,None,95409000,None,1417000,90845000,None,94390000,94390000,None,None,None,335425000,774809000,483411000,None,37700164,USD,14410000,-23851000,10562000,-3199000,None,-36227000,-11803000,-17411000,52522000,13704000,39369000,6969000,6082000,-19412000,-5012000,None,-13453000,12646000,649000,-13453000,None,13704000,246.08,321.42
6,2018-12-31,USD,112444000,58479000,34217000,112444000,56066000,45831000,0,0,56066000,0,52631000,2101000,53965000,5848000,0,None,None,None,400000,0,0,10235000,2101000,0,45831000,45831000,None,USD,695539000,62675000,None,5200000,87661000,607878000,None,28953000,122000,463252000,2810000,59700000,3424000,246322000,84851000,None,None,-12394000,63010000,543962000,146966000,545203000,240105000,57535000,None,None,84851000,None,None,122000,None,463252000,-184962000,None,22468000,None,3424000,None,None,2810000,2810000,None,None,None,341860000,695539000,486427000,None,37639917,USD,1275000,19940000,-13312000,-2520000,None,-20242000,-103000,3697000,45831000,36551000,70105000,-3738000,5848000,-15539000,-4600000,None,4443000,-1286000,12067000,4443000,None,37877000,211.31,246.08
7,2018-09-30,USD,101443000,55031000,32161000,101443000,47797000,38594000,0,0,47797000,0,48858000,1385000,46412000,6173000,0,None,None,None,0,0,0,9203000,1385000,0,38594000,38594000,None,USD,646131000,62771000,None,7153000,67513000,578618000,0,12921000,121000,433227000,3785000,0,2256000,210085000,67513000,None,None,-12033000,54320000,508190000,148236000,515847000,236101000,62004000,0,87865000,67513000,0,0,121000,0,433227000,-178776000,None,18594000,None,2256000,None,None,None,None,None,None,None,336079000,646131000,446186000,None,37596566,USD,2840000,7510000,-7572000,-2626000,None,-20551000,57000,10283000,38594000,39871000,67994000,2427000,6173000,-15543000,-5065000,5354000,-210000,13500000,7786000,-210000,-472000,39399000,178.49,211.31
8,2018-06-30,USD,106964000,54930000,31992000,106964000,53210000,40487000,0,0,53210000,0,49140000,1176000,52034000,5790000,0,None,None,None,0,0,0,12723000,1176000,0,40487000,40487000,None,USD,617598000,62867000,None,5570000,60220000,557378000,0,13234000,121000,410419000,3595000,0,1453000,170686000,60220000,None,None,-11523000,50088000,482160000,151019000,494511000,249591000,61883000,0,98572000,60220000,0,0,121000,0,410419000,-172695000,None,21030000,None,1453000,None,None,None,None,None,None,None,331056000,617598000,420277000,None,37578970,USD,-20000,7826000,-16683000,-2906000,None,-22435000,-376000,4819000,40487000,15261000,54379000,-3182000,5790000,-15536000,-6523000,0,5605000,-2147000,13757000,5605000,-744000,14517000,197.86,178.49
9,2018-03-31,USD,114714000,54541000,47572000,114714000,61013000,47940000,0,0,61013000,0,49272000,840000,60173000,5269000,0,None,None,None,0,0,0,13073000,840000,0,47940000,47940000,None,USD,589273000,62963000,None,5816000,52109000,537164000,0,15611000,121000,385725000,3554000,0,189704000,156169000,52109000,None,None,-10292000,39623000,467969000,151082000,474201000,244271000,67529000,0,93189000,52109000,0,0,121000,0,385725000,-166059000,None,17888000,None,830000,None,None,None,None,None,None,None,327669000,589273000,400440000,None,37614420,USD,-6837000,-15386000,-12729000,-3614000,None,-29445000,-7621000,-20039000,47940000,-10735000,31439000,852000,5269000,-15814000,-6010000,1893000,-14955000,7719000,2278000,-14955000,-110000,-10845000,217.44,197.86
10,2017-12-31,USD,99565000,50194000,44515000,99565000,49371000,33473000,0,0,49371000,0,44986000,None,49371000,5208000,0,None,None,None,0,0,0,15898000,0,0,33473000,33473000,None,USD,581232000,63059000,None,4367000,66464000,514768000,0,36502000,121000,353583000,2660000,59713000,191096000,167014000,66464000,None,None,-10226000,38548000,459171000,145052000,451709000,239521000,52636000,0,94469000,66464000,0,0,121000,0,353583000,-159791000,None,18717000,None,1737000,None,None,None,None,None,None,None,331081000,581232000,406535000,None,37620736,USD,22478000,15294000,14254000,-3383000,None,-32733000,-14785000,-5320000,33473000,27973000,46452000,-2536000,5208000,-12171000,-5777000,0,-2353000,-15169000,4841000,10182000,49000,28022000,201.75,217.44
11,2017-09-30,USD,96701000,49484000,44366000,96701000,47217000,34130000,0,0,47217000,0,44901000,None,47217000,4583000,0,None,None,None,0,0,0,13087000,0,0,34130000,34130000,None,USD,562347000,63155000,None,4849000,51439000,510908000,0,31027000,121000,332506000,3191000,0,190600000,138992000,51439000,None,None,-10150000,35321000,439240000,None,447753000,237221000,63027000,0,68943000,51439000,0,0,121000,0,332506000,-153682000,None,16174000,None,8457000,None,None,None,None,None,None,None,342113000,562347000,376213000,None,37547951,USD,-8655000,5377000,-13570000,-3447000,None,-28880000,-4795000,12851000,34130000,10015000,52465000,4904000,4583000,-12182000,-11903000,6608000,12535000,11337000,1468000,-7866000,834000,10849000,184.51,201.75
12,2017-06-30,USD,97314000,47741000,42539000,97314000,49573000,38023000,0,0,49573000,0,42951000,None,49573000,4790000,0,None,None,None,0,0,0,11550000,0,0,38023000,38023000,None,USD,547041000,63251000,None,4049000,45813000,501228000,0,23080000,121000,310777000,3076000,0,189449000,128143000,45813000,None,None,-11278000,34643000,420719000,None,437977000,237361000,55215000,0,77281000,45813000,0,0,121000,0,310777000,-141477000,None,21058000,None,7370000,None,None,None,None,None,None,None,343085000,547041000,365504000,None,37554123,USD,-20179000,-2855000,-25330000,-3523000,None,-23750000,-469000,1947000,38023000,-10511000,38569000,-7261000,4790000,-12179000,-11102000,0,4669000,4428000,1628000,1444000,999000,-9512000,201.1,184.51
13,2017-03-31,USD,103891000,48284000,43113000,103891000,55607000,42463000,0,0,55607000,0,43591000,None,55607000,4693000,0,None,None,None,0,0,0,13144000,0,0,42463000,42463000,None,USD,530714000,63347000,None,None,48359000,482355000,0,13872000,121000,285150000,3190000,0,169972000,137655000,48359000,None,None,-12570000,33888000,412856000,None,419008000,218559000,56642000,0,78250000,48359000,0,0,121000,0,285150000,-129537000,None,13794000,None,6829000,None,None,None,None,None,None,None,339191000,530714000,356214000,None,37543170,USD,-21681000,-11796000,-29007000,-3177000,None,-31705000,-7642000,2505000,42463000,-30163000,30549000,-2146000,4693000,-12356000,-11707000,0,6113000,3448000,4149000,-6113000,-425000,-30588000,187.49,201.1
14,2016-12-31,USD,94436000,44109000,39817000,94436000,50327000,33165000,0,0,50327000,0,39817000,None,50327000,4292000,0,None,None,None,0,0,0,17162000,0,0,33165000,33165000,None,USD,528042000,63443000,None,2427000,60029000,468013000,0,34783000,120000,255140000,2515000,59712000,159023000,168243000,60029000,None,None,-12228000,31104000,413315000,118870000,404570000,194404000,50668000,0,75534000,60029000,0,0,120000,0,255140000,-117330000,None,11618000,None,8562000,None,None,None,None,None,None,None,342311000,528042000,362647000,None,37543775,USD,-24621000,9508000,-29281000,-3029000,None,-18457000,1048000,3362000,33165000,8577000,56315000,26000,4292000,-9581000,-9924000,0,-10429000,3314000,1631000,6010000,-1778000,6799000,146.92,187.49
15,2016-09-30,USD,90271000,43917000,39592000,90271000,46354000,30918000,0,0,46354000,0,39592000,None,46354000,4325000,0,None,None,None,0,0,0,15436000,0,0,30918000,30918000,None,USD,502151000,63539000,None,None,50451000,451700000,0,28546000,120000,231743000,3006000,0,152987000,161444000,50451000,None,None,-10145000,30773000,388682000,None,388161000,170655000,56583000,0,75874000,50451000,0,0,120000,0,231743000,-107279000,None,11758000,None,7399000,None,None,None,None,None,None,None,337261000,502151000,332099000,None,37594196,USD,-22405000,9685000,-25887000,-2632000,None,-17792000,249000,253000,30918000,8964000,52643000,1423000,4325000,-9601000,-8440000,0,16439000,54000,850000,6238000,-795000,8169000,165.59,146.92
16,2016-06-30,USD,96639000,46088000,41548000,96639000,50551000,33126000,0,0,50551000,0,41548000,None,50551000,4540000,0,None,None,None,0,0,0,17425000,0,0,33126000,33126000,None,USD,477115000,63635000,None,None,40964000,436151000,0,20212000,120000,210606000,2606000,0,154405000,153275000,40964000,None,None,-9049000,31495000,362465000,None,372516000,146330000,62860000,0,73680000,40964000,0,0,120000,0,210606000,-98805000,None,13463000,None,6057000,None,None,None,None,None,None,None,333279000,477115000,299605000,None,37636794,USD,-65000,-591000,-4351000,-3034000,None,-8902000,3578000,-7648000,33126000,15461000,28714000,-574000,4540000,-9586000,-2894000,0,22677000,2544000,1252000,-10331000,-181000,15280000,145.4,165.59
17,2016-03-31,USD,88573000,44203000,39522000,88573000,44370000,28963000,0,0,44370000,0,39522000,None,44370000,4681000,0,None,None,None,0,0,0,15407000,0,0,28963000,28963000,None,USD,451842000,63731000,None,None,41426000,410416000,0,10910000,121000,187228000,2602000,0,153010000,137995000,41426000,None,None,-7279000,32094000,337976000,None,346685000,147226000,52755000,0,74488000,41426000,0,0,121000,0,187228000,-94604000,None,12844000,None,5197000,None,None,None,None,None,None,None,324950000,451842000,285221000,None,37571415,USD,12000000,-7347000,6339000,-3009000,None,-10685000,-590000,None,28963000,-61729000,-57383000,-3000000,4681000,-9727000,-368000,0,12346000,-68334000,2652000,-12346000,-4000,-61733000,124.83,145.4
18,2015-12-31,USD,76644000,77927000,34973000,114913000,36986000,24491000,0,0,36986000,0,68630000,None,36986000,9297000,0,None,None,None,0,0,0,12495000,0,0,24491000,24491000,None,USD,439041000,64142000,None,354000,48328000,390713000,0,4463000,121000,168011000,31608000,59711000,128763000,199728000,48328000,None,None,-5229000,30897000,324893000,47012000,326571000,84706000,40459000,0,0,48328000,0,0,121000,0,168011000,-93405000,None,9880000,None,9229000,None,None,None,None,None,None,None,321215000,439041000,284434000,None,37409274,USD,10200000,5670000,5562000,-3573000,None,-10110000,62000,1324000,24491000,39310000,43858000,-2315000,4685000,-7333000,-2839000,0,-6748000,2480000,1065000,8847000,42000,39352000,111.59,124.83
