,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,58925000,54595000,12404000,46521000,-8046000,-8508000,20863000,None,-8046000,None,33732000,28000,-8074000,None,None,462000,None,None,None,None,None,462000,28000,None,-8508000,-8508000,None,USD,200266000,3000000,None,23193000,164778000,35488000,8143000,100767000,12000,-474082000,29473000,8407000,12626000,87691000,127640000,None,None,-15825000,3891000,160886000,None,24081000,None,50002000,None,None,26873000,None,None,12000,None,-474082000,None,None,24082000,None,39380000,12513000,None,37138000,37138000,None,None,None,525383000,200266000,87691000,None,116843504,USD,-6259000,2042000,-6259000,-5668000,None,1131000,-360000,881000,-8508000,-10892000,-5764000,-1376000,878000,None,1491000,None,-12400000,13600000,591000,-12400000,None,-10892000,4.93,
1,2020-03-31,USD,49698000,50938000,10872000,38826000,-12220000,-12661000,18993000,None,-12220000,None,31366000,-108000,-12112000,None,None,441000,None,None,None,579000,None,441000,-687000,None,-12661000,-12661000,None,USD,194193000,None,None,23145000,158005000,36188000,7863000,103261000,12000,-465574000,29708000,5475000,12666000,98583000,119511000,None,None,-15825000,4066000,159422000,None,30713000,None,37694000,None,None,16310000,None,None,12000,None,-465574000,-15825000,None,25266000,None,34807000,14063000,None,38508000,38508000,None,None,None,517575000,194193000,98583000,None,115369759,USD,-93000,-3429000,-93000,None,None,-2906000,-3182000,-5456000,-12661000,4168000,7167000,-6300000,863000,None,276000,None,21121000,7573000,93000,21121000,None,4168000,3.8,4.93
2,2019-12-31,USD,54088000,50699000,10920000,43168000,-7157000,-7954000,18667000,None,-7157000,None,31508000,374000,-7531000,None,None,797000,None,None,None,524000,None,797000,-150000,None,-7954000,-7954000,None,USD,212430000,None,None,21790000,176432000,35998000,8077000,106947000,11000,-452913000,33295000,5475000,13448000,94415000,133049000,None,None,-15141000,4804000,175020000,None,30523000,0,58815000,None,None,26102000,None,None,11000,None,-452913000,-15141000,None,27131000,None,37410000,15752000,None,43383000,43383000,None,None,None,504041000,212430000,94415000,None,112725391,USD,1900000,426000,1615000,1024000,None,-1763000,-400000,2720000,-7954000,-138000,10000,12292000,836000,None,-1363000,None,-14250000,8660000,285000,-14250000,None,-138000,4.86,3.8
3,2019-09-30,USD,52201000,49581000,10459000,41742000,-7804000,-8203000,19072000,None,-7804000,None,30509000,35000,-7839000,None,None,399000,None,None,None,None,None,399000,35000,None,-8203000,-8203000,None,USD,201931000,None,None,22718000,162149000,39782000,8072000,98979000,11000,-444959000,30070000,5475000,14026000,94553000,122206000,None,None,-12455000,5529000,163732000,None,34307000,1897000,44564000,None,None,23227000,None,None,11000,None,-444959000,-12455000,None,27195000,None,38199000,15693000,None,39943000,39943000,None,None,None,497185000,201931000,96450000,None,112030673,USD,-190000,-1255000,-641000,-876000,None,2063000,-708000,-1390000,-8203000,-4324000,-5746000,132000,822000,None,2771000,None,-5254000,8012000,451000,-5254000,None,-4324000,6.545,4.86
4,2019-06-30,USD,50865000,55868000,10647000,40218000,-15110000,-15589000,19988000,None,-15110000,None,33661000,540000,-15650000,None,None,479000,None,None,None,2219000,None,479000,-1679000,None,-15589000,-15589000,None,USD,201595000,None,None,21813000,164169000,37426000,8247000,99918000,11000,-436756000,29891000,5475000,14433000,98877000,123445000,None,None,-10422000,5859000,161701000,None,31951000,1699000,39312000,None,None,23527000,None,None,11000,None,-436756000,-10422000,None,28560000,None,39894000,17109000,None,40724000,40724000,None,None,None,484593000,201595000,100576000,None,109770021,USD,-1140000,-2309000,-1745000,-686000,None,-1339000,-375000,-3032000,-15589000,-7570000,-4486000,4711000,812000,None,-964000,None,-1138000,9027000,605000,-1138000,None,-7570000,6.2,6.545
5,2019-03-31,USD,48082000,54774000,10363000,37719000,-16643000,-17100000,21829000,None,-16643000,None,32406000,412000,-17055000,None,None,457000,None,None,None,539000,None,457000,-127000,None,-17100000,-17100000,None,USD,207367000,None,None,20286000,158566000,48801000,8580000,97573000,11000,-421167000,28922000,5475000,13656000,106447000,117842000,6278000,6278000,-7432000,6455000,165453000,None,43326000,547000,38173000,11802000,None,20269000,None,None,11000,None,-421167000,-7432000,None,29984000,None,41914000,18080000,None,40724000,40724000,None,None,None,477389000,207367000,106994000,None,108670420,USD,454000,-1303000,277000,454000,None,-6259000,-4409000,-6355000,-17100000,1834000,7816000,-7824000,932000,None,-1850000,None,22821000,10290000,177000,22821000,None,1834000,5.47,6.2
6,2018-12-31,USD,54123000,51110000,10563000,43560000,-6905000,-7209000,19975000,0,-6905000,0,31135000,645000,-7550000,0,975000,None,None,None,0,0,0,304000,645000,0,-7209000,-7209000,None,USD,210387000,None,None,16632000,156270000,54117000,9066000,93544000,11000,-404067000,33225000,5475000,14627000,104613000,123045000,None,None,None,7046000,183239000,None,48642000,1000000,60994000,None,None,29501000,None,None,11000,None,-404067000,-3831000,None,14627000,None,27148000,None,None,33225000,33225000,None,None,None,462004000,210387000,105613000,None,106206545,USD,2100000,150000,1524000,5847000,None,-3164000,-1081000,990000,-7209000,5422000,7062000,14350000,987000,None,-2083000,None,-11262000,10046000,576000,-11262000,None,5422000,4.59,5.47
7,2018-09-30,USD,49251000,48138000,8473000,40778000,-7179000,-7498000,18465000,0,-7179000,0,29673000,181000,-7360000,0,0,None,None,None,0,0,0,319000,181000,0,-7498000,-7498000,None,USD,194971000,5475000,None,15859000,136474000,58497000,9396000,81726000,11000,-396858000,29418000,5475000,14018000,99191000,107056000,None,None,None,7481000,167997000,None,53022000,3096000,49851000,0,0,25330000,0,0,11000,0,-396858000,0,None,14018000,None,26974000,None,None,29418000,29418000,None,None,None,455344000,194971000,102287000,None,105420488,USD,-83000,1401000,-698000,0,None,3962000,-1570000,-5158000,-7498000,4124000,860000,3506000,1044000,0,5532000,0,-7053000,9460000,615000,-7053000,None,4124000,5.3,4.59
8,2018-06-30,USD,46129000,49645000,7909000,38220000,-11630000,-12007000,18272000,0,-11630000,0,31373000,-205000,-11425000,0,0,None,None,None,0,0,0,377000,-530000,0,-12007000,-12007000,None,USD,180741000,5475000,None,14776000,127296000,53445000,9130000,79302000,11000,-389360000,24953000,5475000,12217000,95067000,102343000,None,None,None,7978000,155071000,None,47970000,2996000,42232000,0,0,23041000,0,0,11000,0,-389360000,0,None,12217000,None,25670000,None,None,24953000,24953000,None,None,None,442794000,180741000,98063000,None,102454185,USD,16000,2060000,-233000,0,None,1934000,None,4473000,-12007000,-1244000,-2945000,4462000,807000,0,1934000,0,-6687000,8420000,249000,-6687000,None,-1244000,4.45,5.3
9,2018-03-31,USD,43689000,52238000,7977000,35712000,-16023000,-16370000,21335000,0,-16023000,0,30903000,503000,-16526000,0,-975000,None,None,None,0,0,0,347000,503000,0,-16370000,-16370000,None,USD,175654000,5475000,None,15304000,117274000,58380000,9022000,74746000,11000,-377353000,25150000,5475000,17234000,96311000,92124000,None,None,None,8205000,150215000,None,52905000,2995000,35605000,0,0,17378000,0,0,11000,0,-377353000,0,None,11759000,None,25439000,None,None,25150000,25150000,None,None,None,435722000,175654000,99306000,None,100608155,USD,3814000,-2541000,3298000,0,None,-2000000,-3724000,-4586000,-16370000,10478000,9180000,1861000,1058000,0,1724000,0,14438000,10734000,516000,14438000,None,10478000,4.95,4.45
