,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,24968000,None,None,None,None,6833000,None,None,8515000,None,9875000,None,None,2722000,4842000,1682000,26188000,21346000,None,None,None,1682000,None,None,6833000,6833000,None,USD,2922365000,5108000,307984000,None,2679020000,243345000,None,None,8489000,58069000,7246000,62840000,2467542000,36817000,None,None,203937000,-150000,39982000,None,158879000,175397000,23492000,12743000,127291000,None,2590000,None,None,None,None,None,-1560000,None,None,None,None,11643000,127291000,None,None,None,None,None,178497000,None,None,None,None,USD,-612676000,0,-612676000,-2524000,265805000,615840000,353032000,328000,6833000,2997000,-167000,None,1584000,-1523000,None,None,-3957000,-4955000,602000,None,None,None,18.43,
1,2020-03-31,USD,20049000,15581000,None,20049000,4468000,3818000,None,None,4468000,None,15581000,None,4468000,2602000,6034000,650000,23699000,17665000,None,None,None,650000,None,None,3818000,3818000,None,USD,2299751000,5435000,336869000,None,2060240000,239511000,None,1973281000,8484000,52759000,6988000,62840000,1820705000,145313000,1999123000,23364000,0,-52000,27965000,181519000,1956098000,171236000,27420000,8786000,42059000,None,2478000,None,None,8484000,None,52759000,None,None,64133000,None,1761000,12070000,42059000,19058000,61117000,None,None,None,178320000,2299751000,172733000,None,8484328,USD,-59740000,1076000,-61825000,347000,5471000,64455000,60866000,571000,3818000,1728000,-902000,-225000,1247000,-1950000,68000,None,-822000,-5996000,2085000,-822000,None,1728000,20.25,18.43
2,2019-12-31,USD,21765000,16171000,None,21765000,5594000,4408000,None,None,5594000,None,16171000,None,5594000,2972000,6630000,1186000,23935000,17305000,None,None,None,1186000,-752000,None,4408000,4408000,None,USD,2231175000,5758000,312073000,16386000,1993301000,237874000,None,1912394000,8481000,50891000,6182000,62840000,1785707000,143932000,1947505000,32903000,0,343000,25133000,188905000,1889718000,169276000,37009000,7964000,27070000,196000,2208000,None,None,8481000,None,50891000,None,None,56011000,None,2810000,12544000,27070000,18726000,45796000,None,None,None,178159000,2231175000,180941000,None,8480938,USD,-245000,-2232000,-1270000,1268000,-42045000,-21217000,22281000,-4468000,4408000,-21849000,638000,-3637000,1274000,-1526000,73000,None,450000,375000,2293000,450000,None,-21849000,28.8,20.25
3,2019-09-30,USD,20205000,14683000,None,20205000,5522000,4813000,None,None,5522000,None,14683000,None,5522000,2318000,6746000,709000,24513000,17767000,None,None,None,709000,-188000,None,4813000,4813000,None,USD,2248899000,6109000,352933000,16803000,2014287000,234612000,None,1890093000,8478000,48009000,7799000,62840000,1735462000,166984000,1967887000,74971000,12000000,131000,23487000,227817000,1871590000,165663000,52419000,8414000,27067000,130000,2823000,None,None,8478000,None,48009000,None,None,53134000,None,3922000,11534000,27067000,19333000,46400000,None,None,None,177994000,2248899000,219403000,None,8478461,USD,-1425000,2135000,-1503000,399000,-3047000,107166000,111672000,-1308000,4813000,112734000,7071000,-3141000,1409000,-1525000,66000,None,469000,1386000,477000,469000,None,112734000,25.63,28.8
4,2019-06-30,USD,20179000,14796000,None,20179000,5383000,4403000,None,None,5383000,None,14796000,None,5383000,2347000,6228000,980000,23998000,17770000,None,None,None,980000,-692000,None,4403000,4403000,None,USD,2136122000,6464000,283418000,18296000,1904860000,231262000,None,1778401000,8465000,44721000,6675000,62840000,5191000,54625000,1859132000,78035000,13000000,226000,23973000,146912000,1839584000,161958000,83404000,8883000,27070000,390000,2696000,None,None,8465000,None,44721000,None,None,52432000,None,3917000,11983000,27070000,18658000,45728000,None,None,None,177850000,2136122000,138029000,None,8465178,USD,-20250000,-1185000,-20379000,329000,-8550000,-15790000,-5785000,-4063000,4403000,-38823000,-2654000,-2591000,1061000,-1524000,69000,None,-356000,-3986000,458000,-356000,None,-38823000,24.95,25.63
5,2019-03-31,USD,19230000,14303000,None,19230000,4927000,4077000,None,None,4927000,None,14303000,None,4927000,2090000,5560000,850000,22866000,17306000,None,None,None,850000,-823000,None,4077000,4077000,None,USD,2147817000,6825000,336537000,13851000,1920380000,227437000,None,1784180000,8462000,41842000,7190000,62840000,1670484000,92901000,1873686000,86585000,35000000,-571000,24231000,202960000,1800975000,157772000,101532000,8527000,27076000,350000,2921000,None,None,8462000,None,41842000,None,None,45968000,None,4018000,12428000,27076000,19618000,46694000,None,None,None,177704000,2147817000,194433000,None,8462431,USD,-3894000,655000,-3833000,718000,-8142000,47960000,58154000,-763000,4077000,46903000,2776000,-1003000,1256000,-2113000,61000,None,-283000,-1926000,657000,-283000,None,46903000,24.5,24.95
6,2018-12-31,USD,19547000,13982000,4915000,19547000,5565000,4649000,0,0,5565000,0,13982000,None,5565000,1759000,4640000,None,None,None,0,0,0,916000,-202000,0,4649000,4585000,64000,USD,2077981000,7221000,None,9946000,1854772000,223209000,None,1726026000,8460000,39562000,8278000,62840000,1650571000,46711000,1819412000,91124000,None,-2378000,26320000,166878000,1784040000,153148000,111923000,8244000,27082000,1017000,2262000,None,None,8460000,None,39562000,None,None,25986000,None,4696000,None,27082000,8278000,35360000,None,None,None,177565000,2077981000,158634000,None,8459918,USD,-56516000,-2640000,-56851000,226000,71283000,30138000,-36439000,-19000,4649000,-22020000,4693000,2572000,1320000,-1369000,-3337000,None,None,-455000,561000,-753000,None,-22020000,23.02,24.5
7,2018-09-30,USD,17976000,15264000,3772000,17976000,2712000,2164000,0,0,2712000,0,15264000,None,2712000,2005000,3672000,None,None,None,0,0,0,548000,-3612000,0,2164000,2126000,38000,USD,2044280000,7708000,None,10672000,1822445000,221835000,0,1762465000,8457000,36244000,10795000,62767000,1590472000,65458000,1784562000,19835000,None,-3691000,26568000,72949000,1841105000,147956000,0,7491000,27088000,1101000,2262000,0,0,8457000,3404000,36244000,0,None,28751000,None,4432000,None,27088000,10795000,37883000,None,None,None,177421000,2044280000,65458000,None,8457023,USD,27589000,1654000,34113000,7616000,-32599000,-12807000,21001000,-1504000,2164000,22678000,1372000,-3143000,869000,-1268000,59000,0,355000,-346000,889000,174000,None,22678000,29.15,23.02
8,2018-06-30,USD,12973000,9742000,2306000,12973000,3231000,2779000,0,0,3231000,0,9742000,None,3231000,2068000,2306000,None,None,None,0,-1918000,0,452000,-564000,0,2779000,2779000,None,USD,1415647000,4878000,None,6557000,1273872000,141775000,0,1236518000,6125000,35386000,6585000,23107000,1051377000,42172000,1249945000,12241000,29583000,-3234000,24817000,47544000,1293302000,113790000,0,5372000,17342000,912000,1186000,0,0,6125000,0,35386000,0,None,19459000,None,2540000,None,17342000,6585000,23927000,None,None,None,103498000,1415647000,42172000,None,6124517,USD,-40478000,-3359000,-44994000,15000,-49000,23191000,24095000,-4549000,2779000,-19768000,2035000,-1291000,1077000,-918000,63000,625000,181000,3122000,4531000,-293000,None,-19768000,34.9,29.15
9,2018-03-31,USD,12400000,11183000,2227000,12400000,1217000,1004000,0,0,1217000,0,11183000,None,1217000,1668000,2102000,None,None,None,0,1918000,0,213000,-2172000,0,1004000,1004000,None,USD,1391217000,5126000,None,6427000,1252093000,139124000,0,1212423000,6123000,33525000,10038000,22528000,310462000,61934000,1225642000,12297000,29632000,-3906000,20760000,189355000,1253107000,111470000,122342000,5079000,17335000,2093000,922000,0,0,6123000,0,33525000,0,None,18862000,None,3821000,None,17335000,9116000,26451000,None,None,None,103382000,1391217000,184276000,None,6122717,USD,27174000,1698000,89579000,65179000,-34669000,-56801000,-21126000,1646000,1004000,35661000,2883000,-50000,870000,-1060000,54000,105000,474000,-1113000,1012000,474000,None,35661000,31.95,34.9
10,2017-12-31,USD,10718000,8047000,1917000,10718000,2671000,501000,0,0,2671000,0,8047000,None,2671000,7862000,4670000,None,None,None,0,408000,0,2170000,-1603000,0,501000,501000,None,USD,1170354000,434000,None,5604000,1094651000,75703000,0,1023568000,4242000,32565000,6782000,3918000,226645000,27898000,1071176000,46963000,64301000,-2074000,16357000,125927000,1004154000,71351000,93465000,4564000,17338000,1229000,645000,0,0,4242000,0,32565000,0,None,17676000,None,1888000,None,17338000,6137000,23475000,None,None,None,40970000,1170354000,121363000,None,4242216,USD,-52635000,-2755000,-54956000,136000,23472000,19863000,-3107000,-422000,501000,-32670000,2423000,931000,2466000,-551000,49000,2591000,0,1685000,2321000,-405000,None,-32670000,33.1,31.95
11,2017-09-30,USD,11080000,7960000,1634000,11080000,3120000,2249000,0,0,3120000,0,7960000,None,3120000,-3261000,165000,None,None,None,0,1971000,0,871000,0,0,2249000,2249000,None,USD,1153373000,460000,None,5937000,1075982000,77391000,0,1026675000,4241000,33334000,8477000,3918000,211234000,59919000,1061024000,33409000,40830000,-1030000,14293000,160591000,952509000,73013000,96513000,4159000,7421000,1811000,940000,0,0,4241000,0,33334000,0,None,19281000,None,2321000,None,7421000,7537000,14958000,None,None,None,40846000,1153373000,156432000,None,4240754,USD,-11735000,2059000,-15129000,136000,-1525000,37175000,39207000,941000,2249000,27005000,4959000,-1118000,357000,-552000,45000,1529000,0,1580000,3394000,-168000,None,27005000,29.4,33.1
12,2017-06-30,USD,10672000,7558000,1569000,10672000,3114000,2345000,0,0,3114000,0,7558000,None,3114000,759000,85000,None,None,None,0,-1345000,0,769000,0,0,2345000,2345000,None,USD,1111876000,486000,None,6360000,1036240000,75636000,0,987468000,4235000,31637000,6418000,3918000,214544000,33164000,1023191000,34935000,42354000,-1011000,11190000,148508000,925690000,71232000,111353000,3991000,7419000,2369000,788000,0,0,4235000,0,31637000,0,None,18688000,None,3396000,None,7419000,5630000,13049000,None,None,None,40775000,1111876000,144517000,None,4235237,USD,-41443000,-1366000,-41716000,121000,21414000,36470000,15581000,-1815000,2345000,-3928000,1318000,-443000,1188000,-550000,25000,447000,0,-316000,394000,-90000,None,-3928000,27.0,29.4
