,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,6056000.0,21752000.0,None,None,-15354000.0,-17974000.0,13709000.0,None,-17943000.0,None,8043000.0,None,-15696000.0,None,None,31000,99000,99000,None,None,None,31000.0,-2346000.0,None,-17974000.0,-17974000.0,None,USD,223661000,None,None,3643000,123365000,100296000,None,None,2935000,-349073000,81931000,None,1378000,152088000,38315000,None,None,680000,8148000,211404000,None,97565000,45278000,1951000,None,None,2362000,None,None,None,None,None,None,None,1168000,None,12257000,4570000,None,None,85050000,None,None,None,None,None,None,None,None,USD,2710000,-5638000,2710000,None,None,291000.0,None,1687000.0,-17974000.0,-13712000.0,-18608000.0,None,342000,None,None,None,-411000.0,3386000,364000.0,None,None,None,16.09,
1,2020-03-31,USD,6301000.0,25869000.0,None,None,-19244000.0,-16500000.0,16987000.0,None,-16403000.0,None,8882000.0,None,-19568000.0,None,None,97000,280000,280000,None,None,None,97000.0,2885000.0,None,-16500000.0,-16500000.0,None,USD,237962000,2739000,None,1879000,123376000,114586000,None,None,2931000,-331099000,84325000,None,1386000,165800000,35567000,None,None,-1521000,8386000,225451000,0,111847000,48234000,1502000,None,None,3381000,None,None,None,None,None,None,None,1275000,None,12511000,4877000,None,None,87809000,None,None,None,444275000,None,214034000,None,29000000,USD,-3988000,-4216000,-3988000,-3840000,None,438000.0,-164000,-5569000.0,-16500000.0,-31812000.0,-25260000.0,None,324000,None,602000,None,1092000.0,-391000,148000.0,None,None,None,12.1,16.09
2,2019-12-31,USD,7513485.56,31392205.71,18457450,-11335233,-29957561.28,-26138647.57,19389668.6,None,-26074845.93,None,25458920.67,None,-23878720.15,-12830215,None,63801.64,373666.13,556381.48,None,None,None,60457.0,-2752507.26,None,-26138647.57,-25393384.0,None,USD,263376000,2876000,None,1913000,132076000,131300000,None,18842000,2918000,-314599000,91417000,None,2193000,197612000,36787000,None,None,1586000,8930000,247368000,2009000,128424000,42153000,2652000,None,None,3029000,None,None,None,None,None,None,None,1905000,None,16008000,5252000,None,None,95289000,None,None,None,441395000,None,239765000,None,24000000,USD,3524071.69,-2894044,2993672,-1119965,983055,75143388.53,-164000,691317.0,-26138647.57,57087639.0,-19306821.21,None,-746046.87,None,74232000,None,3104104.0,7021323,453556.41,None,None,None,14.08,12.1
3,2019-09-30,EUR,8969463.56,22001334.81,12814000,-4699000,-8339396.08,-9107320.65,14019847.04,0,-9108414.75,0,3120384.25,0,-13031871.25,4131000,77681.38,-1094.10,390595.08,312913.71,0,0,0,-1000.0,3610542.78,0,-9107320.65,-8324000.0,0,EUR,207729843.87,2491996,None,331000,130732283.72,76997560.15,0,500005.47,2107000,-215127080.16,89824000,0,942000,135099946.39,32455497.32,0,0,0,9265000,182434162.30,11607348,68071000,37248766.40,1763695.45,0,0,2682742.70,0,0,0,0,0,0,0,1030645.85,0,25295681.57,1631308.88,0,4882985.59,98276786.40,0,0,0,286506014,0,170378342,0,23000000,EUR,4044364.97,-4564000,4269000,69000,-185000,-156422.69,-164000,108000.0,-9107320.65,-10201498.62,-14089440.89,0,691337.29,0,46509,0,-1038000.0,-1788000,1133653.49,0,0,0,17.82,14.08
4,2019-06-30,EUR,6467237.44,19277779.67,9984000,-4405000,-12839169.84,-13631453.88,11351775.42,0,-13570056.05,0,3546292.82,0,-12810542.23,3512000,69356.80,61397.82,541210.45,471853.65,0,0,0,54000.0,-1231367.47,0,-13631453.88,-11989000.0,0,EUR,228413548.45,2542831,None,1057800,141127445.96,87286102.49,0,460483.68,2105000,-216272697.30,94371000,0,742000,150075610.28,33827926.91,0,0,0,8654000,201050584.98,14006662.80,74418000,40431603.96,1583836.45,0,0,3031233.30,0,0,0,0,0,0,0,843651.58,0,27362963.47,1628179.33,0,5349569.65,107299519.05,0,0,0,286490871,0,181224583,0,23000000,EUR,8260778.08,-5241000,7174000,453000,-460000,-523627.33,-164000,615000.0,-13631453.88,-8252139.23,-15989289.98,0,661529.41,0,29203,0,-5059.31,2360000,522284.03,0,0,0,14.65,17.82
5,2019-03-31,USD,8829000.0,18317293.11,10371000,-2669000,-6322503.85,-7083000.0,11646658.51,0,-6861000.0,0,6741000.0,0,-9711000.0,3512000,39305.09,222000,2850000,580592.27,0,0,0,222000.0,2194346.81,0,-6967107.26,-7083000.0,0,USD,229734144,2593666,None,730077,135671022,94063122,0,663694.45,2275677,-194702345,107353535,0,701956,151104309,32214242,0,982000,0,5524790,206039630,15443529.82,94914703,46979684.89,3774769,0,0,4045054.86,0,0,0,0,0,0,0,728828.60,0,24601614.88,1102788.42,0,2020281.42,107417431.24,0,0,0,286489790,0,196351778,0,23000000,USD,8342785.27,-2723000,7855000,8454000,-460000,28000.0,-252600,-2299000.0,-7083000.0,-7631000.0,-13510000.0,0,188000,0,28000,0,-1318404.89,-917000,599000.0,0,0,0,14.77,14.65
6,2018-12-31,USD,9715531.09,20084881.85,13791007.11,-4075476.03,-10369350.77,-634319.8,14698325.3,0,-462261.99,0,2576278.96,0,-10369350.77,3559302.59,-40146.82,205000,None,None,0,0,0,172057.81,9907088.78,0,-634319.8,-634319.8,0,USD,250652672.63,2804542.33,None,2383000,145271851.34,105380821.29,0,19766001.38,2411103.46,-200831612.76,112038311.54,0,1233080.98,164885294.79,33233539.80,0,0,2894000,2775866.02,224402385.87,19436797.43,102576278.96,51451020.88,4873824.27,0,0,4380591.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360045000,0,235351000,0,22000000,USD,7036017.44,-7110575.82,4740766.23,380821.29,-264969.03,7057811.42,0,-6356962.61,-634319.8,1009405.83,-11196375.32,0,317733.43,0,63043000,0,2812571.69,-295939.44,525349.85,0,0,0,14.0,14.77
7,2018-09-30,USD,7541097.48,20738596.9,13771706.41,-6230608.94,-13197499.42,-12375549.9,117181699057.47,0,-12297985.64,0,3077101.18,0,-13197499.42,3704561.24,-3473.03,None,None,None,0,0,0,77564.25,899513.78,0,-12375549.9,-12375549.9,0,USD,260099560.08,2766844.18,None,187543.41,161782820.10,98316739.99,0,20372771.47,2368603.84,-203608474.18,117505209.54,0,1105580,165393609.63,44277610.56,0,0,0,2269043.76,234550821.95,19407270.20,95549895.81,58153507.76,5927297.99,0,0,8321370.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23000000,USD,-14497568.88,-4134058.81,-14815929.61,399398.01,-267423.01,816161.15,0,2012039.82,-12375549.9,-31789766.15,-18066682.1,0,165547.58,0,0,0,-4710581.15,867098.87,544107.43,0,0,0,19.74,14.0
8,2018-06-30,USD,7615223.46,274995763.5,14575186.22,-6959962.76,-13226256.98,-5345670.39,267981105829.13,0,-5244413.41,0,3071461.82,0,-13226256.98,3134310.99,-1163.87,None,None,None,0,0,0,101256.98,7981843.58,0,-5345670.39,-5345670.39,0,USD,269966247.67,443435.75,None,417830.54,161875000,108091247.67,0,20038407.82,2370810.06,-194629888.27,123042364.99,0,194366.85,198239059.59,38832635.01,0,0,0,2183426.44,247766527,19378491.62,107647811.92,43152932.96,4047951.58,0,0,6323324.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23000000,USD,5946229.05,-5252560.52,5682029.80,373603.35,-268854.75,-54702.05,0,5343342.64,-5345670.39,6791201.12,-2459264.43,0,139664.80,0,0,0,7091480.45,-5347998.14,521415.27,0,0,0,22.76,19.74
9,2018-03-31,USD,12204453.19,19115512.36,12668224.87,-463771.68,-6911059.17,-10373969.74,35741545.01,0,-10310001.23,0,3508426.62,None,-6911059.17,2785090.42,-1230.16,None,None,None,0,0,0,63968.51,-3398942.06,0,-10373969.74,-10373969.74,None,USD,287967769.71,365358.59,None,675359.82,170650756.55,117317013.16,0,21815721.49,2504613.11,-202703899.62,134993234.10,0,168532.41,202352072.83,35657522.45,0,0,0,1401156.35,266647804.16,19384918.19,116951654.57,49045393.04,12101119.45,0,0,6422684.22,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,21000000,USD,-19360314.92,1259687.54,-19231147.74,345675.97,0,55084266.21,0,-2947472.01,-10373969.74,18223643.74,-16015500.06,None,120556.03,0,0,0,-8675113.79,5741173.58,216508.8,None,None,None,18.53,22.76
10,2017-12-31,USD,4792000.0,43862000.0,20131000,-7313000,-23677000.0,-49552000.0,13767000.0,0,-49271000.0,0,9353000.0,None,-23677000.0,6383000,228000,None,None,None,0,0,0,85000.0,-25594000.0,0,-49552000.0,-49552000.0,None,USD,236597000,375000,None,1520000,179027000,57570000,156340000,18805000,2103000,-158775000,156521000,None,9018000,179942000,22506000,None,None,256515000,1404000,188134000,7060000,56280000,40928000,3148000,None,None,3701000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,19000000,USD,-41830000,-14428000,-41625000,1117000,-486000,223877000.0,111970000,4957000.0,-64774000.0,92761000.0,-37413000.0,None,318000,None,74738000,None,-1837000.0,38137000,870000.0,None,None,None,19.4,18.53
