,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-03-31,USD,17902512,17916247,5311565,12590947,-5287949,-5588477,1842837,None,-6043477,None,16073410,37351,-5325300,None,755528,-455000,37785,-717743,None,None,None,-455000,-434,None,-5588477,-5588477,None,USD,208858802,22488900,None,2026315,54261623,154597179,None,342658,1736,-30773858,518984,108570750,166237,39725456,14131251,1250000,1250000,None,7160952,69371963,None,23537529,None,14703450,38845761,12916742,12538593,None,None,1736,None,-30773858,None,None,1266237,None,139486839,1108285,38845761,765627,518984,None,None,None,185369301,208858802,39725456,None,17361685,USD,-126309,471146,-126309,-32801,1250000,33334750,-2497644,168748,-5588480,25321613,-7886828,-470781,1021187,None,32084750,-3327148,-1221304,689213,93508,-681965,None,25321613,9.42,
1,2019-12-31,USD,19721986,18037729,5945108,13776878,-4255938,-5088973,1087449,None,-5088973,None,16950280,4913,-4260851,None,833035,0,5293,-827742,None,None,None,None,-380,None,-5088973,-5088973,None,USD,179187902,20800938,None,1655724,51569197,127618705,None,418163,1549,-25185379,472388,110534259,421743,14403843,11440206,None,None,None,6047483,40183479,None,-3716492,None,12938009,38845761,11185903,11022043,None,None,1549,None,-25185379,None,None,1621743,None,139004423,1229005,38845761,810842,472388,None,None,None,152802535,179187902,14403843,None,15491560,USD,-143712,-1424286,-143712,-44744,9930943,9761004,-1334187,-195390,-5088973,1543265,-8074027,448983,965876,None,-169939,-3485049,-210857,404652,98968,104770,None,1543265,18.61,9.42
2,2019-09-30,USD,11145922,10179800,3236647,7909275,-2252411,1796492,771411,None,-2288508,None,9408389,18114,-2270525,None,36097,-4085000,18877,-17220,None,None,None,-4085000,-763,None,1796492,1796492,None,USD,175403046,21174010,None,111787486,44189431,131213615,None,448158,1535,-20096405,401000,110787776,1329775,12860578,13865368,None,None,None,5316691,35494794,None,110039605,None,12727152,29050722,8907354,13417210,None,None,1535,None,-20096405,None,None,2629775,None,29120476,1320499,29050722,872341,401000,None,None,None,151308485,175403046,12860578,None,15353185,USD,5386073,415588,5386073,5498452,4999117,4982748,-27205,-208738,1796492,5018175,-5350646,-4055800,460296,None,-16369,-2188560,-1885808,345084,112379,-2123746,None,5018175,20.1,18.61
3,2019-06-30,USD,19310874,9126111,2968146,6786138,-2317250,-2345797,897501,None,-2317250,None,8228610,22723,-2339973,None,-36097,28547,30148,30148,None,None,None,28547,-7426,None,-2345797,-2345797,None,USD,29951299,1700021,None,2536138,8247250,21704049,539000,None,96468,-21892897,401000,1701094,1499000,7842403,7846250,None,None,None,4198721,21391463,None,20004028,None,5360454,None,7353562,7846250,None,None,96468,None,-21892897,None,None,960000,None,6858742,None,None,401000,401000,None,None,None,43500478,29951299,7842403,None,9646728,USD,-130237,1460570,-130237,-34937,4999117,42357,-27205,81329,-2345799,-1169817,-1081937,77334,483565,None,42357,-1177956,-18678,439027,95300,-18678,None,-1169817,25.42,20.1
4,2019-03-31,USD,9556590,8353703,2801571,6755019,-1589681,-1589681,1426483,None,-1589681,None,6927220,9003,-1598684,-9556590,-36097,0,22650,22653,None,None,None,None,-13650,None,-1589681,-1589681,None,USD,29812202,1213463,None,2565546,6251675,23560527,None,3995,96411,-19547098,401000,1701090,960000,9012220,5850675,None,None,None,4394548,21543097,None,22347064,None,5333839,None,6332586,5846680,None,None,96411,None,-19547098,None,None,960000,None,6568011,None,None,401000,401000,None,None,None,43011214,29812202,9012220,None,9641103,USD,-156142,-9719,-156142,-52807,4999117,483835,-27205,-237917,-1589681,-1161066,-1488759,-247225,413071,None,483835,-815253,355846,404202,103335,355846,None,-1161066,19.23,25.42
5,2018-12-31,USD,10176453,7987046,3048079,7128374,-840333,-840333,839219,None,-840333,None,7147827,18339,-858672,None,-36097,None,None,None,None,None,None,0,18339,None,-840333,-840333,None,USD,30545176,1214359,None,601752,6263392,24281784,None,5993,95842,-17957417,401000,1701094,960000,10173286,5862392,None,None,None,4473859,22195864,None,21366331,None,5709298,None,5711528,5856399,None,None,95842,None,-17957417,None,None,960000,None,8349312,None,None,None,401000,None,None,None,42143359,30545176,10173286,None,9584178,USD,None,1829792,-222710,-25025,4999117,451590,-27205,-1740,-840331,850475,621595,-9050,400547,None,451590,-1085424,-224027,550088,197685,-224027,None,850475,16.01,19.23
6,2018-09-30,USD,9361164,9223155,2750543,6610621,-2610986,-2610986,1304766,None,-2610986,None,7918389,1548,-2612534,None,0,None,None,None,None,None,None,0,-148452,None,-2610986,-2610986,None,USD,28611347,1241681,None,583314,4440910,24170437,13303,401000,94822,-17117086,13303,1701094,960000,9322811,4427607,None,None,None,4346826,20361746,None,21227662,0,5535271,0,4920350,4427607,0,0,94822,0,-17117086,0,None,960000,None,8249601,None,None,None,13303,None,None,None,41192701,28611347,9322811,None,9481251,USD,None,-178663,-337586,-50080,None,415747,None,77615,-2610986,-1656644,-1734805,77615,366588,0,415747,-104135,-289722,1004498,287506,-289722,None,-1656644,18.5,16.01
7,2018-06-30,USD,-15413451,7950570,2519824,6116302,-1800445,-1782552,1335776,0,-1800445,0,6614794,33823,-1834268,-24240694,0,None,None,None,0,0,0,173224,-700000,191117,-1973669,-1782552,None,USD,29020751,1274742,None,2312741,4619573,24401178,13303,414303,94305,-15466100,13303,1701094,2976000,10979455,4606270,None,None,None,4188378,21856537,None,23126436,0,5245549,0,5019886,4606270,0,0,94305,0,-15466100,0,None,None,None,5463120,None,None,None,13303,None,None,None,39772973,29020751,10979455,None,9430466,USD,None,440417,128961,146367,None,107845,None,77615,-1781635,-1330176,-1566982,158183,380714,0,107845,-215609,-289722,273108,17406,-822160,None,-1330176,12.4,18.5
8,2018-03-31,USD,12439132,7572402,2631893,9807239,2239115,2239115,1199895,0,2239115,0,6372507,4278,2234837,-12439132,0,None,None,None,0,0,0,1000,-95722,0,2239115,2239115,None,USD,29713954,1179170,None,861369,4186793,25527161,20940,475192,94025,-13684465,20940,1701094,2880000,12309631,4165853,None,None,None,4019410,22814280,None,22646897,0,4478779,0,5164501,4165853,0,0,94025,0,-13684465,0,None,None,None,6899674,None,None,None,20940,None,None,None,39117601,29713954,12309631,None,9402466,USD,None,638728,-302575,-62459,None,3671,None,-703877,2238198,207201,506105,-2853607,369219,0,3671,-355386,-152400,621353,240116,-152400,None,207201,10.15,12.4
9,2017-12-31,USD,8323845,7257579,2465826,5858019,-1332352,-6856774,957204,0,-1332352,0,6300375,67208,-1399560,0,0,None,None,None,0,0,0,5524422,-874883,0,-6856774,-6856774,None,USD,28371960,977296,None,328621,5697795,22674165,2170670,1216000,94007,-15922663,2171000,1701094,2678000,12102430,3527125,None,None,None,3887265,21806305,None,19995775,0,4326379,0,5048875,3527125,0,0,94007,0,-15922663,0,None,None,None,6565655,None,None,None,2170670,None,None,None,38502821,28371960,12102430,None,9400666,USD,None,-394908,-64544,-31776,None,168350,None,194452,-8068998,1574389,1470583,3561341,350872,0,168350,-189921,807000,6385065,32768,-172868,None,1574389,9.45,10.15
