,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2019-12-31,USD,23250,None,24680,-1430,None,-916290,None,None,-916290,None,1630770,None,-1632200,-362398,None,None,5990,None,None,None,None,None,None,None,None,-458146,None,USD,6208545,None,None,33170,1453833,4754712,None,None,56070,-6375303,None,None,605588,3642521,805499,6030,None,-119394,1111901,4347710,143346,4754712,None,16029,None,None,None,None,None,None,None,None,-36000,None,1860835,None,1860835,987664,None,None,648334,None,None,None,11229340,None,3642520,None,None,USD,None,-7410,-288293,-64854,-122229,6438220,None,44755,-2243230,3548900,-231349,None,25840,None,6851400,None,None,151890,129800,None,None,None,1.9501,
1,2019-09-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,-362398,None,None,None,None,None,None,None,None,None,None,None,-458146,None,USD,None,None,None,None,None,None,None,None,56070,-6375303,None,None,605588,None,None,None,None,-119394,1111901,None,None,4754712,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,-7410,-288293,-64854,-122229,None,None,44755,None,None,-231349,None,None,None,None,None,None,151890,0,None,None,None,2.62,1.9501
2,2019-06-30,USD,177540,743063,66220,111320,-654292,-1326940,None,None,-1326940,None,1419910,None,-1308590,-362398,None,None,-18240,None,None,None,None,None,-9179,None,-663471,-663471,None,USD,5954210,None,None,95750,273623,5680587,None,117655,56070,-5459010,None,None,500000,4934595,273623,72500,None,-109812,190221,5219429,44560,5680587,None,61017,None,None,None,None,None,None,None,None,-36000,None,734781,None,734781,42722,None,None,0,None,None,None,11229340,None,4934600,None,None,USD,-43881,0,-74445,-22122,-84364,6682670,None,-266810,-1326940,4840970,-838229,None,10320,None,6851400,None,None,86894,16890,None,None,None,16.83,2.62
3,2019-03-31,USD,88772,743063,235310,-146539,-654292,-663471,None,None,-663471,None,507753,None,-654292,-362398,None,None,None,None,None,None,None,None,-9179,None,-663471,-663471,None,USD,5954210,None,None,52114,273623,5680587,None,117655,56070,-5459010,None,None,500000,4934595,273623,None,None,-109812,190221,5219429,44560,5680587,None,61017,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-43881,0,-74445,-22122,-84364,3341337,None,-266810,-663471,2420485,-838229,None,5158,None,None,None,None,86894,8443,None,None,None,4.79,16.83
4,2018-12-31,USD,26880,645088,16310,10570,-631647,-1286750,0,0,-1286750,0,1273870,None,-1263300,0,0,None,-17860,None,0,0,0,0,-11730,0,-643376,-1286750,None,USD,362890,0,None,51110,807170,-444290,0,338811,54000,-4132070,0,0,0,93630,807170,239640,0,-89220,32430,330460,0,-444285,0,0,0,0,0,0,0,0,0,0,-36000,None,None,None,None,None,None,None,None,None,None,None,3759010,None,93630,None,None,USD,-15000,41062,-66310,-42450,91013,1848890,0,164145,-2349000,-143940,-1870350,None,27310,0,1666870,0,0,17685,23860,None,None,None,nan,4.79
5,2018-09-30,USD,13441,645088,252660,-239219,-631647,-643376,0,0,-643376,0,392428,None,-631647,0,0,None,None,None,0,0,0,0,-11730,0,-643376,-643376,None,USD,362888,0,None,69354,807173,-444285,0,338811,54000,-4132069,0,0,0,93625,807173,0,0,-89224,32428,330460,0,-444285,0,0,0,0,0,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-15000,41062,-20728,-22122,91013,91013,0,164145,-643376,-359146,-413421,None,7065,0,0,0,0,17685,5728,None,None,None,nan,nan
6,2018-06-30,USD,0,532123,202322,-202322,-532123,-1062250,387479.87,0,-1062250,0,1064250,None,-1064250,0,-6,None,-2580,None,0,0,0,0,999,0,-531125,-1062250,None,USD,1049330,0,None,4710,146480,902850,0,14056,54000,-2845320,0,0,37400,811920,146480,0,0,-64840,36340,975590,0,902854,0,0,0,0,0,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,3759010,None,811920,None,None,USD,-6225,0,-24860,-12450,91013,1666870,5032.21,-10475,-1062250,574360,-1043510,None,13180,0,1666870,0,0,13253,12410,None,None,None,nan,nan
7,2018-03-31,USD,0,532123,202322,-202322,-532123,-531125,0,0,-531125,0,329801,None,-532123,0,-6,None,None,None,0,0,0,0,999,0,-531125,-531125,None,USD,1049333,0,None,4712,146479,902854,0,14056,54000,-2845316,0,0,37404,811916,146479,0,0,-64838,36339,975590,0,902854,0,0,0,0,0,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-6225,0,-12429,0,91013,833434,0,-10475,-531125,287178,-521756,None,6591,0,0,0,0,13253,6204,None,None,None,nan,nan
8,2017-12-31,USD,0,918600,702989,-702989,-918600,-919200,255000,0,-919200,0,918600,None,-918600,0,0,None,960,None,0,0,0,0,-598,0,-919198,-919200,None,USD,427000,None,None,114000,102000,325000,None,102000,54000,-1783067,None,None,38000,237000,102000,None,None,-38638,38000,351278,None,324435,None,51,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,17000,385390,391750,None,66650,67000,-65967,-919200,-481810,-961230,None,20970,None,66650,None,-1164,4126,6360,None,None,None,nan,nan
9,2017-03-31,USD,0,214973,162776,-162776,-214973,-214600,0,0,-214600,0,52197,None,-214973,0,-6,None,None,None,0,0,0,0,373,0,-214600,-214600,None,USD,None,None,None,None,None,1135382,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1135382,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-6225,0,-655,None,None,833434,None,-5186,-214600,-208246,-213215,None,5116,None,None,None,None,1456,655,None,None,None,nan,nan
