,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-03-31,USD,248327000,26277000,227850000,20477000,-6211000,-5495000,None,None,-6609000,None,19718000,-411000,-5800000,None,398000,-1114000,356000,-42000,None,6559000,None,-1114000,-7326000,None,-5495000,-5495000,None,USD,567347000,11114000,None,65288000,255921000,311426000,None,114753000,279000,212124000,296000,60277000,14500000,87503000,224077000,None,None,-8726000,83968000,371648000,None,240035000,None,211119000,8888000,7738000,109324000,None,None,279000,None,212124000,-29557000,None,34878000,None,5462000,31299000,8888000,22956000,31844000,None,None,None,137306000,567347000,87503000,-154493000,26000000,USD,-2517000,512000,-2517000,641000,-5059000,-12131000,None,6275000,-5495000,-21786000,-7138000,38044000,4686000,None,-7072000,-553000,-10228000,4756000,3158000,-49088000,-1206000,-22992000,9.47,
1,2019-12-31,USD,318677000,61680000,288676000,30001000,-30866000,-28008000,None,None,-31310000,None,23165000,813000,-31679000,None,444000,-3302000,417000,-27000,None,38515000,None,-3302000,-38119000,None,-28008000,-28008000,None,USD,591888000,11955000,None,64667000,269093000,322795000,186000,14865000,279000,217619000,503000,60504000,21487000,110495000,229824000,None,None,-7622000,83940000,381511000,None,250336000,None,199164000,14817000,7185000,214959000,None,None,279000,None,217619000,-22538000,None,48436000,5542000,210377000,33374000,14817000,24266000,39269000,None,None,None,135057000,591888000,110495000,-161185000,27000000,USD,-5582000,-56826000,-5582000,226000,3157000,-6779000,None,-12411000,-28008000,-29840000,-17479000,1844000,4923000,None,-9936000,376000,14579000,36860000,5808000,23352000,446000,-29394000,22.88,9.47
2,2019-09-30,USD,338097000,23691000,305632000,32465000,9251000,6151000,None,None,8862000,None,23691000,477000,8774000,None,389000,2711000,474000,85000,None,None,None,2711000,3000,None,6151000,6151000,None,USD,672754000,18516000,None,75965000,315327000,357427000,2346000,14381000,279000,245627000,2654000,93300000,16461000,139889000,285309000,None,None,-8145000,81516000,439366000,None,245611000,None,215951000,11366000,7561000,270928000,None,None,279000,None,245627000,-13270000,None,37337000,2719000,233388000,24658000,11366000,16306000,30018000,None,None,None,132936000,672754000,139889000,-158589000,28000000,USD,-8533000,6105000,-8533000,151000,6112000,2801000,None,-3517000,6151000,50372000,56104000,-297000,4779000,None,-3311000,456000,3594000,5229000,8684000,33681000,-198000,50174000,17.14,22.88
3,2019-06-30,USD,398714000,26349000,354976000,43738000,17722000,12812000,None,None,17380000,None,26349000,333000,17389000,None,342000,4568000,304000,-38000,None,None,None,4568000,29000,None,12812000,12812000,None,USD,633394000,19472000,None,5034000,281437000,703914000,298000,5331000,279000,239476000,591000,93368000,23909000,89715000,275499000,None,None,344206000,79335000,417310000,None,239117000,None,314544000,5347000,8017000,270168000,None,None,279000,None,239476000,-17759000,None,21226000,2683000,216084000,None,5347000,293000,5938000,None,None,None,137712000,633394000,89715000,-157414000,28000000,USD,-5671000,-17180000,-5671000,166000,3032000,3108000,None,-626000,12812000,39947000,42510000,-15244000,4601000,None,76000,620000,56062000,1760000,5837000,55141000,92000,40039000,20.26,17.14
4,2019-03-31,USD,358887000,24112000,321981000,36906000,13159000,8933000,None,None,12858000,None,24112000,365000,12794000,None,301000,3925000,6000,6000,None,None,None,3925000,58000,None,8933000,8933000,None,USD,631433000,20282000,None,81524000,295339000,336094000,3391000,4618000,279000,226664000,3623000,93316000,26793000,49676000,289544000,None,None,-7863000,75812000,415230000,None,222496000,None,275393000,2172000,8637000,284926000,None,None,279000,None,226664000,-17822000,None,20624000,6169000,216203000,None,2172000,232000,5795000,None,None,None,134836000,631433000,49676000,-154653000,27000000,USD,-7530000,45859000,-7530000,136000,2157000,245000,None,13321000,8933000,-21885000,-14600000,-4199000,4497000,None,-1912000,-676000,-71259000,4904000,7666000,-73918000,72000,-21813000,19.58,20.26
5,2018-12-31,USD,340568000,22359000,312682000,27886000,5779000,3932000,0,None,5418000,None,22359000,252000,5527000,None,361000,None,None,None,None,None,None,1486000,-109000,None,3932000,3932000,None,USD,569552000,21096000,None,80272000,245962000,323590000,1272000,4698000,279000,217731000,1530000,93263000,18761000,71489000,244432000,None,None,-8079000,71593000,364839000,None,209231000,None,205117000,None,7961000,239734000,None,None,279000,None,217731000,-18230000,None,13163000,5598000,204713000,None,None,258000,1530000,None,None,None,131889000,569552000,71489000,-152387000,28000000,USD,None,-19240000,-2725000,848000,-1393000,-4640000,None,-9278000,3932000,-2700000,4665000,309000,4583000,None,-3247000,-1447000,14385000,2143000,3573000,14385000,-547000,-3247000,17.94,19.58
6,2018-09-30,USD,318511000,21201000,295090000,23421000,3048000,2305000,0,None,2756000,None,21201000,828000,2220000,None,292000,None,None,None,None,None,None,451000,536000,None,2305000,2305000,None,USD,587194000,22007000,None,86186000,264413000,322781000,1440000,9079000,279000,213799000,1720000,93451000,14689000,74736000,261144000,None,None,-7010000,71498000,385549000,None,207323000,0,218113000,1549000,6514000,252065000,322781000,129885000,279000,0,213799000,-14172000,None,9130000,5559000,201645000,None,1549000,280000,3269000,None,None,None,129885000,587194000,74736000,-150438000,28000000,USD,None,22656000,1478000,3960000,1533000,180000,None,-1236000,2305000,10477000,8819000,-10860000,4543000,0,-1353000,-1369000,-10982000,2526000,2482000,-10982000,202000,10679000,24.65,17.94
7,2018-06-30,USD,293087000,38563000,271636000,21451000,-16799000,-14683000,0,0,-17319000,0,20565000,313000,-17112000,0,520000,None,None,None,0,17998000,0,-2636000,-18205000,0,-14683000,-14683000,None,USD,558033000,22814000,None,4458000,239190000,318843000,429000,4824000,279000,211494000,725000,96162000,9366000,64057000,238465000,None,None,-7411000,72645000,357046000,None,199867000,0,283379000,0,5152000,233641000,318843000,132198000,279000,0,211494000,-17717000,None,4518000,4848000,200987000,None,None,296000,725000,None,None,None,132198000,558033000,64057000,-147743000,27000000,USD,None,44010000,-2356000,205000,-9386000,-9000000,-364000,2168000,-14683000,17413000,28769000,15448000,4801000,0,386000,187000,-23974000,17528000,2561000,-38522000,-241000,17172000,18.35,24.65
8,2018-03-31,USD,245645000,20753000,230754000,14891000,-5362000,-5153000,0,0,-6005000,0,20753000,500000,-5862000,0,643000,None,None,None,0,0,0,-852000,-143000,0,-5153000,-5153000,None,USD,539239000,24438000,None,6812000,207316000,331923000,3288000,4281000,279000,226177000,3597000,113615000,6004000,46885000,194415000,9304000,9304000,-6498000,74378000,320804000,None,193870000,0,261768000,9304000,5339000,190134000,331923000,130330000,279000,0,226177000,-18365000,None,2077000,3927000,218435000,None,9304000,309000,12901000,None,None,None,130330000,539239000,46885000,-146290000,27000000,USD,None,24496000,-1662000,437000,-41771000,-41706000,None,4683000,-5153000,-27046000,16322000,-1242000,4640000,0,65000,-814000,-8422000,2817000,2099000,-8422000,-156000,-27202000,13.7,18.35
9,2017-12-31,USD,282911000,21529000,256208000,26703000,5104000,4532000,0,0,4285000,0,21529000,-70000,5174000,0,819000,None,None,None,0,0,0,-247000,-889000,0,4532000,4532000,None,USD,557866000,25364000,None,7826000,222280000,335586000,1158000,4183000,279000,231330000,316000,113845000,144173000,74087000,169898000,50908000,50908000,-5788000,76187000,337506000,None,196377000,0,251068000,50908000,4525000,165715000,335586000,128235000,279000,0,231330000,-18470000,None,2170000,2794000,220360000,None,50908000,316000,52382000,None,None,None,128235000,557866000,74087000,-143680000,27000000,USD,None,-27947000,-3688000,-1515000,8808000,8728000,-24000,-4393000,4532000,27790000,22750000,4816000,5313000,0,-80000,-256000,25489000,1337000,2173000,34955000,212000,28002000,17.8,13.7
