,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,329000,1093000,172000,157000,-707000,-771000,None,None,-771000,None,921000,None,-764000,None,None,None,None,None,None,None,None,None,-7000,None,-771000,-771000,None,USD,4072000,791000,None,None,1244000,2828000,None,3000,12000,-40962000,None,None,None,1334000,802000,None,654000,None,253000,3028000,None,2037000,None,33000,310000,1474000,108000,None,None,None,None,None,None,None,None,None,1044000,169000,None,None,442000,None,None,None,None,None,None,None,None,USD,None,-37000,None,None,310000,1380000,None,-97000,-771000,656000,-724000,None,57000,None,None,96000,-9000,37000,0,None,None,None,0.885,
1,2020-03-31,USD,290000,1143000,158000,132000,-796000,-866000,None,None,-866000,None,985000,None,-853000,None,None,None,-13000,None,None,None,None,None,-13000,None,-866000,-866000,None,USD,3591000,844000,None,None,977000,2614000,79000,18000,11000,-40191000,None,None,79000,678000,831000,646000,646000,None,270000,2398000,None,1770000,None,23000,None,1570000,130000,None,None,None,None,None,None,None,1193000,None,1193000,183000,None,None,146000,None,None,None,42794000,None,678000,None,10000000,USD,None,-359000,None,None,300000,1558000,None,-70000,-866000,614000,-944000,None,57000,None,1258000,96000,-19000,217000,0,None,None,None,0.91,0.885
2,2019-12-31,USD,379000,1557000,81000,298000,-1059000,-1187000,None,None,-1187000,None,1476000,None,-1178000,None,9000,None,-9000,-9000,None,None,None,None,None,None,-1187000,-1187000,None,USD,3038000,896000,None,None,1858000,1180000,95000,None,9000,-39325000,None,None,95000,64000,1712000,1159000,1159000,None,289000,1758000,None,284000,None,5000,None,1666000,277000,None,None,None,None,None,None,None,1280000,None,1280000,192000,None,None,146000,None,None,None,40496000,None,64000,None,9000000,USD,None,305000,None,None,355000,131000,3000,32000,-1187000,-332000,-463000,None,119000,None,2061000,73000,-44000,226000,0,None,None,None,1.21,0.91
3,2019-09-30,USD,350000,1261000,174000,176000,-807000,-921000,None,None,-921000,None,1087000,None,-911000,None,10000,None,-10000,-10000,None,None,None,None,-10000,None,-921000,-921000,None,USD,3573000,983000,None,None,1208000,2365000,95000,20000,9000,-38138000,None,None,95000,396000,1048000,794000,794000,None,332000,2163000,None,1382000,None,44000,None,1625000,145000,None,None,None,None,None,None,None,1410000,None,1410000,206000,None,None,160000,None,None,None,40494000,None,396000,None,9000000,USD,None,-56000,None,None,355000,7000,-3000,58000,-921000,-762000,-769000,None,104000,None,2288000,52000,-28000,22000,0,None,None,None,1.45,1.21
4,2019-06-30,USD,154000,1320000,81000,73000,-1067000,-1175000,None,None,-1175000,None,1239000,None,-1166000,None,-10000,None,-9000,None,None,None,None,None,-9000,None,-1175000,-1175000,None,USD,4519000,1080000,None,None,1265000,3254000,92000,23000,9000,-37217000,None,None,92000,1158000,1093000,785000,785000,None,349000,2998000,None,2174000,None,16000,None,1677000,126000,None,None,None,None,None,None,None,1521000,None,1521000,218000,None,None,172000,None,None,None,40462000,None,1158000,None,9000000,USD,None,-72000,None,None,355000,200000,-3000,69000,-1175000,-1039000,-1239000,None,99000,None,2278000,9000,3000,-172000,0,None,None,None,1.52,1.45
5,2019-03-31,USD,149000,1112000,61000,88000,-884000,-975000,None,None,-975000,None,1051000,None,-963000,None,-10000,None,-12000,None,None,None,None,None,-12000,None,-975000,-975000,None,USD,5736000,1173000,None,None,1335000,4401000,92000,47000,9000,-36042000,None,None,142000,2197000,1150000,775000,775000,None,366000,4055000,None,3228000,None,19000,185000,1686000,211000,None,None,None,None,None,None,None,50000,None,1681000,231000,None,185000,185000,None,None,None,40434000,None,2197000,None,8000000,USD,None,-280000,None,None,355000,2078000,-3000,988000,-975000,2182000,104000,None,7000,None,2078000,-10000,59000,243000,0,None,None,None,1.59,1.52
6,2018-12-31,USD,149000,1323000,98000,51000,-1174000,-65000,-62000,0,-1189000,0,1225000,None,-1174000,0,-13000,None,None,None,0,0,0,-1124000,-15000,0,-65000,-65000,None,USD,4455000,1245000,None,1124000,1634000,2821000,108000,10000,8000,-35067000,None,None,158000,15000,1634000,None,None,None,149000,2903000,None,1576000,None,1202000,None,1676000,236000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,37880000,None,15000,None,7000000,USD,None,220000,None,None,250000,256000,-3000,-1076000,-65000,-444000,-700000,None,188000,None,1450000,65000,-73000,40000,0,None,None,None,1.42,1.59
7,2018-09-30,USD,66000,975000,59000,7000,-909000,-911000,62000,0,-911000,0,916000,None,-909000,0,-2000,None,None,None,0,0,0,0,-2000,0,-911000,-911000,None,USD,4003000,1425000,None,108000,1158000,2845000,108000,12000,7000,-35002000,None,0,108000,459000,1158000,None,None,None,157000,2313000,None,1420000,0,5000,0,1741000,169000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7000000,USD,None,-4000,0,0,750000,731000,-14000,4000,-911000,-49000,-780000,None,78000,0,0,1000,-3000,55000,0,None,None,None,1.21,1.42
8,2018-06-30,USD,88000,1122000,62000,26000,-1034000,-1034000,105000,0,-1034000,0,1060000,None,-1034000,0,-2000,None,None,None,0,0,0,0,1000,0,-1034000,-1034000,None,USD,4143000,1496000,None,112000,417000,3726000,94000,14000,7000,-34091000,None,0,94000,508000,417000,None,None,None,164000,2389000,None,2230000,0,2000,0,1767000,249000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7000000,USD,None,-29000,0,0,750000,1059000,-94000,49000,-1034000,278000,-781000,None,81000,0,0,15000,-1000,42000,0,None,None,None,1.47,1.21
9,2018-03-31,USD,57000,1269000,31000,26000,-1212000,-1213000,186000,0,-1213000,0,1238000,None,-1212000,0,-2000,None,None,None,0,0,0,0,-1000,0,-1213000,-1213000,None,USD,4011000,1568000,None,109000,447000,3564000,96000,15000,7000,-33057000,None,0,96000,230000,447000,None,None,None,173000,2174000,None,1996000,0,1000,0,1782000,184000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7000000,USD,None,16000,0,0,750000,296000,-94000,2000,-1213000,-693000,-989000,None,83000,0,0,-3000,3000,123000,0,None,None,None,1.27,1.47
10,2017-12-31,USD,157000,6013000,52000,218000,-4412000,-4058000,4000,0,-4058000,0,1102000,None,-4068000,123000,1000,None,None,None,0,118000,0,0,10000,0,-4400000,-4400000,None,USD,4795000,1640000,None,163000,431000,4364000,102000,255000,6000,-31844000,None,0,1742000,923000,431000,None,None,None,184000,2819000,None,2724000,0,4000,0,1779000,176000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6000000,USD,None,-212000,-2000,0,None,2842000,-102000,-78000,-4058000,-943000,-3783000,None,318000,0,0,81000,-55000,221000,2000,None,None,None,1.3564,1.27
11,2017-09-30,USD,160000,-2587000,52000,0,-781000,0,1000,0,0,0,780000,None,0,-141000,1000,None,None,None,0,-59000,0,0,0,0,-786000,-786000,None,USD,4875000,1711000,None,500000,485000,4390000,0,378000,6000,0,None,0,1836000,468000,485000,None,None,None,194000,0,None,2679000,0,56000,0,1821000,107000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6000000,USD,None,151000,0,0,None,1802000,-230000,-185000,0,-676000,0,None,0,0,0,43000,11000,37000,0,None,None,None,1.37,1.3564
12,2017-06-30,USD,59000,1168000,31000,0,2242000,0,37000,0,0,0,1053000,None,0,-35000,0,None,None,None,0,-118000,0,0,0,0,2245000,2245000,None,USD,5437000,1783000,None,315000,334000,5103000,0,299000,6000,0,None,0,1908000,1144000,334000,None,None,None,207000,0,None,3320000,0,8000,0,1855000,35000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6000000,USD,None,-132000,0,0,None,1801000,-230000,-49000,0,-1095000,0,None,0,0,0,7000,59000,-18000,0,None,None,None,1.82,1.37
13,2017-03-31,USD,150000,0,122000,0,-1117000,0,4000,0,0,0,1084000,None,0,53000,0,None,None,None,0,59000,0,0,0,0,-1117000,-1117000,None,USD,6634000,1854000,None,266000,466000,6168000,0,194000,6000,0,None,0,1979000,2239000,466000,None,None,None,220000,0,None,4314000,0,65000,0,1865000,272000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6000000,USD,None,-177000,0,0,None,1801000,None,-181000,0,373000,0,None,0,0,0,0,0,41000,0,None,None,None,2.89,1.82
14,2016-12-31,USD,27000,4634000,14000,8000,-4307000,-4341000,-4000,0,-4341000,0,699000,None,-4307000,210000,1000,None,None,None,0,44000,0,0,-34000,0,-4341000,-4341000,None,USD,5961000,1907000,None,85000,643000,5318000,0,417000,5000,-27786000,None,0,1907000,1866000,643000,None,None,None,233000,3821000,None,3411000,0,8000,0,1862000,226000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5000000,USD,None,-356000,-381000,0,-100000,5041000,-102000,437000,-4341000,987000,-3673000,None,264000,0,0,-501000,398000,426000,1000,None,None,None,1.18,2.89
15,2016-09-30,USD,39000,0,17000,0,0,0,4000,0,0,0,811000,None,0,0,11000,None,None,None,0,0,0,0,0,0,0,0,None,USD,6630000,1579000,None,62000,1309000,5321000,0,360000,5000,0,125000,0,1579000,2889000,1184000,None,None,None,246000,0,None,None,0,None,0,1853000,249000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5000000,USD,None,None,0,0,None,5041000,None,None,0,None,0,None,0,0,0,0,405000,None,0,None,None,None,1.64,1.18
