,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,-41000,14412000,368000,-409000,-14809000,-15441000,6500000,None,-15322000,None,8072000,None,-14453000,None,251000,119000,16000,-235000,None,None,None,119000,-634000,None,-15441000,-15441000,None,USD,65050000,None,None,None,20589000,44461000,None,2160000,1430000,-515442000,873000,None,368000,49660000,10996000,None,None,27000,2176000,62409000,None,44364000,175000,3228000,7477000,5196000,2620000,None,None,None,None,None,None,None,None,None,2641000,None,None,2116000,9593000,None,None,None,None,None,None,None,None,USD,-228000,587000,-228000,-215000,None,39387000,-2604000,-1683000,-15441000,22507000,-17264000,None,262000,None,None,-972000,None,916000,13000,None,None,None,0.675,
1,2020-03-31,USD,301000,20489000,8000,293000,-21965000,-23259000,4944000,None,-23107000,None,16025000,None,-20188000,None,1024000,152000,64000,-960000,None,None,None,152000,-1959000,None,-23259000,-23259000,None,USD,41002000,111000,None,444000,21088000,19914000,None,2279000,951000,-500001000,509000,None,378000,26938000,11962000,None,None,27000,2340000,38173000,None,19803000,175000,3467000,7374000,4224000,2033000,None,None,None,None,None,None,None,2829000,None,2829000,None,7374000,1752000,9126000,None,None,None,None,None,27113000,None,946000000,USD,-20000,-2537000,-20000,52000,-30000000,-30219000,-373000,-1730000,-23259000,-59029000,-28108000,None,118000,None,154000,-3542000,None,5189000,72000,None,None,None,0.575,0.675
2,2019-12-31,USD,252000,22322000,55000,197000,-21575000,-23045000,5202000,None,-23024000,None,17146000,None,-22070000,None,1132000,21000,79000,-1053000,None,None,None,21000,99000,None,-23045000,-23045000,None,USD,94113000,91000,None,392000,52839000,41274000,None,3872000,945000,-476742000,496000,None,378000,86019000,16639000,None,None,27000,2474000,91170000,None,41183000,175000,2744000,34502000,682000,4673000,None,None,None,None,None,None,None,2943000,None,2943000,None,34502000,1698000,36200000,None,None,None,None,None,86194000,None,742000000,USD,200000,1349000,200000,164000,-30000000,23395000,-1700000,598000,-23045000,8082000,-15487000,None,317000,None,48082000,-520000,1258000,2082000,61000,None,None,None,1.32,0.575
3,2019-09-30,USD,6496000,23695000,15000,6481000,-17115000,-17795000,5601000,None,-17824000,None,18503000,None,-17199000,None,709000,-29000,94000,-615000,None,None,None,-29000,-10000,None,-17795000,-17795000,None,USD,90122000,343000,None,228000,50907000,39215000,None,3886000,780000,-453697000,116000,None,716000,78101000,14884000,None,None,27000,2655000,86408000,None,38872000,175000,6540000,34241000,162000,3221000,None,None,None,None,None,None,None,3714000,None,3714000,None,34241000,1782000,36023000,None,None,None,None,None,78276000,None,752000000,USD,15188000,307000,15188000,228000,9900000,19252000,-245000,511000,-17795000,19663000,-14657000,None,-3000,None,23189000,-162000,-1650000,4111000,40000,None,None,None,2.0,1.32
4,2019-06-30,USD,0,20976000,8074000,-7549000,-20626000,-21707000,8074000,None,-21752000,None,13427000,None,-20976000,None,904000,-45000,72000,-832000,None,None,None,-45000,56000,None,-21707000,-21707000,None,USD,83645000,86000,None,None,40240000,43405000,None,2367000,729000,-435902000,197000,None,710000,58666000,14116000,None,None,27000,2761000,80088000,None,43319000,15253000,4766000,24306000,None,2914000,None,None,None,None,None,None,None,3557000,None,3557000,None,24306000,1818000,26124000,None,None,None,None,None,73919000,None,725000000,USD,-15015000,-4648000,-15015000,228000,80000,3749000,-115000,-26000,-21707000,-32376000,-21123000,None,222000,None,13592000,-162000,3042000,2002000,15000,None,None,None,2.43,2.0
5,2019-03-31,USD,1703000,20244000,7538000,-5835000,-18930000,-20217000,7538000,None,-20063000,None,13409000,None,-19244000,None,899000,154000,-889000,-889000,None,None,None,154000,70000,None,-20217000,-20217000,None,USD,103987000,99000,None,None,43880000,60107000,None,2633000,713000,59367000,267000,None,438000,91042000,18095000,None,None,27000,2972000,100478000,None,60008000,225000,8238000,23945000,None,7562000,None,None,None,None,None,None,None,3509000,None,3509000,None,23945000,1840000,25785000,None,None,None,None,None,91267000,None,687000000,USD,-42000,4302000,-42000,228000,80000,9679000,-299000,-4414000,-20217000,-10961000,-20625000,None,125000,None,9978000,-162000,-2650000,2102000,42000,None,None,None,2.44,2.43
6,2018-12-31,USD,797000,31558000,21370000,-20573000,-30761000,-30825000,7538000,0,-31083000,0,10188000,None,-30761000,0,-114000,-258000,None,None,0,0,0,-258000,-322000,0,-30825000,-30825000,None,USD,110418000,98000,None,None,41788000,68630000,None,1645000,670000,-393978000,264000,None,428000,102003000,17806000,None,None,27000,1139000,108753000,None,68532000,225000,5371000,23718000,None,3304000,None,None,None,None,None,None,None,None,None,None,None,23718000,None,None,None,None,None,None,None,102228000,None,508000000,USD,101000,-1496000,-229000,228000,25000000,24327000,-2108000,4625000,-30825000,1672000,-22231000,None,119000,None,74219000,-162000,3500000,2033000,20000,None,None,None,1.46,2.44
7,2018-09-30,USD,461000,21456000,8874000,-8413000,-20995000,-52825000,7538000,0,-52976000,0,12582000,None,-20995000,0,-8000,None,None,None,0,0,0,-151000,-31981000,0,-52825000,-52825000,None,USD,112445000,109000,None,1163000,16019000,96426000,0,1791000,665000,-363153000,244000,0,428000,100331000,15065000,None,None,27000,1226000,110682000,None,96317000,326000,8862000,710000,0,4765000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,584000000,USD,-101000,768000,-4092000,0,125000,46378000,-3747000,1287000,-52825000,25078000,-17132000,None,129000,0,22784000,0,149000,33439000,41000,None,None,None,2.7,1.46
8,2018-06-30,USD,847000,18554000,9717000,-8870000,-17707000,-17788000,7538000,0,-17836000,0,8837000,None,-17707000,0,-7000,None,None,None,0,0,0,-48000,-129000,0,-17788000,-17788000,None,USD,86788000,127000,None,1150000,12120000,74668000,0,1727000,410000,-310326000,236000,0,428000,75253000,11292000,592000,592000,27000,1285000,84948000,None,74541000,225000,8320000,592000,0,2928000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,405000000,USD,-115000,-828000,-123000,0,221000,3159000,-458000,1180000,-17788000,-14188000,-17021000,None,129000,0,22784000,0,-518000,931000,8000,None,None,None,3.48,2.7
9,2018-03-31,USD,7551000,20415000,10279000,-2728000,-12864000,-13342000,10279000,0,-12836000,0,10136000,None,-12864000,0,-4000,None,None,None,0,0,0,506000,28000,0,-13342000,-13342000,None,USD,100462000,155000,None,1016000,12020000,88442000,0,1861000,402000,-292540000,225000,0,428000,89441000,11384000,411000,411000,27000,1376000,98503000,None,88287000,110000,7936000,411000,0,3807000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,369000000,USD,-115000,-1413000,-160000,0,189000,19059000,-518000,-1292000,-13342000,2672000,-16339000,None,133000,0,19388000,0,-1992000,1116000,160000,None,None,None,5.03,3.48
