,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,1398000000,384000000,699000000,699000000,342000000,241000000,None,None,316000000,3000000,317000000,27000000,315000000,50000000,26000000,75000000,1000000,-25000000,None,17000000,None,75000000,9000000,None,241000000,241000000,None,USD,14559000000,2215000000,None,3482000000,8802000000,5754000000,506000000,3971000000,2000000,5301000000,668000000,6488000000,89000000,711000000,4249000000,None,None,-1715000000,396000000,4716000000,None,-2949000000,206000000,523000000,3482000000,None,278000000,None,None,2000000,None,5301000000,-367000000,None,744000000,None,9843000000,403000000,3482000000,565000000,4553000000,None,None,None,2533000000,14559000000,711000000,None,164248600,USD,63000000,227000000,9000000,-12000000,-663000000,-762000000,-2000000,226000000,241000000,-312000000,441000000,-133000000,50000000,-80000000,-17000000,None,None,9000000,42000000,47000000,None,-312000000,119.47,
1,2020-03-31,USD,1353000000,426000000,652000000,701000000,299000000,203000000,None,None,273000000,2000000,359000000,24000000,275000000,48000000,26000000,70000000,2000000,-24000000,None,19000000,None,70000000,3000000,None,203000000,203000000,None,USD,14798000000,2200000000,None,3433000000,9400000000,5396000000,507000000,3989000000,2000000,5140000000,678000000,6326000000,87000000,1015000000,5450000000,1146000000,1146000000,-1909000000,375000000,5270000000,None,-3130000000,254000000,568000000,2962000000,None,315000000,None,None,2000000,None,5140000000,-364000000,None,627000000,None,9528000000,310000000,2962000000,481000000,3950000000,None,None,None,2527000000,14798000000,1269000000,None,164337766,USD,22000000,-4000000,-154000000,-150000000,694000000,468000000,-26000000,37000000,203000000,694000000,380000000,273000000,48000000,-78000000,-122000000,None,None,34000000,26000000,-174000000,None,694000000,94.95,119.47
2,2019-12-31,USD,1066000000,386000000,1727000000,646000000,279000000,203000000,None,None,252000000,2000000,324000000,19000000,260000000,-1260000000,27000000,49000000,2000000,-25000000,None,15000000,None,49000000,3000000,None,203000000,203000000,None,USD,13924000000,2249000000,None,3245000000,8285000000,5639000000,552000000,3500000000,2000000,5027000000,731000000,6366000000,84000000,332000000,4227000000,391000000,391000000,-1686000000,384000000,4290000000,205000000,-2976000000,291000000,422000000,2996000000,None,336000000,None,None,2000000,None,5027000000,-336000000,None,635000000,None,9634000000,331000000,2996000000,510000000,4058000000,None,None,None,2632000000,13924000000,623000000,None,165094440,USD,-81000000,170000000,-109000000,11000000,-148000000,-208000000,-8000000,138000000,203000000,22000000,339000000,-112000000,47000000,-77000000,25000000,None,-35000000,66000000,39000000,-35000000,None,22000000,107.1,94.95
3,2019-09-30,USD,1096000000,406000000,464000000,632000000,244000000,150000000,None,None,215000000,2000000,319000000,18000000,226000000,511000000,29000000,65000000,3000000,-26000000,None,40000000,None,65000000,-25000000,None,150000000,150000000,None,USD,12980000000,2239000000,None,2595000000,7653000000,5327000000,525000000,2870000000,2000000,4901000000,695000000,6232000000,95000000,304000000,3692000000,539000000,539000000,-1833000000,361000000,3499000000,208000000,-3144000000,201000000,399000000,2939000000,None,283000000,None,None,2000000,None,4901000000,-328000000,None,649000000,None,9481000000,327000000,2939000000,497000000,3961000000,None,None,None,2585000000,12980000000,505000000,None,163894038,USD,58000000,-120000000,32000000,-1000000,72000000,-156000000,-1000000,-63000000,150000000,-23000000,101000000,-2000000,47000000,-78000000,-149000000,None,13000000,13000000,25000000,13000000,None,-23000000,99.35,107.1
4,2019-06-30,USD,1061000000,367000000,438000000,623000000,270000000,174000000,None,None,239000000,2000000,314000000,14000000,256000000,486000000,31000000,65000000,3000000,-28000000,None,5000000,None,65000000,6000000,None,174000000,174000000,None,USD,14132000000,2304000000,None,3356000000,8581000000,5551000000,510000000,3796000000,2000000,4829000000,685000000,6382000000,113000000,333000000,4531000000,467000000,467000000,-1666000000,390000000,4363000000,215000000,-3135000000,259000000,415000000,3022000000,None,268000000,None,None,2000000,None,4829000000,-327000000,None,693000000,None,9769000000,343000000,3022000000,518000000,4050000000,None,None,None,2713000000,14132000000,592000000,None,165389235,USD,-39000000,-134000000,-89000000,-7000000,-119000000,-271000000,-36000000,39000000,174000000,-174000000,186000000,28000000,48000000,-77000000,-39000000,None,30000000,40000000,43000000,30000000,None,-174000000,96.17,99.35
5,2019-03-31,USD,1039000000,359000000,405000000,634000000,350000000,247000000,None,None,313000000,None,302000000,75000000,275000000,453000000,37000000,66000000,3000000,-34000000,None,9000000,None,66000000,63000000,None,247000000,247000000,None,USD,14503000000,2329000000,None,3597000000,9009000000,5494000000,503000000,4066000000,2000000,4732000000,683000000,6380000000,113000000,472000000,5641000000,1239000000,1239000000,-1645000000,370000000,4736000000,197000000,-3215000000,220000000,447000000,2328000000,None,336000000,None,None,2000000,None,4732000000,-327000000,None,688000000,None,9767000000,357000000,2328000000,537000000,3368000000,None,None,None,2732000000,14503000000,692000000,None,165701483,USD,37000000,266000000,-74000000,-91000000,-235000000,-302000000,6000000,-56000000,247000000,-39000000,337000000,-102000000,48000000,-73000000,0,None,-50000000,-72000000,20000000,-50000000,None,-39000000,87.49,96.17
6,2018-12-31,USD,1135000000,405000000,492000000,645000000,365000000,-44000000,0,0,328000000,0,339000000,125000000,240000000,541000000,37000000,None,None,None,-289000000,15000000,0,372000000,65000000,0,-44000000,-44000000,None,USD,15700000000,2300000000,None,5173000000,10251000000,5449000000,501000000,5298000000,2000000,4558000000,725000000,6363000000,112000000,545000000,6570000000,875000000,None,-1530000000,376000000,6370000000,179000000,-3214000000,268000000,384000000,2956000000,None,397000000,None,None,2000000,None,4558000000,-297000000,None,291000000,None,9330000000,None,2956000000,224000000,3681000000,None,None,None,2716000000,15700000000,813000000,None,165165104,USD,103000000,248000000,-31000000,-95000000,-35000000,-121000000,-21000000,204000000,-44000000,208000000,360000000,-84000000,51000000,-72000000,7000000,None,-24000000,213000000,39000000,-24000000,None,208000000,81.57,87.49
7,2018-09-30,USD,964000000,354000000,364000000,600000000,247000000,163000000,0,0,209000000,0,295000000,1000000,246000000,417000000,38000000,None,None,None,0,6000000,0,46000000,-51000000,0,163000000,163000000,None,USD,14855000000,2328000000,None,4575000000,9253000000,5602000000,137000000,4670000000,2000000,4399000000,382000000,6369000000,123000000,324000000,5799000000,808000000,None,-1184000000,371000000,5457000000,207000000,-3095000000,202000000,356000000,3072000000,202000000,321000000,0,0,2000000,0,4399000000,-291000000,None,330000000,None,9398000000,None,3072000000,245000000,3454000000,None,None,None,2676000000,14855000000,526000000,None,163949047,USD,111000000,-168000000,76000000,-8000000,41000000,-71000000,14000000,-226000000,163000000,19000000,14000000,-120000000,53000000,-72000000,-54000000,0,41000000,45000000,27000000,41000000,None,19000000,85.8,81.57
8,2018-06-30,USD,1027000000,346000000,412000000,615000000,325000000,162000000,0,0,288000000,0,303000000,56000000,269000000,465000000,37000000,None,None,None,0,-10000000,0,126000000,21000000,0,162000000,162000000,None,USD,15141000000,2351000000,None,4687000000,9599000000,5542000000,99000000,5091000000,2000000,4309000000,372000000,6355000000,121000000,322000000,6148000000,768000000,3847000000,-1191000000,370000000,5727000000,217000000,-3164000000,313000000,405000000,3079000000,300000000,289000000,0,0,2000000,0,4309000000,-290000000,None,338000000,None,9414000000,None,3079000000,273000000,3451000000,None,None,None,2712000000,15141000000,635000000,None,164503404,USD,-100000000,-124000000,159000000,288000000,-193000000,-498000000,-1000000,128000000,162000000,-60000000,279000000,162000000,53000000,-73000000,-231000000,0,75000000,-49000000,29000000,75000000,None,-60000000,91.27,85.8
9,2018-03-31,USD,1151000000,393000000,815000000,666000000,277000000,177000000,0,0,239000000,0,330000000,4000000,273000000,538000000,38000000,None,None,None,0,10000000,0,62000000,-52000000,0,177000000,177000000,None,USD,15790000000,2432000000,None,4499000000,10065000000,5725000000,706000000,4728000000,2000000,4146000000,274000000,6549000000,9768000000,429000000,6036000000,960000000,4115000000,-1060000000,384000000,5638000000,285000000,-3256000000,224000000,486000000,3155000000,214000000,348000000,0,0,2000000,0,4146000000,-289000000,None,371000000,None,416000000,None,3155000000,168000000,4029000000,None,None,None,2926000000,15790000000,653000000,None,166946592,USD,8000000,215000000,-8000000,-6000000,-133000000,-337000000,-42000000,-8000000,177000000,30000000,375000000,50000000,53000000,-63000000,-99000000,0,-127000000,7000000,16000000,-127000000,None,30000000,86.22,91.27
