,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,9545000,6077000,None,9545000,3468000,2982000,None,None,3468000,None,6077000,None,3468000,990000,1598000,486000,10750000,9152000,None,None,None,486000,None,None,2982000,2982000,None,USD,1433750000,None,None,None,1237969000,195781000,None,1219608000,8112000,186733000,16104000,5848000,830611000,86566000,1219725000,None,None,936000,9955000,581289000,785061000,189933000,489926000,4797000,None,None,117000,None,None,8112000,None,186733000,None,None,50044000,None,850908000,None,None,18244000,18244000,None,None,None,None,1433750000,576492000,None,6489574,USD,-45452000,-873000,-107375000,-61853000,None,107077000,111425000,-2333000,2982000,911000,1209000,-1476000,603000,-4348000,None,None,-517000,490000,70000,-517000,None,911000,28.6,
1,2020-03-31,USD,11248000,6467000,None,11248000,4781000,3979000,None,None,4781000,None,6467000,None,4781000,1225000,1796000,802000,11388000,9592000,None,None,None,802000,None,None,3979000,3979000,None,USD,1318976000,5848000,512704000,None,1127417000,191559000,None,1108183000,8112000,188099000,16883000,5848000,772098000,84302000,1108320000,None,None,-4652000,10058000,527601000,724030000,185711000,439019000,4280000,None,None,137000,None,None,8112000,None,188099000,None,None,49855000,None,789791000,None,None,19097000,19097000,None,None,None,None,1318976000,523321000,None,6489574,USD,6015000,876000,8471000,3771000,None,-11570000,-11570000,1501000,3979000,2114000,5213000,629000,369000,None,None,None,5000,-645000,1315000,5000,None,2114000,31.9,28.6
2,2019-12-31,USD,12191000,6450000,None,12191000,5741000,4777000,None,None,5741000,None,6450000,None,5741000,2013000,1808000,964000,11428000,9620000,None,None,None,964000,679000,None,4777000,4777000,None,USD,1321837000,5848000,513049000,5190000,1138111000,183726000,None,1119753000,8112000,184120000,15928000,5848000,775557000,87171000,1119897000,None,None,-8506000,10531000,526719000,727493000,177878000,435263000,4285000,None,1612000,144000,None,None,8112000,None,184120000,None,None,51246000,None,795118000,2286000,None,18214000,18214000,None,None,None,None,1321837000,522434000,None,7000000,USD,-45818000,2024000,-57440000,-11483000,None,47053000,51726000,275000,4777000,-3916000,6471000,-1756000,347000,-4673000,0,None,-52000,1131000,139000,-52000,None,-3916000,44.93,31.9
3,2019-09-30,USD,11426000,6386000,None,11426000,5040000,4252000,None,None,5040000,None,6386000,None,5040000,1163000,1865000,788000,11288000,9423000,None,None,None,788000,-109000,None,4252000,4252000,None,USD,1272721000,5848000,471973000,6566000,1084733000,187988000,None,1068027000,8112000,184016000,14215000,5848000,763647000,149696000,1068160000,None,None,-4140000,8993000,488079000,717358000,182140000,334150000,4233000,None,1470000,133000,None,None,8112000,None,184016000,None,None,50973000,None,783172000,2358000,None,16573000,16573000,None,None,None,None,1272721000,483846000,None,6489574,USD,-12587000,611000,-5070000,7691000,None,-2298000,-1770000,787000,4252000,-2964000,4404000,187000,216000,0,-528000,None,959000,-1821000,174000,959000,None,-2964000,40.05,44.93
4,2019-06-30,USD,11180000,6453000,None,11180000,4727000,3994000,None,None,4727000,None,6453000,None,4727000,1199000,1914000,733000,11293000,9379000,None,None,None,733000,-186000,None,3994000,3994000,None,USD,1269517000,5848000,457194000,6001000,1085669000,183848000,None,1069797000,8132000,180272000,13592000,5848000,770945000,77208000,1069942000,None,None,-4556000,9012000,478747000,723064000,178000000,396347000,5192000,2135000,2025000,145000,None,None,8132000,None,180272000,None,None,50821000,None,788745000,2135000,None,15727000,15727000,None,None,None,None,1269517000,473555000,None,6505574,USD,5116000,-641000,-6256000,-11008000,None,5233000,9592000,-1147000,3994000,1838000,2861000,-506000,201000,-4359000,0,None,209000,-396000,364000,209000,None,1838000,38.93,40.05
5,2019-03-31,USD,11634000,6465000,None,11634000,5169000,4443000,None,None,5169000,None,6465000,None,5169000,1318000,1793000,726000,11138000,9345000,None,None,None,726000,-110000,None,4443000,4443000,None,USD,1258003000,5848000,458628000,6003000,1076775000,181228000,None,1060205000,8132000,180637000,14238000,5848000,759749000,68713000,1060345000,None,None,-7541000,10855000,478759000,711613000,175380000,404645000,5401000,2192000,2025000,140000,None,None,8132000,None,180637000,None,None,50928000,None,779244000,2192000,None,16430000,16430000,None,None,None,None,1258003000,473358000,None,6505574,USD,19282000,526000,7088000,-11839000,None,-9734000,8263000,1265000,4443000,2450000,5096000,744000,187000,-4359000,-17997000,None,-241000,-563000,355000,-241000,None,2450000,42.85,38.93
6,2018-12-31,USD,11591000,6225000,1402000,11591000,5366000,4563000,0,0,5366000,0,6225000,None,5366000,-755000,5047000,None,None,None,0,0,0,-4317000,-2143000,0,9683000,4563000,None,USD,1256032000,5848000,None,5232000,1065794000,190238000,None,1051942000,8698000,193625000,13763000,5848000,752821000,56373000,1052031000,None,None,-12085000,10698000,486543000,1056027000,184390000,425010000,5160000,None,2052000,89000,None,None,8698000,None,193625000,None,None,50462000,None,1123035000,None,None,13763000,13763000,None,None,None,None,1256032000,481383000,None,6957974,USD,13543000,-398000,5436000,-8017000,-35000000,-9617000,29766000,2165000,4563000,1349000,5530000,2588000,199000,-4383000,None,None,None,-1851000,90000,429000,None,1349000,36.43,42.85
7,2018-09-30,USD,11391000,6463000,1468000,11391000,4928000,4251000,0,0,4928000,0,6463000,None,4928000,1333000,0,None,None,None,0,0,0,677000,-374000,0,4251000,4251000,None,USD,1258289000,5861000,None,6616000,1070132000,188157000,0,1022176000,8698000,193445000,12791000,0,746525000,39861000,1057341000,35000000,35000000,-13986000,8727000,493935000,695148000,182296000,448485000,5589000,0,2214000,165000,0,0,8698000,0,193445000,0,None,52404000,None,762140000,None,None,12791000,12791000,None,None,None,None,1258289000,488346000,None,6957974,USD,16560000,111000,5618000,-10788000,35000000,-11605000,-46605000,380000,4251000,-997000,4990000,516000,209000,-4383000,0,0,0,92000,154000,-189000,None,-997000,45.45,36.43
8,2018-06-30,USD,11107000,6424000,1487000,11107000,4683000,4041000,0,0,4683000,0,6424000,None,4683000,1515000,0,None,None,None,0,0,0,642000,-266000,0,4041000,4041000,None,USD,1267477000,5873000,None,6518000,1081626000,185851000,0,1068781000,8698000,189194000,12794000,0,733731000,42511000,1068832000,None,None,-12041000,11339000,515416000,684402000,179978000,467505000,5400000,0,2582000,51000,0,0,8698000,0,189194000,0,None,50447000,None,752061000,None,None,12794000,12794000,None,None,None,None,1267477000,510016000,None,6957974,USD,34468000,794000,6396000,-27227000,35000000,-8195000,-4159000,71000,4041000,1932000,3731000,-582000,236000,-4036000,0,0,0,-718000,845000,-40000,None,1932000,46.4,45.45
9,2018-03-31,USD,11898000,8164000,609000,11898000,3734000,3296000,0,0,3734000,0,8164000,None,3734000,3077000,0,None,None,None,0,0,0,438000,-188000,0,3296000,3296000,None,USD,1270528000,5886000,None,5360000,1084991000,185537000,0,1072940000,8698000,189189000,12051000,0,521226000,87169000,1072995000,None,None,-12350000,8120000,429740000,774177000,179651000,337211000,5360000,0,2741000,55000,0,0,8698000,0,189189000,0,None,49864000,None,838047000,None,None,11996000,11996000,None,None,None,None,1270528000,424380000,None,6957974,USD,-31728000,-76000,-21058000,10772000,35000000,13206000,13206000,701000,3296000,-2328000,5524000,853000,230000,-4036000,0,302000,0,1284000,102000,-63000,None,-2328000,45.05,46.4
