,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,106712000,71735000,34334000,73614000,40918000,26848000,None,None,34977000,None,1090000,-1090000,42008000,1090000,5941000,8129000,None,-5941000,None,None,None,8129000,1223000,None,26848000,26848000,None,USD,2046931000,29739000,None,None,789894000,1257037000,83785000,None,848000,290564000,95000000,None,8449000,513382000,104777000,None,None,37675000,26105000,56671000,1339771000,1253403000,1339771000,60715000,392773000,None,104777000,None,None,848000,None,290564000,None,None,549222000,None,63619000,None,404978000,196354000,685117000,None,None,None,927950000,2046931000,None,None,84800000,USD,-140089000,1159000,-140089000,None,252625000,466215000,-6373000,33866000,26848000,405629000,79503000,43240000,2473000,None,220308000,None,-8904000,11684000,3145000,-9621000,None,405629000,16.08,
1,2020-03-31,USD,113608000,41452000,5697000,101952000,74900000,58271000,None,None,72156000,None,734000,-734000,75634000,734000,2744000,13885000,-2744000,-2744000,None,None,None,13885000,900000,None,58271000,58271000,None,USD,1387827000,29301000,None,None,412937000,974890000,66831000,None,689000,263716000,77549000,None,30292000,107316000,20745000,None,None,4464000,25667000,59972000,1070072000,971256000,1070072000,46872000,145521000,None,20745000,None,None,689000,None,263716000,None,None,158656000,None,62634000,None,158256000,167105000,392192000,None,None,None,706021000,1387827000,None,None,68873540,USD,25783000,-23812000,25783000,27276000,-375000,-4903000,-778000,618000,58271000,68732000,47852000,1051000,2441000,None,3367000,None,-787000,10863000,1493000,-1148000,None,68732000,11.61,16.08
2,2019-12-31,USD,102265000,39476000,-20745000,125642000,374940000,50195000,None,None,62789000,None,937000,17384000,357556000,2248000,2974000,12594000,-2974000,-2974000,None,None,None,12594000,1155000,None,50195000,50195000,None,USD,1364818000,14052000,None,14432000,434398000,930420000,700000,136642000,684000,205445000,66624000,3244000,2232000,38427000,39904000,None,None,17288000,32496000,61573000,1140940000,926786000,1140940000,46085000,145764000,None,39904000,None,None,684000,None,205445000,None,None,65772000,None,59972000,None,160074000,178060000,394494000,None,None,None,707003000,1364818000,None,None,68400000,USD,-77092000,-3421000,-77092000,-184399000,-375000,3709000,-778000,325000,50195000,-4800000,68583000,7000,2638000,None,8015000,None,-355000,18944000,2507000,-301000,None,-4800000,33.18,11.61
3,2019-09-30,USD,102727000,38795000,2572000,99016000,63932000,49763000,None,None,63932000,None,33244000,-1840000,65772000,2248000,2979000,14169000,-2979000,-2979000,None,None,None,14169000,1244000,None,49763000,49763000,None,USD,1301462000,29937000,None,14127000,427975000,873487000,800000,145146000,679000,155250000,53042000,None,1959000,42956000,39296000,None,None,19165000,33203000,63647000,1073176000,869853000,1073176000,45730000,146007000,None,39296000,None,None,679000,None,155250000,None,None,71175000,None,56642000,None,162079000,182831000,388679000,None,None,None,698393000,1301462000,None,None,67927370,USD,-42294000,-1028000,-42294000,-109814000,-375000,205000,-778000,-12215000,49763000,10154000,52243000,-11712000,2322000,None,1359000,None,-3505000,16651000,2958000,-4089000,None,10154000,26.26,33.18
4,2019-06-30,USD,89495000,38537000,2923000,88257000,50958000,39100000,None,None,50958000,None,32543000,-4756000,55714000,2248000,3071000,11858000,-3071000,-3071000,None,None,None,11858000,415000,None,39100000,39100000,None,USD,1220399000,29461000,None,11506000,408020000,812379000,28258000,151358000,677000,105487000,41141000,None,1604000,34305000,24351000,None,None,14052000,25827000,62651000,1017607000,808745000,1017607000,42225000,146253000,None,24351000,None,None,677000,None,105487000,None,None,51772000,None,52607000,None,164345000,191066000,383669000,None,None,None,692163000,1220399000,None,None,67768466,USD,-62992000,4107000,-62992000,-70478000,-375000,-79000,-1061000,-286000,39100000,-4026000,59045000,-425000,2236000,None,1357000,None,-3746000,16962000,2740000,-3494000,None,-4026000,28.39,26.26
5,2019-03-31,USD,81106000,30849000,2743000,78363000,38974000,32899000,None,None,38974000,None,30849000,-8540000,47514000,2248000,3061000,6075000,-3061000,-3061000,None,None,None,6075000,42000,None,32899000,32899000,None,USD,1147511000,3634000,None,11653000,395630000,751881000,12770000,154325000,675000,66387000,28105000,None,1358000,39761000,16981000,None,None,184000,25105000,66225000,946776000,748247000,940223000,66225000,171811000,None,16981000,None,None,675000,None,66387000,None,None,56951000,None,48820000,None,171811000,194068000,378649000,None,None,None,684635000,1147511000,None,None,67501958,USD,-10226000,-18021000,-11977000,-10226000,-375000,-1835000,-12477000,-1477000,32899000,14467000,28279000,-431000,2665000,None,11017000,None,-2472000,14498000,1751000,-3331000,None,14467000,25.87,28.39
6,2018-12-31,USD,76259000,-205088000,-8763000,85022000,290620000,35520000,0,0,45244000,0,-205088000,510000,290110000,0,-3028000,None,None,None,0,0,0,9724000,510000,0,35520000,35520000,None,USD,1092043000,3634000,None,10109000,390543000,701500000,2740000,162684000,663000,33488000,10036000,3244000,1707000,23880000,31141000,None,None,-14832000,24765000,66377000,917184000,697866000,58840000,66377000,173871000,None,31141000,None,None,663000,None,33488000,None,None,33243000,None,46840000,None,173871000,182791000,359402000,None,None,None,682181000,1092043000,None,None,66318849,USD,433518000,336000,-39722000,-212590000,-375000,317000,391000,-51000,35520000,7107000,46512000,-244000,2578000,None,301000,None,-1332000,9467000,13386000,-1145000,None,7107000,17.85,25.87
7,2018-09-30,USD,71761000,30379000,1099000,70662000,31847000,24811000,0,0,31847000,0,30379000,-8436000,40283000,0,-2972000,None,None,None,0,0,0,7036000,-8436000,0,24811000,24811000,None,USD,1052481000,3634000,None,8398000,391988000,660493000,1300000,167054000,663000,-2032000,10930000,0,9639000,18187000,27134000,None,None,-16303000,22887000,67733000,880316000,656859000,42310000,67733000,175962000,0,27134000,0,0,663000,0,-2032000,0,None,26594000,None,51317000,None,175962000,188892000,364854000,None,None,None,678165000,1052481000,None,None,66285847,USD,-36682000,1696000,-38735000,0,-599000,2472000,-3633000,-2024000,24811000,1733000,37996000,-983000,2671000,0,6704000,0,-3423000,14316000,2053000,-4515000,None,1733000,22.65,17.85
8,2018-06-30,USD,67453000,29020000,643000,66810000,32339000,25241000,0,0,32339000,0,29020000,-5451000,37790000,0,-5560000,None,None,None,0,0,0,7098000,-5451000,0,25241000,25241000,None,USD,1016479000,3634000,None,7171000,386837000,629642000,4507000,170165000,658000,-26843000,6391000,0,15832000,16454000,21407000,147262000,147262000,-15043000,22803000,83504000,843054000,626008000,53866000,67050000,178273000,0,21407000,0,0,658000,0,-26843000,0,None,8743000,None,54741000,None,178273000,182650000,365430000,None,None,None,670870000,1016479000,16454000,None,65753784,USD,-123720000,4891000,-125623000,0,-385000,-35000,-957000,-1339000,25241000,-85436000,40222000,-1315000,4813000,0,1307000,0,-3088000,9704000,1903000,-3112000,None,-85436000,16.3,22.65
9,2018-03-31,USD,59552000,28453000,1569000,57983000,26531000,22355000,0,0,26531000,0,28453000,-2999000,29530000,0,-3419000,None,None,None,0,0,0,4176000,-2999000,0,22355000,22355000,None,USD,987591000,3634000,None,7099000,385647000,601944000,4838000,170428000,656000,-52084000,6563000,0,17972000,101890000,21218000,143868000,143868000,-13533000,22857000,168611000,728555000,598310000,7702000,66721000,177047000,0,21218000,0,0,656000,0,-52084000,0,None,7565000,None,56369000,None,177047000,182544000,364429000,None,None,None,666905000,987591000,101890000,None,65569342,USD,-15200000,-5132000,-16570000,0,-375000,78133000,-5523000,-2159000,22355000,82694000,21131000,-1606000,2658000,0,84031000,0,-2985000,6394000,1370000,-3538000,None,82694000,16.55,16.3
