,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,183815000,145322000,52980000,130835000,-16193000,-17420000,45381000,None,-19267000,None,84587000,-1706000,-14487000,15261000,3074000,-1847000,265000,-2809000,None,93000,None,-1847000,-2064000,None,-17420000,-17420000,None,USD,3067527000,569477000,None,38174000,1137710000,1929817000,146314000,260408000,122000,337919000,260863000,1721649000,22373000,403306000,357492000,None,None,-2241000,55228000,630775000,0,-361309000,23202000,138793000,450000000,27300000,97084000,None,None,122000,None,337919000,-1309038000,None,83907000,None,6491000,80381000,450000000,183904000,780218000,None,None,None,2903055000,3067527000,426508000,None,72455170,USD,27283000,-16022000,20543000,-4135000,None,-4103000,-4103000,-16022000,-17420000,61371000,44931000,-25696000,26009000,None,0,-5544000,None,8452000,2605000,75152000,None,61371000,25.56,
1,2020-03-31,USD,229351000,154057000,62732000,166619000,13208000,7336000,45903000,None,8778000,None,89836000,646000,12562000,16110000,4430000,1442000,829000,-3601000,None,2208000,None,1442000,-2391000,None,7336000,7336000,None,USD,3120503000,582179000,None,37544000,1182584000,1937919000,148650000,280618000,122000,355339000,262929000,1725680000,23990000,338489000,398997000,None,None,-3160000,57715000,659743000,2613000,-369940000,47969000,213514000,450000000,22227000,118379000,None,None,122000,None,355339000,-1305935000,None,86353000,None,6220000,80995000,450000000,184937000,783587000,None,None,None,2891553000,3120503000,386458000,None,72220906,USD,8366000,16219000,-3492000,-7143000,None,-50260000,-260000,16298000,7336000,53481000,107233000,11582000,28707000,None,-50000000,2734000,31026000,9629000,4715000,31026000,None,53481000,23.67,25.56
2,2019-12-31,USD,260024000,157620000,65585000,194439000,37533000,36725000,48606000,None,32904000,None,92701000,714000,36819000,16120000,4629000,-3821000,826000,-3803000,None,193000,None,-3821000,-305000,None,36725000,36725000,None,USD,3127339000,602856000,None,40261000,1164532000,1962807000,151278000,272242000,122000,348003000,262614000,1718496000,24939000,287660000,384104000,None,None,-3345000,58700000,654049000,2561000,-358545000,56274000,244877000,450000000,24977000,111862000,None,None,122000,None,348003000,-1255675000,None,83643000,None,7034000,78905000,450000000,179150000,780428000,None,None,None,2873702000,3127339000,343934000,None,73855221,USD,3928000,5705000,-2248000,-25000,None,-25235000,-235000,16922000,36725000,41851000,69334000,33451000,28731000,None,-25000000,1251000,-42491000,5962000,6151000,-42491000,None,41851000,24.07,23.67
3,2019-09-30,USD,216421000,164584000,59132000,157289000,-5738000,-17472000,50058000,None,-10911000,None,98244000,1557000,-7295000,16132000,5173000,6561000,1214000,-3959000,None,150000,None,6561000,193000,None,-17472000,-17472000,None,USD,3069374000,624799000,None,44318000,1129110000,1940264000,156227000,244762000,122000,311278000,260439000,1719362000,20966000,245064000,350559000,None,None,-3699000,58505000,572994000,7630000,-403897000,55129000,202288000,450000000,26195000,105797000,None,None,122000,None,311278000,-1230440000,None,79078000,None,7006000,78645000,450000000,172324000,778551000,None,None,None,2863003000,3069374000,300193000,None,74838047,USD,26689000,22562000,20916000,-4000,-50000000,-127655000,-8365000,15873000,-17472000,-107741000,-1002000,-4070000,29331000,None,-69290000,-1276000,-42155000,12078000,5769000,-42155000,None,-107741000,23.06,24.07
4,2019-06-30,USD,186024000,155729000,54743000,131281000,-22482000,-29343000,43727000,None,-28847000,None,95736000,1966000,-24448000,16143000,6365000,496000,1658000,-4707000,None,123000,None,496000,185000,None,-29343000,-29343000,None,USD,3194001000,648997000,None,51257000,1182566000,2011435000,160681000,257564000,120000,328750000,262401000,1717945000,22193000,353721000,349583000,None,None,-3184000,56393000,675850000,5087000,-355507000,84354000,160039000,500000000,26479000,92019000,None,None,120000,None,328750000,-1155252000,None,82619000,None,7110000,81648000,500000000,172302000,832983000,None,None,None,2841001000,3194001000,438075000,None,76554298,USD,-12044000,-16881000,-19485000,-4154000,-50000000,-83720000,-3012000,-15519000,-29343000,-53747000,49458000,-21570000,29335000,None,-30708000,-1208000,75092000,14033000,3287000,75092000,None,-53747000,25.39,23.06
5,2019-03-31,USD,235002000,147235000,58536000,176466000,29925000,19211000,42241000,None,23102000,None,87094000,694000,29231000,16721000,6823000,3891000,-5266000,-5266000,None,1208000,None,3891000,-2337000,None,19211000,19211000,None,USD,3269994000,669118000,None,53658000,1204561000,2065433000,160513000,272508000,120000,358093000,274625000,1715485000,24206000,409632000,379936000,None,None,-2639000,58951000,801222000,1012000,-319170000,76344000,235318000,550000000,26270000,107428000,None,None,120000,None,358093000,-1119063000,None,16988000,None,7218000,None,550000000,114112000,824625000,None,None,None,2828922000,3269994000,485976000,None,77610361,USD,29422000,-11762000,25108000,-384000,-50000000,-65021000,-554000,-10966000,19211000,40411000,80324000,18961000,31369000,None,-14467000,2638000,11748000,8187000,3930000,11749000,None,40411000,28.07,25.39
6,2018-12-31,USD,246008000,177065000,69584000,176424000,1800000,-3603000,49925000,None,-5205000,None,96812000,2441000,-641000,16433000,7005000,None,None,None,None,13895000,None,-1602000,-18459000,None,-3603000,-3603000,None,USD,3297384000,693763000,None,50827000,1253907000,2043477000,162604000,260926000,119000,338107000,267542000,1715523000,24074000,369054000,386365000,None,None,-608000,60789000,802233000,1002000,-365809000,105753000,247690000,600000000,28909000,125439000,None,None,119000,None,338107000,-1104042000,None,19298000,None,4776000,None,600000000,104938000,867542000,None,None,None,2809901000,3297384000,474807000,None,77831786,USD,13204000,23312000,5817000,-132000,-50000000,-3889000,-3889000,12490000,-3603000,38736000,36808000,39742000,31951000,None,2000,1791000,-63253000,8416000,7255000,-64801000,None,38736000,23.63,28.07
7,2018-09-30,USD,223797000,182934000,63980000,159817000,-22636000,-26428000,55959000,None,-29063000,None,97345000,481000,-23117000,27158000,6427000,None,None,None,None,2472000,None,-2635000,-17595000,None,-26428000,-26428000,None,USD,3243005000,720900000,None,52572000,1206407000,2036598000,169791000,230098000,119000,341710000,267375000,1712962000,25646000,332183000,339032000,None,None,555000,63617000,719831000,None,-397264000,119935000,184156000,600000000,30985000,108934000,0,0,119000,0,341710000,-1102481000,None,20006000,None,5640000,None,600000000,97584000,867375000,None,None,None,2796695000,3243005000,452118000,None,77704724,USD,-14324000,5405000,-23075000,-3012000,-50000000,-6889000,-6891000,17954000,-26428000,-22778000,7186000,1817000,34211000,0,2000,1030000,-18614000,9582000,5739000,-18431000,None,-22778000,25.25,23.63
8,2018-06-30,USD,205111000,220137000,62027000,143084000,-75858000,-62504000,55463000,None,-81746000,None,104191000,1195000,-77053000,23465000,5888000,None,None,None,None,37018000,None,-19242000,-41749000,None,-62504000,-62504000,None,USD,3277608000,756400000,None,60951000,1232407000,2045201000,176999000,248165000,117000,368138000,272582000,1718499000,24611000,353416000,359825000,600000000,600000000,-107000,60006000,718074000,None,-429698000,105637000,165331000,600000000,32739000,111660000,0,0,117000,0,368138000,-999329000,None,19036000,None,5575000,None,600000000,95583000,872582000,None,None,None,2676382000,3277608000,459053000,None,80535277,USD,-27638000,-1272000,-34102000,4000,-50000000,-3486000,-3486000,3926000,-62504000,-12068000,25520000,-34813000,40347000,0,0,-138000,47939000,34425000,6468000,49475000,None,-12068000,29.7,25.25
9,2018-03-31,USD,235224000,176158000,66591000,168633000,-7841000,16817000,53314000,0,-12561000,0,99718000,-316000,-7525000,21738000,4720000,None,None,None,0,1388000,0,-29378000,-6462000,0,16817000,16817000,None,USD,3368608000,831374000,None,56434000,1299826000,2068782000,278218000,301925000,117000,396493000,286526000,1712764000,19551000,369821000,413300000,600000000,600000000,2895000,52511000,752408000,None,-475356000,77941000,213438000,600000000,34774000,111375000,0,0,117000,0,396493000,-995843000,None,12866000,6685000,2616200000,None,600000000,8308000,886526000,None,None,None,2665120000,3368608000,447762000,None,80270023,USD,-26832000,1289000,-30737000,-344000,294619000,-7346000,-641000,-8115000,16817000,35453000,73536000,-9177000,40644000,0,-301324000,2228000,37513000,-15667000,3561000,37402000,2086000,41838000,26.35,29.7
