,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,280052000,72434000,198751000,81301000,9230000,5983000,21144000,None,9230000,None,49865000,363000,8867000,1425000,None,3247000,49000,49000,None,None,None,3247000,314000,None,5983000,5983000,None,USD,928971000,6915000,None,35061000,322825000,606146000,None,8171000,30000,-247028000,24793000,80721000,62468000,252633000,270283000,None,None,7000,15536000,721688000,9869000,518510000,5919000,277490000,None,150585000,262112000,None,None,30000,None,-247028000,None,None,104111000,None,207283000,36645000,None,52542000,52542000,None,None,None,853137000,928971000,258552000,None,None,USD,-6032000,34955000,-8388000,None,None,-6436000,-2260000,-7493000,5983000,48341000,63165000,-3942000,4753000,None,-4176000,27841000,-19909000,13484000,2356000,-19909000,None,48341000,25.89,
1,2020-03-31,USD,229963000,229294000,163722000,66241000,5299000,-4173000,19739000,None,-3655000,None,46165000,None,669000,None,None,518000,262000,262000,None,None,None,518000,-4586000,None,-4173000,-4173000,None,USD,879369000,8510000,None,29749000,281578000,597791000,None,6669000,30000,-243251000,23124000,80721000,68542000,204292000,234202000,None,None,371000,16382000,677647000,3867000,508560000,5422000,257582000,None,180602000,227533000,None,None,30000,None,-243251000,None,None,96109000,None,201722000,32949000,None,47376000,47376000,None,None,None,840641000,879369000,209714000,None,30000000,USD,-231000,-64865000,-1506000,-231000,None,-13415000,-1347000,-15759000,-4173000,14084000,29005000,7254000,4630000,None,-12068000,52484000,19586000,14089000,1275000,19586000,None,14084000,22.84,25.89
2,2019-12-31,USD,252971000,69794000,183388000,69583000,625000,-420000,20799000,None,625000,None,50228000,836000,-211000,None,None,1045000,417000,417000,None,None,None,1045000,419000,None,-420000,-420000,None,USD,955813000,10104000,None,35745000,347120000,608693000,None,6450000,30000,-222723000,23295000,80721000,66132000,190208000,298391000,None,None,21000,17683000,744109000,8147000,517868000,5499000,277168000,None,235489000,291941000,None,None,30000,None,-222723000,None,None,103196000,None,211704000,34791000,None,48729000,48729000,None,None,None,831365000,955813000,195707000,None,29925008,USD,-1331000,31130000,-3764000,63689000,None,-23599000,-463000,25943000,-420000,22206000,49569000,-3816000,4829000,None,-23136000,36217000,-29097000,10726000,2433000,-29097000,None,22206000,24.51,22.84
3,2019-09-30,USD,265858000,65127000,188666000,77192000,12301000,12529000,19537000,None,12301000,None,45590000,236000,12065000,None,None,-228000,639000,639000,None,None,None,-228000,-403000,None,12529000,12529000,None,USD,943061000,11699000,None,31153000,320923000,622138000,None,5812000,31000,-199841000,21271000,80721000,64489000,168002000,272474000,None,None,-18000,19671000,726724000,8147000,529718000,3915000,248070000,None,275584000,266662000,None,None,31000,None,-199841000,None,None,104246000,None,216337000,36943000,None,48449000,48449000,None,None,None,821966000,943061000,171917000,None,32000000,USD,-280000,-43789000,-2654000,65020000,None,-17838000,-400000,-5640000,12529000,-46609000,-26117000,3438000,4782000,None,-17438000,732000,-9435000,5626000,2374000,-9435000,None,-46609000,32.22,24.51
4,2019-06-30,USD,230852000,65119000,165407000,65445000,1595000,839000,18814000,None,1595000,None,45004000,1269000,326000,None,None,756000,782000,782000,None,1301000,None,756000,-814000,None,839000,839000,None,USD,992507000,13297000,None,38687000,370435000,622072000,None,10093000,31000,-190005000,26185000,80721000,63317000,214611000,314987000,None,None,12000,21074000,771949000,8086000,528054000,3700000,238635000,29263000,276316000,304894000,None,None,31000,None,-190005000,None,None,105466000,None,220558000,39506000,None,55448000,55448000,None,None,None,812034000,992507000,218311000,None,32000000,USD,23501000,36925000,20036000,65300000,None,-18371000,-2358000,-6070000,839000,28931000,27266000,-6816000,4908000,None,-16057000,-40193000,23896000,7707000,3465000,23896000,None,28931000,25.29,32.22
5,2019-03-31,USD,249082000,68000000,167074000,82008000,15050000,12843000,18832000,None,15050000,None,49236000,1042000,14008000,None,None,2207000,701000,701000,None,-68000,None,2207000,145000,None,12843000,12843000,None,USD,970375000,15058000,None,34791000,337467000,632908000,None,11750000,32000,-171551000,25942000,80721000,63155000,185680000,280011000,10599000,10599000,14000,20645000,746097000,8086000,537129000,26972000,262531000,31514000,236123000,268261000,None,None,32000,None,-171551000,None,None,107854000,None,224278000,42113000,None,57456000,57456000,None,None,None,804413000,970375000,212652000,None,33000000,USD,41799000,-113599000,35841000,41799000,None,-14015000,-3300000,-44132000,12843000,-15367000,-37193000,2186000,4887000,None,-10671000,7748000,41136000,7606000,5958000,41136000,None,-15367000,33.12,25.29
6,2018-12-31,USD,-53563000,-19782000,-57392000,3829000,24153000,-19471000,-13155000,0,24153000,-8368000,-7467000,542000,23611000,0,0,None,None,None,-42355000,840000,0,16337000,-131000,-35655000,7816000,-19471000,None,USD,1043376000,17146000,None,35997000,415824000,627552000,None,11086000,32000,-166050000,31832000,80721000,67433000,201047000,383992000,None,None,-15000,20177000,857899000,None,529685000,73317000,303667000,None,243871000,372906000,None,None,32000,None,-166050000,None,None,67433000,None,185477000,None,None,31832000,31832000,None,None,None,793585000,1043376000,274364000,None,31562358,USD,62030000,-16967000,-1701000,-71363000,None,-13825000,169747000,-44132000,-27839000,-192593000,-177067000,15034000,1054000,None,-183589000,4070000,41136000,-49216000,7632000,-103203000,None,-192593000,52.03,33.12
7,2018-09-30,USD,400586000,114581000,276394000,124192000,11930000,9949000,35253000,0,11930000,-799000,79327000,2319000,9611000,0,0,None,None,None,0,1000,0,2780000,-4736000,-14075000,9150000,9949000,None,USD,1533322000,22341000,None,39011000,598843000,910178000,0,35485000,32000,124488000,74772000,101965000,94047000,393640000,524071000,None,None,-36000,56647000,1258322000,None,785872000,136173000,358982000,0,330516000,488586000,934479000,785694000,32000,0,124488000,0,None,94047000,None,275000000,None,None,74772000,74772000,None,None,None,785694000,1533322000,529813000,None,33000000,USD,-6648000,65790000,-27515000,-14352000,None,159969000,-432000,3882000,9150000,166243000,33789000,-529000,5708000,0,160383000,-38297000,-14880000,6847000,6515000,-14880000,None,166243000,62.85,52.03
8,2018-06-30,USD,366820000,112167000,257648000,109172000,-862000,-5230000,31371000,0,-862000,24301000,79415000,2133000,-2995000,0,0,None,None,None,0,1381000,0,4368000,-11232000,-14075000,-5230000,-5230000,None,USD,1256631000,20024000,None,44878000,500895000,755736000,0,30674000,32000,129953000,56343000,85463000,86149000,227397000,444552000,None,None,-107000,29137000,1035858000,None,650249000,128241000,343883000,0,291459000,413878000,0,0,32000,0,129953000,0,None,86149000,None,220773000,None,None,56343000,56343000,None,None,None,625858000,1256631000,355638000,None,33000000,USD,-346000,41033000,-10529000,0,None,-3940000,-4868000,20228000,-5230000,-31398000,-16929000,-17135000,5564000,0,957000,-25114000,-26781000,10734000,10183000,-26781000,None,-31398000,62.5,62.85
9,2018-03-31,USD,344973000,96018000,240468000,104505000,7983000,5590000,28947000,0,7983000,24301000,67080000,-504000,8487000,0,0,None,None,None,0,-9000,0,2393000,-7279000,-14075000,5590000,5590000,None,USD,1213177000,22449000,None,29849000,457458000,755719000,0,30985000,32000,140080000,55302000,85463000,193865000,258795000,402156000,None,None,-269000,19779000,999533000,None,647807000,127442000,317102000,0,266345000,371171000,0,0,32000,0,140080000,0,None,85953000,None,213644000,None,None,55302000,55302000,None,None,None,615876000,1213177000,386237000,None,33000000,USD,-259000,-38558000,-3444000,0,None,2373000,-2300000,-33238000,5590000,55925000,56996000,-3725000,5780000,0,4644000,-22819000,101809000,8919000,3185000,101809000,None,55925000,57.2,62.5
