,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,4589262,-1235994,836422,3752840,2916058,2411865,-880983,None,2916058,None,-355011,399212,2516846,None,None,504193,399212,399212,None,None,None,504193,None,None,2411865,2411865,None,USD,78882332,None,None,1502896,2064787,76817545,None,796357,48350,55623347,189523,None,None,6402983,1199336,None,None,1759185,505792,32542188,45049578,76817545,19179495,2297850,None,3943738,1268430,None,None,48350,None,55623347,None,None,None,None,45555370,796357,None,None,865451,None,None,None,19386663,78882332,25582478,None,4835038,USD,0,372463,None,None,None,-4835038,None,-30703,2411865,-1662611,3172427,-30703,129620,-4835038,None,-59288,396168,-47698,0,396168,None,-1662611,61.83,
1,2020-03-31,USD,6150926,-1310503,1187354,4963572,4081360,3366497,-1019408,None,4081360,None,-291095,428291,3653069,None,None,714863,428291,428291,None,None,None,714863,None,None,3366497,3366497,None,USD,79498150,None,None,655835,1502801,77995349,None,833734,48350,58046520,None,None,108119,8065594,796201,None,None,516523,582467,34384711,43606495,77995349,19084814,2694018,None,3884450,669067,None,None,48350,None,58046520,None,None,816358,None,108119,833734,None,None,706600,None,None,None,19383956,79498150,27150408,None,4835038,USD,-25965,615653,-25965,5303670,None,-5421082,-4846010,-475250,3366497,-2087579,3359468,-475250,146278,-4846010,-575072,275292,-574981,5979,25965,-574981,None,-2087579,52.03,61.83
2,2019-12-31,USD,6464596,-1099457,1263806,5200790,4544811,3730664,-771468,None,4544811,None,-327989,443478,4101333,None,None,814147,443478,443478,None,None,None,814147,443478,None,3730664,3730664,None,USD,81117850,None,None,996943,887148,80230702,None,174916,48460,59526033,None,None,63467,10153173,887148,None,None,697291,649834,29332509,50920291,80230702,12055363,2182504,None,4159742,712232,None,None,48460,None,59526033,None,None,51785341,None,51570125,174916,None,None,0,None,None,None,19958918,81117850,22208536,None,4846010,USD,-4182800,-79446,-4192776,5303670,None,-4846010,-4846010,39059,3730664,-3923117,5115669,39059,136775,-4846010,None,195590,1096748,-3721,9976,1096748,None,-3923117,71.4,52.03
3,2019-09-30,USD,6501945,-1295046,1346098,5155847,4317110,3822062,-926596,None,4317110,None,-368450,456309,3860801,None,None,495048,456309,456309,None,None,None,495048,456309,None,3822062,3822062,None,USD,82281405,None,None,59834502,966594,81314811,None,216634,48460,60641379,None,None,68495,14076290,923812,None,None,666054,731001,22494666,58798500,81314811,0,3215785,None,4355332,749960,None,None,48460,None,60641379,None,None,59786739,68495,799496,216634,None,None,42782,None,None,None,19958918,82281405,14076290,-10438174,4846010,USD,3000000,-427419,3000000,9486470,None,-4846010,-4846010,-163712,3822062,1036998,2883008,-163712,132183,-4846010,None,-135549,-469102,124545,16100,-469102,None,1036998,66.35,71.4
4,2019-06-30,USD,6294696,-1303076,1092037,5202659,4358622,3607419,-973067,None,4358622,None,-330009,459039,3899583,None,None,751203,459039,459039,None,None,None,751203,459039,None,3607419,3607419,None,USD,83505696,None,None,872290,1394013,82111683,None,172796,48460,61665327,None,None,194740,13039292,1308821,172796,172796,487338,821035,23652364,58612189,82111683,2999689,2746683,85192,4219783,1136025,None,None,48460,None,61665327,None,None,59853332,194735,59627959,257988,None,85192,85192,None,None,None,19910558,83505696,16038981,-10348140,4846010,USD,6486470,296693,6470370,6486470,None,-4846010,-4846010,205399,3607419,6161988,4537628,205399,134733,-4846010,None,45093,248955,-664,16100,248955,None,6161988,69.63,66.35
5,2019-03-31,USD,5588951,-1268585,1297856,4291095,3482488,2858872,-1019728,None,3482488,None,-248857,459978,3022510,None,None,623616,459978,459978,None,None,None,623616,459978,None,2858872,2858872,None,USD,83615887,None,None,55741678,835676,82780211,None,None,48460,62903918,None,None,353735,6877304,835676,None,None,-82725,894835,27441684,54925633,82780211,12487821,3349373,None,4264876,835676,None,None,48460,None,62903918,None,None,56174203,None,894835,None,None,None,0,None,None,None,19910558,83615887,19365125,None,4846010,USD,2976820,-30274,2976820,7127590,None,-4846010,-4846010,-60239,2858872,670755,2539945,-60239,173512,-4846010,217940,-123395,-277910,-621,16100,-277910,None,670755,97.89,69.63
6,2018-12-31,USD,6269405,-1395880,1169406,5099999,4161323,3421405,-1126975,None,4161323,None,-268905,457204,3704119,None,0,None,None,None,None,None,None,739918,457204,None,3421405,3421405,None,USD,84786125,None,None,52663358,865950,83920175,None,553000,48460,64891056,None,None,590391,6206549,865950,None,None,-929899,1021032,31267150,51907552,83920175,17445586,3308119,None,4141481,865950,None,None,48460,None,64891056,None,None,None,None,1021032,None,None,None,None,None,None,None,19910558,84786125,23652135,None,4846010,USD,1530500,149986,1500220,4150770,None,-4750520,None,-105058,3421405,158631,3408931,-105058,174519,-4844010,93490,-565518,327502,6095,30280,327502,None,158631,87.54,97.89
7,2018-09-30,USD,7506075,-1349411,1352845,6153230,5247144,4282610,-971963,None,5247144,None,-377448,443325,4803819,None,0,None,None,None,None,None,None,964534,443325,None,4282610,4282610,None,USD,85863363,0,None,650748,715964,85147399,0,462000,48440,66313661,None,0,625024,6047918,715964,None,None,-1031790,1116579,37261608,46860152,85147399,23941749,3045230,0,3575963,715964,0,0,48440,0,66313661,0,None,None,625024,48601755,None,None,None,None,None,None,None,19817088,85863363,29989667,None,4844010,USD,-1306602,-899491,-1306602,0,None,-4717560,None,-118641,4282610,-2403943,3620219,-118641,177420,-4842010,124450,45718,75543,57060,30280,75543,None,-2403943,105.88,87.54
8,2018-06-30,USD,7107906,-1317787,1396005,5711901,4818884,3945049,-989026,None,4818884,None,-328761,424770,4394114,None,0,None,None,None,None,None,None,873835,424770,None,3945049,3945049,None,USD,87053207,0,None,47090335,1615455,85437752,0,720012,48420,66873061,None,0,603074,8451861,1615455,None,None,-1083027,1241307,38650598,46558228,85437752,22924176,3120773,0,3621681,1615455,0,0,48420,0,66873061,0,None,None,603074,1844381,None,None,None,None,None,None,None,19599298,87053207,31376037,None,4842010,USD,3926875,625730,3888890,0,None,-4842010,None,103053,3945049,3696779,4649899,103053,179746,-4842010,0,28758,-231994,-443,37985,-231994,None,3696779,121.78,105.88
9,2018-03-31,USD,7899192,-8988235,1465509,6433683,5548792,3882420,-6491886,0,5548792,0,-2496349,403894,5144898,0,0,None,None,None,0,0,0,1666372,403894,0,3882420,3882420,None,USD,87431465,0,None,53473318,989725,86441740,0,574000,48420,67709657,None,0,572655,4755082,989725,None,None,-915635,1325383,32695269,52838158,86441740,20765809,2888779,0,3650439,989725,86441740,19599298,48420,0,67709657,0,None,None,572655,1898038,None,None,None,None,None,None,None,19599298,87431465,25520891,-9819888,4842010,USD,1038800,196662,1038755,0,None,-4842010,None,332798,3882420,26730,3829985,332798,252810,-4842010,51040,-54113,-722913,-57679,45,-722913,None,26730,83.11,121.78
