,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,2482983,2586309,669059,1813924,102922,-667629,312777,None,-667629,None,1604473,None,-103326,None,564303,None,None,-564303,None,None,None,None,None,None,-667629,-692629,None,USD,24182522,5622500,None,None,17491109,6691413,None,None,3050,-62033656,1072500,15479662,None,1362384,5434372,None,2408890,None,402813,2677547,None,-14410749,None,11107,8894538,808042,1855026,None,None,None,None,None,None,None,None,None,21504975,None,None,1354899,12056737,None,None,None,None,None,None,None,None,USD,0,119177,None,None,-169235,-169235,None,68784,-667629,-76501,92734,None,206248,None,None,141741,24856,40000,0,None,None,None,0.504,
1,2020-03-31,USD,3744029,2704623,948124,2795905,1244149,438064,186612,None,438064,None,1569887,None,1039406,None,601342,None,-601340,-601342,None,None,None,None,None,None,438064,413064,None,USD,24412875,5812432,None,150130,17128595,7284280,None,None,3033,-61366027,1072500,15479662,None,1438885,4960086,None,2062500,None,163733,2957048,None,-14007814,None,35963,9250606,949783,1715765,None,None,None,None,None,None,None,21455827,None,21455827,None,9250610,1110603,12168509,None,None,None,68647270,None,1438890,None,30000000,USD,0,-402711,None,None,-665625,-665625,None,-295884,438064,-148365,517260,None,204743,None,None,353496,2563,40000,0,None,None,None,0.35,0.504
2,2019-12-31,USD,4024349,3244203,1162155,2862194,990414,503446,245999,None,170875,None,1836049,None,780146,None,609271,-332571,-609270,-609271,None,None,None,-332571,0,None,503446,478446,None,USD,25048182,6000277,None,150130,18333594,6714588,None,None,3005,-61804091,1072500,15479662,None,1587250,5673087,2062500,2062500,None,203563,3364680,None,-14765351,None,38526,9739242,1303279,2118476,None,None,None,None,None,None,None,21683502,None,21683502,68576,9739240,1113965,12660507,None,None,None,68515670,None,1587250,None,29000000,USD,0,-7797,2728470,2752260,-515625,-523500,-7875,-36341,503446,236499,759999,None,210268,None,3214040,200998,5883,-277883,23790,None,None,None,0.4501,0.35
3,2019-09-30,USD,4444431,3717888,1107373,3337058,937805,-7637227,354257,None,-406730,None,2256258,None,726543,None,1133273,0,-1133270,-1133273,-7230500,None,None,None,-1133273,-7230497,-406730,-7662227,None,USD,25337475,6192296,None,150130,19181333,6156142,None,26373,2987,-62307537,1437897,15479662,None,1350751,5790160,2062500,2062500,None,274700,3390817,None,-15515816,None,44409,10093442,1504277,2134148,None,None,None,None,None,None,None,21946658,None,21946658,None,10093440,1125034,13391173,None,None,None,68460690,None,1350750,None,30000000,USD,2911748,549617,2911748,2955170,-2983284,-2967051,1,142569,-7637227,7208,811462,None,211262,None,3214040,-288628,41940,6584070,16724,None,None,None,0.5302,0.4501
4,2019-06-30,USD,4486811,3923360,1079333,3407478,-1272701,-3357127,403327,None,-2172161,None,2440700,None,563451,None,691267,0,-691270,-691267,-1184970,None,None,None,-2044345,-1184966,-2172161,-3432127,None,USD,37865290,6384315,None,574910,24129243,13736047,None,1227916,2968,-54670310,3257157,15479662,12053148,1303172,6587022,212960,2275461,None,319571,3628594,None,-8127930,None,86349,12404857,1215649,1569065,None,None,None,None,None,None,None,12053148,None,34236696,None,12404860,2948166,17542221,None,None,None,68403390,None,1303170,None,29000000,USD,-161434,-514215,-181256,-19822,-1661016,221516,-32468,-32191,-3357127,-1207747,-97197,None,208193,None,3197810,8688,16967,2266231,7070,None,None,None,0.7385,0.5302
5,2019-03-31,USD,4181710,3674059,1019630,3162080,499412,-1298550,204953,None,-292970,None,2449470,None,507650,None,586201,0,-586200,-586201,-1005570,None,None,None,-214423,-1005574,-292973,-1323550,None,USD,39433510,6574250,None,1683150,22798310,16635200,None,1200172,2660,-51313180,2630609,15479660,12206480,1227803,6656130,1602560,1602556,None,360180,4812930,None,-7226010,None,103320,13411830,1224340,2089963,None,None,None,None,None,None,None,12206482,None,34620573,None,13411830,2333570,17949480,None,None,None,66138430,None,1227800,None,26000000,USD,0,759774,-2030,-2030,-1661016,1267610,-15200,-239345,-1298550,1086780,-178800,None,18340,None,1282810,-353824,143707,505276,7067,None,None,None,0.85,0.7385
6,2018-12-31,USD,4033747,4315697,1228491,2805256,-281950,-3215837,239679,0,-149954,0,2847527,None,-281950,0,-588692,285870,None,None,-2780010,0,0,285871,131996,-2780012,-435825,-3240837,None,USD,38055564,6762092,None,1411679,21511506,14736758,None,944952,2523,-50014636,2715989,15479662,12270726,425189,5144260,1265151,1265151,None,145356,3397728,None,-7504996,None,247023,13651257,1188001,1259129,None,None,None,None,None,None,None,None,None,None,None,13651260,None,None,None,None,None,64748870,None,425190,None,25000000,USD,None,-49439,-1946859,1209229,-1661016,3146592,3146592,581192,-3215837,793778,3502481,None,248614,None,425000,479436,92896,5267643,7067,None,None,None,0.68,0.85
7,2018-09-30,USD,4367719,4139270,1172409,3195310,228449,-1262500,200519,0,-235067,0,2766342,None,228449,0,-580152,None,None,None,0,0,0,-83850,-463516,-1111283,-151217,-1287500,None,USD,43260190,6954111,None,5303971,23766987,17685903,0,2753692,2488,-46798799,3172311,15479662,12420544,780492,7041436,1265192,1265192,None,209676,8196197,None,-4747870,1243000,339919,13553240,1349949,1556046,0,0,0,1807000,0,0,None,None,None,None,None,13553240,None,None,None,None,None,64482210,None,780490,None,25000000,USD,None,0,-1953725,1202363,-1661016,3146592,3146592,581192,-1262500,793778,752893,None,248614,0,425000,479436,92896,2518055,7067,None,None,None,1.31,0.68
8,2018-06-30,USD,8715000,-5671356,2403000,-3461129,740748,1612813,200519,0,-235067,0,2766342,None,228449,0,-580152,None,None,None,0,0,0,83849,955914,-1111283,-151217,-1287500,None,USD,43247247,10579157,None,1450540,23325843,18114104,0,2501407,2451,-45536299,3752777,24599371,35178000,1313305,5335693,536324,536324,None,258715,7810004,None,-17064424,514000,1671841,14237373,2838816,1061121,0,0,0,1807000,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,24000000,USD,None,0,-1953725,1202363,2852790,3146592,3146592,581192,0,793778,752893,None,248614,0,0,479436,92896,2518055,9000,None,None,None,1.72,1.31
9,2018-03-31,USD,4930608,5671356,1469479,3461129,-740748,-1612813,730103,0,-1696662,0,3471774,None,-740748,0,-758205,None,None,None,0,0,0,-83849,-955914,-1111283,-1612813,-1637813,None,USD,46580492,10927747,None,1094794,26547703,18225489,0,6360124,2440,-44537487,4102310,24599371,35527000,4402769,10025605,212960,212960,None,288939,10764435,None,-17301629,184000,1638900,12419788,2996970,1775965,0,0,0,1807000,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,24000000,USD,None,-89936,-150721,-143855,-106481,48276,-45243,-694045,-1612813,-1233646,-1131201,None,433376,0,0,62547,167885,513654,6866,None,None,None,1.99,1.72
