,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,121846000,None,None,None,None,120231000,None,None,120163000,None,1683000,None,None,None,6406000,-68000,32295000,25889000,None,None,None,-68000,None,None,120231000,120231000,None,USD,1647567000,None,None,None,788504000,859063000,6450000,None,1409000,-630120000,None,None,9223000,50728000,None,None,None,None,None,None,1562023000,859063000,None,None,None,None,5128000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,-849000,None,None,62000000,None,-15521000,-35291000,120231000,-38781000,-86171000,None,None,-13002000,-390000,None,None,-169303000,0,None,None,None,4.47,
1,2020-04-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-68000,None,None,None,120231000,None,USD,1647567000,None,None,None,788504000,859063000,6450000,None,1409000,-630120000,None,None,9223000,50728000,None,None,None,None,None,None,1562023000,859063000,None,None,None,None,5128000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,-849000,None,None,62000000,None,-1142000,-35291000,120231000,-38781000,-86171000,None,None,-13002000,-390000,None,None,-169303000,0,None,None,None,4.01,4.47
2,2020-03-31,USD,-165188000,1984000,9408000,24763000,None,-165467000,None,None,-167172000,None,1984000,None,20300000,None,7215000,-1705000,31844000,24629000,None,None,None,-1705000,None,None,-165467000,-165467000,None,USD,1501627000,None,None,None,749403000,752224000,5716000,None,1409000,-736959000,None,None,8804000,89509000,None,None,None,None,None,None,1393455000,752224000,None,None,293861000,None,3431000,None,None,None,None,None,None,None,None,None,None,None,293861000,None,None,None,None,None,1487774000,None,89509000,None,141000000,USD,None,255000,None,None,163209000,195667000,-3740000,8440000,-165467000,67982000,-78089000,None,None,-12885000,-506000,None,None,73991000,0,None,None,None,3.24,4.01
3,2020-01-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-1705000,None,None,None,-165467000,None,USD,1501627000,None,None,None,749403000,752224000,5716000,None,1409000,-736959000,None,None,8804000,89509000,None,None,None,None,None,None,1393455000,752224000,None,None,None,None,3431000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,255000,None,None,163209000,None,-3740000,8440000,-165467000,67982000,-78089000,None,None,-12885000,-506000,None,None,73991000,0,None,None,None,5.6,3.24
4,2019-12-31,USD,20946000,6943000,10286000,20674000,14371000,13843000,None,None,14003000,None,1743000,None,7836000,None,6535000,160000,29566000,23031000,None,None,None,160000,-368000,None,13843000,13843000,None,USD,1516600000,None,None,None,585518000,931082000,6099000,25660000,1409000,-558101000,929000,None,8701000,21527000,48121000,None,None,None,None,40272000,1467627000,931082000,None,18745000,158643000,None,3942000,None,None,None,None,None,None,None,None,None,None,None,158643000,None,None,None,None,None,1487774000,None,21527000,None,141000000,USD,None,-92000,None,None,63000000,49589000,-20000,-30593000,13843000,6121000,-43469000,None,None,-12910000,-481000,None,811000,-27901000,0,None,None,None,5.46,5.6
5,2019-10-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,160000,None,None,None,13843000,None,USD,1516600000,None,None,None,585518000,931082000,6099000,None,1409000,-558101000,929000,None,8701000,21527000,None,None,None,None,None,None,1467627000,931082000,None,None,None,None,3942000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,-92000,None,None,63000000,None,-20000,-30593000,13843000,6121000,-43469000,None,None,-12910000,-481000,None,None,-27901000,0,None,None,None,5.17,5.46
6,2019-09-30,USD,16954000,2640000,9358000,25155000,23235000,13971000,None,None,14314000,None,1799000,None,16275000,None,6960000,343000,31849000,24889000,None,None,None,343000,-8921000,None,13971000,13971000,None,USD,1481038000,None,None,490000,550408000,930630000,6396000,59596000,1409000,-558553000,704000,None,8731000,15406000,76337000,None,None,None,None,34265000,1438532000,930630000,None,18369000,158542000,None,3885000,None,None,None,None,None,None,None,None,None,None,None,158542000,None,None,None,None,None,1487774000,None,15406000,None,141000000,USD,None,511000,None,None,-56847000,-214107000,-20000,53959000,13971000,9769000,80012000,None,None,-13075000,-316000,None,-273000,11381000,0,None,None,None,5.18,5.17
7,2019-07-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,343000,None,None,None,13971000,None,USD,1481038000,None,None,None,550408000,930630000,6396000,None,1409000,-558553000,704000,None,8731000,15406000,None,None,None,None,None,None,1438532000,930630000,None,None,None,None,3885000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,511000,None,None,-56847000,None,-20000,53959000,13971000,9769000,80012000,None,None,-13075000,-316000,None,None,11381000,0,None,None,None,5.33,5.18
8,2019-06-30,USD,22686000,2527000,10663000,26006000,24200000,19986000,None,None,20159000,None,1893000,None,16608000,None,7592000,173000,34108000,26516000,None,None,None,173000,-4041000,None,19986000,19986000,None,USD,1485016000,None,None,None,554966000,930050000,6759000,206000,1409000,-564098000,719000,None,9338000,5637000,16969000,None,None,None,None,20647000,1455031000,930050000,None,15010000,167453000,None,3345000,None,None,None,None,None,None,None,None,None,None,None,167453000,None,None,None,None,None,1492739000,None,5637000,None,141000000,USD,None,-427000,None,None,-55120000,-143869000,-275000,-6169000,19986000,-7515000,61067000,None,None,-13060000,-332000,None,-2197000,49411000,0,None,None,None,5.42,5.33
9,2019-03-31,USD,38244000,-6149000,18213000,20031000,26679000,64485000,None,None,64394000,None,-6648000,None,17709000,None,8970000,-91000,46685000,27619000,None,None,None,-91000,37715000,None,64485000,64485000,None,USD,1541317000,None,None,900000,617861000,923456000,6848000,10486000,1409000,-570692000,713000,None,7185000,12815000,24970000,None,None,None,None,26762000,1505451000,923456000,None,13047000,167353000,None,3622000,None,None,None,None,None,None,None,None,None,None,None,167353000,None,None,None,None,None,1492739000,None,12815000,None,141000000,USD,None,-857000,None,None,-15367000,-75082000,-2608000,-36287000,92203000,-337000,74745000,None,None,-26086000,-696000,None,1284000,-41650000,0,None,None,None,5.18,5.42
10,2018-12-31,USD,38276000,12055000,12082000,38276000,26221000,27718000,None,None,28304000,None,12055000,None,26221000,None,-8904000,None,None,None,None,None,None,586000,2083000,None,27718000,27718000,None,USD,1541524000,None,None,470000,669162000,872362000,4798000,40878000,1409000,-621786000,557000,None,7880000,56186000,61464000,None,None,None,None,68759000,1464885000,872362000,None,12103000,607141000,None,2362000,None,None,None,None,None,None,None,None,None,None,None,396141000,None,None,None,None,None,1492739000,None,56186000,None,141000000,USD,None,-1219000,None,None,-30325000,-43716000,-2608000,32626000,27718000,43167000,86883000,None,None,-13007000,-384000,None,291000,26702000,0,None,None,None,4.23,5.18
