,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,896210000,-337614000,138448000,-138448000,199770000,147805000,None,None,199005000,None,492861000,604000,199166000,-830475000,765000,51200000,231000,-534000,None,None,None,51200000,373000,None,147805000,147805000,None,USD,4080028000,None,None,54161000,1097560000,2982468000,248564000,449174000,11734000,2788839000,503463000,19463000,136912000,518624000,494174000,45000000,45000000,None,2955083000,968570000,None,2963005000,None,395785000,99923000,None,449174000,None,None,11734000,None,2788839000,None,None,136912000,None,3111458000,None,99923000,254899000,603386000,None,None,None,181895000,4080028000,518624000,-1577808000,117335353,USD,-66890000,0,-66890000,1027000,99923000,-83656000,-37500000,None,147805000,161652000,312198000,109787000,65735000,-17582000,-128497000,None,None,-11129000,67917000,None,None,161652000,169.59,
1,2020-03-31,USD,987364000,-363312000,180142000,-180142000,180801000,133177000,None,None,180701000,None,558617000,-2369000,183170000,-921929000,100000,47524000,1248000,1148000,None,None,None,47524000,-3617000,None,133177000,133177000,None,USD,3934986000,None,None,46421000,918937000,3016049000,261964000,383295000,11813000,2787049000,490642000,19463000,130527000,356972000,428295000,45000000,45000000,3016049000,2953990000,831006000,None,2996586000,None,427613000,None,None,383295000,None,None,11813000,None,2787049000,None,None,130527000,None,3103980000,None,None,228678000,490642000,None,None,None,217187000,3934986000,356972000,-1525833000,118133507,USD,-50668000,0,-50668000,1543000,99923000,-199949000,-3345000,None,133177000,-46599000,204018000,3255000,65435000,-18310000,-178294000,None,None,2151000,52211000,None,None,-46599000,131.26,169.59
2,2019-12-31,USD,1009206000,-374117000,185853000,-185853000,189686000,144024000,None,None,189594000,None,570545000,1422000,188264000,-944662000,92000,45570000,1797000,1705000,None,None,None,45570000,-375000,None,144024000,144024000,None,USD,3995568000,None,None,55098000,914851000,3080717000,261964000,366085000,7969000,2850318000,447666000,19463000,75136000,403571000,366085000,None,None,None,2968835000,866834000,None,3061254000,None,408165000,45000000,None,366085000,None,None,7969000,None,2850318000,None,None,140436000,None,3128734000,None,45000000,241802000,548766000,None,None,None,222430000,3995568000,403571000,-1464235000,79688356,USD,3128000,50897000,-105927000,3088000,99923000,-49161000,-3345000,13005000,144024000,81285000,236373000,-78375000,64544000,-13547000,-35614000,None,None,24953000,109015000,30330000,None,81285000,189.78,131.26
3,2019-09-30,USD,1048457000,-410944000,193417000,-193417000,218397000,164099000,None,None,218394000,None,574020000,870000,217527000,-984964000,3000,54295000,1714000,1711000,None,None,None,54295000,-844000,None,164099000,164099000,None,USD,3892418000,None,None,46617000,982890000,2909528000,247669000,396862000,7988000,2755455000,483175000,19463000,70683000,322286000,396862000,None,None,None,2927894000,806978000,None,2890065000,None,438075000,45000000,None,396862000,None,None,7988000,None,2755455000,None,None,138083000,None,3085440000,None,45000000,293359000,586028000,None,None,None,146085000,3892418000,322286000,-1459709000,79884372,USD,-138122000,0,-138122000,2232000,99923000,-54184000,-3345000,13005000,164099000,93326000,285632000,51987000,63493000,-13570000,-40614000,None,None,6053000,140354000,None,None,93326000,169.97,189.78
4,2019-06-30,USD,1060666000,-431479000,196990000,-196990000,235734000,174072000,None,None,235574000,None,566616000,1245000,234489000,-998095000,160000,61502000,1769000,1609000,None,None,None,61502000,-524000,None,174072000,174072000,None,USD,3758703000,None,None,54315000,960218000,2798485000,247669000,386105000,8014000,2645533000,471169000,19463000,72349000,228960000,386105000,None,None,None,2858171000,741420000,None,2779022000,None,458145000,45000000,None,386105000,None,None,8014000,None,2645533000,None,None,139649000,None,3017283000,None,45000000,281444000,574113000,None,None,None,144938000,3758703000,228960000,-1436282000,80138666,USD,-159126000,0,-159126000,89000,None,-148249000,-468000,13005000,174072000,-51667000,255708000,16541000,62571000,-13645000,-134136000,None,None,2524000,159215000,None,None,-51667000,149.26,169.97
5,2019-03-31,USD,990782000,-371041000,192615000,-192615000,180509000,133323000,None,None,180387000,None,556668000,2083000,178426000,-927709000,122000,47064000,1361000,1361000,None,None,None,47064000,600000,None,133323000,133323000,None,USD,3704042000,None,None,47918000,933671000,2770371000,247669000,358155000,8107000,2619141000,None,19463000,71044000,280627000,358155000,None,None,None,2761857000,783878000,None,2750908000,None,455333000,45000000,None,358155000,None,None,8107000,None,2619141000,None,None,138844000,None,2920164000,None,45000000,282847000,575516000,None,None,None,143123000,3704042000,280627000,-1377220000,81071908,USD,-70464000,None,-70464000,277000,None,-45366000,-980000,None,133323000,90345000,206175000,7369000,63073000,-13790000,-30596000,None,None,2410000,70741000,None,None,90345000,144.39,149.26
6,2018-12-31,USD,1058233000,-1363462000,219597000,-1144617000,217489000,159459000,0,0,217351000,0,577364000,-1356000,218845000,-1940826000,138000,None,None,None,0,0,0,57892000,-1494000,0,159459000,159459000,None,USD,3545283000,None,None,47687000,864800000,2680483000,247669000,None,8123000,2530184000,None,19463000,64648000,190282000,356732000,None,None,None,2754943000,706229000,None,2661020000,None,468260000,45000000,None,356732000,None,None,8123000,None,2530184000,None,None,64648000,None,2839054000,None,45000000,215399000,508068000,None,None,None,142176000,3545283000,190282000,-1318209000,81231131,USD,3237000,128000,-114653000,3773000,None,-97231000,-1074000,None,159459000,12814000,224698000,15200000,62555000,-10555000,-86676000,None,None,22022000,118426000,-34666000,None,12814000,123.49,144.39
7,2018-09-30,USD,1058233000,-405902000,177517000,-177517000,229233000,173442000,0,0,229204000,0,568872000,848000,228385000,-974774000,29000,None,None,None,0,0,0,55762000,819000,0,173442000,173442000,None,USD,3489312000,19463000,None,36640000,872380000,2616932000,227531000,274307000,8189000,2467902000,237392000,19463000,89722000,177468000,362457000,None,None,None,2703275000,696315000,None,2597469000,0,482207000,45000000,0,362457000,0,0,8189000,0,2467902000,0,None,70259000,None,2792997000,None,45000000,237392000,509923000,None,None,None,140841000,3489312000,177468000,-1300451000,81885354,USD,None,None,-173997000,3600000,None,-39833000,None,None,173442000,36897000,250727000,-18799000,58086000,-10638000,-29195000,0,0,37998000,177597000,None,None,36897000,161.26,123.49
8,2018-06-30,USD,1033498000,-394072000,173591000,-173591000,221483000,163434000,0,0,221472000,0,557147000,1002000,220481000,-951219000,11000,None,None,None,0,0,0,58038000,991000,0,163434000,163434000,None,USD,3321082000,19463000,None,42735000,839031000,2482051000,196945000,256799000,8208000,2334286000,230724000,19463000,87789000,140571000,366362000,None,None,None,2585708000,647585000,None,2462588000,0,464279000,45000000,0,366362000,0,0,8208000,0,2334286000,0,None,68326000,None,2673497000,None,45000000,230724000,472669000,None,None,None,139557000,3321082000,140571000,-1272814000,82079355,USD,None,None,-191530000,181000,None,-41280000,-507000,None,163434000,-19366000,213444000,-7789000,56235000,-10678000,-30095000,0,0,1564000,191711000,None,None,-19366000,148.96,161.26
9,2018-03-31,USD,925020000,564970000,210710000,714310000,147497000,109333000,0,0,147486000,0,511489000,-1843000,149340000,53481000,11000,None,None,None,0,0,0,38153000,-1854000,0,109333000,109333000,None,USD,3144004000,19463000,None,37039000,785253000,2358751000,179354000,235482000,8229000,2211601000,215614000,19463000,77720000,159937000,345285000,None,None,None,2450834000,615450000,None,2339288000,0,418474000,45000000,0,345285000,0,0,8229000,0,2211601000,0,None,58257000,None,2528554000,None,45000000,215614000,439968000,None,None,None,138921000,3144004000,159937000,-1222814000,82284180,USD,None,None,-100211000,347000,-50000000,-78561000,-567000,46937000,109333000,32475000,211247000,46937000,53481000,-10695000,-17299000,0,0,1496000,100558000,None,None,32475000,146.97,148.96
