,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-03-31,USD,4434000,3246000,None,4434000,2823000,946000,None,None,1188000,None,3246000,1635000,1188000,447000.0,918000,242000,4719000,3801000,None,None,None,242000,None,None,946000,946000,None,USD,502224000,233000,108966000,None,412785000,89439000,None,406363000,65000,78745000,None,2593000,373560000.0,26112000,407785000,None,None,1446000,9489000,114052000,353280000,86613000,86885000,1055000,5000000,None,1422000,None,None,65000,None,78745000,-9000,None,21973000,None,604000,None,None,5000000,5000000,None,None,None,9192000,502224000,112997000,None,6530074,USD,7381000,-527000,7262000,-1000,5000000,-2743000,-6039000,-527000,947000,4491000,-28000,44000,308000,-594000,-1110000,None,20000,-821000,118000,20000,None,4491000,19.03,
1,2020-01-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,447000.0,None,None,None,None,None,None,None,242000,None,None,None,945000,None,USD,502224000,823000,None,None,412785000,89439000,None,None,65000,78745000,None,2593000,373560000.0,25968000,None,None,None,1446000,9489000,None,86885000,86613000,86885000,1384000,5000000,None,1422000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,7262000,0,7262000,-203000,5000000,-2743000,-6039000,-527000,946000,4491000,-28000,None,319000,-594000,-1110000,None,20000,-787000,118000,None,None,None,26.2,19.03
2,2019-12-31,USD,4063000,2954000,None,4063000,1025000,1090000,None,None,1109000,None,2954000,-84000,1109000,286000.0,1084000,19000,4762000,3678000,None,None,None,19000,-101000,None,1090000,1090000,None,USD,503207000,254000,103544000,1421000,414351000,88856000,None,412402000,65000,78392000,None,2593000,380638000.0,21621000,414351000,None,None,192000,9534000,108408000,359329000,86009000,85748000,1039000,None,617000,1949000,None,None,65000,None,78392000,-8000,None,22145000,None,944000,None,None,None,None,None,None,None,10215000,503207000,107369000,None,6530074,USD,5288000,123000,5008000,595000,-14000000,-19879000,-5256000,123000,1090000,-13010000,1861000,50000,282000,-492000,-131000,None,116000,200000,875000,116000,None,-13010000,26.01,26.2
3,2019-10-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,286000.0,None,None,None,None,None,None,None,19000,None,None,None,1089000,None,USD,503207000,1035000,None,None,414351000,88856000,None,None,65000,78392000,None,2593000,380638000.0,21549000,None,None,None,192000,9534000,None,85748000,86009000,85748000,1421000,None,None,1949000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,5008000,0,5008000,595000,-14000000,-19879000,-5256000,123000,1090000,-13010000,1861000,None,313000,-492000,-131000,None,116000,219000,875000,None,None,None,22.47,26.01
4,2019-09-30,USD,4130000,2901000,None,4130000,1711000,934000,None,None,1229000,None,2901000,482000,1229000,328000.0,1187000,295000,4818000,3631000,None,None,None,295000,-46000,None,934000,934000,None,USD,521829000,279000,121079000,1432000,433484000,88345000,None,417658000,65000,77823000,None,2593000,381960000.0,34631000,419484000,None,None,211000,8805000,126316000,359941000,85473000,90608000,1077000,14000000,706000,1826000,None,None,65000,None,77823000,-8000,None,22855000,None,1040000,None,None,14000000,14000000,None,None,None,10254000,521829000,125239000,None,6530074,USD,4456000,403000,3941000,290000,-5000000,-7819000,-1448000,403000,934000,-2059000,1819000,-27000,292000,-575000,-796000,None,153000,65000,805000,153000,None,-2059000,22.78,22.47
5,2019-07-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,328000.0,None,None,None,None,None,None,None,295000,None,None,None,933000,None,USD,521829000,1094000,None,None,433484000,88345000,None,None,65000,77823000,None,2593000,381960000.0,34559000,None,None,None,211000,8805000,None,90608000,85473000,90608000,1432000,14000000,None,1826000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,3941000,0,3941000,213000,-5000000,-7819000,-1448000,403000,934000,-2059000,1819000,None,300000,-575000,-796000,None,153000,29000,805000,None,None,None,23.5,22.78
6,2019-06-30,USD,4152000,2945000,0,4230000,0,979000,0,0,1204000,0,2055000,0,1163000,385000.0,1111000,225000,4939000,3828000,0,0,0,225000,-81000,0,979000,980000,0,USD,527826000,1173000,126441000,1584000,439529000,88297000,0,0,65000,77464000,0,2593000,381412000.0,36624000,439529000,0,0,-210000,8134000,133256000,95429000,85399000,95429000,1584000,19000000,811000,1423000,0,0,0,0,0,-8000,0,0,0,0,0,0,0,0,0,0,0,10986000,0,0,0,6000000,USD,5875000,0,5875000,7000,-5000000,14547000,15101000,-205000,979000,21395000,973000,0,269000,-575000,-159000,0,-141000,71000,666000,-141000,0,0,22.95,23.5
7,2019-04-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,385000.0,None,None,None,None,None,None,None,225000,None,None,None,980000,None,USD,527826000,1173000,None,None,439529000,88297000,None,None,65000,77464000,None,2593000,381412000.0,36624000,None,None,None,-210000,8134000,None,95429000,85399000,95429000,1584000,19000000,None,1423000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,5875000,0,5875000,7000,-5000000,14547000,15101000,-205000,979000,21395000,973000,None,269000,-575000,-159000,None,-141000,71000,666000,None,None,None,26.22,22.95
8,2019-03-31,USD,4214000,3060000,0,4214000,2604000,952000,0,0,1154000,0,3060000,1450000,1154000,308000.0,1015000,202000,4786000,3771000,0,0,0,202000,-63000,0,952000,952000,0,USD,511521000,331000,112505000,1586000,424633000,86888000,0,404005000,65000,77305000,0,2593000,1598000.0,15295000,405633000,0,0,-1370000,7596000,116935000,359562000,83964000,100519000,1121000,19000000,779000,1628000,0,0,65000,0,77305000,-8000,0,22906000,0,1598000,0,0,19000000,19000000,0,0,0,10896000,511521000,115814000,0,6514522,USD,6698000,20000,7335000,702000,-13500000,-4833000,10056000,20000,910000,4111000,1609000,-101000,220000,-576000,-813000,0,82000,478000,65000,82000,0,4111000,26.01,26.22
9,2018-12-31,USD,4218000,3051000,0,4218000,2689000,947000,0,0,1167000,0,3051000,1522000,1167000,245000.0,0,221000,4699000,3882000,0,0,0,220000,-42000,0,947000,947000,0,USD,514048000,358000,116575000,1804000,428057000,85991000,0,393949000,65000,76862000,0,2593000,379112000.0,11184000,395557000,0,0,-2554000,7657000,121748000,356357000,83040000,109500000,1064000,0,823000,1608000,0,0,65000,0,76862000,-7000,0,23453000,0,1882000,0,0,32500000,32500000,0,0,0,11625000,514048000,120684000,0,6495066,USD,-11514000,825000,-12290000,-653000,15500000,14449000,-471000,825000,947000,4127000,1968000,-103000,258000,-486000,-94000,0,0,87000,123000,-46000,0,4127000,24.9,26.01
