,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,9017000,None,None,None,None,7658000,None,None,7658000,None,1359000,None,None,None,4931000,None,10691000,5760000,None,None,None,None,None,None,7658000,7658000,None,USD,475442000,None,None,None,340045000,135397000,None,None,134000,-52174000,309000,None,207025000,31781000,None,None,None,None,None,None,435762000,135397000,None,None,None,None,4080000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,-1014000,None,None,-6300000,None,-2244000,245000,7658000,29611000,38155000,None,49000,-2244000,0,None,None,29811000,0,None,None,None,4.52,
1,2020-03-31,USD,-31086000,1074000,7383000,5487000,None,-32160000,None,None,-32160000,None,1515000,None,3823000,None,4922000,None,12277000,7355000,None,None,None,None,None,None,-32160000,-32160000,None,USD,476853000,None,None,None,346870000,129983000,None,None,134000,-57538000,305000,None,205010000,2170000,None,None,None,None,None,None,465653000,129983000,None,4719000,338408000,None,4178000,None,None,None,None,None,None,None,None,None,None,None,338408000,None,None,None,None,None,187387000,None,2170000,None,13000000,USD,None,-8279000,None,None,-14510000,-18994000,None,-1859000,-32160000,-11277000,7717000,None,49000,-4484000,0,None,None,50755000,0,None,None,None,4.07,4.52
2,2019-12-31,USD,1955000,1249000,7612000,5806000,8822000,706000,None,None,706000,None,1249000,None,4557000,None,4265000,None,12922000,8657000,None,None,None,None,-8116000,None,706000,706000,None,USD,538188000,1314000,None,None,371561000,166627000,399000,None,134000,-20812000,587000,1077000,116164000,13447000,18496000,None,None,None,None,18467000,516931000,164236000,None,3349000,352478000,None,13769000,None,None,None,None,None,None,None,None,None,None,None,352478000,None,None,None,None,None,187305000,None,13447000,None,13000000,USD,None,5189000,None,None,16245000,76911000,-3000,2192000,706000,5473000,-6287000,None,49000,-4485000,None,None,-51000,-14762000,0,None,None,None,11.17,4.07
3,2019-09-30,USD,2925000,1163000,7842000,6016000,9317000,1762000,None,None,1762000,None,1163000,None,4853000,None,4464000,None,13561000,9097000,None,None,None,None,-7555000,None,1762000,1762000,None,USD,518287000,None,None,None,347881000,170406000,None,None,134000,-17618000,417000,None,252471000,7974000,11508000,None,None,None,None,16126000,502161000,170406000,None,3298000,335956000,None,7120000,None,None,None,None,None,None,None,None,None,None,None,335956000,None,None,None,None,None,187890000,None,7974000,None,13000000,USD,None,-37205000,None,None,54225000,65151000,-221000,-783000,1762000,-1430000,-50946000,None,48000,-4488000,0,None,2438000,-17571000,0,None,None,None,11.61,11.17
4,2019-06-30,USD,4448000,1095000,6945000,5955000,8505000,3353000,None,None,3353000,None,1095000,None,4860000,None,3645000,None,12634000,8989000,None,None,None,None,-5152000,None,3353000,3353000,None,USD,504871000,None,None,None,331739000,173132000,None,None,134000,-14816000,531000,None,237995000,9404000,49698000,None,None,None,None,20153000,484718000,173132000,None,5736000,281510000,None,44957000,None,None,None,None,None,None,None,None,None,None,None,281510000,None,None,None,None,None,187814000,None,9404000,None,13000000,USD,None,38129000,None,None,2500000,15635000,-1636000,4436000,3353000,-5752000,-2136000,None,49000,-4480000,0,None,-1949000,-46454000,0,None,None,None,12.0,11.61
5,2019-03-31,USD,12345000,1056000,6461000,5884000,8283000,3732000,None,None,3732000,None,1056000,None,4828000,None,3455000,None,-1096000,8155000,None,None,None,None,-4551000,None,3732000,3732000,None,USD,460202000,None,None,None,285944000,174258000,None,None,134000,-13480000,219000,None,232567000,15156000,6934000,35750000,35750000,None,None,22535000,437667000,174258000,None,3787000,278791000,None,2505000,None,None,None,None,None,None,None,None,None,None,None,278791000,None,None,None,None,None,187604000,None,15156000,None,13000000,USD,None,0,None,None,23750000,19251000,-1636000,-4543000,3732000,-23016000,-42267000,None,49000,-4496000,-3000,None,-1000000,-40782000,0,None,None,None,11.75,12.0
6,2018-12-31,USD,12571000,4214000,6153000,12571000,8357000,-4095000,0,0,-4095000,0,4214000,None,8357000,0,-3036000,None,None,None,0,0,0,0,-12452000,0,-4095000,-4095000,None,USD,441421000,1509000,None,None,266398000,175023000,180000,None,134000,-12651000,293000,1077000,212509000,38172000,11279000,12000000,12000000,None,None,41858000,184468000,172437000,None,2787000,254826000,None,4151000,None,None,None,None,None,None,None,None,None,None,None,254826000,None,None,None,None,None,187540000,None,38172000,None,13000000,USD,None,0,None,None,42199000,37290000,-419000,6789000,-4095000,32129000,-5161000,None,49000,-4490000,None,None,-150000,-8003000,0,None,None,None,10.6,11.75
7,2018-09-30,USD,10982000,3899000,3851000,10982000,7083000,5179000,0,0,5179000,0,3899000,None,7083000,0,-2393000,None,None,None,0,0,0,0,-1904000,0,5179000,5179000,None,USD,408538000,None,None,None,224940000,183598000,None,1662000,134000,-4382000,336000,None,248673000,6043000,11787000,None,None,None,None,12505000,147360000,183598000,None,2637000,212817000,None,6777000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,13000000,USD,None,0,None,None,9000000,4439000,-51000,-577000,5179000,-16622000,-21061000,None,48000,-4510000,None,None,282000,-26193000,0,None,None,None,11.9,10.6
8,2018-06-30,USD,10278000,3551000,3502000,10278000,6727000,4995000,0,0,4995000,0,3551000,None,6727000,0,-2169000,None,None,None,0,0,0,0,-1732000,0,4995000,4995000,None,USD,392673000,None,None,None,209744000,182929000,None,2704000,134000,-4754000,170000,None,264264000,22665000,5865000,203709000,203709000,None,None,29841000,98568000,182929000,None,2919000,203709000,None,3161000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,13000000,USD,None,0,None,None,15297000,10778000,-51000,2327000,4995000,-9261000,-20039000,None,49000,-4519000,None,None,-4000,-27594000,0,None,None,None,11.46,11.9
9,2018-03-31,USD,9003000,3553000,3504000,9003000,5450000,3493000,0,0,3493000,0,3553000,None,5450000,0,-1634000,None,None,None,0,0,0,0,-1957000,0,3493000,3493000,None,USD,374701000,None,None,None,192248000,182453000,None,1008000,133000,-5192000,150000,None,255785000,31926000,3832000,188266000,188266000,-12465000,None,39237000,79679000,182453000,None,2915000,188266000,None,2824000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,13000000,USD,None,0,None,None,23350000,13801000,-173000,-688000,3493000,-41026000,-54827000,None,49000,-4490000,None,None,-181000,-57644000,0,None,None,None,11.22,11.46
