,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-07-31,USD,529313000,437287000,322471000,206842000,96148000,99383000,None,None,92052000,None,109149000,None,92026000,None,None,-7331000,26000,26000,None,None,None,-7331000,None,None,99383000,99383000,None,USD,1842440000,230559000,None,None,624387000,1218053000,None,None,66000,616410000,64259000,444850000,2462000,305110000,241588000,None,320000,None,507309000,657260000,None,542644000,None,2447000,592000,327164000,107685000,None,None,None,None,None,None,None,2462000,None,1185180000,374010000,None,5000,382799000,None,None,None,None,None,None,None,None,USD,-5671000,0,-5671000,29000,None,None,22606000,None,99383000,185759000,168824000,None,None,None,None,None,None,65319000,0,None,None,None,105.1,
1,2020-05-02,USD,349363000,306383000,208997000,140366000,48319000,33456000,None,None,43063000,None,89720000,None,42980000,None,None,9607000,83000,83000,None,None,None,9607000,None,None,33456000,33456000,None,USD,1643111000,230559000,None,None,548932000,1094179000,None,None,64000,517027000,59199000,444850000,2499000,119351000,190421000,None,300000,None,492767000,472436000,None,418770000,None,4146000,576000,343755000,56642000,None,None,None,None,None,-40100000,None,2499000,None,1170675000,359738000,576000,5000,358511000,None,None,None,617188000,None,119351000,None,65000000,USD,-12374000,-4575000,-12374000,17000,-114000,405000,-799000,5915000,33456000,29401000,41370000,None,5339000,None,1318000,-8574000,-1306000,1146000,12391000,None,None,None,nan,105.1
2,2020-04-30,USD,349363000,306383000,208997000,140366000,48319000,33456000,None,None,43063000,None,89720000,None,42980000,None,None,9607000,83000,83000,None,None,None,9607000,None,None,33456000,33456000,None,USD,1643111000,230559000,None,None,548932000,1094179000,None,None,64000,517027000,59199000,444850000,2499000,119351000,190421000,None,300000,None,492767000,472436000,None,418770000,None,4146000,576000,343755000,56642000,None,None,None,None,None,None,None,2499000,None,1170675000,359738000,None,5000,358511000,None,None,None,None,None,None,None,None,USD,-12374000,-4575000,-12374000,-5671000,-114000,405000,22606000,5915000,33456000,29401000,41370000,None,5339000,None,None,-8574000,-1306000,1146000,12391000,None,None,None,67.91,nan
3,2020-02-01,USD,422431000,357844000,256891000,165540000,69240000,50287000,None,None,64806000,None,94897000,None,64587000,None,None,14519000,None,219000,None,None,None,14519000,1248000,None,50287000,50287000,None,USD,1596247000,230559000,None,None,537362000,1058885000,None,18626000,64000,483571000,59407000,444850000,2532000,89950000,177685000,273000,273000,None,484768000,433538000,None,383476000,None,2840000,527000,335181000,63223000,None,None,None,None,None,-40100000,None,2532000,None,1162709000,354094000,527000,6000,359677000,None,None,None,615350000,None,89950000,None,66000000,USD,-12323000,-16445000,-12323000,42855000,-112000,1100000,-1824000,-2257000,50287000,79849000,91072000,None,4653000,None,0,50115000,-1863000,3783000,12436000,None,None,None,nan,67.91
4,2020-01-31,USD,422431000,357844000,256891000,165540000,69240000,50287000,None,None,64806000,None,94897000,None,64587000,None,None,14519000,None,219000,None,None,None,14519000,None,None,50287000,50287000,None,USD,1596247000,230559000,None,None,537362000,1058885000,None,None,64000,483571000,59407000,444850000,2532000,89950000,177685000,None,273000,None,484768000,433538000,None,383476000,None,2840000,527000,335181000,63223000,None,None,None,None,None,None,None,2532000,None,1162709000,354094000,None,6000,359677000,None,None,None,None,None,None,None,None,USD,-12323000,-16445000,-12323000,-5671000,-112000,1100000,22606000,-2257000,50287000,79849000,91072000,None,4653000,None,0,50115000,-1863000,3783000,12436000,None,None,None,53.04,nan
5,2019-11-02,USD,327049000,291316000,193767000,133282000,40254000,26956000,None,None,35875000,None,90481000,None,35733000,None,None,8919000,None,142000,None,None,None,8919000,142000,None,26956000,26956000,None,USD,1530474000,230559000,None,None,523535000,1006939000,None,28472000,64000,433284000,55851000,444850000,2514000,10101000,187601000,257000,257000,None,451083000,401468000,None,331530000,None,977000,496000,385296000,77818000,None,None,None,None,None,-40100000,None,2514000,None,1129006000,330939000,496000,7000,335934000,None,None,None,613691000,None,10101000,None,66000000,USD,-24143000,-13208000,-24143000,-24143000,-146000,-39862000,-1819000,5216000,26956000,-68372000,-4367000,None,4521000,None,-32144000,-30720000,214000,2833000,24192000,None,None,None,nan,53.04
6,2019-10-31,USD,327049000,291316000,193767000,133282000,40254000,26956000,None,None,35875000,None,90481000,None,35733000,None,None,8919000,None,142000,None,None,None,8919000,None,None,26956000,26956000,None,USD,1530474000,230559000,None,None,523535000,1006939000,None,None,64000,433284000,55851000,444850000,2514000,10101000,187601000,None,257000,None,451083000,401468000,None,331530000,None,977000,496000,385296000,77818000,None,None,None,None,None,None,None,2514000,None,1129006000,330939000,None,7000,335934000,None,None,None,None,None,None,None,None,USD,-24143000,-13208000,-24143000,-24143000,-146000,-39862000,22606000,5216000,26956000,-68372000,-4367000,None,4521000,None,None,-30720000,214000,2833000,24192000,None,None,None,63.88,nan
7,2019-08-03,USD,333865000,303114000,209832000,124033000,35004000,25170000,None,None,31123000,None,87350000,None,30751000,None,None,5953000,None,372000,None,None,None,5953000,372000,None,25170000,25170000,None,USD,1544341000,230559000,None,None,526872000,1017469000,None,32692000,64000,406328000,55205000,444850000,2540000,78473000,206437000,269000,269000,None,426749000,439643000,None,342060000,None,1191000,515000,354576000,91860000,None,None,None,None,None,-86000,None,2540000,None,1104698000,320127000,515000,7000,320435000,None,None,None,611163000,None,78473000,None,66000000,USD,22449000,-1284000,22449000,42649000,-89000,850000,-552000,13000,25170000,19962000,-3337000,None,4253000,None,7572000,-25511000,-230000,2203000,20228000,None,None,None,nan,63.88
8,2019-07-31,USD,333865000,303114000,209832000,124033000,35004000,25170000,None,None,31123000,None,87350000,None,30751000,None,None,5953000,None,372000,None,None,None,5953000,None,None,25170000,25170000,None,USD,1544341000,230559000,None,None,526872000,1017469000,None,None,64000,406328000,55205000,444850000,2540000,78473000,206437000,None,269000,None,426749000,439643000,None,342060000,None,1191000,515000,354576000,91860000,None,None,None,None,None,None,None,2540000,None,1104698000,320127000,None,7000,320435000,None,None,None,None,None,None,None,None,USD,22449000,-1284000,22449000,42649000,-89000,850000,-552000,13000,25170000,19962000,-3337000,None,4253000,None,None,-25511000,-230000,2203000,20228000,None,None,None,84.69,nan
9,2019-05-04,USD,324854000,284070000,192120000,132734000,44900000,38717000,None,None,40929000,None,83332000,None,40784000,None,None,2212000,None,145000,None,None,None,2212000,710000,None,38717000,38717000,None,USD,1479288000,230559000,None,None,490912000,988376000,None,38248000,63000,381158000,55431000,444850000,2022000,58511000,212092000,197000,197000,None,407597000,394260000,None,312967000,None,961000,413000,329065000,92738000,None,None,None,None,None,-86000,None,2022000,None,1085028000,274541000,413000,7000,278820000,None,None,None,607241000,None,58511000,None,66000000,USD,-20107000,15424000,-20107000,16000,-113000,4701000,-1267000,-7566000,38717000,6570000,21976000,None,4116000,None,6081000,-32658000,-391000,2194000,20123000,None,None,None,nan,84.69
10,2019-01-31,USD,393934000,94812000,237205000,156729000,65802000,49894000,0,0,61794000,0,91679000,None,61867000,0,-73000,11900000,None,None,0,0,0,11900000,-50000,0,49894000,49894000,None,USD,1159003000,232304000,None,None,216351000,942652000,None,21644000,63000,342441000,64914000,444850000,4300000,51941000,150996000,238000,238000,None,119052000,358497000,None,265498000,None,570000,441000,296407000,77431000,None,None,None,None,None,-86000,None,800506000,None,4300000,None,441000,9298000,65355000,None,None,None,600234000,None,51941000,None,66000000,USD,-11198000,-24072000,-73848000,330000,-18815000,-39524000,-702000,2129000,135013000,12707000,126079000,None,14008000,None,10179000,35918000,1831000,721000,74178000,None,None,None,78.17,nan
11,2018-11-03,USD,283606000,254317000,168184000,115422000,29289000,24817000,0,0,28917000,0,78440000,None,29289000,0,-372000,None,None,None,0,0,0,4100000,-372000,0,24817000,24817000,None,USD,1131452000,232388000,None,9063000,242642000,888810000,0,26413000,63000,292547000,64086000,444850000,1923000,736000,169514000,10186000,10186000,None,107766000,344525000,None,211572000,0,2401000,9042000,332325000,101281000,0,0,0,0,0,-86000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,32412000,-52452000,-52452000,-2566000,-608000,-608000,8421000,24817000,-28679000,24381000,None,3568000,0,0,-44885000,-799000,1485000,52479000,None,None,None,nan,78.17
12,2018-08-04,USD,288098000,253235000,175474000,112624000,34863000,29848000,0,0,34585000,0,72990000,None,34863000,-2763000,-278000,None,None,None,0,-1764000,0,4737000,-278000,0,29848000,29848000,None,USD,1067769000,232472000,None,9918000,207616000,860153000,0,25111000,63000,267730000,65145000,444850000,4081000,29415000,130955000,10178000,10178000,None,57991000,328375000,None,182831000,0,1602000,11516000,287440000,69015000,0,0,0,0,0,-86000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,-6276000,-5490000,-52452000,-2570000,110000,-608000,589000,29848000,1801000,7181000,None,3497000,0,0,-11400000,-1188000,1982000,5522000,None,None,None,nan,nan
13,2018-05-05,USD,275739000,239754000,162863000,112876000,35985000,30454000,0,0,35347000,0,72364000,None,35985000,2763000,-538000,None,None,None,0,1764000,0,4893000,-638000,0,30454000,30454000,None,USD,1047336000,232555000,None,8132000,221621000,825715000,0,34603000,62000,237882000,64207000,444850000,2084000,27614000,143488000,10143000,10143000,None,55647000,312200000,None,148310000,0,414000,13926000,276040000,75420000,0,0,0,0,0,-86000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,1500000,-4708000,-52452000,-25050000,-22260000,-608000,-6719000,30454000,-11620000,15348000,None,3393000,0,0,-20855000,857000,1637000,4719000,None,None,None,nan,nan
14,2018-02-03,USD,356669000,1177024000,215539000,510286000,90371000,70054000,0,0,53123000,0,83436000,None,54394000,7623000,870000,None,None,None,0,6719000,0,-1312000,-5269000,0,91258000,70054000,None,USD,1038199000,677489000,None,7986000,241737000,796462000,0,46327000,62000,213019000,7103000,444850000,679635000,39234000,136726000,10158000,10158000,None,54888000,303676000,None,118973000,0,1271000,38835000,255185000,74206000,0,0,0,0,0,-86000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,22955000,-19157000,0,-146422000,-136228000,-219000,-2749000,70054000,-59449000,95936000,None,12261000,0,153100000,-45078000,-970000,-22141000,19285000,None,None,None,nan,nan
15,2017-10-28,USD,238116000,-460575000,139507000,-162453000,96378000,18862000,0,0,23067000,0,71276000,None,24210000,6635000,1143000,None,None,None,0,3720000,0,4205000,0,0,73522000,18862000,None,USD,1064828000,677573000,None,3882000,342996000,721832000,0,45691000,62000,142965000,6943000,444850000,679829000,42164000,130922000,8882000,8882000,None,53632000,312830000,None,44259000,0,990000,117120000,284331000,70618000,0,0,0,0,0,-86000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,65000000,USD,None,19300000,-14218000,0,-2561000,-61784000,110000,8885000,18862000,17344000,20384000,None,0,0,0,50159000,100000,1183000,15205000,None,None,None,46.85,nan
16,2017-07-29,USD,254645000,224827000,153818000,4799000,-77930000,19712000,0,0,28694000,0,68033000,None,29818000,-6713000,1124000,None,None,None,0,-4137000,0,8982000,0,0,-56152000,19712000,None,USD,1012737000,677656000,None,4193000,314966000,697771000,0,37040000,61000,124103000,6675000,444850000,679975000,24820000,101139000,128439000,128439000,None,49975000,254103000,None,20115000,0,766000,119552000,253008000,53276000,0,0,0,0,0,-86000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,65000000,USD,None,-9374000,-9982000,0,-49000,12141000,-702000,-3590000,19712000,-8900000,-1686000,None,0,0,0,25116000,465000,1402000,8667000,None,None,None,45.4,46.85
17,2017-04-29,USD,227602000,0,134077000,79015000,26937000,18966000,0,0,25603000,0,63329000,None,27334000,2272000,1334000,None,None,None,0,1598000,0,6637000,0,0,18966000,18966000,None,USD,1011131000,677740000,None,3312000,336657000,674474000,0,39939000,61000,104391000,5259000,444850000,680078000,33720000,121133000,6340000,6340000,None,47061000,249957000,None,-3266000,0,330000,121905000,246630000,62935000,0,0,0,0,0,-86000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,64000000,USD,None,14469000,-4821000,0,-66273000,-63937000,-219000,370000,18966000,-64963000,1919000,None,0,0,0,15805000,79000,7371000,2953000,None,None,None,38.3,45.4
18,2017-01-28,USD,283355000,788121000,169320000,276221000,86565000,24420000,0,0,39188000,0,70554000,None,40583000,6571000,1395000,None,None,None,0,6329000,0,14768000,-5935000,0,53464000,24420000,None,USD,1039375000,677827000,None,3739000,388114000,651261000,0,44748000,61000,85425000,5146000,444850000,680212000,98683000,104821000,5077000,5077000,None,46333000,312830000,None,-26566000,0,301000,188923000,210107000,50448000,0,0,0,0,0,-86000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,62000000,USD,None,-1822000,-16423000,0,-5104000,17759000,9559000,6961000,24420000,68424000,67088000,None,10668000,0,0,-19499000,-118000,-1011000,16438000,None,None,None,29.35,38.3
19,2016-10-29,USD,201985000,0,117267000,376000,56581000,10461000,0,0,17242000,0,63401000,None,18647000,5738000,1405000,None,None,None,0,2277000,0,6781000,0,0,28409000,10461000,None,USD,1009584000,677920000,None,5363000,387732000,621852000,0,43211000,61000,61005000,5332000,444850000,680320000,35961000,106313000,5091000,5091000,None,46890000,228289000,None,-56068000,0,283000,190105000,240767000,58011000,0,0,0,0,0,-86000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,63000000,USD,None,15372000,-14218000,0,-1272000,15759000,-219000,2052000,10461000,5229000,4161000,None,0,0,149806000,50159000,100000,3732000,14233000,None,None,None,27.05,29.35
