,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,13530000,41063000,147000,13383000,-27316000,-33294000,24132000,None,-33294000,None,16931000,364000,-27680000,None,5978000,None,None,-5978000,None,None,None,None,364000,None,-33294000,-33294000,None,USD,70689000,None,None,5167000,201419000,-161270000,None,3702000,545000,-796936000,None,None,2050000,1964000,38047000,None,None,None,3109000,38927000,None,-130730000,14124000,15780000,163372000,1892000,34345000,None,None,545000,None,-796936000,None,None,28653000,None,31762000,34242000,163372000,None,163372000,None,None,None,635121000,70689000,16088000,None,54515858,USD,32738000,-20072000,32594000,None,22000,-151000,-217000,1253000,-33294000,-5154000,-37597000,1253000,3038000,None,66000,-681000,None,3822000,144000,8337000,None,-5154000,14.72,
1,2020-03-31,USD,23537000,46947000,267000,23270000,-23128000,-29031000,28911000,None,-29031000,None,18036000,549000,-23677000,None,5903000,None,-5903000,-5903000,None,None,None,None,549000,None,-29031000,-29031000,None,USD,118214000,None,None,6303000,218682000,-131864000,None,3597000,545000,-763642000,None,None,2167000,7118000,57936000,None,None,None,3355000,85611000,None,-100468000,46862000,24117000,160746000,1211000,54339000,None,None,545000,None,-763642000,None,None,29248000,None,32603000,34993000,160746000,None,160746000,None,None,None,631233000,118214000,53980000,None,54507667,USD,10842000,1847000,10776000,10842000,22000,2399000,-313000,628000,-29031000,4034000,-9141000,628000,2935000,None,2712000,-64000,None,3476000,66000,11068000,None,4034000,13.37,14.72
2,2019-12-31,USD,33417000,56589000,532000,32885000,-23413000,-29225000,40587000,None,-29225000,None,16133000,291000,-23704000,None,5812000,0,-5811000,-5811000,None,None,None,None,292000,None,-29225000,-29225000,None,USD,136969000,None,None,6625000,213672000,-109021000,None,3504000,542000,-734611000,None,None,2313000,3084000,55459000,None,None,None,3829000,103745000,None,-76703000,57704000,35185000,158213000,1147000,51955000,None,None,542000,None,-734611000,None,None,29395000,None,33224000,35822000,158213000,None,158213000,None,None,None,625048000,136969000,60788000,None,54200810,USD,-39223000,6362000,-39239000,-3067000,554000,56476000,-326000,-1210000,-29225000,-5777000,-23014000,-1210000,2970000,None,56802000,26000,-5254000,3317000,16000,-5254000,None,-5777000,14.09,13.37
3,2019-09-30,USD,29856000,40679000,278000,29578000,-10748000,-16463000,23746000,None,-16463000,None,16933000,353000,-11101000,None,5715000,None,-5715000,-5715000,None,None,None,None,353000,None,-16463000,-16463000,None,USD,91263000,None,None,5353000,202524000,-139915000,None,3055000,495000,-705386000,None,None,2375000,8861000,46753000,None,None,None,3787000,63799000,None,-111261000,18481000,29931000,155771000,1173000,43698000,None,None,495000,None,-705386000,None,None,23677000,None,27464000,31709000,155771000,None,155771000,None,None,None,564976000,91263000,27342000,None,49525474,USD,9378000,5074000,9339000,36156000,-268000,3058000,-268000,-1016000,-16463000,4875000,-7522000,-1016000,2790000,None,3326000,14000,-1416000,3495000,39000,-1416000,None,4875000,16.33,14.09
4,2019-06-30,USD,26753000,36036000,55000,26698000,-8923000,-14453000,19108000,None,-14453000,None,16928000,415000,-9338000,None,5530000,None,-5530000,-5530000,None,None,None,None,415000,None,-14453000,-14453000,None,USD,89760000,None,None,4397000,194089000,-130274000,None,2636000,492000,-688923000,None,None,2315000,3986000,40673000,None,None,None,4183000,65944000,None,-104329000,27859000,28515000,153416000,1187000,38037000,None,None,492000,None,-688923000,None,None,19633000,None,23816000,28581000,153416000,None,153416000,None,None,None,558157000,89760000,31845000,None,49196049,USD,15309000,-4036000,15212000,26778000,1140000,1309000,-545000,-135000,-14453000,-68000,-16589000,-135000,4885000,None,1600000,-451000,-3797000,1398000,97000,-3797000,None,-68000,15.69,16.33
5,2019-03-31,USD,21779000,41018000,131000,21779000,-18745000,-24345000,26255000,None,-24345000,None,14632000,494000,-19239000,131000,5600000,None,-5600000,-5600000,None,None,None,None,494000,None,-24345000,-24345000,None,USD,101246000,None,None,4195000,195687000,-121019000,None,None,490000,-674470000,None,None,2382000,4054000,44505000,2561000,1415000,None,4479000,76871000,None,-94441000,43168000,24718000,151182000,736000,41944000,None,None,490000,None,-674470000,None,None,19896000,None,24375000,29139000,151182000,None,151182000,None,None,None,552961000,101246000,47222000,None,49022428,USD,11469000,5883000,11287000,11469000,-254000,-146000,None,2110000,-24345000,-1807000,-12948000,2110000,377000,None,108000,-648000,-1900000,5575000,182000,-1900000,None,-1807000,17.37,15.69
6,2018-12-31,USD,22017000,40491000,17519000,22017000,-31315000,-23489000,25446000,0,-36464000,0,14888000,-12841000,-18474000,157000,5149000,None,None,None,0,0,0,-12929000,-17988000,0,-23535000,-23489000,None,USD,95936000,None,None,6463000,196092000,-100156000,8177000,None,490000,-650125000,8177000,None,2224000,5861000,37356000,889000,None,None,3845000,89867000,None,-100156000,54637000,22818000,148981000,88000,36467000,None,None,490000,None,-650125000,None,None,2224000,None,6069000,1578000,150559000,None,158736000,None,None,None,549479000,95936000,60498000,None,49011684,USD,-2268000,12727000,-2361000,25718000,63316000,30092000,-33236000,1675000,-23557000,3074000,-24657000,1675000,308000,None,12000,126000,-20521000,4562000,93000,-20521000,None,3074000,11.14,17.37
7,2018-09-30,USD,4608000,40050000,18869000,4608000,-34870000,-39472000,26862000,0,-39472000,0,13152000,572000,-35442000,36000,4602000,None,None,None,0,0,0,0,-4030000,0,-39472000,-39472000,None,USD,75610000,0,None,8334000,164607000,-88997000,8325000,15180000,490000,-626591000,8325000,0,7089000,2787000,24587000,560000,None,None,2520000,66001000,None,-88997000,52369000,2297000,131695000,214000,24027000,0,0,490000,0,-626591000,0,None,7089000,None,9609000,None,131695000,None,140020000,None,None,None,537104000,75610000,55156000,None,49032288,USD,33152000,64000,33064000,0,-129000,3714000,-35355000,-1678000,-39450000,-102000,-36880000,-1678000,225000,0,3843000,21000,-768000,4735000,88000,-768000,None,-96000,24.41,11.14
8,2018-06-30,USD,1655000,32272000,12363000,1655000,-30020000,-33696000,19412000,0,-33696000,0,12744000,597000,-30617000,116000,3676000,None,None,None,0,0,0,0,-3079000,0,-33696000,-33696000,None,USD,106349000,0,None,6336000,162646000,-56297000,8454000,11984000,485000,-587118000,8454000,0,7409000,2883000,24442000,608000,130358000,None,2436000,96504000,None,-56297000,85521000,1529000,129750000,235000,23834000,0,0,485000,0,-587118000,0,None,7409000,None,9845000,None,129750000,None,138204000,None,None,None,530336000,106349000,88404000,None,48498055,USD,-13896000,-412000,-14099000,0,44457000,46703000,56000,-90000,-33650000,1700000,-30904000,-90000,206000,0,2190000,12000,-1347000,4417000,203000,-1347000,None,1694000,18.14,24.41
9,2018-03-31,USD,1588000,29277000,10583000,1588000,-27229000,-30100000,18140000,0,-30054000,0,10934000,460000,-27689000,203000,2825000,None,None,None,0,0,0,0,-2365000,0,-30054000,-30100000,None,USD,89035000,0,None,5441000,118250000,-29215000,8583000,13934000,483000,-553422000,8583000,0,8270000,1189000,24630000,513000,85550000,None,2081000,78684000,None,-29215000,71625000,182000,85037000,247000,24117000,0,0,483000,0,-553422000,0,None,8270000,None,10351000,None,85037000,None,93620000,None,None,None,523724000,89035000,72814000,None,48286842,USD,8730000,-1835000,8547000,0,-143000,544000,56000,-840000,-30100000,-2205000,-11296000,-840000,223000,0,687000,196000,16962000,4052000,183000,16962000,None,-2205000,11.17,18.14
