,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-04-30,USD,0,9834680,None,None,-9888181,-9888181,6103163,None,-9888181,None,3731517,-53501,-9834680,None,0,0,-108410,0,None,None,None,None,-53501,None,-9888181,-9888181,None,USD,39139410,None,None,1737209,17435552,21703858,None,509828,2277,-197639563,None,None,301907,30078144,10695815,278245,278245,330792,865211,31815353,None,21703858,None,None,674499,None,9907742,None,None,2277,None,-197639563,None,None,6458846,None,7324057,6575066,674499,6065238,6739737,None,5708127,None,213302225,39139410,30078144,None,22771571,USD,0,23677,None,None,-950967,29049459,426,1434503,-9888180,20837995,-8211464,1180919,54350,None,30000000,None,None,417770,0,None,None,20837995,1.79,
1,2020-01-31,USD,0,13523593,None,None,-13631497,-13634025,6055218,None,-13631575,None,7468375,-107904,-13523593,None,78,2450,-149670,-78,None,None,None,2450,-107904,None,-13634025,-13634025,None,USD,19790887,None,None,2947757,16615956,3174931,None,640253,1075,-187751383,None,None,306355,9256351,10487935,None,None,251522,919561,12204108,None,3174931,None,None,None,None,9847682,None,None,1075,None,-187751383,None,None,6667218,None,7586779,6768274,None,6128021,6128021,None,5708127,None,184965590,19790887,9256351,None,10752529,USD,0,3695353,None,None,-21460,-219739,-24798,261194,-13634025,-7660383,-7440644,684044,55497,None,-173481,None,None,1758487,0,None,None,-7660383,1.96,1.79
2,2019-10-31,USD,0,9838376,None,None,-9759492,-9760484,5420159,None,-9760484,None,4418217,78884,-9838376,None,992,0,5690,-992,None,None,None,None,78884,None,-9760484,-9760484,None,USD,23249166,None,None,3709895,7954059,15295107,None,1205825,1068,-174117358,None,None,354738,16946203,7396525,42113,42113,153388,975058,20656098,None,15295107,None,None,None,None,6148587,None,None,1068,None,-174117358,None,None,1618010,None,2593068,1763359,None,557534,557534,None,10809724,None,178448285,23249166,16946203,None,10680428,USD,0,1259503,None,None,-62300,-63401,-1101,-672067,-9760484,-8194613,-8131212,-466380,56071,None,None,None,None,780078,0,None,None,-8194613,2.16,1.96
3,2019-07-31,USD,0,7519217,None,None,-7448777,-7502309,4737031,None,-7511872,None,2782186,10163,-7519217,None,2818,-9563,-98330,-2818,None,None,None,-9563,10163,None,-7502309,-7502309,None,USD,29892012,None,None,3359556,5612913,24279099,None,676223,1063,-164356874,635913,None,353547,25147780,4977000,83760,83760,10978761,1031129,28507336,None,24279099,0,None,None,None,4852930,None,None,1063,None,-164356874,None,None,353547,None,1384676,None,None,None,635913,None,10809724,None,177656150,29892012,25147780,None,10633043,USD,1000000,330652,1000000,23213790,-61359,10003751,-300399,-1641023,-7502309,2890121,-8092744,-951205,60277,None,28490010,None,None,659659,9880,None,None,2944413,2.23,2.16
4,2019-04-30,USD,0,6913989,None,None,-6878594,-6883101,4222193,None,-6879581,None,2691796,35395,-6913989,None,987,3520,-78960,-987,None,None,None,3520,35395,None,-6883101,-6883101,None,USD,26992510,None,None,2286271,5815516,21176994,None,1061075,711,-156854565,752393,None,357530,22257659,5063123,165768,165768,108651,1092109,25542868,None,21176994,998938,None,None,None,4588673,None,None,711,None,-156854565,None,None,357533,None,1449642,None,None,None,752393,None,11171166,None,166751031,26992510,23256597,None,7111258,USD,3250000,-1741619,3240118,22213790,-291303,2221333,-7294,-1374807,-6883101,-2222281,-7683732,124614,54168,None,2519930,None,None,762206,9882,None,-7325,-2229606,0.565,2.23
5,2019-01-31,USD,0,8479938,0,0,-8310123,-8315027,4746530,None,-8310123,None,3733408,169815,-8479938,None,-987,4900,None,None,None,None,None,4904,169815,None,-8315027,-8315027,None,USD,32224148,None,None,1988631,7555066,24669082,None,2089572,6463,-149971464,1011426,None,362918,24487265,6543640,None,None,45833,1143921,30717309,None,24669082,4241413,None,None,None,5465494,None,None,6463,None,-149971464,None,None,362918,None,1506839,None,None,138486,1011426,None,11171166,None,163417084,32224148,28728678,None,64621352,USD,5232000,590499,5232000,18963790,-333189,6685920,-18026,466017,-8315028,5468598,-6449322,380395,46272,None,7037135,None,None,848540,9882,None,2600,5471198,0.88,0.565
6,2018-10-31,USD,-12134,7503534,0,-12134,-7561046,-7575615,4739445,None,-7573180,None,2764089,-57512,-7503534,None,-987,None,None,None,None,None,None,2435,-69646,None,-7575615,-7575615,None,USD,32177108,0,None,2150966,6979387,25197721,0,1487579,5968,-141656436,1322011,0,346470,19016067,5657376,None,None,91876,1204791,30625847,None,25197721,9458814,None,0,0,5491808,13539142,0,5968,0,-141656436,0,None,346470,None,1551261,None,None,None,None,None,11171165,None,155585148,32177108,28474881,None,59674487,USD,13731794,-650883,13731794,0,-240000,8287514,-24876,-256872,-7575615,15241121,-6778187,-147835,32576,0,8552390,0,0,1563570,9882,None,-28681,15212440,1.71,0.88
7,2018-07-31,USD,0,12600968,0,0,-12439531,-12439260,6854204,0,-12439531,0,5746764,161437,-12600968,0,-987,None,None,None,0,0,0,-271,161436,0,-12439260,-12439260,None,USD,30246472,0,None,1643749,7322266,22924206,0,1070744,5351,-134080821,1472630,0,358987,3803627,5849636,None,None,-16024,1265662,28621823,None,22924206,23174447,None,0,0,6251522,0,0,5351,0,-134080821,0,None,358987,None,1624649,None,None,None,None,None,11271327,None,145744373,30246472,26978074,None,53511626,USD,-46458920,3293347,-3960,0,-7152913,-85175,-181550,1428404,-12439261,-6310867,-6221732,2867645,32410,0,42604572,0,0,10002711,116822,None,-4471,-6315338,1.24,1.71
8,2018-04-30,USD,0,9292170,0,0,-10060553,-10060553,4153228,0,-10060553,0,5138942,-768383,-9292170,0,0,None,None,None,0,0,0,-1000,-768383,0,-10060553,-10060553,None,USD,37059150,0,None,2134059,4355931,32703219,36671,360341,5190,-121641561,1160094,0,369833,10118965,3195837,None,None,-11553,1295669,32418124,2975524,32703219,20165100,None,0,0,3995590,32703219,0,5190,0,-121641561,0,None,369833,None,4641026,None,None,None,None,None,11271327,None,143079816,37059150,30284065,None,51892734,USD,23234225,184269,-23277678,0,4973745,21310686,-2180683,-458107,-10060552,-7752818,-5785826,-2098185,82163,0,-19018343,0,0,-3872105,59879,None,-31798,-7784616,1.53,1.24
9,2018-01-31,USD,0,8285033,0,0,-8269754,-10736101,2994937,0,-10735150,0,5290096,15279,-8285033,0,0,None,None,None,0,0,0,951,-2496235,0,-10736101,-10736101,None,USD,22122205,0,None,1680461,4091134,18031071,36671,161127,3583,-111581008,1179000,0,313000,17903581,2912426,None,None,20245,2224934,19584042,None,18031071,0,None,0,0,3930007,18031071,0,3583,0,-111581008,0,None,313229,None,2538163,None,None,None,None,None,11465127,None,118123124,22122205,17903581,None,35827912,USD,-23234225,-614924,-8213,0,-388388,9354273,-388388,-534184,-10736101,3211554,-6134506,2679118,94969,0,9742661,0,0,2442432,8213,None,30609,3242163,1.81,1.53
