,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,408273000,357564000,313588000,94685000,51563000,14367000,None,None,45359000,99549000,43152000,None,50709000,None,5380000,4737000,None,-5380000,None,None,None,4737000,30000,None,40622000,14367000,None,USD,525037000,61304000,None,None,353207000,72281000,None,None,146000,15452000,1512000,113059000,3201000,87989000,242915000,None,184496000,None,16785000,330688000,None,-102082000,None,57439000,108780000,171300000,25154000,None,None,None,None,None,None,None,None,None,194349000,None,None,1512000,110292000,None,None,None,None,None,None,None,None,USD,-489000,16717000,-489000,None,-119275000,-129086000,-2399000,13413000,14367000,70101000,199676000,None,824000,-7412000,None,162077000,None,29876000,531000,None,None,None,24.28,
1,2020-04-30,USD,408273000,357564000,313588000,94685000,51563000,14367000,None,None,45359000,99549000,43152000,None,50709000,None,5380000,4737000,None,-5380000,None,None,None,4737000,30000,None,40622000,14367000,None,USD,None,None,None,None,None,None,None,None,146000,15452000,1512000,None,3201000,None,None,None,None,None,16785000,None,None,-102082000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-489000,16717000,-489000,None,-119275000,-129086000,-2399000,13413000,14367000,70101000,199676000,None,824000,-7412000,None,162077000,None,29876000,531000,None,None,None,11.49,24.28
2,2020-03-31,USD,189963000,178316000,145379000,44584000,9224000,1085000,None,None,3451000,80706000,32146000,None,11647000,None,4982000,472000,-4982000,-4982000,None,None,None,472000,-3214000,None,2979000,1085000,None,USD,580272000,61304000,None,567000,441605000,57961000,None,None,146000,1085000,1540000,113059000,3209000,20401000,331111000,294262000,301274000,None,16699000,386001000,None,-116402000,None,19839000,108954000,333377000,7819000,None,None,None,None,None,None,None,194271000,None,194271000,None,108954000,1540000,110494000,None,None,None,56730000,None,20401000,None,None,USD,-56000,7943000,-56000,1574000,63285000,28670000,-89832000,-2861000,1085000,10257000,-18357000,None,791000,-92478000,59234000,-19540000,None,3178000,1395000,None,None,None,7.65,11.49
3,2020-01-31,USD,189963000,178316000,145379000,44584000,9224000,1085000,None,None,3451000,80706000,32146000,None,11647000,None,4982000,472000,None,-4982000,None,None,None,472000,-3214000,None,2979000,1085000,None,USD,None,None,None,None,None,None,None,None,146000,1085000,1540000,None,3209000,None,None,None,None,None,16699000,None,None,-116402000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-56000,7943000,-56000,None,63285000,28670000,-89832000,-2861000,1085000,10257000,-18357000,None,791000,-92478000,None,-19540000,None,3178000,1395000,None,None,None,nan,7.65
4,2019-12-31,USD,153698000,150709000,121509000,32189000,4205000,-1314000,None,None,-1067000,92767000,28440000,None,2989000,None,4512000,None,-4512000,-4512000,None,None,None,None,456000,None,-1067000,1085000,None,USD,538264000,61304000,None,250000,504589000,27961000,None,21924000,27961000,None,51685000,113059000,345000,10461000,298838000,264481000,271304000,27961000,17489000,346067000,None,-146402000,None,9574000,67013000,313837000,5610000,None,None,None,None,None,None,None,192197000,None,192197000,None,67013000,1569000,205751000,None,None,None,None,None,10461000,None,None,USD,-1762000,2919000,-1762000,235000,36601000,29704000,-6708000,-1402000,-1314000,-781000,-28723000,None,760000,-2231000,-1310000,-36499000,5720000,1093000,1997000,None,None,None,nan,nan
5,2019-10-31,USD,153698000,150709000,121509000,32189000,4205000,-1314000,None,None,-1067000,92767000,28440000,None,2989000,None,4512000,None,None,-4512000,None,None,None,None,456000,None,-1067000,1085000,None,USD,None,None,None,None,None,None,None,None,27961000,None,51685000,None,345000,None,None,None,None,None,17489000,None,None,-146402000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-1762000,2919000,-1762000,None,36601000,29704000,-6708000,-1402000,-1314000,-781000,-28723000,None,760000,-2231000,None,-36499000,None,1093000,1997000,None,None,None,nan,nan
6,2019-09-30,USD,205975738,193037296,159625485,46350253,10662194,4733960,None,None,5022462,92217000,32613721,None,12938442,None,4841642,None,-4841640,-4841642,None,None,None,None,-3074338,None,5022462,-4874040,None,USD,504755000,61304000,None,384000,466786000,31770000,None,9664000,31770000,None,52485000,113059000,345000,11108000,263494000,225377000,236501000,31770000,15954000,314093000,None,-142593000,None,6841000,64789000,277338000,5546000,None,None,None,None,None,None,None,190662000,None,190662000,None,64789000,1598000,203292000,None,None,None,None,None,11108000,None,None,USD,-3009642,-6238275,-3009642,15623000,-26051301,-29232328,-1981338,-7011260,4733960,-13966029,18275941,None,798090,-2033446,None,4237007,17595047,4161372,1378266,None,None,None,nan,nan
7,2019-07-31,USD,205975738,193037296,159625485,46350253,10662194,4733960,None,None,5022462,92217000,32613721,None,12938442,None,4841642,None,None,-4841642,None,None,None,None,-3074338,None,5022462,-4874040,None,USD,None,None,None,None,None,None,None,None,31770000,None,52485000,None,345000,None,None,None,None,None,15954000,None,None,-142593000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-3009642,-6238275,-3009642,15623000,-26051301,-29232328,-1981338,-7011260,4733960,-13966029,18275941,None,798090,-2033446,None,4237007,None,4161372,1378266,None,None,None,nan,nan
8,2019-06-30,USD,274824000,247497000,212093000,62731000,37974478,31908000,None,None,32680000,90140828,34713000,None,27327000,None,4603000,0,-4603270,-4603000,None,None,None,None,9956000,None,32680000,29549820,None,USD,514031105,57584000,None,1359710,477301628,30818614,None,22454389,30818614,None,49450000,106126977,336630,25073837,274276820,235009800,240489217,30818610,30574680,319408814,None,-132892363,None,11281622,69344843,259253348,11333214,None,None,None,None,None,None,None,194622291,None,194622291,None,69344840,None,203024808,None,None,None,None,None,25073840,None,None,USD,-2415831,-5031880,-7988360,-2075620,-33542780,-43615985,-12620970,1170417,31908000,9585028,55616844,None,691478,-9869786,None,40445839,-4980507,-8586933,2400460,None,None,None,nan,nan
9,2019-03-31,USD,180771000,169179000,141046000,39725000,1138432,-3221000,None,None,-2951000,88759892,27548000,None,12803000,None,3504000,0,-3504000,-3504000,None,None,None,None,-11039000,None,-2951000,-3221000,None,USD,521611210,55724000,None,1536090,428639770,92971440,None,23645647,9351219,None,60723000,104266940,333130,15488809,299823050,263235450,266579402,9351220,21835110,339452030,None,-150639716,None,25981490,62954050,295292820,9598001,None,None,None,None,None,None,None,182159179,None,182159179,None,62954050,900000,207297269,None,None,None,None,None,15488810,None,None,USD,-2053527,4927078,-5573000,-2061000,43927041,85307000,-2548000,459422,-441000,1264000,-78470000,None,1192000,-1098768,-823000,-23457846,-7479270,4012281,3512000,None,None,None,nan,nan
