,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,0,216974,None,None,-216974,-191857,None,None,-203950,None,None,None,-216974,None,None,-12093,13703,13703,None,None,None,-12093,-679,None,-191857,-191857,None,USD,48745135,None,None,None,3163770,45581365,None,None,407,1974590,40581361,None,48476114,18198,417307,None,None,None,None,269021,None,5000004,None,None,2746463,None,417307,None,None,None,None,None,None,None,48406367,None,48476114,None,None,None,2746463,None,None,None,None,None,None,None,None,USD,-44558,-69494,-44558,-44558,482321,482321,None,6625,-191857,9892,-427871,None,None,None,0,None,None,-20800,0,None,None,None,15.99,
1,2020-03-31,USD,0,343592,343590,None,-343592,-15852,None,None,-21238,None,None,None,-343592,None,None,-5386,321864,321864,None,None,None,-5386,490,None,-15852,-250015,None,USD,48524165,None,None,None,2772943,45751222,None,56194,403,2166447,40773214,None,48410756,8306,542995,None,None,22000,None,113409,None,5000008,None,None,2207948,None,486801,None,None,None,None,None,None,None,48348785,None,48410756,None,2207950,22000,2229948,None,None,None,2811160,None,8310,None,4000000,USD,46514855,157249,46514855,46514855,857249,-46305971,None,-32097,-15852,-9556,-218440,None,None,None,-47163220,None,None,-332057,0,None,None,None,10.56,15.99
2,2019-12-31,USD,0,268375,268380,None,-268375,160514,None,None,133786,None,None,None,-268375,None,None,-26728,399089,399089,None,None,None,-26728,3072,None,160514,-172353,None,USD,94688739,None,None,None,1736445,92952294,None,56194,395,2182299,87952287,None,94593554,17862,385746,None,None,None,None,95185,None,5000007,None,None,1350699,None,329552,None,None,None,None,None,None,None,94541286,None,94593554,None,1350700,None,1350699,None,None,None,2817310,None,17860,None,4000000,USD,1520471,14630,1520471,1520471,1099958,-1279014,56190,15972,160514,3684,-237773,None,None,None,-2378972,None,None,-433068,0,None,None,None,10.53,10.56
3,2019-09-30,USD,0,157429,157430,None,-157429,336700,None,None,450978,None,157429,None,-157429,None,None,114278,621666,621666,None,None,None,114278,-13259,None,336700,-82158,None,USD,95792609,None,None,71224,621857,95170752,None,None,384,2021785,90170747,None,95680957,14178,314922,None,None,90170750,None,111652,95659596,5000005,None,None,306935,None,314922,None,None,None,None,None,None,None,95659596,None,95680957,None,306940,None,306935,None,None,None,2977840,None,14180,None,4000000,USD,23584767,53236,23584767,23584767,306935,-23287252,None,33958,336700,-197984,-495499,None,None,None,-23594190,None,None,-619369,0,None,None,None,10.365,10.53
4,2019-06-30,USD,0,233367,414520,0,-233367,284309,0,0,486839,0,233367,0,-233367,0,0,202530,703004,703004,0,0,0,202530,17202,0,284309,-163818,0,USD,118918725,0,None,0,490486,118428239,0,228800,380,1685085,113428238,0,118646355,212162,490486,0,0,113428240,0,272370,118635956,5000001,0,0,0,0,261686,0,0,0,0,0,0,0,118635956,0,118646355,0,0,0,0,0,0,0,3314540,0,212160,0,4000000,USD,350469,41366,350469,350469,306935,0,0,42292,284309,75760,-274709,0,0,0,0,0,0,-730975,0,0,0,0,10.3,10.365
5,2019-03-31,USD,0,181150,181150,0,-181150,380241,0,0,506260,0,181150,0,-181150,0,0,126019,685649,685649,0,0,0,126019,1761,0,380241,-109774,0,USD,118505121,0,None,0,361191,118143930,0,140501,380,1400776,113144291,0,118266219,136402,360821,0,0,113143920,0,238902,118266219,5000009,0,0,0,0,220320,0,0,0,0,0,0,0,118266219,0,118266219,0,0,370,370,0,0,0,3598850,0,136400,0,4000000,USD,161300,-35981,161300,161300,306935,0,0,-13405,380241,-69236,-230536,0,0,0,0,0,0,-687040,0,0,0,0,10.15,10.3
6,2018-12-31,USD,0,143198,143200,0,-143198,416016,0,0,531758,0,143198,0,-143198,0,0,115740,None,None,0,0,0,115742,674956,0,416016,-359195,0,USD,118034842,0,None,0,113034839,5000003,0,14852,379,1020535,112763686,0,117740109,205638,271153,0,0,112763690,0,294733,0,5000003,0,0,0,0,161301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3979090,0,205640,0,3000000,USD,0,32031,155001,155001,306935,-23287252,-24693937.75,70010,416016,-148054,-303055,0,0,0,117150100,0,0,-674956,0,0,0,0,9.93,10.15
7,2018-09-30,USD,0,204577,204580,0,-204577,276543,0,0,350055,0,204577,0,-204577,0,0,None,None,None,0,0,0,73512,554632,0,276543,-137763,0,USD,117732951,0,None,17225614.93,112732944,5000007,0,161008,377,604519,112347666,0,117220154,353692,385278,0,0,112347670,0,512797,0,5000007,0,0,0,0,159270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4395110,0,353690,0,4000000,USD,0,68144,106897,106897,13308033.03,12645226386.54,-13308033.03,-129226,276543,-158762,-265659,0,0,0,117150100,0,0,-554632,0,0,0,0,9.85,9.93
8,2018-06-30,USD,0,250126.79,0,0,-136313,306703,0,0,388231,0,136313,0,-136313,0,0,None,None,None,0,0,0,81528,524544,0,306703,-17301,0,USD,117314752,0,None,536204.26,112314751,5000001,0,87496,377,327976,112071129,0,116772419,512454,243622,0,0,0,0,542333,0,5000001,0,0,0,0,156126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000000,USD,0,96175,106897,106897,2195559.35,-10000,-10000,3021,306703,-47117,-37117,0,0,0,2014340187.43,0,0,-524544,0,0,0,0,9.7,9.85
9,2018-03-31,USD,0,69458,0,0,-69458,22449,0,0,28417,0,69458,None,-69458,0,0,None,None,None,0,0,0,5968,97875,0,22449,-17861,None,USD,116840346,0,None,32000,111840345,5000001,0,15968,376,21273,111764426,0,116247875,559571,75919,None,None,None,0,592471,None,5000001,0,None,0,0,59951,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3000000,USD,None,58913,-116150000,-116150000,-122839,116731014,-296147,-32900,22449,537569,-43445,None,0,0,112700000,0,0,-97875,0,None,None,None,9.691,9.7
