,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,68960000.0,71212000.0,20042000.0,48918000.0,-520000.0,-5166000.0,4668000.0,None,-5139000.0,None,46502000.0,None,-2252000.0,None,2912000.0,27000,None,-2912000,None,None,None,27000.0,25000.0,None,-5166000.0,-5166000.0,None,USD,216487000.0,19164000.0,None,None,180737000.0,35750000.0,370000,5626000.0,11000.0,-192486000.0,9361000.0,25539000.0,1045000.0,40455000.0,66058000.0,None,6667000,None,53033000.0,117706000.0,None,-8953000.0,None,44024000.0,92307000.0,28562000.0,29944000.0,None,None,None,None,None,None,None,728000,None,98781000,16338000,None,8264000,114679000,None,None,None,None,None,None,None,None,USD,-1875000,2145000.0,-1875000.0,293000,5264000.0,4890000.0,-526000.0,4354000.0,-5166000.0,-6320000.0,-9335000.0,None,1707000.0,None,0,-3066000.0,-12052000.0,2743000.0,2168000.0,None,None,None,3.84,
1,2020-03-31,USD,61732000.0,76816000.0,18793000.0,42939000.0,-12049000.0,-16313000.0,5410000.0,None,-16278000.0,None,52613000.0,None,-15084000.0,None,2510000.0,35000,-2510000,-2510000,None,None,None,35000.0,1316000.0,None,-16313000.0,-16313000.0,None,USD,208340000.0,19981000.0,None,176000,168045000.0,40295000.0,None,5340000.0,11000.0,-187320000.0,8071000.0,25539000.0,1351000.0,46898000.0,54825000.0,1667000,1667000,None,50071000.0,111398000.0,None,-5225000.0,None,32724000.0,91394000.0,26436000.0,26208000.0,None,None,None,None,None,None,None,760000,None,96942000,16944000,105149000,6966000,113220000,None,None,None,227604000,None,46898000,None,104000000,USD,-4243000,-1910000.0,-4243000.0,293000,9456000.0,8230000.0,-2042000.0,-3526000.0,-16313000.0,-13296000.0,-17283000.0,None,1719000.0,None,0,-4287000.0,6325000.0,709000.0,4243000.0,None,None,None,3.23,3.84
2,2019-12-31,USD,74645000.0,76399000.0,20391000.0,54254000.0,600000.0,-4398000.0,3640000.0,None,-4356000.0,None,52368000.0,None,-1754000.0,None,2604000.0,42000,-2604000,-2604000,None,None,None,42000.0,2000.0,None,-4398000.0,-4398000.0,None,USD,220687000.0,20797000.0,None,137000,165104000.0,55583000.0,92000,5810000.0,10000.0,-171007000.0,7661000.0,25539000.0,1567000.0,60174000.0,59894000.0,None,None,None,47184000.0,125600000.0,None,9247000.0,None,39359000.0,83118000.0,22918000.0,28387000.0,None,None,None,None,None,None,None,884000,None,95087000,17488000,97549000,6649000,105210000,None,None,None,226580000,None,60174000,None,93000000,USD,-3458000,-648000.0,-3458000.0,293000,-403000.0,47070000.0,-2973000.0,2716000.0,-4398000.0,37211000.0,-6401000.0,None,2352000.0,None,0,-3223000.0,-5244000.0,2044000.0,3458000.0,None,None,None,4.81,3.23
3,2019-09-30,USD,64265000.0,72530000.0,19131000.0,45134000.0,-5945000.0,-10741000.0,3924000.0,None,-10693000.0,None,49475000.0,None,-8265000.0,None,2427000.0,48000,-2427000,-2427000,None,None,None,48000.0,-1000.0,None,-10741000.0,-11386000.0,None,USD,174640000.0,22314000.0,None,185000,161832000.0,12808000.0,92000,5506000.0,9000.0,-166609000.0,7127000.0,25539000.0,1690000.0,22974000.0,56729000.0,None,None,None,44254000.0,80843000.0,None,-35045000.0,None,34383000.0,83083000.0,20184000.0,28251000.0,None,None,None,None,None,None,None,916000,None,93797000,17765000,97976000,6391000,105103000,None,None,None,179408000,None,22974000,None,92000000,USD,-1275000,3875000.0,-1275000.0,293000,9694000.0,9728000.0,-75000.0,-217000.0,-10741000.0,3000000.0,-5453000.0,None,2321000.0,None,0,-1753000.0,-170000.0,1232000.0,1275000.0,None,None,None,6.57,4.81
4,2019-06-30,USD,64948000.0,72267000.0,19446000.0,45502000.0,-5081000.0,-9649000.0,3864000.0,None,-9626000.0,None,48957000.0,None,-7319000.0,None,2187000.0,23000,-2167000,-2187000,None,None,None,23000.0,-120000.0,None,-9649000.0,-9649000.0,None,USD,168074000.0,23844000.0,None,119000,144876000.0,23198000.0,184000,5472000.0,9000.0,-155223000.0,6676000.0,25539000.0,1794000.0,20040000.0,50399000.0,None,None,None,40751000.0,76146000.0,None,-26185000.0,None,34157000.0,73146000.0,18717000.0,22278000.0,None,None,None,None,None,None,None,1040000,None,91928000,17097000,87801000,6220000,94477000,None,None,None,178412000,None,20040000,None,91000000,USD,-1184000,-3409000.0,-1184000.0,None,2152000.0,2796000.0,-38000.0,-73000.0,-9649000.0,-10504000.0,-12116000.0,None,2358000.0,None,0,-748000.0,-1751000.0,1156000.0,1184000.0,None,None,None,7.6,6.57
5,2019-03-31,USD,57123000.0,69244000.0,16980000.0,40143000.0,-11432000.0,-15666000.0,3371000.0,None,-15629000.0,None,48893000.0,None,-13983000.0,None,1797000.0,37000,-1778000,-1778000,None,None,None,37000.0,-1730000.0,None,-15666000.0,-15666000.0,None,USD,176453000.0,24592000.0,None,102000,143894000.0,32559000.0,None,4923000.0,9000.0,-145574000.0,5859000.0,25539000.0,1310000.0,30561000.0,52307000.0,None,None,None,39454000.0,85062000.0,None,-17572000.0,None,32509000.0,70619000.0,17972000.0,24575000.0,None,None,None,None,None,None,None,1072000,None,91391000,17446000,85728000,5680000,91587000,None,None,None,178124000,None,30561000,None,91000000,USD,-317000,4882000.0,-317000.0,None,26706000.0,19133000.0,-811000.0,-1039000.0,-15666000.0,9258000.0,-9558000.0,None,902000.0,None,-6762000,-5339000.0,2474000.0,2467000.0,317000.0,None,None,None,7.5,7.6
6,2018-12-31,USD,63599000.0,65007000.0,17510000.0,46089000.0,-1408000.0,-9255000.0,3091000.0,0,-9253000.0,0,44406000.0,None,-1408000.0,0,-2663000.0,84000,None,None,0,0,0,2000.0,-7845000.0,0,-9255000.0,-9255000.0,None,USD,163678000.0,26091000.0,None,1233000,116637000.0,47041000.0,318000,14395000.0,9000.0,-130240000.0,1033000.0,25539000.0,1294000.0,21291000.0,66388000.0,2545000,2545000,None,39623000.0,71131000.0,None,-4589000.0,None,34077000.0,39062000.0,13321000.0,19165000.0,None,None,None,None,None,None,None,None,None,None,None,49216000,None,None,None,None,None,177272000,None,21291000,None,None,USD,None,469000.0,-367000.0,1000,-21430000.0,13372000.0,-11206000.0,-8688000.0,-9255000.0,-4482000.0,-17487000.0,None,1618000.0,None,119000,-2725000.0,-6295000.0,7389000.0,367000.0,None,None,None,nan,7.5
7,2018-09-30,USD,50769000.0,62017000.0,19477000.0,31292000.0,-11248000.0,-13078000.0,2779000.0,0,-13051000.0,0,39761000.0,None,-11248000.0,0,-2960000.0,None,None,None,0,0,0,27000.0,-1803000.0,0,-13078000.0,-13078000.0,None,USD,165624000.0,27008000.0,None,743000,189856000.0,-24232000.0,385000,7160000.0,36000.0,-120985000.0,10987000.0,25539000.0,1558000.0,25768000.0,59718000.0,6537000,6537000,None,41056000.0,70463000.0,None,-76779000.0,None,28956000.0,108401000.0,12058000.0,18585000.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,69000000,USD,None,-7746000.0,-932000.0,None,2789000.0,48506000.0,-316000.0,-1267000.0,-13078000.0,24577000.0,-22997000.0,None,1779000.0,None,None,-134000.0,-6157000.0,3606000.0,933000.0,None,None,None,10.13,nan
8,2018-06-30,USD,39540500.0,56591000.0,15910500.0,23630000.0,-17050500.0,-21249000.0,2436000.0,0,-21221500.0,0,38244500.0,None,-17050500.0,0,-2615000.0,None,None,None,0,0,0,27500.0,-4171000.0,0,-21249000.0,-21249000.0,None,USD,137734000.0,27925000.0,None,794000,194903000.0,-57169000.0,428000,6933000.0,33000.0,-107907000.0,10907000.0,25539000.0,1580000.0,1257000.0,89793000.0,27980000,27980000,None,41451000.0,41239000.0,None,-110633000.0,None,23089000.0,82882000.0,14085000.0,26751000.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,66000000,USD,None,3608500.0,-278500.0,None,9908500.0,9882000.0,-65500.0,-138000.0,-21249000.0,-524000.0,-10127500.0,None,1790500.0,None,None,-1070500.0,2671000.0,2513000.0,278500.0,None,None,None,10.03,10.13
9,2018-03-31,USD,35529000.0,56099000.0,14521000.0,21008000.0,-20570000.0,-22488000.0,2824000.0,0,-22460000.0,0,38754000.0,None,-20570000.0,0,-2429000.0,None,None,None,0,0,0,28000.0,-1890000.0,0,-22488000.0,-22488000.0,None,USD,137734000.0,27925000.0,None,794000,194903000.0,-15317000.0,428000,6933000.0,33000.0,-107907000.0,10907000.0,25539000.0,1580000.0,1257000.0,89793000.0,27980000,27980000,None,41451000.0,41239000.0,None,-70615000.0,None,23089000.0,82882000.0,14085000.0,26751000.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,9706000.0,-65000.0,None,3047000.0,3082000.0,-9000.0,-1215000.0,-22488000.0,-1440000.0,-4457000.0,None,1789000.0,None,None,-2282000.0,7547000.0,2486000.0,65000.0,None,None,None,10.0,10.03
