,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,1749000,28521000,243000,1506000,-26547000,-20406000,24720000,None,-27109000,155000,3586000,None,-26772000,-1000,317000,12000,None,-229000,None,None,None,12000,-108000,6721000,-27121000,-20406000,None,USD,None,None,None,None,None,None,None,None,2000,-34280000,348000,None,4282000,None,None,None,None,10000,2900000,None,None,80532000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,154000,-273000,None,-499000,None,1000,-5972000,None,None,-9141000,None,None,None,None,None,None,17968000,0,None,None,None,6.08,
1,2020-05-31,USD,1749000,28521000,243000,1506000,-26547000,-20406000,24720000,None,-27109000,155000,3586000,None,-26772000,-1000,317000,12000,None,-229000,None,None,None,12000,-108000,6721000,-27121000,-20406000,None,USD,119196000,3044000,None,None,30807000,88234000,None,None,2000,-34280000,348000,4658000,4282000,97487000,19758000,None,393000,10000,2900000,104312000,None,80532000,None,3950000,10262000,176000,1625000,None,None,None,None,None,None,None,802000,None,14884000,696000,None,284000,11049000,None,None,None,None,None,None,None,None,USD,-273000,154000,-273000,None,-499000,-198000,1000,-5972000,-20406000,-9612000,-9141000,None,245000,None,None,-47000,-1083000,17968000,275000,None,None,None,7.27,6.08
2,2020-03-31,USD,1878000,8611000,170000,1708000,-6296000,75555000,4703000,None,-7062000,149000,3493000,None,-6733000,-3000,272000,-47000,-479000,-272000,82531000,None,None,-47000,-57000,82531000,-7015000,75141000,None,USD,127209000,3074000,None,597000,37546000,89514000,None,None,2000,-13874000,393000,4592000,3525000,107069000,25910000,None,383000,-237000,3088000,112930000,None,81848000,None,2865000,10779000,126000,1397000,None,None,None,None,None,None,None,100000,None,14279000,791000,10853000,309000,11636000,None,None,None,103623000,None,107069000,None,None,USD,103045000,-5187000,103045000,-500000,-2081000,6357000,1000,18903000,75555000,95709000,-13693000,None,494000,None,8438000,-76000,-1370000,-102012000,699000,None,None,None,3.8,7.27
3,2020-02-29,USD,1878000,8611000,170000,1708000,-6296000,75555000,4703000,None,-7062000,149000,3493000,None,-6733000,-3000,272000,-47000,None,-272000,None,None,None,-47000,-57000,82531000,-7015000,75141000,None,USD,127209000,3074000,None,None,37546000,89514000,None,None,2000,-13874000,393000,4592000,3525000,107069000,25910000,None,383000,-237000,3088000,112930000,None,81848000,None,2865000,10779000,126000,1397000,None,None,None,None,None,None,None,100000,None,14279000,791000,None,309000,11636000,None,None,None,None,None,None,None,None,USD,103045000,-5187000,103045000,-500000,-2081000,6357000,1000,18903000,75555000,95709000,-13693000,None,494000,None,None,-76000,-1370000,-102012000,699000,None,None,None,4.32,3.8
4,2019-12-31,USD,9077000,15729000,2589000,6488000,-5658000,-6060000,4861000,None,-6938000,31556000,7801000,None,-6652000,-124000,317000,-86000,-589000,-210000,None,None,None,-86000,-76000,82531000,-6852000,-6841000,None,USD,92495000,14206000,None,653000,86417000,5477000,None,11500000,2000,-89429000,2298000,14941000,3330000,11388000,31579000,1179000,1179000,213000,34039000,25979000,None,-23670000,None,8485000,13373000,2043000,11305000,None,None,None,None,None,None,None,82000,None,66516000,10225000,14061000,331000,54838000,None,None,None,94691000,None,11388000,None,None,USD,-6509000,5675000,-6509000,-728000,3816000,10416000,6600000,-158000,-6060000,1201000,-2706000,None,963000,None,None,-123000,-3260000,257000,6007000,None,None,None,4.66,4.32
5,2019-11-30,USD,9077000,15729000,2589000,6488000,-5658000,-6060000,4861000,None,-6938000,31556000,7801000,None,-6652000,-124000,317000,-86000,None,-210000,None,None,None,-86000,-76000,82531000,-6852000,-6841000,None,USD,92495000,14206000,None,None,86417000,5477000,None,None,2000,-89429000,2298000,14941000,3330000,11388000,31579000,None,1179000,213000,34039000,25979000,None,-23670000,None,8485000,13373000,2043000,11305000,None,None,None,None,None,None,None,82000,None,66516000,10225000,None,331000,54838000,None,None,None,None,None,None,None,None,USD,-6509000,5675000,-6509000,-728000,3816000,10416000,6600000,-158000,-6060000,1201000,-2706000,None,963000,None,None,-123000,-3260000,257000,6007000,None,None,None,3.1,4.66
6,2019-09-30,USD,9121000,13546000,6364000,2757000,-3831000,-4549000,738000,None,-4820000,24770000,5903000,None,-4425000,-35000,53000,94000,-307000,-141000,None,None,None,94000,-254000,82531000,-4914000,-7010000,None,USD,79599000,14256000,None,653000,68502000,10466000,None,8443000,2000,-83224000,2312000,14489000,2744000,10054000,24363000,1039000,1039000,-751000,27337000,20773000,None,-18279000,None,5075000,9748000,1859000,7693000,None,None,None,None,None,None,None,36000,None,58826000,9791000,10253000,322000,44139000,None,None,None,94439000,None,10054000,None,None,USD,-3322000,-1846000,-3322000,-728000,-114000,-114000,6600000,858000,-4549000,-5782000,-2346000,None,936000,None,None,280000,1630000,345000,3320000,None,None,None,4.47,3.1
7,2019-08-31,USD,9121000,13546000,6364000,2757000,-3831000,-4549000,738000,None,-4820000,24770000,5903000,None,-4425000,-35000,53000,94000,None,-141000,None,None,None,94000,-254000,82531000,-4914000,-7010000,None,USD,79599000,14256000,None,None,68502000,10466000,None,None,2000,-83224000,2312000,14489000,2744000,10054000,24363000,None,1039000,-751000,27337000,20773000,None,-18279000,None,5075000,9748000,1859000,7693000,None,None,None,None,None,None,None,36000,None,58826000,9791000,None,322000,44139000,None,None,None,None,None,None,None,None,USD,-3322000,-1846000,-3322000,-728000,-114000,-114000,6600000,858000,-4549000,-5782000,-2346000,None,936000,None,None,280000,1630000,345000,3320000,None,None,None,4.55,4.47
8,2019-06-30,USD,7757000,13011000,4935000,2822000,-4292000,-5201000,1709000,None,-5307000,24952000,5883000,None,-5254000,-32000,46000,518000,-43000,-56000,None,None,None,518000,3000,82531000,-5825000,-5812000,None,USD,84555000,15396000,None,544000,67801000,16115000,None,8559000,2000,-78675000,2405000,15066000,2718000,16111000,23064000,1022000,1022000,373000,24283000,27092000,None,-14347000,None,6905000,9754000,2221000,6786000,None,None,None,None,None,None,None,33000,None,57463000,10114000,10343000,262000,44737000,None,None,None,94415000,None,16111000,None,None,USD,-1584000,921000,-1584000,-728000,7288000,7194000,-94000,-199000,-5201000,1953000,-3657000,None,969000,None,None,-205000,-808000,866000,1764000,None,None,None,4.45,4.55
9,2019-05-31,USD,7757000,13011000,4935000,2822000,-4292000,-5201000,1709000,None,-5307000,24952000,5883000,None,-5254000,-32000,46000,518000,None,-56000,None,None,None,518000,3000,82531000,-5825000,-5812000,None,USD,84555000,15396000,None,None,67801000,16115000,None,None,2000,-78675000,2405000,15066000,2718000,16111000,23064000,None,1022000,373000,24283000,27092000,None,-14347000,None,6905000,9754000,2221000,6786000,None,None,None,None,None,None,None,33000,None,57463000,10114000,None,262000,44737000,None,None,None,None,None,None,None,None,USD,-1584000,921000,-1584000,-728000,7288000,7194000,-94000,-199000,-5201000,1953000,-3657000,None,969000,None,None,-205000,-808000,866000,1764000,None,None,None,4.3,4.45
