,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,782544000,140839000,602662000,179882000,35486000,36356000,None,None,34898000,-1975000,140839000,-3557000,39043000,None,588000,517000,614000,26000,None,None,None,517000,-4171000,None,34381000,36356000,None,USD,645142000,9919000,None,22769000,441794000,139411000,None,98822000,4000,-560480000,4022000,27120000,7173000,321210000,374033000,None,None,-560000,126795000,400206000,50542000,102372000,2122000,47765000,42948000,6340000,275211000,None,None,4000,None,-560480000,-70537000,None,30560000,None,244936000,25576000,42948000,24813000,67761000,None,None,None,770984000,645142000,323332000,None,40332000,USD,4342000,154847000,-1979000,-560000,-779000,-3402000,-2623000,56156000,34381000,177289000,182670000,-5270000,7548000,None,None,-1662000,-13511000,6337000,5761000,-13511000,None,177289000,28.43,
1,2020-03-31,USD,351573000,101984000,275733000,75840000,-19189000,-16333000,32796000,None,-19389000,-3232000,101984000,6955000,-26144000,None,200000,176000,272000,72000,None,None,None,176000,6683000,None,-19565000,-16333000,None,USD,456735000,10837000,None,20783000,295080000,100279000,None,65937000,4000,-596723000,2284000,27120000,3707000,143921000,228648000,None,None,-564000,126621000,210884000,53840000,62322000,3838000,37664000,43739000,4678000,162711000,None,None,4000,None,-596723000,-70493000,None,27433000,None,245851000,26377000,43739000,22693000,66432000,None,None,None,768055000,456735000,147759000,None,40326000,USD,1794000,11404000,-5999000,-4155000,47500000,47249000,-3099000,415000,-19565000,29023000,-12227000,1680000,7569000,None,2848000,1162000,-11141000,-3336000,3638000,-11141000,None,29023000,4.99,28.43
2,2019-12-31,USD,370881000,108085000,294359000,76522000,-29701000,-26978000,33970000,None,-29754000,-2682000,108085000,1862000,-31563000,None,53000,-94000,315000,262000,None,None,None,-94000,305000,None,-29660000,-26978000,None,USD,417727000,11756000,None,21589000,239872000,115084000,None,52386000,4000,-580390000,2319000,27120000,4033000,114898000,215999000,None,None,-568000,130028000,177363000,42043000,76208000,10308000,24728000,None,5840000,163613000,None,None,4000,None,-580390000,-68807000,None,29417000,None,240364000,28157000,None,23873000,23873000,None,None,None,764845000,417727000,125206000,None,39464000,USD,-8743000,25411000,-12593000,22000,3505000,34111000,-159000,6092000,-29660000,29101000,7583000,-1564000,7998000,-77000,30842000,1404000,527000,3467000,3872000,527000,None,29101000,7.05,4.99
3,2019-09-30,USD,347099000,99678000,277551000,69548000,-34462000,-30938000,32782000,None,-34519000,-3604000,99678000,-4332000,-30130000,None,57000,23000,449000,392000,None,None,None,23000,-4781000,None,-34542000,-30938000,None,USD,399801000,12879000,None,18233000,230849000,103455000,None,46726000,3000,-553335000,1616000,27120000,8446000,85797000,186723000,None,None,-572000,132696000,133681000,41713000,63456000,None,22407000,None,7244000,139997000,None,None,3000,None,-553335000,-68773000,None,51712000,None,266120000,48235000,None,44126000,44126000,None,None,None,726132000,399801000,85797000,None,35242000,USD,-3856000,-14482000,-11144000,28000,-3015000,-3323000,-182000,-3739000,-34542000,-37810000,-23343000,1682000,7515000,-77000,52112000,4633000,563000,11288000,7316000,563000,None,-37810000,10.59,7.05
4,2019-06-30,USD,373709000,99677000,299810000,73899000,-28143000,-24681000,33153000,None,-28248000,-2945000,99677000,-2365000,-25778000,None,105000,-622000,630000,525000,None,None,None,-622000,-2990000,None,-27626000,-24681000,None,USD,449174000,15474000,None,19513000,250094000,127294000,None,47167000,3000,-522397000,2147000,27120000,7492000,123607000,203842000,3108000,3108000,-576000,131633000,178632000,43757000,84700000,None,23635000,None,11877000,153567000,None,None,3000,None,-522397000,-68746000,None,52558000,None,270542000,49836000,None,46252000,46252000,None,None,None,719010000,449174000,123607000,None,35239000,USD,1547000,-984000,-4889000,6000,126000,20804000,-477000,459000,-27626000,1492000,-14423000,955000,7462000,-77000,21155000,1677000,-1773000,5866000,6442000,-1773000,None,1492000,13.6,10.59
5,2019-03-31,USD,367729000,109142000,294605000,73124000,-41887000,-39244000,35433000,None,-42014000,-3648000,109142000,-5869000,-36018000,None,127000,878000,276000,276000,None,None,None,878000,-5035000,None,-42892000,-39244000,None,USD,452889000,17243000,None,18465000,243327000,134831000,None,46146000,3000,-497716000,2093000,25434000,7875000,122115000,202028000,5726000,5726000,-580000,131656000,184953000,48466000,92154000,None,30819000,3098000,13554000,155882000,None,None,3000,None,-497716000,-68753000,None,45137000,None,267936000,41834000,3098000,38201000,41299000,None,None,None,701877000,452889000,122115000,None,34483000,USD,1035000,-45598000,1774000,4883000,-126000,28956000,-1875000,-5267000,-42892000,-20699000,-51429000,2651000,8056000,-77000,30957000,554000,14068000,11732000,4144000,14068000,None,-20699000,16.62,13.6
6,2018-12-31,USD,452548000,130024000,370968000,81580000,-49782000,-42327000,0,0,-49880000,-5614000,130024000,-1338000,-48444000,0,98000,None,None,None,0,0,0,-1939000,-7436000,0,-47941000,-42327000,None,USD,461219000,13370000,None,22415000,250513000,131746000,None,51054000,3000,-458897000,5074000,22895000,14573000,142814000,241486000,None,None,-584000,134687000,215267000,60427000,95481000,None,35930000,3069000,14108000,190432000,None,None,3000,None,-458897000,-66757000,None,14464000,None,109000,None,3069000,5958000,9027000,None,None,None,657981000,461219000,142814000,None,32146000,USD,-5420000,7818000,-21415000,-7992000,-124000,-574000,-304000,-9765000,-47941000,-40623000,-18634000,3015000,8664000,-77000,-69000,2461000,-5485000,12834000,8003000,-5485000,None,-40623000,13.58,16.62
7,2018-09-30,USD,440580000,134548000,353864000,86716000,-49297000,-47923000,0,0,-49398000,-1334000,134548000,-1465000,-47832000,0,101000,None,None,None,0,0,0,-141000,-1566000,0,-49257000,-47923000,None,USD,501467000,25140000,None,23863000,243422000,170794000,0,40389000,3000,-413395000,5025000,22058000,8248000,183437000,234419000,None,None,-587000,133425000,255160000,57436000,123596000,1395000,30552000,3069000,17308000,194030000,258045000,651482000,3000,0,-413395000,-66709000,None,8113000,None,135000,None,3069000,5934000,9003000,None,None,None,651482000,501467000,183437000,None,31941000,USD,-16600000,-11244000,-24858000,-330000,-124000,105320000,10820000,-5839000,-49257000,30741000,-49721000,3221000,7999000,-77000,94624000,-2507000,-1955000,4022000,7928000,-1955000,None,30741000,27.7,13.58
8,2018-06-30,USD,483133000,158279000,391390000,91743000,-65548000,-64911000,0,0,-65943000,-1005000,158279000,988000,-66536000,0,395000,None,None,None,0,0,0,-27000,593000,0,-65916000,-64911000,None,USD,452893000,26343000,None,25419000,254785000,120390000,0,43112000,3000,-365472000,6160000,22058000,5888000,152696000,245556000,3069000,3069000,-591000,131923000,223138000,43543000,71989000,468000,29668000,3069000,15355000,202444000,198108000,553112000,3000,0,-365472000,-66662000,None,5888000,None,229755000,None,3069000,6160000,9229000,None,None,None,553112000,452893000,152696000,None,29007000,USD,-12800000,20670000,-22700000,-1180000,-40125000,-24223000,15877000,6106000,-65916000,-107320000,-60397000,-17109000,7535000,-77000,25000,-1325000,-6400000,2148000,8720000,-6400000,None,-107320000,33.65,27.7
9,2018-03-31,USD,445331000,148263000,351462000,93869000,-53859000,-50909000,0,0,-54733000,-3547000,148263000,535000,-54394000,0,874000,None,None,None,0,0,0,-277000,-339000,0,-54456000,-50909000,None,USD,526274000,24653000,None,22091000,270181000,179861000,0,41894000,3000,-300561000,6539000,22058000,5864000,260016000,223665000,39977000,39977000,-595000,126765000,317234000,29700000,133150000,447000,22656000,39977000,12471000,181771000,256093000,547184000,3000,0,-300561000,-66170000,None,35564000,None,209040000,None,None,46516000,46516000,None,None,None,547184000,526274000,260016000,None,28866000,USD,-16970000,13667000,-41950000,-20951000,-123000,108478000,58039000,8268000,-54456000,56346000,-10182000,6474000,7499000,-77000,50562000,1999000,8282000,6353000,4029000,8282000,None,56346000,36.25,33.65
10,2017-12-31,USD,456290000,108513000,370492000,85798000,-24079000,-95690000,0,0,-24877000,-1102000,108513000,-1364000,-22715000,0,798000,None,None,None,0,0,0,71915000,-6458000,0,-96792000,-95690000,None,USD,433815000,7337000,None,16119000,261692000,175628000,0,46646000,3000,-254692000,7120000,14698000,39275000,203670000,214663000,39909000,39909000,-599000,129343000,265197000,13024000,153593000,455000,31705000,39909000,13703000,168017000,172123000,494732000,3000,0,-254692000,-63816000,None,17240000,None,168618000,None,None,47029000,47029000,None,None,None,494732000,433815000,203670000,None,27497000,USD,-686000,43192000,-3592000,-193000,-20008000,87207000,980000,-17272000,-96792000,110949000,27334000,-283000,8113000,-109000,106344000,5234000,-1938000,78856000,2713000,-5752000,None,110949000,63.9,36.25
11,2017-09-30,USD,424007000,95550000,340332000,83675000,-5804000,-786000,0,0,-6517000,-319000,95550000,6071000,-11875000,0,713000,None,None,None,0,0,0,-5412000,5345000,0,-1105000,-786000,None,USD,395441000,8288000,None,18498000,235555000,163194000,0,43012000,3000,-158893000,7159000,14698000,112478000,92828000,175665000,3326000,56057000,-1420000,131981000,150982000,None,140208000,562000,26094000,52731000,13562000,129327000,159886000,387195000,3000,0,-158893000,-63691000,None,15242000,None,74250000,None,52731000,7159000,59890000,None,None,None,387195000,395441000,92828000,None,25017000,USD,11103000,-16166000,5635000,-1045000,-1095000,-1111000,3000,-10417000,-1105000,-11686000,-16210000,172000,7934000,0,-16000,1039000,3814000,-4507000,4423000,-3577000,None,-11686000,29.7,63.9
12,2017-06-30,USD,432024000,93902000,347853000,84171000,-9002000,-7499000,0,0,-9718000,-244000,93902000,729000,-9731000,0,716000,None,None,None,0,0,0,-1975000,4322000,0,-7743000,-7499000,None,USD,412875000,9171000,None,20089000,252944000,162920000,0,40685000,3000,-157926000,7099000,14698000,116610000,104495000,192014000,3297000,57128000,-1472000,134563000,161702000,None,139051000,543000,21966000,53831000,15152000,148032000,159931000,385987000,3000,0,-157926000,-63672000,None,24345000,None,68396000,None,53831000,7099000,60930000,None,None,None,385987000,412875000,104495000,None,25000000,USD,-2000000,-19834000,-7514000,-408000,-1338000,-1601000,-251000,-16610000,-7743000,-32463000,-23348000,-7971000,8157000,0,-263000,4097000,7391000,-918000,5106000,864000,None,-32463000,16.3,29.7
13,2017-03-31,USD,432435000,89220000,345528000,86907000,-5912000,-5903000,0,0,-6622000,-379000,89220000,-3599000,-2313000,0,710000,None,None,None,0,0,0,-340000,-4309000,0,-6282000,-5903000,None,USD,441301000,10099000,None,11789000,274328000,169718000,0,41791000,3000,-150427000,6840000,14698000,113367000,136770000,212564000,3267000,None,-1391000,137296000,190638000,None,144921000,355000,24353000,54924000,17726000,167506000,166973000,384942000,3000,0,-150427000,-63409000,None,22219000,None,66351000,None,54924000,6840000,61764000,None,None,None,384942000,441301000,136770000,None,24963000,USD,-250000,-35665000,-12489000,-895000,-929000,-11097000,75000,-1577000,-6282000,-46683000,-23097000,-1577000,8643000,0,-10168000,585000,6527000,4672000,11344000,6527000,None,-46683000,17.2,16.3
